,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,FEA-U,08/18/20,11.55,11.7,11.5,11.6,8517,0.1,0.87%
1,FEA-U,08/17/20,11.5,11.5,11.5,11.5,2114,-0.2,-1.71%
2,FEA-U,08/14/20,11.7,11.7,11.7,11.7,100,0.0,0.00%
3,FEA-U,08/13/20,11.65,11.7,11.65,11.7,513,0.28,2.45%
4,FEA-U,08/12/20,11.2,11.67,11.2,11.42,25180,0.22,1.96%
5,FEA-U,08/11/20,11.12,11.28,11.09,11.2,97024,0.0,0.00%
6,FEA-U,08/10/20,11.08,11.24,11.08,11.2,2800,-0.16,-1.41%
7,FEA-U,08/07/20,11.36,11.67,11.36,11.36,2400,-0.01,-0.09%
8,FEA-U,08/06/20,11.37,11.37,11.37,11.37,1163,-0.01,-0.09%
9,FEA-U,08/05/20,11.33,11.45,11.18,11.38,275088,-0.07,-0.61%
10,FEA-U,08/04/20,11.03,11.45,11.03,11.45,10998,0.22,1.96%
11,FEA-U,08/03/20,11.31,11.45,10.87,11.23,11571,-0.37,-3.19%
12,FEA-U,07/31/20,11.72,11.72,11.26,11.6,5900,-0.21,-1.74%
13,FEA-U,07/30/20,12.16,12.35,11.8,11.8,5083,-0.39,-3.24%
14,FEA-U,07/29/20,12.43,12.43,12.2,12.2,1117,-0.2,-1.61%
15,FEA-U,07/28/20,12.46,12.52,12.4,12.4,2689,-0.12,-0.93%
16,FEA-U,07/27/20,12.74,12.74,12.46,12.52,1328,-0.38,-2.97%
17,FEA-U,07/24/20,12.9,13.0,12.85,12.9,63100,0.0,0.00%
18,FEA-U,07/23/20,13.09,13.3,12.86,12.9,29046,-0.45,-3.37%
19,FEA-U,07/22/20,13.09,13.37,12.85,13.35,45336,0.36,2.77%
20,FEA-U,07/21/20,12.64,13.3,12.39,12.99,55648,0.34,2.69%
21,FEA-U,07/20/20,13.5,13.5,12.44,12.65,46410,-0.89,-6.57%
22,FEA-U,07/17/20,13.0,13.75,13.0,13.54,210900,0.54,4.15%
23,FEA-U,07/16/20,12.0,13.2,11.88,13.0,461656,1.06,8.87%
24,FEA-U,07/15/20,12.0,12.0,11.94,11.94,1992,-0.06,-0.49%
25,FEA-U,07/14/20,12.01,12.1,11.9,12.0,95699,-0.1,-0.83%
26,FEA-U,07/13/20,12.0,12.11,11.83,12.1,197531,0.0,0.00%
27,FEA-U,07/10/20,12.1,12.1,12.03,12.1,43700,0.0,0.00%
28,FEA-U,07/09/20,12.02,12.15,12.0,12.1,81547,-0.05,-0.41%
