,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,FINS,08/18/20,16.76,16.76,16.52,16.59,28662,-0.13,-0.78%
1,FINS,08/17/20,16.55,16.75,16.45,16.72,67090,0.19,1.15%
2,FINS,08/14/20,16.65,16.72,16.5,16.53,68900,-0.14,-0.84%
3,FINS,08/13/20,16.57,16.7,16.57,16.67,64353,0.09,0.54%
4,FINS,08/12/20,16.55,16.65,16.5,16.58,24541,0.08,0.48%
5,FINS,08/11/20,16.58,16.59,16.45,16.5,33129,0.05,0.30%
6,FINS,08/10/20,16.59,16.59,16.45,16.45,43800,-0.02,-0.12%
7,FINS,08/07/20,16.42,16.55,16.28,16.47,57400,0.01,0.06%
8,FINS,08/06/20,16.25,16.47,16.18,16.46,106122,0.27,1.67%
9,FINS,08/05/20,16.02,16.28,16.01,16.19,43183,0.2,1.25%
10,FINS,08/04/20,15.96,16.08,15.9,15.99,62743,0.09,0.57%
11,FINS,08/03/20,15.89,16.07,15.84,15.9,39670,-0.04,-0.25%
12,FINS,07/31/20,15.97,15.98,15.82,15.94,49000,0.01,0.06%
13,FINS,07/30/20,15.84,15.94,15.74,15.93,25726,0.04,0.25%
14,FINS,07/29/20,15.76,15.93,15.73,15.89,106780,0.13,0.82%
15,FINS,07/28/20,15.83,15.9,15.71,15.76,61346,-0.09,-0.57%
16,FINS,07/27/20,15.89,15.95,15.78,15.85,38506,-0.05,-0.31%
17,FINS,07/24/20,16.08,16.14,15.89,15.9,35300,-0.12,-0.75%
18,FINS,07/23/20,16.12,16.26,15.95,16.02,39570,-0.09,-0.59%
19,FINS,07/22/20,16.4,16.4,15.9,16.11,87071,-0.16,-0.95%
20,FINS,07/21/20,16.41,16.72,16.26,16.27,20366,-0.22,-1.33%
21,FINS,07/20/20,16.37,16.58,16.31,16.49,31546,0.02,0.12%
22,FINS,07/17/20,16.52,16.62,16.33,16.47,43800,0.0,0.00%
23,FINS,07/16/20,16.68,16.68,16.31,16.47,71958,-0.15,-0.90%
24,FINS,07/15/20,16.55,16.78,16.47,16.62,52979,0.22,1.34%
25,FINS,07/14/20,16.68,16.88,16.37,16.4,37376,-0.36,-2.15%
26,FINS,07/13/20,16.61,16.82,16.51,16.76,32459,0.12,0.72%
