,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,1.53,1.59,1.42,1.49,1.49,16900
1,2015-09-01,1.49,1.5,1.47,1.48,1.48,5300
2,2015-09-02,1.5,1.5,1.39,1.45,1.45,84600
3,2015-09-03,1.44,1.5,1.44,1.45,1.45,9100
4,2015-09-04,1.48,1.5,1.45,1.46,1.46,9000
5,2015-09-08,1.48,1.5,1.39,1.41,1.41,40800
6,2015-09-09,1.44,1.44,1.39,1.42,1.42,9500
7,2015-09-10,1.4,1.41,1.32,1.34,1.34,40700
8,2015-09-11,1.33,1.42,1.33,1.37,1.37,14000
9,2015-09-14,1.35,1.39,1.28,1.29,1.29,21900
10,2015-09-15,1.38,1.38,1.26,1.31,1.31,6700
11,2015-09-16,1.33,1.36,1.31,1.31,1.31,41600
12,2015-09-17,1.33,1.35,1.31,1.32,1.32,5500
13,2015-09-18,1.29,1.35,1.29,1.35,1.35,32800
14,2015-09-21,1.35,1.35,1.3,1.3,1.3,2800
15,2015-09-22,1.34,1.34,1.3,1.3,1.3,800
16,2015-09-23,1.34,1.34,1.27,1.27,1.27,7000
17,2015-09-24,1.26,1.32,1.26,1.3,1.3,800
18,2015-09-25,1.31,1.31,1.18,1.24,1.24,22300
19,2015-09-28,1.19,1.3,1.18,1.29,1.29,77500
20,2015-09-29,1.25,1.35,1.2,1.34,1.34,35600
21,2015-09-30,1.33,1.5,1.25,1.46,1.46,39500
22,2015-10-01,1.5,1.5,1.35,1.49,1.49,45800
23,2015-10-02,1.49,1.54,1.41,1.48,1.48,6100
24,2015-10-05,1.48,1.49,1.35,1.39,1.39,17000
25,2015-10-06,1.37,1.42,1.31,1.42,1.42,38900
26,2015-10-07,1.32,1.49,1.32,1.44,1.44,7600
27,2015-10-08,1.49,1.54,1.43,1.51,1.51,15100
28,2015-10-09,1.49,1.52,1.46,1.5,1.5,52200
29,2015-10-12,1.51,1.52,1.47,1.51,1.51,4700
30,2015-10-13,1.48,1.52,1.47,1.47,1.47,15300
31,2015-10-14,1.51,1.51,1.46,1.47,1.47,4100
32,2015-10-15,1.59,1.59,1.5,1.55,1.55,10200
33,2015-10-16,1.5,1.5,1.48,1.5,1.5,23100
34,2015-10-19,1.5,1.5,1.37,1.41,1.41,34600
35,2015-10-20,1.5,1.5,1.42,1.42,1.42,2100
36,2015-10-21,1.44,1.48,1.44,1.44,1.44,8100
37,2015-10-22,1.45,1.45,1.42,1.44,1.44,20400
38,2015-10-23,1.45,1.45,1.41,1.43,1.43,25000
39,2015-10-26,1.45,1.45,1.42,1.42,1.42,3500
40,2015-10-27,1.41,1.42,1.41,1.41,1.41,1100
41,2015-10-28,1.45,1.45,1.41,1.42,1.42,21800
42,2015-10-29,1.42,1.45,1.42,1.43,1.43,3600
43,2015-10-30,1.45,1.46,1.41,1.41,1.41,22000
44,2015-11-02,1.41,1.44,1.4,1.41,1.41,17700
45,2015-11-03,1.41,1.44,1.4,1.41,1.41,11800
46,2015-11-04,1.43,1.46,1.43,1.45,1.45,19300
47,2015-11-05,1.45,1.46,1.45,1.45,1.45,37600
48,2015-11-06,1.46,1.49,1.45,1.49,1.49,2000
49,2015-11-09,1.5,1.5,1.41,1.47,1.47,10000
50,2015-11-10,1.43,1.49,1.4,1.48,1.48,82200
51,2015-11-11,1.5,1.62,1.41,1.59,1.59,115600
52,2015-11-12,1.57,1.71,1.55,1.7,1.7,52700
53,2015-11-13,1.7,1.75,1.61,1.74,1.74,160400
54,2015-11-16,1.74,1.75,1.69,1.7,1.7,39000
55,2015-11-17,1.72,1.74,1.67,1.73,1.73,77700
