,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-19,24.75,24.950001,24.75,24.75,24.476862,104400
1,2020-06-22,24.9,24.9,24.65,24.889999,24.615316,118500
2,2020-06-23,24.9,25.07,24.9,25.07,24.793331,79900
3,2020-06-24,25.07,25.07,24.934998999999998,25.07,24.793331,60400
4,2020-06-25,25.07,25.1,24.950001,25.040001,24.763662,53600
5,2020-06-26,25.0,25.1,24.940001000000002,25.049999,24.77355,16900
6,2020-06-29,25.0,25.0,24.9,25.0,24.724104,33300
7,2020-06-30,25.0,25.1,24.99,25.1,24.823,14200
8,2020-07-01,25.1,25.18,24.75,24.93,24.654877,73700
9,2020-07-02,25.0,25.1,24.99,25.0,24.724104,12300
10,2020-07-06,25.15,25.15,24.32,24.5,24.229622,37900
11,2020-07-07,24.59,24.719998999999998,24.120001000000002,24.48,24.209841,51000
12,2020-07-08,24.5,24.790001,24.049999,24.48,24.209841,53500
13,2020-07-09,24.48,24.639999,24.4,24.6,24.328518,35500
14,2020-07-10,24.639,24.73,24.549999,24.645,24.373022,41400
15,2020-07-13,24.629998999999998,24.73,24.577,24.6,24.328518,9300
16,2020-07-14,24.65,24.85,24.6,24.84,24.56587,18900
17,2020-07-15,24.889999,24.98,24.799999,24.855,24.580704,16500
18,2020-07-16,25.01,25.030001000000002,24.870001000000002,24.98,24.704325,21700
19,2020-07-17,25.0,25.0,24.885,24.92,24.644987,27600
20,2020-07-20,25.0,25.049999,24.905001000000002,25.0,24.724104,21800
21,2020-07-21,25.049999,25.1,24.934,25.1,24.823,25200
22,2020-07-22,25.01,25.1,24.924999,25.0,24.724104,43400
23,2020-07-23,25.049999,25.09,24.98,24.99,24.714214000000002,42000
24,2020-07-24,25.07,25.082001,25.0,25.0,24.724104,53400
25,2020-07-27,25.049999,25.25,24.959999,25.0,24.724104,107400
26,2020-07-28,25.02,25.200001,25.0,25.09,24.81311,60100
27,2020-07-29,25.139999,25.5,25.09,25.49,25.208696,60400
28,2020-07-30,25.5,25.5,25.209999,25.299999,25.020792,33600
29,2020-07-31,25.43,25.450001,25.0,25.0,24.724104,261000
30,2020-08-03,25.1,25.18,25.049999,25.1,24.823,95100
31,2020-08-04,24.889999,25.02,24.846001,24.969998999999998,24.969998999999998,76400
32,2020-08-05,25.049999,25.049999,24.959999,25.025,25.025,49300
33,2020-08-06,25.049999,25.139999,24.98,25.049999,25.049999,42800
34,2020-08-07,25.049999,25.162001,24.959999,25.1,25.1,36900
35,2020-08-10,25.15,25.299999,25.1,25.25,25.25,36600
36,2020-08-11,25.26,25.299999,25.030001000000002,25.110001,25.110001,36800
37,2020-08-12,25.23,25.290001,25.15,25.24,25.24,54100
38,2020-08-13,25.280001000000002,25.32,25.15,25.290001,25.290001,35000
39,2020-08-14,25.219998999999998,25.5,25.110001,25.5,25.5,48500
40,2020-08-17,25.549999,25.91,25.549999,25.85,25.85,93200
41,2020-08-18,25.809998999999998,25.950001,25.809998999999998,25.860001,25.860001,21400
42,2020-08-19,25.879998999999998,25.879998999999998,25.639999,25.799999,25.799999,35700
