,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,FRPT,08/18/20,109.61,111.54,108.47,111.03,236093,1.19,1.08%
1,FRPT,08/17/20,108.0,111.61,107.99,109.84,443340,1.85,1.71%
2,FRPT,08/14/20,106.71,108.0,105.95,107.99,236800,1.78,1.68%
3,FRPT,08/13/20,103.4,106.45,102.43,106.21,261769,3.6,3.51%
4,FRPT,08/12/20,99.75,104.21,99.75,102.61,295132,3.68,3.72%
5,FRPT,08/11/20,104.24,105.36,98.24,98.93,386284,-5.3,-5.08%
6,FRPT,08/10/20,102.24,104.98,100.6,104.23,345435,2.0,1.96%
7,FRPT,08/07/20,102.77,104.87,100.93,102.23,270000,-0.48,-0.47%
8,FRPT,08/06/20,103.0,103.16,100.67,102.71,347577,-0.52,-0.50%
9,FRPT,08/05/20,108.29,108.39,103.06,103.23,362565,-1.56,-1.49%
10,FRPT,08/04/20,107.0,110.94,103.5,104.79,738293,4.02,3.99%
11,FRPT,08/03/20,97.12,102.55,96.79,100.77,515860,4.72,4.91%
12,FRPT,07/31/20,95.67,96.32,93.03,96.05,374400,0.93,0.98%
13,FRPT,07/30/20,92.53,95.77,91.32,95.12,182884,1.18,1.26%
14,FRPT,07/29/20,92.24,94.56,92.03,93.94,197985,2.14,2.33%
15,FRPT,07/28/20,90.97,93.5,90.25,91.8,217208,0.24,0.26%
16,FRPT,07/27/20,88.36,91.67,87.28,91.56,189360,3.71,4.22%
17,FRPT,07/24/20,87.68,88.95,86.53,87.85,175300,-0.44,-0.50%
18,FRPT,07/23/20,89.3,91.18,87.87,88.29,152346,-1.02,-1.14%
19,FRPT,07/22/20,89.78,90.47,88.39,89.31,137199,-0.48,-0.53%
20,FRPT,07/21/20,91.09,91.88,89.21,89.79,159808,-0.68,-0.75%
21,FRPT,07/20/20,91.08,91.96,89.76,90.47,211882,-0.33,-0.36%
22,FRPT,07/17/20,89.22,91.59,88.26,90.8,192000,1.47,1.65%
23,FRPT,07/16/20,89.32,90.23,88.27,89.33,206412,-0.53,-0.59%
24,FRPT,07/15/20,89.75,91.09,88.63,89.86,297996,0.96,1.08%
25,FRPT,07/14/20,85.07,89.21,84.21,88.9,253131,3.83,4.50%
26,FRPT,07/13/20,86.63,88.61,84.77,85.07,321706,-1.07,-1.24%
27,FRPT,07/10/20,88.68,89.06,85.38,86.14,344800,-2.39,-2.70%
28,FRPT,07/09/20,88.18,89.86,85.62,88.53,247575,-0.02,-0.02%
29,FRPT,07/08/20,87.11,89.2,86.9,88.55,165303,1.89,2.18%
30,FRPT,07/07/20,87.24,88.34,86.08,86.66,164689,-0.95,-1.08%
31,FRPT,07/06/20,90.0,90.0,86.67,87.61,303658,-0.96,-1.08%
32,FRPT,07/02/20,88.54,89.71,87.51,88.57,277300,1.2,1.37%
33,FRPT,07/01/20,83.9,89.61,83.9,87.37,413063,3.71,4.43%
34,FRPT,06/30/20,81.89,83.86,81.3,83.66,342555,2.06,2.52%
35,FRPT,06/29/20,79.47,81.87,79.13,81.6,478832,1.33,1.66%
36,FRPT,06/26/20,84.19,85.56,79.8,80.27,1257700,-8.42,-9.49%
37,FRPT,06/25/20,86.56,89.1,84.73,88.69,452428,1.93,2.22%
38,FRPT,06/24/20,87.0,88.26,83.84,86.76,362885,-0.82,-0.94%
39,FRPT,06/23/20,87.33,88.79,87.0,87.58,724432,1.3,1.51%
