,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,6.44,6.44,6.33,6.34,4.373521,34400
1,2015-08-21,6.28,6.31,6.2,6.2,4.276946,36300
2,2015-08-24,5.99,6.06,5.3,5.95,4.104488,178200
3,2015-08-25,6.08,6.18,6.0,6.03,4.159675,119200
4,2015-08-26,6.1,6.1,5.97,6.09,4.201065,42000
5,2015-08-27,6.2,6.27,6.16,6.24,4.304539,54200
6,2015-08-28,6.25,6.38,6.24,6.31,4.352828,41400
7,2015-08-31,6.31,6.38,6.29,6.33,4.366623000000001,18500
8,2015-09-01,6.28,6.28,6.17,6.17,4.256252,28200
9,2015-09-02,6.21,6.23,6.15,6.23,4.29764,20400
10,2015-09-03,6.28,6.37,6.26,6.26,4.318336,16700
11,2015-09-04,6.21,6.3,6.13,6.13,4.228657,96600
12,2015-09-08,6.19,6.27,6.19,6.27,4.325233,13200
13,2015-09-09,6.32,6.32,6.23,6.23,4.29764,7800
14,2015-09-10,6.23,6.24,6.19,6.22,4.290742,16000
15,2015-09-11,6.13,6.13,6.09,6.12,4.290742,12200
16,2015-09-14,6.12,6.12,6.07,6.09,4.26971,10800
17,2015-09-15,6.12,6.16,6.06,6.13,4.297754,66600
18,2015-09-16,6.15,6.21,6.13,6.19,4.33982,17600
19,2015-09-17,6.2,6.27,6.17,6.19,4.33982,31000
20,2015-09-18,6.17,6.18,6.11,6.13,4.297754,45800
21,2015-09-21,6.13,6.16,6.11,6.13,4.297754,33700
22,2015-09-22,6.1,6.1,6.0,6.02,4.220632,42700
23,2015-09-23,5.98,6.09,5.98,6.02,4.220632,197800
24,2015-09-24,6.0,6.02,5.91,6.0,4.206611,109300
25,2015-09-25,6.02,6.09,5.97,5.97,4.185576999999999,28800
26,2015-09-28,5.98,5.98,5.79,5.82,4.080412,58900
27,2015-09-29,5.81,5.86,5.75,5.85,4.101445,60700
28,2015-09-30,5.86,5.95,5.84,5.91,4.143511,41300
29,2015-10-01,5.94,5.94,5.86,5.88,4.122478,11800
30,2015-10-02,5.85,6.01,5.81,5.97,4.185576999999999,45200
31,2015-10-05,6.02,6.11,5.98,6.09,4.26971,34600
32,2015-10-06,6.07,6.18,6.04,6.18,4.332808999999999,29700
33,2015-10-07,6.23,6.26,6.2,6.24,4.374875,17900
34,2015-10-08,6.22,6.31,6.22,6.3,4.416942,29300
35,2015-10-09,6.32,6.35,6.28,6.33,4.437973,33300
36,2015-10-12,6.34,6.35,6.31,6.34,4.444985,15400
37,2015-10-13,6.32,6.34,6.28,6.3,4.416942,15000
38,2015-10-14,6.27,6.3,6.26,6.26,4.388897,10700
39,2015-10-15,6.27,6.35,6.27,6.35,4.451995,11600
40,2015-10-16,6.3,6.35,6.3,6.33,4.437973,33100
41,2015-10-19,6.35,6.35,6.24,6.3,4.416942,43300
42,2015-10-20,6.33,6.36,6.3,6.32,4.430962,25100
43,2015-10-21,6.35,6.38,6.31,6.31,4.423952,39800
44,2015-10-22,6.39,6.42,6.34,6.41,4.4940620000000004,26800
45,2015-10-23,6.47,6.47,6.39,6.47,4.536128,38000
46,2015-10-26,6.43,6.45,6.34,6.34,4.444985,76900
47,2015-10-27,6.3,6.3,6.19,6.21,4.353841,58800
48,2015-10-28,6.2,6.33,6.2,6.32,4.430962,61400
49,2015-10-29,6.27,6.3,6.21,6.21,4.353841,86000
50,2015-10-30,6.21,6.23,6.17,6.2,4.346831,101400
51,2015-11-02,6.24,6.32,6.15,6.29,4.40993,44900
52,2015-11-03,6.25,6.39,6.25,6.36,4.459007,44900
53,2015-11-04,6.37,6.4,6.32,6.35,4.451995,187500
54,2015-11-05,6.39,6.41,6.35,6.38,4.473028,64100
55,2015-11-06,6.39,6.39,6.3,6.37,4.466017,101400
56,2015-11-09,6.31,6.33,6.19,6.2,4.346831,147900
57,2015-11-10,6.17,6.25,6.17,6.25,4.381886,74300
58,2015-11-11,6.25,6.26,6.1,6.11,4.2837309999999995,67400
59,2015-11-12,6.11,6.11,5.98,6.02,4.220632,82200
60,2015-11-13,5.99,6.01,5.91,5.95,4.171556,109900
61,2015-11-16,5.97,6.01,5.95,6.01,4.213622,54600
62,2015-11-17,5.98,6.02,5.98,5.98,4.192588,30000
63,2015-11-18,5.98,6.05,5.96,6.03,4.227643,87900
64,2015-11-19,6.03,6.07,5.99,6.04,4.234654,22100
65,2015-11-20,6.06,6.11,6.03,6.07,4.255687,44400
66,2015-11-23,6.04,6.08,6.01,6.04,4.234654,52400
67,2015-11-24,6.0,6.07,5.99,6.06,4.248677,58600
68,2015-11-25,6.06,6.12,6.03,6.09,4.26971,45800
69,2015-11-27,6.13,6.13,6.07,6.09,4.26971,3200
70,2015-11-30,6.14,6.14,6.06,6.09,4.26971,23600
71,2015-12-01,6.13,6.15,6.06,6.12,4.290742,54400
72,2015-12-02,6.14,6.14,6.06,6.06,4.248677,40000
73,2015-12-03,6.07,6.07,6.0,6.01,4.213622,27800
74,2015-12-04,6.03,6.1,6.02,6.06,4.248677,35200
75,2015-12-07,6.08,6.08,5.97,6.0,4.206611,58300
76,2015-12-08,5.98,5.98,5.91,5.95,4.171556,55400
77,2015-12-09,5.98,6.0,5.89,5.9,4.1365,23800
78,2015-12-10,5.87,5.96,5.87,5.91,4.143511,87000
79,2015-12-11,5.75,5.8,5.61,5.65,4.043322,249200
80,2015-12-14,5.62,5.66,5.52,5.54,3.964604,169900
81,2015-12-15,5.59,5.63,5.55,5.56,3.9789160000000003,365300
82,2015-12-16,5.58,5.67,5.55,5.67,4.057634999999999,187700
83,2015-12-17,5.69,5.69,5.62,5.63,4.029011,136100
84,2015-12-18,5.64,5.64,5.6,5.62,4.021853,82000
85,2015-12-21,5.65,5.69,5.63,5.69,4.071948,158300
86,2015-12-22,5.67,5.73,5.67,5.73,4.100574,47400
87,2015-12-23,5.74,5.84,5.74,5.81,4.157824,20000
88,2015-12-24,5.81,5.87,5.8,5.87,4.200762,44800
89,2015-12-28,5.85,5.85,5.77,5.83,4.172136,19700
90,2015-12-29,5.8,5.85,5.78,5.83,4.172136,114900
91,2015-12-30,5.8,5.83,5.79,5.79,4.143511,58500
92,2015-12-31,5.77,5.82,5.71,5.8,4.1506680000000005,64400
93,2016-01-04,5.71,5.71,5.62,5.66,4.050479,75900
94,2016-01-05,5.65,5.72,5.65,5.72,4.093417,34500
95,2016-01-06,5.62,5.66,5.58,5.61,4.014698,30900
96,2016-01-07,5.56,5.56,5.47,5.48,3.9216660000000005,90300
97,2016-01-08,5.53,5.53,5.4,5.43,3.8858839999999994,55100
98,2016-01-11,5.44,5.44,5.22,5.31,3.800008,93300
99,2016-01-12,5.36,5.36,5.25,5.35,3.828633,70600
100,2016-01-13,5.32,5.34,5.16,5.21,3.728445,102300
101,2016-01-14,5.21,5.23,5.18,5.19,3.7141319999999998,107200
