,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,5.595238,5.644841,5.585318,5.595238,3.3059230000000004,317600
1,2015-09-01,5.505952,5.505952,5.406746,5.446429,3.2179990000000003,448000
2,2015-09-02,5.505952,5.535714,5.446429,5.525794,3.264891,353300
3,2015-09-03,5.545635,5.585318,5.486111,5.515873,3.25903,510200
4,2015-09-04,5.4563489999999994,5.486111,5.4166669999999995,5.46627,3.229722,362600
5,2015-09-08,5.565476,5.575397,5.515873,5.555555,3.2824760000000004,346500
6,2015-09-09,5.625,5.634921,5.46627,5.486111,3.241444,490700
7,2015-09-10,5.46627,5.535714,5.436508,5.505952,3.2531689999999998,611900
8,2015-09-11,5.476191,5.515873,5.436508,5.496032,3.247307,333600
9,2015-09-14,5.367064,5.376983999999999,5.307539,5.317461,3.229234,227200
10,2015-09-15,5.327381,5.406746,5.307539,5.3869050000000005,3.271405,476700
11,2015-09-16,5.376983999999999,5.4563489999999994,5.367064,5.446429,3.307553,251300
12,2015-09-17,5.4166669999999995,5.515873,5.4166669999999995,5.446429,3.307553,377100
13,2015-09-18,5.396825,5.4563489999999994,5.367064,5.4166669999999995,3.289479,777300
14,2015-09-21,5.4166669999999995,5.4563489999999994,5.376983999999999,5.436508,3.301529,611500
15,2015-09-22,5.357143,5.3869050000000005,5.307539,5.367064,3.259356,497400
16,2015-09-23,5.396825,5.4166669999999995,5.307539,5.327381,3.235257,1025700
17,2015-09-24,5.277778,5.347222,5.267857,5.307539,3.223207,1227600
18,2015-09-25,5.347222,5.367064,5.277778,5.277778,3.205134,870700
19,2015-09-28,5.267857,5.277778,5.138889,5.148809,3.1268119999999997,804200
20,2015-09-29,5.148809,5.2083330000000005,5.079365,5.119048,3.1087380000000002,341500
21,2015-09-30,5.148809,5.1984129999999995,5.109127,5.178571,3.144886,452100
22,2015-10-01,5.178571,5.2083330000000005,5.119048,5.1984129999999995,3.156936,547300
23,2015-10-02,5.109127,5.287698000000001,5.109127,5.287698000000001,3.211159,347200
24,2015-10-05,5.297619,5.4166669999999995,5.297619,5.4166669999999995,3.289479,443100
25,2015-10-06,5.406746,5.4563489999999994,5.406746,5.4563489999999994,3.3135779999999997,409500
26,2015-10-07,5.46627,5.505952,5.4265870000000005,5.505952,3.343703,305400
27,2015-10-08,5.4563489999999994,5.496032,5.436508,5.4563489999999994,3.3135779999999997,285900
28,2015-10-09,5.496032,5.605159,5.496032,5.605159,3.403949,695800
