,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-02-04,10.6,11.6,10.35,10.5,4.850635,1539300
1,2014-02-05,10.75,12.29,10.65,12.29,5.677554,748000
2,2014-02-06,12.04,14.13,11.95,13.89,6.416698,296400
3,2014-02-07,14.0,14.24,13.5,14.0,6.467512,267800
4,2014-02-10,13.99,14.21,13.85,14.17,6.546047,85500
5,2014-02-11,14.24,14.25,13.64,13.8,6.37512,59100
6,2014-02-12,13.75,13.85,13.5,13.65,6.305825,86900
7,2014-02-13,13.4,13.69,12.55,12.67,5.853098999999999,434900
8,2014-02-14,12.5,13.46,12.5,12.8,5.913156,1341900
9,2014-02-18,12.55,13.05,12.08,12.32,5.691413,1564900
10,2014-02-19,12.35,12.47,12.01,12.13,5.603639,1208600
11,2014-02-20,12.06,12.3,11.76,12.2,5.635976,797400
12,2014-02-21,12.11,12.31,12.0,12.05,5.566682,1141700
13,2014-02-24,12.0,12.11,11.83,11.93,5.511245,1106700
14,2014-02-25,11.8,12.65,11.8,12.59,5.816144,780700
15,2014-02-26,12.59,13.91,12.25,13.1,6.051746,1062200
16,2014-02-27,13.14,13.42,13.11,13.3,6.14414,521000
17,2014-02-28,13.29,14.7,13.17,14.4,6.6523,1090000
18,2014-03-03,14.35,14.74,14.03,14.71,6.795511,595000
19,2014-03-04,14.78,15.25,14.61,14.95,6.906381,410300
20,2014-03-05,14.94,15.65,14.5,14.74,6.901699000000001,534800
21,2014-03-06,14.69,14.85,14.5,14.55,6.812734,201500
22,2014-03-07,14.76,14.79,14.5,14.57,6.822100999999999,281000
23,2014-03-10,14.58,15.15,14.58,14.98,7.014073,244600
24,2014-03-11,14.93,15.1,13.83,14.03,6.569256,804100
25,2014-03-12,13.89,14.26,13.5,14.05,6.578621000000001,347600
26,2014-03-13,14.18,14.45,13.67,14.18,6.6394899999999994,260100
27,2014-03-14,13.97,14.25,13.61,13.69,6.41006,307600
28,2014-03-17,13.66,14.27,13.55,14.2,6.648855,303500
29,2014-03-18,14.24,15.0,14.1,14.8,6.929792999999999,484800
30,2014-03-19,15.23,15.25,14.66,14.84,6.948524000000001,370200
