,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,GIK,08/18/20,10.01,10.01,9.9,9.9,1543,-0.05,-0.50%
1,GIK,08/17/20,9.95,9.96,9.87,9.95,5134,0.02,0.20%
2,GIK,08/14/20,9.89,9.94,9.88,9.93,88800,0.03,0.30%
3,GIK,08/13/20,9.89,9.9,9.89,9.9,1212013,0.0,0.00%
4,GIK,08/12/20,9.92,9.92,9.86,9.9,8043,0.03,0.30%
5,GIK,08/11/20,9.87,9.9,9.87,9.87,157566,0.01,0.10%
6,GIK,08/10/20,9.94,9.945,9.86,9.86,1600,0.01,0.10%
7,GIK,08/07/20,9.87,9.9,9.85,9.85,108400,-0.03,-0.30%
8,GIK,08/06/20,9.86,9.88,9.86,9.88,550432,0.02,0.20%
9,GIK,08/05/20,9.86,9.86,9.86,9.86,128,0.0,0.00%
10,GIK,08/04/20,9.87,9.93,9.86,9.86,5304,-0.04,-0.40%
11,GIK,08/03/20,9.99,9.99,9.9,9.9,20613,-0.06,-0.60%
12,GIK,07/31/20,9.94,9.97,9.93,9.96,14300,0.0,0.00%
13,GIK,07/30/20,9.92,9.96,9.92,9.96,5925,0.01,0.10%
14,GIK,07/29/20,9.95,9.95,9.95,9.95,758034,-0.04,-0.40%
15,GIK,07/28/20,9.99,9.99,9.98,9.99,732,0.0,0.00%
16,GIK,07/27/20,10.02,10.02,9.98,9.99,1730,0.02,0.20%
17,GIK,07/24/20,9.97,9.97,9.97,9.97,100,0.0,0.00%
18,GIK,07/23/20,9.95,9.97,9.95,9.97,40000,0.02,0.20%
19,GIK,07/22/20,9.98,9.99,9.95,9.95,88580,0.0,0.00%
20,GIK,07/21/20,10.05,10.05,9.95,9.95,13851,0.0,0.00%
21,GIK,07/20/20,9.98,9.98,9.95,9.95,1427,-0.02,-0.20%
22,GIK,07/17/20,9.91,10.0,9.91,9.97,900,0.06,0.61%
23,GIK,07/16/20,9.92,9.92,9.91,9.91,556,0.0,0.00%
24,GIK,07/15/20,9.91,9.91,9.91,9.91,478,-0.09,-0.90%
25,GIK,07/14/20,9.98,10.0,9.89,10.0,5430,0.06,0.65%
26,GIK,07/13/20,10.0,10.0,9.935,9.935,7491,-0.03,-0.30%
27,GIK,07/10/20,9.9,9.965,9.88,9.965,13900,0.06,0.65%
28,GIK,07/09/20,9.95,9.95,9.9,9.9,4001,-0.1,-1.00%
29,GIK,07/08/20,9.9,10.03,9.873,10.0,201456,0.15,1.52%
30,GIK,07/07/20,10.0,10.0,9.79,9.85,32921,0.05,0.51%
31,GIK,07/06/20,9.95,9.95,9.8,9.8,38732,0.0,0.00%
