,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,GOLD,08/18/20,31.2,31.22,29.74,30.04,39263899,-0.09,-0.30%
1,GOLD,08/17/20,29.62,30.27,29.3,30.13,53904756,3.14,11.63%
2,GOLD,08/14/20,27.13,27.24,26.55,26.99,12635400,-0.15,-0.55%
3,GOLD,08/13/20,26.61,27.44,26.5,27.14,15100208,0.96,3.67%
4,GOLD,08/12/20,26.97,27.05,26.06,26.18,21885811,-0.25,-0.95%
5,GOLD,08/11/20,27.1,27.57,25.87,26.43,36270870,-2.29,-7.97%
6,GOLD,08/10/20,29.33,29.93,28.63,28.72,15880400,-0.15,-0.52%
7,GOLD,08/07/20,29.0,29.35,28.44,28.87,14680400,-0.63,-2.14%
8,GOLD,08/06/20,30.04,30.11,29.08,29.5,15351729,-0.34,-1.14%
9,GOLD,08/05/20,30.5,30.69,29.5,29.84,23674423,0.09,0.30%
10,GOLD,08/04/20,28.77,29.85,28.35,29.75,25641338,1.03,3.59%
11,GOLD,08/03/20,28.8,28.87,28.18,28.72,11518995,-0.19,-0.66%
12,GOLD,07/31/20,28.72,29.03,28.26,28.91,19817100,0.66,2.34%
13,GOLD,07/30/20,27.9,28.63,27.52,28.25,16062610,-0.53,-1.84%
14,GOLD,07/29/20,29.76,29.82,28.39,28.78,26167591,-0.81,-2.74%
15,GOLD,07/28/20,29.5,29.89,29.2,29.59,16888381,-0.32,-1.07%
16,GOLD,07/27/20,29.5,30.2,29.41,29.91,28237866,1.47,5.17%
17,GOLD,07/24/20,28.12,28.48,28.03,28.44,13356600,0.45,1.61%
18,GOLD,07/23/20,28.51,28.87,27.57,27.99,17491345,-0.53,-1.86%
19,GOLD,07/22/20,28.65,28.69,28.1,28.52,13551389,0.29,1.03%
20,GOLD,07/21/20,28.76,28.84,28.15,28.23,17395372,0.11,0.39%
21,GOLD,07/20/20,27.61,28.17,27.61,28.12,15055662,0.78,2.85%
22,GOLD,07/17/20,27.04,27.41,26.76,27.34,12312800,0.65,2.44%
23,GOLD,07/16/20,26.82,27.09,26.39,26.69,11706541,-0.4,-1.48%
24,GOLD,07/15/20,26.9,27.1,26.33,27.09,14007778,0.04,0.15%
25,GOLD,07/14/20,26.05,27.07,25.95,27.05,12751796,0.92,3.52%
26,GOLD,07/13/20,27.49,27.66,26.04,26.13,15520722,-0.98,-3.61%
27,GOLD,07/10/20,27.64,27.86,26.96,27.11,11545900,-0.48,-1.74%
28,GOLD,07/09/20,28.0,28.05,26.99,27.59,13000235,-0.13,-0.47%
29,GOLD,07/08/20,27.55,27.94,27.29,27.72,17426312,0.7,2.59%
30,GOLD,07/07/20,26.55,27.2,26.35,27.02,12198305,0.41,1.54%
31,GOLD,07/06/20,26.73,26.99,26.36,26.61,11286997,0.34,1.29%
32,GOLD,07/02/20,26.6,26.95,26.27,26.27,12824100,-0.54,-2.01%
33,GOLD,07/01/20,26.98,26.98,25.88,26.81,15632041,-0.13,-0.48%
34,GOLD,06/30/20,26.06,27.04,25.85,26.94,15367403,0.81,3.10%
35,GOLD,06/29/20,26.0,26.19,25.76,26.13,10293976,0.26,1.01%
36,GOLD,06/26/20,25.64,25.96,25.17,25.87,12116300,0.14,0.54%
37,GOLD,06/25/20,25.73,25.84,25.33,25.73,10060847,0.02,0.08%
38,GOLD,06/24/20,25.68,26.25,25.35,25.71,19748528,0.03,0.12%
39,GOLD,06/23/20,25.95,26.18,25.5,25.68,16204694,0.23,0.90%
40,GOLD,06/22/20,25.11,25.86,25.01,25.45,17409717,0.96,3.92%
41,GOLD,06/19/20,24.25,24.84,24.1,24.49,19198700,0.55,2.30%
42,GOLD,06/18/20,24.2,24.43,23.84,23.94,12561209,-0.31,-1.28%
43,GOLD,06/17/20,24.48,24.79,24.1,24.25,9230523,-0.13,-0.53%
44,GOLD,06/16/20,24.42,24.91,24.12,24.38,16294200,-0.36,-1.46%
45,GOLD,06/15/20,23.5,24.82,23.08,24.74,15844203,0.67,2.78%
46,GOLD,06/12/20,24.65,24.91,23.91,24.07,15344600,-0.24,-0.99%
47,GOLD,06/11/20,25.41,25.9,23.64,24.31,30967862,-0.77,-3.07%
48,GOLD,06/10/20,24.77,25.2,23.65,25.08,21895778,0.75,3.08%
49,GOLD,06/09/20,24.1,24.51,23.79,24.33,21506472,0.77,3.27%
50,GOLD,06/08/20,23.24,23.58,22.89,23.56,15539223,0.27,1.16%
51,GOLD,06/05/20,22.5,23.3,22.13,23.29,28169000,-0.14,-0.60%
52,GOLD,06/04/20,23.82,24.02,23.18,23.43,21951752,0.29,1.25%
53,GOLD,06/03/20,23.34,23.67,22.73,23.14,23435500,-0.81,-3.38%
54,GOLD,06/02/20,24.82,24.83,23.66,23.95,16056544,-0.83,-3.35%
55,GOLD,06/01/20,24.1,24.79,24.1,24.78,16386542,0.78,3.25%
56,GOLD,05/29/20,24.65,24.71,23.96,24.0,20339200,0.05,0.21%
57,GOLD,05/28/20,24.55,24.78,23.81,23.95,19105298,0.03,0.13%
58,GOLD,05/27/20,23.45,24.0,23.06,23.92,37009031,-0.81,-3.28%
59,GOLD,05/26/20,25.9,25.9,24.58,24.73,30225480,-1.59,-6.04%
60,GOLD,05/22/20,26.6,26.96,26.23,26.32,11271100,0.06,0.23%
61,GOLD,05/21/20,26.96,26.97,25.61,26.26,22009959,-0.99,-3.63%
62,GOLD,05/20/20,28.29,28.36,27.22,27.25,16285594,-0.85,-3.02%
63,GOLD,05/19/20,27.52,28.25,27.41,28.1,17808211,0.9,3.31%
64,GOLD,05/18/20,28.08,28.23,26.92,27.2,17289798,-0.84,-3.00%
65,GOLD,05/15/20,27.67,28.1,27.25,28.04,19240500,0.9,3.32%
66,GOLD,05/14/20,26.1,27.35,26.1,27.14,17391435,1.02,3.91%
67,GOLD,05/13/20,26.58,26.64,25.56,26.12,12912611,0.08,0.31%
68,GOLD,05/12/20,26.33,26.69,25.93,26.04,13106070,0.02,0.08%
69,GOLD,05/11/20,27.22,27.36,25.91,26.02,19129624,-1.37,-5.00%
70,GOLD,05/08/20,27.44,27.89,27.24,27.39,12740800,0.13,0.48%
71,GOLD,05/07/20,27.0,27.65,26.64,27.26,16305427,0.7,2.64%
72,GOLD,05/06/20,27.93,28.09,26.41,26.56,17040272,-1.63,-5.78%
73,GOLD,05/05/20,27.28,28.29,26.92,28.19,16827041,0.81,2.96%
74,GOLD,05/04/20,27.3,27.69,26.94,27.38,16473372,0.45,1.67%
75,GOLD,05/01/20,25.28,27.1,25.16,26.93,19597900,1.21,4.70%
76,GOLD,04/30/20,26.1,26.56,25.33,25.72,17780427,-0.83,-3.13%
77,GOLD,04/29/20,26.68,27.03,25.92,26.55,20799100,-0.41,-1.52%
78,GOLD,04/28/20,26.47,27.15,26.01,26.96,17129054,0.03,0.11%
79,GOLD,04/27/20,27.05,27.35,26.28,26.93,15219319,-0.17,-0.63%
80,GOLD,04/24/20,27.25,27.67,26.8,27.1,27633700,0.36,1.35%
81,GOLD,04/23/20,26.94,28.5,26.57,26.74,30854737,0.26,0.98%
82,GOLD,04/22/20,25.65,26.58,25.57,26.48,21025790,1.66,6.69%
83,GOLD,04/21/20,24.1,25.13,24.05,24.82,17324654,-0.1,-0.40%
84,GOLD,04/20/20,24.31,25.47,24.31,24.92,18039147,0.38,1.55%
85,GOLD,04/17/20,23.44,24.65,23.15,24.54,28513300,-0.46,-1.84%
86,GOLD,04/16/20,24.5,25.11,24.36,25.0,19291152,0.53,2.17%
87,GOLD,04/15/20,23.74,24.69,23.45,24.47,20332162,0.04,0.16%
88,GOLD,04/14/20,24.3,25.05,23.84,24.43,33194278,0.06,0.25%
89,GOLD,04/13/20,22.5,24.76,22.25,24.37,32980634,1.86,8.26%
90,GOLD,04/09/20,20.91,22.57,20.71,22.51,31777400,2.1,10.29%
91,GOLD,04/08/20,20.18,20.57,19.98,20.41,11598975,0.1,0.49%
92,GOLD,04/07/20,20.49,20.63,19.86,20.31,16499550,-0.24,-1.17%
93,GOLD,04/06/20,20.5,21.13,20.23,20.55,17441934,0.6,3.01%
94,GOLD,04/03/20,19.74,20.37,19.74,19.95,14226500,0.1,0.50%
95,GOLD,04/02/20,19.1,20.63,18.97,19.85,24911960,0.98,5.19%
96,GOLD,04/01/20,18.41,19.18,18.26,18.87,18070462,0.55,3.00%
97,GOLD,03/31/20,18.86,19.17,18.27,18.32,19298814,-0.97,-5.03%
98,GOLD,03/30/20,19.2,19.63,18.78,19.29,22511284,0.05,0.26%
99,GOLD,03/27/20,19.1,19.78,18.96,19.24,22450000,-0.34,-1.74%
100,GOLD,03/26/20,19.54,20.18,18.71,19.58,24263560,0.47,2.46%
101,GOLD,03/25/20,19.18,19.73,18.42,19.11,30959887,-0.39,-2.00%
102,GOLD,03/24/20,18.78,19.77,18.13,19.5,34567978,2.57,15.18%
103,GOLD,03/23/20,16.4,17.87,16.37,16.93,33798378,1.05,6.61%
104,GOLD,03/20/20,16.66,17.0,15.54,15.88,20170800,-0.2,-1.24%
105,GOLD,03/19/20,15.53,17.84,14.0,16.08,22988880,0.2,1.26%
106,GOLD,03/18/20,17.08,17.98,15.44,15.88,30231039,-1.83,-10.33%
107,GOLD,03/17/20,16.21,18.59,16.13,17.71,32052869,1.38,8.45%
108,GOLD,03/16/20,13.21,17.15,12.65,16.33,36612382,0.66,4.21%
109,GOLD,03/13/20,17.45,17.61,15.06,15.67,31110700,-1.21,-7.17%
110,GOLD,03/12/20,16.97,18.0,15.47,16.88,33547800,-1.91,-10.16%
111,GOLD,03/11/20,19.53,19.9,18.51,18.79,22066780,-1.08,-5.44%
112,GOLD,03/10/20,20.05,20.43,19.08,19.87,22959828,-0.06,-0.30%
113,GOLD,03/09/20,20.51,20.9,19.9,19.93,23624656,-1.3,-6.12%
114,GOLD,03/06/20,21.52,21.83,20.42,21.23,28052900,0.07,0.33%
115,GOLD,03/05/20,20.88,21.36,20.63,21.16,27895972,0.61,2.97%
116,GOLD,03/04/20,21.0,21.05,20.16,20.55,23262850,-0.07,-0.34%
117,GOLD,03/03/20,20.18,21.27,19.7,20.62,32428494,0.76,3.83%
118,GOLD,03/02/20,19.42,19.94,19.14,19.86,25291139,0.82,4.31%
119,GOLD,02/28/20,18.35,19.13,18.03,19.04,40589900,-0.74,-3.74%
120,GOLD,02/27/20,21.38,21.45,19.68,19.78,28271503,-1.31,-6.21%
121,GOLD,02/26/20,21.0,21.38,20.89,21.09,18550669,-0.16,-0.75%
122,GOLD,02/25/20,21.7,22.08,21.24,21.25,26492826,-0.78,-3.54%
123,GOLD,02/24/20,22.5,22.57,21.73,22.03,29159588,0.59,2.75%
124,GOLD,02/21/20,21.45,21.61,21.17,21.44,19956000,0.67,3.23%
125,GOLD,02/20/20,20.94,21.31,20.72,20.77,16588406,-0.23,-1.10%
126,GOLD,02/19/20,20.81,21.04,20.4,21.0,20176316,0.42,2.04%
127,GOLD,02/18/20,19.85,20.65,19.75,20.58,27961985,0.86,4.36%
128,GOLD,02/14/20,19.0,19.73,18.93,19.72,20194300,0.79,4.17%
129,GOLD,02/13/20,18.58,19.17,18.55,18.93,15263359,0.52,2.82%
130,GOLD,02/12/20,18.51,18.68,18.2,18.41,11827237,-0.03,-0.16%
131,GOLD,02/11/20,18.37,18.64,18.26,18.44,10381415,0.01,0.05%
132,GOLD,02/10/20,18.26,18.52,18.16,18.43,8164852,0.24,1.32%
133,GOLD,02/07/20,18.45,18.56,18.08,18.19,8733600,-0.16,-0.87%
134,GOLD,02/06/20,18.12,18.49,18.05,18.35,7471295,0.33,1.83%
135,GOLD,02/05/20,18.0,18.17,17.96,18.02,7386154,0.0,0.00%
136,GOLD,02/04/20,18.01,18.15,17.63,18.02,15578567,-0.26,-1.42%
137,GOLD,02/03/20,18.37,18.45,18.09,18.28,11758482,-0.24,-1.30%
138,GOLD,01/31/20,18.48,18.74,18.42,18.52,11002400,0.08,0.43%
139,GOLD,01/30/20,18.42,18.65,18.25,18.44,13837766,0.07,0.38%
140,GOLD,01/29/20,18.09,18.4,17.93,18.37,8479499,0.37,2.06%
141,GOLD,01/28/20,18.4,18.5,17.85,18.0,16122705,-0.62,-3.33%
142,GOLD,01/27/20,19.0,19.17,18.45,18.62,21289198,-0.09,-0.48%
143,GOLD,01/24/20,18.45,18.75,18.35,18.71,14750800,0.28,1.52%
144,GOLD,01/23/20,18.21,18.68,18.18,18.43,13181489,0.14,0.77%
145,GOLD,01/22/20,18.34,18.4,18.17,18.29,10563204,-0.06,-0.33%
146,GOLD,01/21/20,17.96,18.35,17.93,18.35,14614030,0.4,2.23%
147,GOLD,01/17/20,18.13,18.21,17.76,17.95,9789200,-0.14,-0.77%
148,GOLD,01/16/20,18.0,18.1,17.74,18.09,10175692,0.19,1.06%
149,GOLD,01/15/20,17.75,17.98,17.56,17.9,10445073,0.34,1.94%
