,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,GOOGL,08/18/20,1526,1557,1522,1556,1418502,39.54,2.61%
1,GOOGL,08/17/20,1516,1524,1505,1516,999618,11.61,0.77%
2,GOOGL,08/14/20,1514,1520,1499,1505,1097000,-12.02,-0.79%
3,GOOGL,08/13/20,1508,1537,1508,1517,1119447,9.41,0.62%
4,GOOGL,08/12/20,1487,1512,1485,1507,1125672,26.7,1.80%
5,GOOGL,08/11/20,1494,1510,1478,1481,1554117,-16.28,-1.09%
6,GOOGL,08/10/20,1491,1507,1477,1497,1027027,-1.55,-0.10%
7,GOOGL,08/07/20,1509,1520,1486,1498,1386200,-6.58,-0.44%
8,GOOGL,08/06/20,1476,1506,1472,1505,1665034,25.86,1.75%
9,GOOGL,08/05/20,1477,1490,1471,1479,1457411,5.79,0.39%
10,GOOGL,08/04/20,1487,1493,1464,1473,1859676,-9.46,-0.64%
11,GOOGL,08/03/20,1491,1498,1472,1483,2275263,-5.19,-0.35%
12,GOOGL,07/31/20,1497,1505,1454,1488,4576300,-50.42,-3.28%
13,GOOGL,07/30/20,1498,1541,1495,1538,1798833,14.86,0.98%
14,GOOGL,07/29/20,1505,1533,1503,1524,1133258,19.86,1.32%
15,GOOGL,07/28/20,1525,1526,1501,1504,1545385,-25.78,-1.69%
16,GOOGL,07/27/20,1513,1538,1512,1529,1355977,21.22,1.41%
17,GOOGL,07/24/20,1499,1515,1488,1508,1495300,-8.54,-0.56%
18,GOOGL,07/23/20,1566,1570,1509,1517,1694501,-48.1,-3.07%
19,GOOGL,07/22/20,1556,1567,1543,1565,1223843,8.93,0.57%
20,GOOGL,07/21/20,1585,1587,1553,1556,1376072,-7.92,-0.51%
21,GOOGL,07/20/20,1515,1569,1503,1564,1507855,46.99,3.10%
22,GOOGL,07/17/20,1517,1523,1498,1517,1713200,1.93,0.13%
23,GOOGL,07/16/20,1502,1516,1488,1515,1323822,-1.96,-0.13%
24,GOOGL,07/15/20,1523,1536,1498,1517,1551168,-3.98,-0.26%
25,GOOGL,07/14/20,1493,1523,1486,1521,1904237,8.63,0.57%
26,GOOGL,07/13/20,1550,1576,1507,1512,2147334,-26.78,-1.74%
27,GOOGL,07/10/20,1513,1541,1501,1539,1796000,20.35,1.34%
28,GOOGL,07/09/20,1510,1529,1496,1519,2091572,12.21,0.81%
