,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,8.25,8.65,8.05,8.5,8.5,2100
1,2015-09-01,8.45,8.55,8.45,8.5,8.5,4400
2,2015-09-02,8.5,8.55,8.35,8.45,8.45,8500
3,2015-09-03,8.7,8.7,8.25,8.5,8.5,6100
4,2015-09-04,8.4,8.55,8.1,8.1,8.1,14900
5,2015-09-08,8.35,8.35,7.9,7.9,7.9,17600
6,2015-09-09,8.0,8.25,7.95,8.2,8.2,9800
7,2015-09-10,8.15,8.25,7.9,7.95,7.95,16000
8,2015-09-11,7.95,8.3,7.95,7.95,7.95,13000
9,2015-09-14,7.9,8.25,7.75,7.9,7.9,10600
10,2015-09-15,8.0,8.0,7.5,7.55,7.55,25000
11,2015-09-16,7.55,7.75,7.45,7.6,7.6,9500
12,2015-09-17,7.6,7.6,7.45,7.55,7.55,9800
13,2015-09-18,7.5,7.65,7.25,7.6,7.6,30200
14,2015-09-21,7.65,7.65,7.4,7.45,7.45,7300
15,2015-09-22,7.25,7.4,7.05,7.2,7.2,3000
16,2015-09-23,7.25,7.5,7.25,7.4,7.4,8800
17,2015-09-24,7.25,7.4,7.15,7.35,7.35,1600
18,2015-09-25,7.2,7.35,7.1,7.15,7.15,4800
19,2015-09-28,7.25,7.25,6.9,7.0,7.0,16400
20,2015-09-29,7.0,7.1,6.8,6.95,6.95,12600
21,2015-09-30,6.95,7.15,6.95,7.05,7.05,4200
22,2015-10-01,6.9,7.35,6.75,6.8,6.8,17100
23,2015-10-02,7.05,7.05,6.55,6.8,6.8,28200
24,2015-10-05,6.9,7.8,6.9,7.7,7.7,11800
25,2015-10-06,7.7,7.9,7.35,7.9,7.9,9600
26,2015-10-07,7.95,8.75,7.95,8.3,8.3,15800
27,2015-10-08,8.45,9.0,8.45,8.9,8.9,20500
28,2015-10-09,9.05,9.3,8.5,8.6,8.6,5900
29,2015-10-12,8.75,8.9,8.55,8.65,8.65,6400
30,2015-10-13,8.45,9.15,8.3,8.95,8.95,19900
31,2015-10-14,8.85,9.0,8.65,8.75,8.75,9100
32,2015-10-15,8.75,8.75,8.45,8.65,8.65,6000
33,2015-10-16,8.65,8.95,8.6,8.9,8.9,7100
34,2015-10-19,8.8,8.95,8.65,8.85,8.85,3400
