,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,HBP,08/18/20,2.35,2.41,2.26,2.35,100205,0.0,0.00%
1,HBP,08/17/20,2.47,2.48,2.3,2.35,119722,-0.07,-2.89%
2,HBP,08/14/20,2.41,2.45,2.39,2.42,68000,0.03,1.26%
3,HBP,08/13/20,2.42,2.42,2.3,2.39,70765,-0.01,-0.42%
4,HBP,08/12/20,2.41,2.45,2.38,2.4,66289,-0.02,-0.83%
5,HBP,08/11/20,2.36,2.49,2.35,2.42,181253,-0.03,-1.22%
6,HBP,08/10/20,2.51,2.51,2.34,2.45,479123,-0.06,-2.39%
7,HBP,08/07/20,2.34,2.6,2.22,2.51,4544900,0.86,52.12%
8,HBP,08/06/20,1.78,1.85,1.6,1.65,622834,-0.22,-11.76%
9,HBP,08/05/20,1.85,1.9,1.7,1.87,322616,-0.05,-2.60%
10,HBP,08/04/20,1.7,1.94,1.53,1.92,1332495,-0.43,-18.30%
11,HBP,08/03/20,2.31,2.6,2.0,2.35,1945280,0.11,4.91%
12,HBP,07/31/20,1.99,3.0,1.85,2.24,8494600,0.58,34.94%
13,HBP,07/30/20,1.35,1.85,1.33,1.66,492296,0.32,23.88%
14,HBP,07/29/20,1.54,1.54,1.34,1.34,7712,0.0,0.00%
15,HBP,07/28/20,1.47,1.6,1.34,1.34,44373,-0.05,-3.60%
16,HBP,07/27/20,1.2,1.4,1.18,1.39,521309,0.17,13.93%
17,HBP,07/24/20,1.25,1.25,1.19,1.22,8600,-0.02,-1.60%
18,HBP,07/23/20,1.21,1.25,1.14,1.24,92691,0.04,3.33%
19,HBP,07/22/20,1.22,1.22,1.19,1.2,33284,-0.02,-1.50%
20,HBP,07/21/20,1.29,1.31,1.2,1.218,59646,-0.06,-4.82%
21,HBP,07/20/20,1.2,1.29,1.2,1.28,53906,0.07,5.79%
22,HBP,07/17/20,1.23,1.31,1.2,1.21,49100,-0.06,-4.72%
23,HBP,07/16/20,1.22,1.29,1.18,1.27,34078,0.07,5.83%
24,HBP,07/15/20,1.15,1.2,1.15,1.2,42295,0.03,2.56%
25,HBP,07/14/20,1.23,1.23,1.135,1.17,14432,-0.02,-1.68%
26,HBP,07/13/20,1.15,1.26,1.15,1.19,36903,0.04,3.48%
27,HBP,07/10/20,1.18,1.18,1.15,1.15,37800,-0.05,-4.17%
28,HBP,07/09/20,1.16,1.22,1.16,1.2,31537,0.0,0.00%
29,HBP,07/08/20,1.24,1.26,1.14,1.2,24643,-0.03,-2.44%
30,HBP,07/07/20,1.11,1.38,1.11,1.23,157904,0.09,7.89%
31,HBP,07/06/20,1.11,1.16,1.11,1.14,10751,0.01,0.49%
32,HBP,07/02/20,1.15,1.15,1.11,1.1340000000000001,15900,0.05,5.04%
33,HBP,07/01/20,1.16,1.17,1.05,1.08,35448,-0.05,-4.42%
34,HBP,06/30/20,1.123,1.2,1.123,1.13,10589,0.0,0.00%
