,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,HCXZ,08/18/20,25.84,26.12,25.84,26.0,2303,-0.45,-1.70%
1,HCXZ,08/17/20,26.03,26.6,25.86,26.45,6465,0.38,1.46%
2,HCXZ,08/14/20,25.51,26.59,25.51,26.07,8000,0.34,1.32%
3,HCXZ,08/13/20,25.3,25.73,25.3,25.73,3096,0.46,1.82%
4,HCXZ,08/12/20,25.01,25.3,25.0,25.27,8993,-0.03,-0.12%
5,HCXZ,08/11/20,25.3,25.3,25.3,25.3,1068,0.15,0.60%
6,HCXZ,08/10/20,25.3,25.3,25.15,25.15,1100,-0.15,-0.59%
7,HCXZ,08/07/20,24.99,25.3,24.99,25.3,10700,0.05,0.20%
8,HCXZ,08/06/20,24.95,25.25,24.95,25.25,5451,0.25,1.00%
9,HCXZ,08/05/20,25.0,25.0,24.93,25.0,33606,0.0,0.00%
10,HCXZ,08/04/20,24.83,25.0,24.83,25.0,19838,0.0,0.00%
11,HCXZ,08/03/20,25.0,25.0,24.92,25.0,20747,-0.0,-0.00%
12,HCXZ,07/31/20,24.82,25.0,24.82,25.0,5200,0.18,0.73%
13,HCXZ,07/30/20,25.0,25.0,24.75,24.82,8647,-0.18,-0.72%
14,HCXZ,07/29/20,25.0,25.0,25.0,25.0,789,0.0,0.00%
15,HCXZ,07/28/20,24.99,25.0,24.71,25.0,1573,0.0,0.00%
16,HCXZ,07/27/20,24.51,25.0,24.5,25.0,3829,0.55,2.25%
17,HCXZ,07/24/20,24.5,24.72,24.45,24.45,10300,-0.25,-1.01%
18,HCXZ,07/23/20,24.66,24.75,24.5,24.7,5832,0.04,0.17%
19,HCXZ,07/22/20,24.85,24.85,24.15,24.66,15166,-0.32,-1.27%
20,HCXZ,07/21/20,24.88,24.98,24.8,24.98,10250,0.08,0.30%
21,HCXZ,07/20/20,24.8,24.9,24.8,24.9,2316,0.05,0.20%
22,HCXZ,07/17/20,24.45,24.85,24.4,24.85,2400,0.25,1.02%
23,HCXZ,07/16/20,24.56,24.6,24.5,24.6,633,0.0,0.00%
24,HCXZ,07/15/20,24.4,24.6,24.4,24.6,626,0.17,0.70%
25,HCXZ,07/14/20,24.7,24.7,24.27,24.43,691,-0.44,-1.77%
26,HCXZ,07/13/20,24.61,24.9,24.6,24.87,2722,-0.03,-0.12%
27,HCXZ,07/10/20,24.85,24.9,24.3,24.9,4100,0.3,1.22%
28,HCXZ,07/09/20,24.81,24.81,24.5,24.6,1032,0.2,0.82%
29,HCXZ,07/08/20,24.75,24.75,24.26,24.4,3128,-0.5,-2.01%
30,HCXZ,07/07/20,24.76,24.9,24.75,24.9,3155,0.1,0.40%
31,HCXZ,07/06/20,24.8,24.8,24.8,24.8,360,-0.1,-0.40%
32,HCXZ,07/02/20,24.8,24.9,24.8,24.9,2400,0.0,0.00%
33,HCXZ,07/01/20,24.56,24.9,24.56,24.9,2337,-0.05,-0.20%
34,HCXZ,06/30/20,24.55,24.95,24.54,24.95,1531,0.05,0.20%
35,HCXZ,06/29/20,24.74,25.25,24.64,24.9,4463,0.1,0.40%
36,HCXZ,06/26/20,24.6,24.8,24.4,24.8,2400,-0.05,-0.20%
37,HCXZ,06/25/20,24.85,24.85,24.85,24.85,576,0.15,0.60%
38,HCXZ,06/24/20,24.52,24.99,24.26,24.7,4300,0.03,0.14%
39,HCXZ,06/23/20,24.43,25.0,24.43,24.67,3787,-0.28,-1.14%
40,HCXZ,06/22/20,24.97,24.99,24.4,24.95,5779,0.21,0.84%
41,HCXZ,06/19/20,24.52,24.99,24.52,24.74,6500,-0.26,-1.04%
42,HCXZ,06/18/20,24.96,25.25,24.96,25.0,3863,0.0,0.00%
43,HCXZ,06/17/20,25.0,25.19,25.0,25.0,2908,-0.25,-0.99%
44,HCXZ,06/16/20,24.74,25.25,24.31,25.25,2510,1.14,4.73%
45,HCXZ,06/15/20,24.56,24.56,24.11,24.11,481,-0.79,-3.17%
46,HCXZ,06/12/20,24.43,25.0,24.43,24.9,2500,0.79,3.28%
47,HCXZ,06/11/20,24.56,24.87,24.11,24.11,9407,-0.77,-3.09%
48,HCXZ,06/10/20,25.0,25.0,24.73,24.88,2593,0.08,0.32%
49,HCXZ,06/09/20,24.77,24.8,24.77,24.8,524,-0.2,-0.80%
50,HCXZ,06/08/20,25.19,25.25,25.0,25.0,2950,-0.15,-0.60%
51,HCXZ,06/05/20,25.09,25.15,24.62,25.15,4500,0.27,1.09%
52,HCXZ,06/04/20,24.9,24.9,24.65,24.88,3847,-0.11,-0.44%
53,HCXZ,06/03/20,24.95,24.99,24.52,24.99,5395,-0.01,-0.04%
54,HCXZ,06/02/20,25.26,25.35,25.0,25.0,2793,-0.3,-1.19%
55,HCXZ,06/01/20,24.88,25.88,24.88,25.3,3647,0.3,1.20%
56,HCXZ,05/29/20,24.8,25.06,24.78,25.0,10800,0.15,0.61%
57,HCXZ,05/28/20,24.8,24.91,24.8,24.85,3688,0.05,0.20%
58,HCXZ,05/27/20,24.79,24.9,24.79,24.8,1385,0.51,2.09%
59,HCXZ,05/26/20,24.8,24.85,24.29,24.29,1317,-0.56,-2.24%
60,HCXZ,05/22/20,24.45,25.0,24.45,24.85,8000,0.35,1.43%
61,HCXZ,05/21/20,24.5,24.5,24.29,24.5,1772,0.0,0.00%
62,HCXZ,05/20/20,23.98,24.5,23.74,24.5,1827,0.91,3.84%
63,HCXZ,05/19/20,24.18,24.55,23.59,23.59,3150,-0.41,-1.69%
64,HCXZ,05/18/20,23.54,24.0,23.15,24.0,5122,0.8,3.45%
65,HCXZ,05/15/20,23.9,23.94,23.2,23.2,3200,-0.39,-1.67%
66,HCXZ,05/14/20,23.76,23.76,23.59,23.59,1256,-0.73,-2.99%
67,HCXZ,05/13/20,24.01,24.56,23.4,24.32,6295,-0.08,-0.32%
68,HCXZ,05/12/20,23.85,24.5,23.68,24.4,3369,-0.3,-1.21%
69,HCXZ,05/11/20,24.7,24.7,24.7,24.7,410,0.2,0.82%
70,HCXZ,05/08/20,24.25,24.5,23.92,24.5,6500,0.5,2.08%
71,HCXZ,05/07/20,23.7,24.0,23.65,24.0,4051,0.26,1.10%
72,HCXZ,05/06/20,23.8,23.8,23.66,23.74,3257,-0.06,-0.25%
73,HCXZ,05/05/20,23.59,24.0,23.4,23.8,11875,0.4,1.70%
74,HCXZ,05/04/20,23.4,23.4,23.25,23.4,1916,-0.02,-0.10%
75,HCXZ,05/01/20,23.25,23.42,23.25,23.42,3600,-0.28,-1.16%
76,HCXZ,04/30/20,23.75,23.77,23.3,23.7,5383,0.05,0.23%
77,HCXZ,04/29/20,23.7,23.75,23.52,23.65,2542,0.29,1.26%
78,HCXZ,04/28/20,23.23,23.5,23.04,23.35,7836,0.34,1.47%
79,HCXZ,04/27/20,23.3,23.3,22.9,23.02,3035,0.14,0.59%
80,HCXZ,04/24/20,22.66,22.89,22.66,22.88,800,-0.14,-0.61%
81,HCXZ,04/23/20,22.42,23.02,22.42,23.02,1961,0.27,1.19%
82,HCXZ,04/22/20,22.59,23.2,22.5,22.75,11754,-0.03,-0.14%
83,HCXZ,04/21/20,22.4,23.34,22.4,22.78,2148,-0.02,-0.08%
84,HCXZ,04/20/20,23.34,23.34,22.78,22.8,3450,-0.5,-2.15%
85,HCXZ,04/17/20,23.0,23.34,22.95,23.3,7000,-0.0,-0.00%
86,HCXZ,04/16/20,23.1,23.34,23.1,23.3,2959,-0.45,-1.89%
87,HCXZ,04/15/20,23.1,23.75,23.1,23.75,2283,0.75,3.26%
88,HCXZ,04/14/20,22.69,24.0,22.69,23.0,4513,0.26,1.14%
89,HCXZ,04/13/20,22.9,22.9,22.59,22.74,774,-0.85,-3.60%
90,HCXZ,04/09/20,23.1,23.59,22.9,23.59,5800,0.85,3.74%
91,HCXZ,04/08/20,22.73,22.94,22.5,22.74,9350,0.37,1.65%
92,HCXZ,04/07/20,23.99,24.0,22.37,22.37,3804,-0.63,-2.74%
93,HCXZ,04/06/20,23.0,23.5,23.0,23.0,2628,0.1,0.44%
94,HCXZ,04/03/20,22.06,22.94,22.06,22.9,5600,0.6,2.69%
95,HCXZ,04/02/20,22.05,23.5,22.05,22.3,3012,0.15,0.68%
96,HCXZ,04/01/20,22.05,22.45,21.95,22.15,4869,-2.35,-9.59%
97,HCXZ,03/31/20,23.47,24.5,23.0,24.5,2959,0.85,3.59%
98,HCXZ,03/30/20,22.19,23.65,22.19,23.65,3005,0.62,2.69%
99,HCXZ,03/27/20,23.0,23.13,22.16,23.03,3100,0.53,2.36%
100,HCXZ,03/26/20,21.99,23.84,21.89,22.5,5702,1.59,7.60%
101,HCXZ,03/25/20,21.86,22.91,20.91,20.91,6991,-0.96,-4.39%
102,HCXZ,03/24/20,19.0,23.48,19.0,21.87,6000,3.41,18.47%
103,HCXZ,03/23/20,20.26,20.26,18.43,18.46,6693,-3.54,-16.09%
104,HCXZ,03/20/20,19.81,22.88,19.81,22.0,9100,0.91,4.31%
105,HCXZ,03/19/20,19.5,21.09,18.35,21.09,6625,1.21,6.09%
106,HCXZ,03/18/20,22.6,22.84,19.88,19.88,24276,-3.18,-13.79%
107,HCXZ,03/17/20,22.6,24.7,22.6,23.06,13123,0.23,1.01%
108,HCXZ,03/16/20,24.0,24.0,22.59,22.83,7503,-2.17,-8.68%
109,HCXZ,03/13/20,25.0,25.32,23.8,25.0,11200,-0.15,-0.60%
110,HCXZ,03/12/20,26.15,26.15,24.75,25.15,30845,-1.0,-3.82%
111,HCXZ,03/11/20,26.2,26.2,25.55,26.15,8894,0.0,0.00%
112,HCXZ,03/10/20,25.66,26.15,25.3,26.15,6035,0.6,2.35%
113,HCXZ,03/09/20,26.0,26.04,25.44,25.55,15180,-0.77,-2.93%
114,HCXZ,03/06/20,26.19,26.78,26.1,26.32,26800,-0.13,-0.49%
115,HCXZ,03/05/20,26.71,26.88,26.44,26.45,39538,-0.75,-2.76%
116,HCXZ,03/04/20,25.9,27.36,25.62,27.2,42360,1.29,4.98%
117,HCXZ,03/03/20,25.57,25.91,25.57,25.91,1425,0.07,0.25%
118,HCXZ,03/02/20,25.31,25.84,25.31,25.84,1869,0.44,1.75%
119,HCXZ,02/28/20,25.65,25.83,25.32,25.4,9500,-0.43,-1.66%
120,HCXZ,02/27/20,26.0,26.01,25.65,25.83,6155,-0.22,-0.84%
121,HCXZ,02/26/20,26.24,26.24,25.75,26.05,4307,-0.19,-0.72%
122,HCXZ,02/25/20,25.75,26.25,25.75,26.24,16646,0.26,1.00%
123,HCXZ,02/24/20,26.07,26.07,25.79,25.98,6326,-0.09,-0.35%
124,HCXZ,02/21/20,25.93,26.08,25.8,26.07,8800,0.03,0.12%
125,HCXZ,02/20/20,25.91,26.07,25.8,26.04,4777,0.05,0.19%
126,HCXZ,02/19/20,26.08,26.14,25.98,25.99,1524,0.01,0.04%
127,HCXZ,02/18/20,25.82,26.02,25.82,25.98,2519,-0.05,-0.19%
128,HCXZ,02/14/20,25.82,26.08,25.82,26.03,1600,-0.07,-0.27%
129,HCXZ,02/13/20,25.93,26.12,25.9,26.1,4650,0.11,0.42%
130,HCXZ,02/12/20,25.95,26.17,25.95,25.99,11217,-0.26,-0.99%
131,HCXZ,02/11/20,25.85,26.25,25.83,26.25,3174,0.35,1.35%
132,HCXZ,02/10/20,25.9,26.08,25.9,25.9,35992,0.03,0.12%
133,HCXZ,02/07/20,25.78,25.87,25.77,25.87,1500,-0.08,-0.31%
134,HCXZ,02/06/20,25.95,25.95,25.86,25.95,3394,0.13,0.50%
135,HCXZ,02/05/20,25.95,25.95,25.77,25.82,1584,-0.16,-0.61%
136,HCXZ,02/04/20,26.1,26.2,25.76,25.98,10448,0.09,0.35%
137,HCXZ,02/03/20,25.87,25.89,25.71,25.89,1669,0.18,0.70%
138,HCXZ,01/31/20,25.7,25.85,25.7,25.71,6500,0.06,0.23%
139,HCXZ,01/30/20,25.66,25.72,25.65,25.65,3233,-0.16,-0.62%
140,HCXZ,01/29/20,25.99,25.99,25.66,25.81,10149,-0.19,-0.73%
141,HCXZ,01/28/20,25.99,26.01,25.81,26.0,5286,0.22,0.85%
