,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,HEES,08/18/20,20.88,21.14,20.23,20.3,267731,-0.73,-3.47%
1,HEES,08/17/20,21.35,21.65,20.97,21.03,209132,-0.3,-1.41%
2,HEES,08/14/20,21.16,21.55,21.07,21.33,262200,-0.01,-0.05%
3,HEES,08/13/20,21.22,21.79,21.22,21.34,225701,-0.14,-0.65%
4,HEES,08/12/20,21.5,21.98,21.05,21.48,189025,0.26,1.23%
5,HEES,08/11/20,21.33,22.18,21.06,21.22,382794,0.18,0.86%
6,HEES,08/10/20,20.33,21.31,20.18,21.04,441800,0.96,4.78%
7,HEES,08/07/20,19.61,20.1,19.51,20.08,463400,0.37,1.88%
8,HEES,08/06/20,19.97,20.04,19.64,19.71,210837,-0.19,-0.93%
9,HEES,08/05/20,19.52,20.18,19.29,19.89,268502,0.38,1.92%
10,HEES,08/04/20,19.42,20.33,18.56,19.52,512234,1.47,8.14%
11,HEES,08/03/20,17.55,18.17,17.55,18.05,175288,0.46,2.62%
12,HEES,07/31/20,17.74,17.84,17.16,17.59,218400,-0.38,-2.11%
13,HEES,07/30/20,18.17,18.49,17.68,17.97,133185,-0.59,-3.18%
14,HEES,07/29/20,18.01,18.61,17.93,18.56,180299,0.75,4.21%
15,HEES,07/28/20,18.38,18.66,17.8,17.81,164206,-0.72,-3.89%
16,HEES,07/27/20,18.21,18.53,18.0,18.53,121191,0.26,1.42%
17,HEES,07/24/20,18.9,19.01,18.23,18.27,172600,-0.67,-3.54%
18,HEES,07/23/20,18.66,19.03,18.63,18.94,181516,0.13,0.69%
19,HEES,07/22/20,18.57,18.92,18.35,18.81,116342,0.06,0.32%
20,HEES,07/21/20,18.37,19.02,18.37,18.75,267145,0.51,2.80%
21,HEES,07/20/20,18.67,18.85,18.15,18.24,136971,-0.58,-3.08%
22,HEES,07/17/20,18.97,19.4,18.51,18.82,285100,-0.19,-1.00%
23,HEES,07/16/20,18.63,19.09,18.44,19.01,221179,0.16,0.85%
24,HEES,07/15/20,18.5,19.05,18.26,18.85,292119,0.79,4.37%
25,HEES,07/14/20,17.6,18.11,17.28,18.06,211906,0.42,2.38%
26,HEES,07/13/20,17.46,18.09,17.0,17.64,245873,0.43,2.50%
27,HEES,07/10/20,16.8,17.37,16.79,17.21,196200,0.42,2.50%
28,HEES,07/09/20,17.54,17.89,16.78,16.79,169586,-0.83,-4.71%
29,HEES,07/08/20,17.43,17.95,17.09,17.62,232306,0.09,0.48%
30,HEES,07/07/20,18.15,18.19,17.5,17.54,338054,-0.88,-4.75%
31,HEES,07/06/20,18.49,18.76,18.04,18.41,194292,0.41,2.28%
32,HEES,07/02/20,18.07,18.83,17.87,18.0,291200,0.51,2.92%
33,HEES,07/01/20,18.6,19.1,17.45,17.49,289193,-0.99,-5.36%
34,HEES,06/30/20,18.26,18.58,17.51,18.48,413498,0.06,0.33%
35,HEES,06/29/20,17.71,18.6,17.7,18.42,405262,0.96,5.50%
36,HEES,06/26/20,17.08,17.66,16.89,17.46,1025500,0.17,0.98%
37,HEES,06/25/20,16.82,17.37,16.42,17.29,305262,0.43,2.52%
38,HEES,06/24/20,17.59,17.82,16.48,16.86,367679,-1.0,-5.57%
39,HEES,06/23/20,18.34,18.34,17.5,17.86,209378,-0.13,-0.72%
40,HEES,06/22/20,17.8,18.16,17.51,17.99,213584,-0.05,-0.28%
41,HEES,06/19/20,18.47,18.84,17.66,18.04,420600,-0.13,-0.72%
42,HEES,06/18/20,18.27,18.91,18.0,18.17,258975,-0.33,-1.78%
43,HEES,06/17/20,19.47,19.47,18.37,18.5,300809,-0.99,-5.08%
44,HEES,06/16/20,19.02,19.95,18.8,19.49,676172,1.59,8.88%
45,HEES,06/15/20,17.06,18.07,16.87,17.9,292523,0.11,0.62%
46,HEES,06/12/20,18.76,19.19,17.19,17.79,419900,0.39,2.24%
47,HEES,06/11/20,18.25,18.75,17.35,17.4,408159,-2.6,-13.02%
48,HEES,06/10/20,20.59,20.69,19.58,20.0,316686,-0.75,-3.59%
49,HEES,06/09/20,20.47,21.28,20.32,20.75,458629,-1.11,-5.08%
50,HEES,06/08/20,21.33,21.96,20.94,21.86,488401,0.96,4.59%
51,HEES,06/05/20,20.14,21.67,19.86,20.9,634200,2.0,10.58%
52,HEES,06/04/20,18.2,19.05,17.93,18.9,341120,0.56,3.05%
53,HEES,06/03/20,18.24,19.1,18.2,18.34,779720,0.37,2.06%
54,HEES,06/02/20,17.09,18.21,17.05,17.97,440486,1.11,6.58%
55,HEES,06/01/20,17.04,17.52,16.84,16.86,275785,-0.28,-1.63%
56,HEES,05/29/20,16.91,17.51,16.41,17.14,342500,-0.42,-2.39%
57,HEES,05/28/20,18.16,18.16,17.41,17.56,354816,-0.34,-1.90%
58,HEES,05/27/20,17.95,18.27,16.9,17.9,693672,0.52,2.99%
59,HEES,05/26/20,15.83,17.54,15.49,17.38,543986,2.29,15.18%
60,HEES,05/22/20,15.32,15.32,14.68,15.09,227500,-0.12,-0.79%
61,HEES,05/21/20,15.38,15.62,15.01,15.21,204050,-0.1,-0.65%
62,HEES,05/20/20,15.13,15.57,14.92,15.31,266802,0.82,5.66%
63,HEES,05/19/20,15.35,15.41,14.48,14.49,210935,-0.97,-6.27%
64,HEES,05/18/20,14.25,15.54,14.25,15.46,512299,1.96,14.52%
65,HEES,05/15/20,13.01,13.71,12.9,13.5,294900,0.36,2.74%
66,HEES,05/14/20,12.36,13.15,11.82,13.14,549714,0.56,4.45%
67,HEES,05/13/20,13.25,13.3,12.36,12.58,424377,-0.73,-5.48%
68,HEES,05/12/20,14.4,14.64,13.29,13.31,527111,-1.1,-7.63%
69,HEES,05/11/20,14.8,14.84,13.76,14.41,559882,-0.69,-4.57%
70,HEES,05/08/20,14.11,15.65,13.78,15.1,743700,0.43,2.93%
71,HEES,05/07/20,14.11,14.67,14.04,14.67,326237,0.81,5.84%
72,HEES,05/06/20,14.76,15.13,13.84,13.86,229338,-0.89,-6.03%
