,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-19,15.56,15.61,15.49,15.56,9.838402,41500
1,2015-08-20,15.46,15.46,15.3,15.31,9.680325999999999,33500
2,2015-08-21,15.22,15.29,15.11,15.11,9.553872,109600
3,2015-08-24,15.01,15.8,14.54,14.62,9.244050999999999,309500
4,2015-08-25,14.8,14.97,14.63,14.67,9.275664,69300
5,2015-08-26,14.77,14.87,14.69,14.87,9.402122,46300
6,2015-08-27,14.98,15.15,14.98,15.11,9.553872,52900
7,2015-08-28,15.01,15.2,15.01,15.2,9.610778,21100
8,2015-08-31,15.16,15.25,15.04,15.15,9.57916,41700
9,2015-09-01,14.86,15.02,14.86,14.93,9.440059,29400
10,2015-09-02,15.04,15.11,14.97,15.11,9.553872,35300
11,2015-09-03,15.13,15.28,15.08,15.08,9.534902,57200
12,2015-09-04,14.98,14.98,14.85,14.92,9.433736999999999,25000
13,2015-09-08,15.07,15.23,15.07,15.22,9.623424,38300
14,2015-09-09,15.02,15.02,14.67,14.67,9.510619,42800
15,2015-09-10,14.71,14.83,14.65,14.69,9.523585,65100
16,2015-09-11,14.69,14.79,14.65,14.78,9.581930999999999,43300
17,2015-09-14,14.78,14.79,14.61,14.61,9.47172,23100
18,2015-09-15,14.62,14.76,14.62,14.72,9.543035,34700
19,2015-09-16,14.77,14.87,14.72,14.8,9.594897999999999,43000
20,2015-09-17,14.78,14.93,14.7,14.86,9.633796,32700
21,2015-09-18,14.69,14.86,14.69,14.75,9.562482000000001,41900
22,2015-09-21,14.75,15.07,14.67,14.67,9.510619,30000
23,2015-09-22,14.52,14.56,14.44,14.49,9.393923,44800
24,2015-09-23,14.48,14.62,14.48,14.5,9.400406,80600
25,2015-09-24,14.4,14.45,14.31,14.4,9.335575,47900
26,2015-09-25,14.45,14.5,14.33,14.33,9.290194999999999,61800
27,2015-09-28,14.3,14.33,14.08,14.11,9.147569,46600
28,2015-09-29,14.16,14.22,14.02,14.13,9.160534,56600
29,2015-09-30,14.38,14.41,14.16,14.39,9.329092999999999,92200
30,2015-10-01,14.35,14.36,14.2,14.35,9.303161,72300
31,2015-10-02,14.21,14.37,14.12,14.31,9.277227,70500
32,2015-10-05,14.41,14.54,14.4,14.52,9.413375,50300
33,2015-10-06,14.52,14.59,14.46,14.55,9.432822,86700
34,2015-10-07,14.68,14.72,14.55,14.65,9.497652,235100
35,2015-10-08,14.66,14.91,14.57,14.84,9.62083,49900
36,2015-10-09,14.92,14.95,14.89,14.92,9.672692999999999,26400
37,2015-10-12,14.89,15.0,14.89,15.0,9.724558,14700
38,2015-10-13,14.87,15.01,14.8,14.8,9.594897999999999,80500
39,2015-10-14,14.85,14.96,14.82,14.82,9.607864,50900
40,2015-10-15,14.87,15.01,14.82,14.97,9.705111,79400
41,2015-10-16,14.97,15.05,14.91,15.01,9.731043,43700
42,2015-10-19,15.02,15.17,15.0,15.05,9.756973,108200
43,2015-10-20,15.07,15.09,14.99,15.03,9.744007,25500
44,2015-10-21,15.09,15.11,15.02,15.08,9.776423,31700
45,2015-10-22,15.1,15.28,15.1,15.24,9.880151,35000
46,2015-10-23,15.29,15.34,15.21,15.22,9.867186,37200
47,2015-10-26,15.23,15.23,15.11,15.11,9.795874000000001,31100
48,2015-10-27,15.06,15.13,15.0,15.04,9.750489,37400
49,2015-10-28,15.04,15.11,15.02,15.06,9.763456,32500
50,2015-10-29,15.02,15.14,14.95,14.98,9.711594,29000
51,2015-10-30,15.01,15.09,14.96,15.02,9.737525,35100
52,2015-11-02,15.02,15.18,15.02,15.16,9.828287,39500
53,2015-11-03,15.12,15.23,15.08,15.23,9.873667999999999,32300
54,2015-11-04,15.24,15.37,15.16,15.19,9.847736,38700
55,2015-11-05,15.18,15.27,15.13,15.14,9.815319,36300
56,2015-11-06,15.14,15.17,15.05,15.15,9.821805,31000
57,2015-11-09,15.11,15.14,15.0,15.06,9.763456,89100
58,2015-11-10,15.06,15.13,14.97,15.06,9.763456,37500
59,2015-11-11,15.11,15.13,14.99,14.99,9.718076,32300
60,2015-11-12,14.99,15.01,14.82,14.82,9.607864,47000
61,2015-11-13,14.84,14.84,14.72,14.79,9.588414,45400
62,2015-11-16,14.79,14.97,14.79,14.97,9.705111,38200
63,2015-11-17,15.01,15.01,14.89,15.0,9.724558,35200
64,2015-11-18,15.04,15.13,14.96,15.07,9.769941000000001,48100
65,2015-11-19,15.07,15.23,14.95,14.97,9.705111,31700
66,2015-11-20,15.05,15.05,14.98,15.03,9.744007,30400
67,2015-11-23,15.02,15.16,14.94,15.07,9.769941000000001,44400
68,2015-11-24,15.04,15.14,15.01,15.09,9.782906,43600
69,2015-11-25,15.1,15.15,15.05,15.08,9.776423,14600
70,2015-11-27,15.07,15.07,15.03,15.03,9.744007,5000
71,2015-11-30,15.0,15.11,15.0,15.02,9.737525,20100
72,2015-12-01,15.06,15.19,15.06,15.19,9.847736,21700
73,2015-12-02,15.12,15.18,15.0,15.03,9.744007,19500
74,2015-12-03,15.09,15.1,14.89,14.91,9.666211,23600
75,2015-12-04,14.93,15.1,14.89,15.1,9.789389,40000
76,2015-12-07,15.04,15.04,14.9,14.95,9.692144,20500
77,2015-12-08,14.82,14.92,14.71,14.83,9.614346000000001,43100
78,2015-12-09,14.5,14.52,14.33,14.42,9.59173,37700
79,2015-12-10,14.4,14.5,14.38,14.4,9.578426,24200
80,2015-12-11,14.35,14.35,14.18,14.19,9.438742999999999,34400
81,2015-12-14,14.2,14.23,14.04,14.17,9.42544,40500
82,2015-12-15,14.21,14.29,14.21,14.27,9.491957000000001,38700
83,2015-12-16,14.34,14.57,14.34,14.56,9.684855,45600
84,2015-12-17,14.54,14.59,14.39,14.39,9.571776,95400
85,2015-12-18,14.42,14.46,14.25,14.29,9.50526,50000
86,2015-12-21,14.36,14.43,14.27,14.33,9.531865,35800
87,2015-12-22,14.33,14.41,14.33,14.39,9.571776,55100
88,2015-12-23,14.43,14.56,14.42,14.49,9.638292999999999,61900
89,2015-12-24,14.54,14.76,14.54,14.62,9.724765,46700
90,2015-12-28,14.63,14.67,14.47,14.56,9.684855,34600
91,2015-12-29,14.61,14.72,14.55,14.65,9.74472,50300
92,2015-12-30,14.72,14.72,14.52,14.56,9.684855,62200
93,2015-12-31,14.6,14.66,14.39,14.46,9.618339,134700
94,2016-01-04,14.29,14.32,14.15,14.3,9.511913,55300
95,2016-01-05,14.33,14.39,14.27,14.32,9.525214,40900
96,2016-01-06,14.28,14.35,14.2,14.26,9.485305,56800
97,2016-01-07,14.09,14.16,14.0,14.04,9.338966000000001,23000
98,2016-01-08,14.15,14.15,14.0,14.0,9.312361,35500
99,2016-01-11,14.08,14.08,13.82,13.92,9.259148,36300
100,2016-01-12,13.95,14.01,13.8,13.92,9.259148,41400
101,2016-01-13,13.97,13.99,13.57,13.63,9.066248,57000
102,2016-01-14,13.64,13.82,13.54,13.75,9.146069,63200
103,2016-01-15,13.51,13.57,13.32,13.35,8.88,41300
104,2016-01-19,13.44,13.69,13.11,13.17,8.760271000000001,62100
105,2016-01-20,13.09,13.09,12.56,12.78,8.500855,123800
106,2016-01-21,12.75,13.07,12.75,12.98,8.633888,111000
107,2016-01-22,13.07,13.29,13.07,13.28,8.83344,44400
108,2016-01-25,13.29,13.34,13.19,13.22,8.793529,45700
109,2016-01-26,13.3,13.53,13.2,13.53,8.999732,53200
110,2016-01-27,13.54,13.55,13.33,13.37,8.893303999999999,28700
111,2016-01-28,13.52,13.64,13.45,13.64,9.072902000000001,27100
112,2016-01-29,13.73,13.98,13.73,13.89,9.239192999999998,73000
113,2016-02-01,13.83,13.92,13.72,13.87,9.225889,47600
114,2016-02-02,13.77,13.77,13.6,13.6,9.046292,46300
115,2016-02-03,13.7,13.7,13.52,13.7,9.112811,28300
116,2016-02-04,13.71,13.78,13.65,13.73,9.132764,19500
117,2016-02-05,13.8,13.81,13.64,13.66,9.086203999999999,69200
118,2016-02-08,13.55,13.56,13.34,13.48,8.966472,41000
119,2016-02-09,13.41,13.47,13.14,13.44,8.939865,62100
120,2016-02-10,13.54,13.54,13.35,13.35,8.88,37800
121,2016-02-11,13.2,13.31,13.12,13.19,8.773574,58100
122,2016-02-12,13.32,13.44,13.23,13.4,8.913260000000001,34500
123,2016-02-16,13.56,13.56,13.43,13.48,8.966472,37200
124,2016-02-17,13.68,13.69,13.53,13.61,9.052944,42800
125,2016-02-18,13.66,13.72,13.58,13.67,9.092856,32200
126,2016-02-19,13.67,13.83,13.61,13.76,9.152719,59000
127,2016-02-22,13.92,13.93,13.85,13.88,9.232541000000001,21400
128,2016-02-23,13.88,13.88,13.68,13.71,9.119462,57500
129,2016-02-24,13.55,13.8,13.55,13.79,9.172674,43900
