,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,HII,08/18/20,162.66,163.41,161.44,162.29,333896,-0.8,-0.49%
1,HII,08/17/20,166.74,166.89,162.65,163.09,352519,-3.8,-2.28%
2,HII,08/14/20,163.62,169.0,163.5,166.89,217000,2.76,1.68%
3,HII,08/13/20,163.11,165.81,161.85,164.13,381284,-0.04,-0.02%
4,HII,08/12/20,170.02,170.02,163.0,164.17,416566,-4.37,-2.59%
5,HII,08/11/20,172.23,174.5,168.39,168.54,231505,-0.59,-0.35%
6,HII,08/10/20,167.89,170.99,165.87,169.13,512200,1.23,0.73%
7,HII,08/07/20,161.46,169.77,161.44,167.9,550400,5.1,3.13%
8,HII,08/06/20,171.01,174.41,160.0,162.8,1171037,-15.87,-8.88%
9,HII,08/05/20,175.44,178.67,174.05,178.67,453983,5.13,2.96%
10,HII,08/04/20,175.41,176.79,172.85,173.54,278149,-1.8,-1.03%
11,HII,08/03/20,174.03,176.97,173.45,175.34,224303,1.63,0.94%
12,HII,07/31/20,174.4,175.62,171.24,173.71,313000,-1.08,-0.62%
13,HII,07/30/20,173.67,176.98,172.97,174.79,177168,-1.09,-0.62%
14,HII,07/29/20,175.34,176.72,172.59,175.88,129336,0.89,0.51%
15,HII,07/28/20,173.06,177.5,173.06,174.99,190857,1.79,1.03%
16,HII,07/27/20,176.41,176.41,172.66,173.2,201640,-3.86,-2.18%
17,HII,07/24/20,180.91,182.26,176.7,177.06,192900,-3.85,-2.13%
18,HII,07/23/20,179.5,183.68,178.85,180.91,239794,1.3,0.72%
19,HII,07/22/20,177.91,180.5,177.31,179.61,244051,1.6,0.90%
20,HII,07/21/20,177.0,180.26,177.0,178.01,196508,1.78,1.01%
21,HII,07/20/20,179.57,179.99,175.51,176.23,273009,-4.72,-2.61%
22,HII,07/17/20,180.02,181.37,178.21,180.95,245700,1.58,0.88%
23,HII,07/16/20,176.8,182.24,175.71,179.37,270405,2.4,1.36%
24,HII,07/15/20,176.19,178.36,174.79,176.97,239103,5.15,3.00%
25,HII,07/14/20,170.0,172.85,168.25,171.82,305031,2.2,1.30%
26,HII,07/13/20,169.2,172.59,167.66,169.62,337526,2.58,1.54%
27,HII,07/10/20,161.92,167.35,161.92,167.04,269900,5.27,3.26%
28,HII,07/09/20,166.48,166.9,161.35,161.77,319829,-5.72,-3.42%
29,HII,07/08/20,168.31,170.35,166.62,167.49,333558,-0.83,-0.49%
30,HII,07/07/20,171.63,175.26,168.18,168.32,207691,-4.96,-2.86%
31,HII,07/06/20,176.18,176.58,172.95,173.28,176015,0.17,0.10%
32,HII,07/02/20,175.92,176.94,172.62,173.11,233200,-0.62,-0.36%
33,HII,07/01/20,176.16,177.72,173.15,173.73,278216,-0.76,-0.44%
34,HII,06/30/20,176.16,178.09,173.23,174.49,272152,-2.92,-1.65%
35,HII,06/29/20,173.62,177.9,173.46,177.41,337458,6.45,3.77%
36,HII,06/26/20,171.99,172.8,168.49,170.96,914800,-1.15,-0.67%
37,HII,06/25/20,165.62,172.21,165.43,172.11,396053,4.89,2.92%
38,HII,06/24/20,174.85,175.25,167.08,167.22,389853,-9.95,-5.62%
39,HII,06/23/20,179.4,179.85,175.49,177.17,329143,-0.75,-0.42%
40,HII,06/22/20,177.16,178.2,174.83,177.92,382278,-0.74,-0.41%
41,HII,06/19/20,185.11,185.11,176.87,178.66,644600,-2.83,-1.56%
42,HII,06/18/20,181.36,186.14,181.16,181.49,304308,-2.46,-1.34%
43,HII,06/17/20,185.87,187.74,183.77,183.95,287744,-1.63,-0.88%
44,HII,06/16/20,189.46,190.63,183.33,185.58,298041,3.5,1.92%
45,HII,06/15/20,177.29,183.31,177.29,182.08,404767,-0.21,-0.12%
46,HII,06/12/20,186.54,187.01,179.11,182.29,326200,1.49,0.82%
47,HII,06/11/20,190.53,194.0,180.29,180.8,368595,-16.21,-8.23%
48,HII,06/10/20,196.79,200.56,192.86,197.01,477413,-0.75,-0.38%
49,HII,06/09/20,203.0,204.88,196.91,197.76,304828,-8.26,-4.01%
50,HII,06/08/20,204.63,207.09,204.01,206.02,325972,3.45,1.70%
51,HII,06/05/20,205.78,206.9,201.54,202.57,339900,4.05,2.04%
52,HII,06/04/20,199.37,201.63,197.15,198.52,404400,-1.15,-0.58%
53,HII,06/03/20,196.44,201.65,194.98,199.67,365439,5.42,2.79%
54,HII,06/02/20,197.67,197.77,193.59,194.25,382670,-1.28,-0.65%
55,HII,06/01/20,199.72,203.74,194.55,195.53,353422,-4.36,-2.18%
56,HII,05/29/20,198.11,201.65,196.33,199.89,355100,-0.79,-0.39%
57,HII,05/28/20,208.7,209.96,200.03,200.68,345178,-5.24,-2.54%
58,HII,05/27/20,196.92,206.04,196.92,205.92,432258,12.5,6.46%
59,HII,05/26/20,188.5,195.24,188.5,193.42,421429,10.65,5.83%
60,HII,05/22/20,183.87,184.61,178.23,182.77,430700,1.27,0.70%
61,HII,05/21/20,177.44,182.61,177.43,181.5,302155,6.39,3.65%
62,HII,05/20/20,175.89,178.66,174.5,175.11,340344,1.61,0.93%
63,HII,05/19/20,180.91,180.91,173.46,173.5,358547,-6.91,-3.83%
64,HII,05/18/20,176.68,181.65,175.88,180.41,458320,9.87,5.79%
65,HII,05/15/20,166.65,173.28,166.65,170.54,295300,-1.68,-0.98%
66,HII,05/14/20,167.84,172.3,165.46,172.22,318973,1.96,1.15%
67,HII,05/13/20,172.02,172.77,168.59,170.26,280528,-3.26,-1.88%
68,HII,05/12/20,178.84,180.86,173.51,173.52,359273,-4.59,-2.58%
69,HII,05/11/20,179.11,182.32,176.77,178.11,343186,-2.47,-1.37%
70,HII,05/08/20,175.0,184.42,175.0,180.58,554100,7.27,4.19%
71,HII,05/07/20,181.25,188.27,171.7,173.31,768668,-5.34,-2.99%
72,HII,05/06/20,184.09,184.64,177.89,178.65,338983,-4.02,-2.20%
73,HII,05/05/20,181.96,185.61,181.77,182.67,320006,2.69,1.49%
74,HII,05/04/20,183.84,183.84,176.24,179.98,424427,-5.69,-3.06%
75,HII,05/01/20,188.58,189.33,182.11,185.67,432100,-5.74,-3.00%
76,HII,04/30/20,192.97,192.97,188.25,191.41,342846,-4.14,-2.12%
77,HII,04/29/20,194.99,197.79,190.66,195.55,307850,4.28,2.24%
78,HII,04/28/20,187.56,193.2,187.3,191.27,352654,3.01,1.60%
79,HII,04/27/20,185.66,189.64,184.05,188.26,434141,3.76,2.04%
80,HII,04/24/20,188.12,188.18,183.35,184.5,248800,-2.27,-1.22%
81,HII,04/23/20,187.18,189.97,185.48,186.77,269450,0.54,0.29%
82,HII,04/22/20,188.66,189.92,185.21,186.23,311544,1.78,0.97%
83,HII,04/21/20,188.91,190.76,181.93,184.45,333477,-7.81,-4.06%
84,HII,04/20/20,195.52,196.16,192.02,192.26,324165,-3.7,-1.89%
85,HII,04/17/20,197.01,198.83,193.01,195.96,533600,3.48,1.81%
86,HII,04/16/20,190.95,194.14,189.48,192.48,265929,1.5,0.79%
87,HII,04/15/20,194.28,195.04,187.77,190.98,267584,-6.04,-3.07%
88,HII,04/14/20,198.41,200.48,194.91,197.02,233165,2.43,1.25%
89,HII,04/13/20,192.77,196.05,190.88,194.59,217150,2.2,1.14%
90,HII,04/09/20,198.0,198.89,190.87,192.39,436800,-3.05,-1.56%
91,HII,04/08/20,195.04,198.1,192.83,195.44,272400,3.7,1.93%
92,HII,04/07/20,200.08,202.26,191.56,191.74,246418,-1.97,-1.02%
93,HII,04/06/20,187.28,195.89,187.28,193.71,336333,12.67,7.00%
94,HII,04/03/20,178.1,184.49,177.11,181.04,345800,0.4,0.22%
95,HII,04/02/20,171.95,184.03,171.42,180.64,361842,7.5,4.33%
96,HII,04/01/20,174.6,177.83,170.03,173.14,402077,-9.07,-4.98%
97,HII,03/31/20,187.6,190.22,179.22,182.21,519784,-7.33,-3.87%
98,HII,03/30/20,186.5,192.25,184.73,189.54,385217,3.95,2.13%
99,HII,03/27/20,188.46,192.76,184.61,185.59,473900,-9.7,-4.97%
100,HII,03/26/20,178.17,196.7,177.18,195.29,429789,17.85,10.06%
101,HII,03/25/20,167.69,183.33,164.21,177.44,512298,12.06,7.29%
102,HII,03/24/20,162.91,168.95,159.31,165.38,407691,11.41,7.41%
103,HII,03/23/20,158.01,158.54,147.14,153.97,462645,-5.35,-3.36%
104,HII,03/20/20,169.68,172.28,157.05,159.32,413900,-10.15,-5.99%
105,HII,03/19/20,169.04,195.2,166.71,169.47,583761,-2.89,-1.68%
106,HII,03/18/20,150.19,173.35,148.48,172.36,577510,11.26,6.99%
107,HII,03/17/20,159.37,162.65,149.02,161.1,763950,4.43,2.83%
108,HII,03/16/20,163.86,170.77,156.47,156.67,458677,-21.95,-12.29%
109,HII,03/13/20,185.69,185.69,171.2,178.62,435400,1.96,1.11%
110,HII,03/12/20,182.45,192.85,176.54,176.66,622763,-21.26,-10.74%
