,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-19,5.3,5.67,5.16,5.46,5.46,7200
1,2015-08-20,5.46,5.46,5.46,5.46,5.46,0
2,2015-08-21,5.46,5.46,5.46,5.46,5.46,0
3,2015-08-24,5.0,5.0,4.73,4.73,4.73,2700
4,2015-08-25,4.77,4.77,4.65,4.65,4.65,1400
5,2015-08-26,3.12,4.5,3.12,4.49,4.49,6000
6,2015-08-27,4.25,4.5,4.24,4.5,4.5,6300
7,2015-08-28,4.52,4.54,4.5,4.54,4.54,1000
8,2015-08-31,4.52,4.52,4.01,4.1,4.1,8000
9,2015-09-01,4.14,4.14,3.97,4.0,4.0,7400
10,2015-09-02,4.0,4.04,3.88,3.88,3.88,7800
11,2015-09-03,3.71,4.2,3.71,3.93,3.93,23600
12,2015-09-04,3.77,3.91,3.7,3.91,3.91,22100
13,2015-09-08,4.27,4.8,4.27,4.76,4.76,10800
14,2015-09-09,4.98,6.5,4.98,6.25,6.25,40300
15,2015-09-10,6.05,7.32,6.0,7.06,7.06,38500
16,2015-09-11,7.26,7.27,6.29,6.99,6.99,9900
17,2015-09-14,7.0,7.23,6.65,6.86,6.86,3900
18,2015-09-15,7.08,7.08,6.55,6.55,6.55,5200
19,2015-09-16,6.47,6.49,6.47,6.48,6.48,600
20,2015-09-17,6.36,6.36,5.49,5.87,5.87,14800
21,2015-09-18,5.68,6.17,5.58,5.8,5.8,2900
22,2015-09-21,5.77,5.8,5.75,5.8,5.8,800
23,2015-09-22,5.3,5.3,4.5,4.5,4.5,15300
24,2015-09-23,4.6,4.94,4.5,4.56,4.56,12700
25,2015-09-24,4.6,5.25,4.56,5.25,5.25,2200
26,2015-09-25,4.9,4.9,4.9,4.9,4.9,500
27,2015-09-28,4.75,4.75,4.5,4.59,4.59,8000
28,2015-09-29,4.73,5.0,4.53,4.53,4.53,1300
29,2015-09-30,4.55,4.55,4.0,4.4,4.4,69700
30,2015-10-01,4.4,4.75,4.25,4.6,4.6,23800
31,2015-10-02,4.72,4.72,4.31,4.6,4.6,1900
32,2015-10-05,4.7,5.25,4.6,5.2,5.2,7200
33,2015-10-06,5.5,5.5,5.2,5.25,5.25,4100
34,2015-10-07,5.25,5.67,5.25,5.31,5.31,2000
35,2015-10-08,5.5,6.49,5.48,6.2,6.2,11400
36,2015-10-09,6.48,6.8,6.47,6.79,6.79,7900
37,2015-10-12,6.6,6.96,6.6,6.96,6.96,600
38,2015-10-13,6.5,6.99,6.47,6.99,6.99,6900
39,2015-10-14,6.99,6.99,6.99,6.99,6.99,0
40,2015-10-15,6.96,7.35,6.82,6.82,6.82,1600
41,2015-10-16,7.24,7.24,7.15,7.2,7.2,500
42,2015-10-19,7.02,7.21,7.01,7.21,7.21,900
43,2015-10-20,7.22,7.34,7.01,7.01,7.01,11100
44,2015-10-21,7.07,7.25,6.96,7.19,7.19,3000
45,2015-10-22,7.15,7.31,7.02,7.1,7.1,1800
46,2015-10-23,7.22,7.22,7.22,7.22,7.22,100
47,2015-10-26,6.96,7.1,6.6,7.1,7.1,1100
48,2015-10-27,6.84,7.01,6.6,6.89,6.89,4200
49,2015-10-28,6.75,6.75,6.61,6.7,6.7,2300
50,2015-10-29,6.71,6.71,6.71,6.71,6.71,400
51,2015-10-30,6.89,6.95,6.8,6.95,6.95,1600
52,2015-11-02,6.75,6.75,6.44,6.5,6.5,4200
53,2015-11-03,6.69,6.69,6.69,6.69,6.69,800
54,2015-11-04,6.84,6.84,6.64,6.78,6.78,900
55,2015-11-05,5.81,6.4,5.75,6.4,6.4,2300
56,2015-11-06,6.4,6.4,6.4,6.4,6.4,0
57,2015-11-09,5.71,5.71,5.09,5.6,5.6,3500
58,2015-11-10,6.25,6.25,6.25,6.25,6.25,100
59,2015-11-11,6.25,6.26,6.25,6.25,6.25,700
60,2015-11-12,6.11,6.11,5.41,5.41,5.41,1200
61,2015-11-13,4.75,5.23,4.75,5.23,5.23,800
62,2015-11-16,5.0,5.0,4.52,4.52,4.52,1800
63,2015-11-17,4.7,4.87,4.51,4.6,4.6,27300
64,2015-11-18,4.45,4.45,4.43,4.45,4.45,2900
65,2015-11-19,4.7,4.7,4.16,4.43,4.43,6600
66,2015-11-20,4.8,5.75,4.2,5.75,5.75,7200
67,2015-11-23,5.67,5.75,5.25,5.25,5.25,16800
68,2015-11-24,5.25,5.25,5.25,5.25,5.25,0
69,2015-11-25,4.69,5.59,4.69,5.59,5.59,700
70,2015-11-27,5.59,5.8,5.59,5.8,5.8,200
71,2015-11-30,5.89,5.89,5.5,5.66,5.66,30100
72,2015-12-01,5.66,5.66,5.65,5.65,5.65,200
73,2015-12-02,5.65,5.65,4.64,5.48,5.48,1700
74,2015-12-03,4.5,4.95,4.5,4.95,4.95,700
75,2015-12-04,5.25,5.25,4.8,4.97,4.97,7100
76,2015-12-07,4.95,5.1,4.55,4.8,4.8,6200
77,2015-12-08,4.85,5.0,4.85,4.94,4.94,4700
78,2015-12-09,4.8,4.8,4.56,4.7,4.7,5600
79,2015-12-10,4.59,4.63,4.59,4.63,4.63,3700
80,2015-12-11,4.37,4.6,4.2,4.6,4.6,7700
81,2015-12-14,4.34,4.6,4.29,4.35,4.35,3100
82,2015-12-15,4.78,4.78,4.77,4.77,4.77,300
83,2015-12-16,4.75,4.84,4.56,4.8,4.8,5600
84,2015-12-17,4.58,4.58,4.58,4.58,4.58,400
85,2015-12-18,4.38,4.38,4.05,4.05,4.05,10200
86,2015-12-21,4.22,4.59,4.14,4.2,4.2,12300
87,2015-12-22,4.29,4.59,4.29,4.4,4.4,3300
88,2015-12-23,4.58,4.75,4.55,4.75,4.75,6900
89,2015-12-24,4.61,5.44,4.61,5.35,5.35,9100
90,2015-12-28,5.25,5.3,4.65,5.3,5.3,5600
91,2015-12-29,5.0,5.4,4.99,5.05,5.05,3400
92,2015-12-30,4.75,4.75,4.73,4.75,4.75,6300
93,2015-12-31,4.35,4.68,4.22,4.55,4.55,19900
94,2016-01-04,4.26,4.26,4.16,4.16,4.16,600
95,2016-01-05,4.22,4.38,4.2,4.31,4.31,4200
96,2016-01-06,4.31,4.33,4.31,4.33,4.33,400
97,2016-01-07,4.03,4.75,3.86,4.5,4.5,6000
98,2016-01-08,4.25,4.26,4.23,4.25,4.25,12600
99,2016-01-11,4.2,4.2,3.98,3.98,3.98,6700
100,2016-01-12,3.87,4.05,3.57,3.93,3.93,10900
101,2016-01-13,3.74,4.07,3.6,4.05,4.05,11500
102,2016-01-14,3.67,3.67,3.67,3.67,3.67,100
103,2016-01-15,4.66,5.13,3.42,3.74,3.74,16800
104,2016-01-19,3.46,4.01,3.42,3.55,3.55,6300
105,2016-01-20,3.0,3.28,2.81,3.25,3.25,26000
106,2016-01-21,3.11,3.35,3.02,3.04,3.04,41700
107,2016-01-22,2.95,3.25,2.95,3.04,3.04,45900
108,2016-01-25,2.8,3.28,2.8,3.01,3.01,10500
109,2016-01-26,3.32,3.81,3.2,3.81,3.81,2500
110,2016-01-27,4.01,4.64,3.67,3.67,3.67,5400
111,2016-01-28,4.16,4.16,3.85,3.9,3.9,1500
112,2016-01-29,3.99,4.45,3.99,4.19,4.19,5500
113,2016-02-01,3.29,4.0,3.29,3.83,3.83,1600
114,2016-02-02,3.33,3.85,3.32,3.32,3.32,5100
115,2016-02-03,3.65,3.99,3.5,3.5,3.5,14200
116,2016-02-04,3.2,3.55,3.2,3.5,3.5,8200
117,2016-02-05,3.5,3.6,3.21,3.6,3.6,2300
118,2016-02-08,3.3,3.51,3.3,3.5,3.5,1300
119,2016-02-09,3.45,3.45,3.33,3.41,3.41,2700
120,2016-02-10,3.82,4.0,3.82,4.0,4.0,1100
121,2016-02-11,3.32,3.39,3.01,3.02,3.02,3500
122,2016-02-12,3.39,3.39,3.06,3.11,3.11,15000
123,2016-02-16,3.25,3.28,3.05,3.13,3.13,9900
124,2016-02-17,3.23,3.55,3.17,3.33,3.33,12600
125,2016-02-18,3.3,3.55,3.25,3.25,3.25,5700
126,2016-02-19,3.42,3.42,3.12,3.2,3.2,84300
127,2016-02-22,3.3,3.58,3.01,3.21,3.21,44100
128,2016-02-23,3.25,3.25,2.86,2.9,2.9,30900
129,2016-02-24,2.91,2.95,2.5,2.8,2.8,51900
130,2016-02-25,2.99,3.0,2.8,2.8,2.8,145200
131,2016-02-26,2.84,2.98,2.75,2.8,2.8,239800
132,2016-02-29,3.0,3.0,2.85,2.89,2.89,75700
133,2016-03-01,3.0,3.17,2.9,2.99,2.99,50600
134,2016-03-02,3.0,3.25,2.89,3.0,3.0,66000
135,2016-03-03,3.0,3.02,2.9,3.0,3.0,52500
136,2016-03-04,3.05,3.19,2.9,3.0,3.0,42900
137,2016-03-07,3.02,3.3,3.0,3.04,3.04,34500
138,2016-03-08,3.04,3.12,2.96,3.1,3.1,37900
139,2016-03-09,3.09,3.09,2.8,2.98,2.98,1700
140,2016-03-10,3.0,3.0,2.55,2.8,2.8,4400
141,2016-03-11,2.76,2.87,2.75,2.84,2.84,400
142,2016-03-14,2.84,2.84,2.84,2.84,2.84,0
143,2016-03-15,2.52,2.68,2.48,2.68,2.68,2300
144,2016-03-16,2.54,2.74,2.39,2.56,2.56,6200
145,2016-03-17,2.5,2.6,2.5,2.53,2.53,10500
146,2016-03-18,2.51,2.72,2.51,2.63,2.63,10800
147,2016-03-21,2.57,2.65,2.57,2.65,2.65,3200
148,2016-03-22,2.55,2.74,2.48,2.48,2.48,2900
149,2016-03-23,2.5,2.5,2.4,2.42,2.42,36600
150,2016-03-24,2.31,2.32,2.3,2.3,2.3,86300
151,2016-03-28,2.2,2.4,2.19,2.28,2.28,10000
152,2016-03-29,2.4,2.58,2.26,2.26,2.26,7300
153,2016-03-30,2.36,2.45,2.11,2.26,2.26,23200
154,2016-03-31,2.25,2.39,2.15,2.25,2.25,17100
155,2016-04-01,2.2,2.5,2.17,2.17,2.17,33100
156,2016-04-04,2.04,2.29,2.04,2.18,2.18,7800
157,2016-04-05,2.15,2.23,2.15,2.15,2.15,7000
158,2016-04-06,2.15,2.25,2.15,2.16,2.16,32100
159,2016-04-07,2.2,2.3,2.15,2.15,2.15,18000
160,2016-04-08,2.5,2.52,2.17,2.2,2.2,17000
161,2016-04-11,2.26,2.59,2.2,2.54,2.54,118900
162,2016-04-12,2.47,2.91,2.47,2.78,2.78,49300
163,2016-04-13,2.87,2.87,2.66,2.7,2.7,21200
164,2016-04-14,2.71,2.71,2.51,2.66,2.66,9100
165,2016-04-15,2.66,2.66,2.64,2.66,2.66,2500
166,2016-04-18,2.71,2.74,2.55,2.71,2.71,8500
167,2016-04-19,2.55,2.74,2.55,2.66,2.66,7300
168,2016-04-20,2.72,2.72,2.65,2.68,2.68,33200
169,2016-04-21,2.81,2.82,2.65,2.65,2.65,30100
170,2016-04-22,2.71,2.72,2.58,2.68,2.68,28000
171,2016-04-25,2.69,2.7,2.69,2.7,2.7,60900
172,2016-04-26,2.67,2.77,2.61,2.7,2.7,41800
173,2016-04-27,2.78,2.78,2.63,2.71,2.71,32600
174,2016-04-28,2.67,2.74,2.57,2.6,2.6,34200
175,2016-04-29,2.54,2.69,2.53,2.68,2.68,24500
176,2016-05-02,2.63,2.65,2.52,2.65,2.65,3500
177,2016-05-03,2.45,2.65,2.45,2.65,2.65,2400
178,2016-05-04,2.57,2.66,2.53,2.66,2.66,2300
179,2016-05-05,2.47,2.65,2.41,2.59,2.59,7000
180,2016-05-06,2.54,2.68,2.54,2.59,2.59,4500
181,2016-05-09,2.58,2.7,2.57,2.7,2.7,1200
182,2016-05-10,2.67,2.72,2.66,2.69,2.69,10400
183,2016-05-11,2.5,2.72,2.5,2.66,2.66,7400
184,2016-05-12,2.6,2.63,2.52,2.61,2.61,11200
185,2016-05-13,2.61,2.61,2.61,2.61,2.61,0
186,2016-05-16,2.61,2.61,2.61,2.61,2.61,0
187,2016-05-17,2.59,2.6,2.56,2.59,2.59,4000
188,2016-05-18,2.65,2.68,2.65,2.68,2.68,300
189,2016-05-19,2.63,2.65,2.46,2.65,2.65,13900
190,2016-05-20,2.61,2.68,2.61,2.65,2.65,2200
191,2016-05-23,2.61,2.73,2.61,2.71,2.71,24000
192,2016-05-24,2.72,3.19,2.68,3.17,3.17,97300
193,2016-05-25,3.26,4.58,3.19,4.37,4.37,92400
194,2016-05-26,4.58,4.88,4.14,4.28,4.28,48000
195,2016-05-27,4.03,4.49,4.0,4.43,4.43,32700
196,2016-05-31,4.46,6.0,4.46,5.99,5.99,51000
197,2016-06-01,5.99,6.31,5.05,5.87,5.87,56500
198,2016-06-02,5.02,5.23,4.21,4.66,4.66,76200
199,2016-06-03,4.65,5.56,4.65,4.98,4.98,35900
200,2016-06-06,4.89,5.1,4.88,5.07,5.07,10300
201,2016-06-07,4.96,5.39,4.85,5.19,5.19,3500
202,2016-06-08,5.2,5.3,5.0,5.19,5.19,5800
203,2016-06-09,5.12,5.23,4.66,4.71,4.71,17400
204,2016-06-10,4.66,4.75,4.25,4.25,4.25,24500
205,2016-06-13,4.5,4.5,4.18,4.35,4.35,23600
206,2016-06-14,4.46,4.85,4.45,4.52,4.52,17600
207,2016-06-15,4.8,4.8,4.55,4.57,4.57,1500
208,2016-06-16,4.6,4.6,4.28,4.5,4.5,22900
209,2016-06-17,4.56,4.7,4.43,4.63,4.63,23900
210,2016-06-20,4.6,4.77,4.5,4.51,4.51,2500
211,2016-06-21,4.55,4.55,4.0,4.27,4.27,39500
212,2016-06-22,4.27,4.7,4.27,4.65,4.65,3600
213,2016-06-23,4.84,5.56,4.6,5.1,5.1,27600
214,2016-06-24,4.7,4.92,4.66,4.76,4.76,6700
215,2016-06-27,4.75,4.75,4.72,4.72,4.72,1100
216,2016-06-28,5.21,5.25,4.77,5.0,5.0,9000
217,2016-06-29,5.02,5.09,4.91,4.96,4.96,9700
218,2016-06-30,4.96,5.14,4.96,5.14,5.14,2300
219,2016-07-01,5.19,5.2,5.06,5.11,5.11,2500
220,2016-07-05,4.98,5.17,4.82,4.95,4.95,8900
221,2016-07-06,4.94,4.95,4.85,4.88,4.88,9000
222,2016-07-07,4.93,4.98,4.55,4.56,4.56,9300
223,2016-07-08,4.62,5.14,4.62,5.14,5.14,3900
224,2016-07-11,5.1,5.1,5.04,5.09,5.09,1800
225,2016-07-12,5.04,5.2,4.93,4.93,4.93,2900
226,2016-07-13,5.04,5.14,5.04,5.14,5.14,300
227,2016-07-14,4.88,5.15,4.83,4.98,4.98,5900
228,2016-07-15,4.98,5.13,4.91,4.91,4.91,2200
229,2016-07-18,4.92,4.99,4.88,4.99,4.99,3700
230,2016-07-19,4.99,4.99,4.95,4.95,4.95,200
231,2016-07-20,4.98,4.98,4.65,4.65,4.65,13400
232,2016-07-21,4.84,4.84,4.66,4.66,4.66,5300
233,2016-07-22,4.6,4.89,4.6,4.89,4.89,400
234,2016-07-25,4.7,4.94,4.58,4.86,4.86,6300
235,2016-07-26,4.99,4.99,4.62,4.92,4.92,1300
236,2016-07-27,4.96,5.0,4.71,5.0,5.0,3000
237,2016-07-28,5.0,5.19,5.0,5.09,5.09,3100
238,2016-07-29,4.99,5.19,4.99,5.19,5.19,1900
239,2016-08-01,5.19,5.19,5.19,5.19,5.19,0
240,2016-08-02,4.65,4.67,4.6,4.6,4.6,2700
241,2016-08-03,4.94,4.94,4.72,4.72,4.72,700
242,2016-08-04,4.74,4.74,4.74,4.74,4.74,100
243,2016-08-05,4.87,4.89,4.79,4.79,4.79,1600
244,2016-08-08,4.63,4.71,4.5,4.67,4.67,5600
245,2016-08-09,4.61,4.61,4.52,4.52,4.52,1100
246,2016-08-10,4.67,4.67,4.5,4.5,4.5,12800
247,2016-08-11,4.51,4.51,4.51,4.51,4.51,400
248,2016-08-12,4.61,4.61,4.59,4.59,4.59,1400
249,2016-08-15,4.75,4.75,4.68,4.75,4.75,4200
250,2016-08-16,4.65,4.65,4.6,4.64,4.64,2400
251,2016-08-17,4.64,4.64,4.64,4.64,4.64,0
252,2016-08-18,4.32,4.57,4.3,4.57,4.57,2400
253,2016-08-19,4.44,4.44,4.43,4.43,4.43,800
254,2016-08-22,4.33,4.52,4.17,4.17,4.17,15700
255,2016-08-23,4.43,4.59,4.1,4.16,4.16,8800
256,2016-08-24,4.4,4.4,3.88,3.88,3.88,11200
257,2016-08-25,3.88,4.16,3.88,4.12,4.12,7200
258,2016-08-26,4.24,4.24,4.08,4.14,4.14,2200
259,2016-08-29,4.06,4.29,4.06,4.09,4.09,5900
260,2016-08-30,4.0,4.18,4.0,4.18,4.18,6700
261,2016-08-31,4.4,4.4,4.12,4.29,4.29,2500
262,2016-09-01,4.29,4.29,4.25,4.25,4.25,300
263,2016-09-02,4.41,4.41,4.3,4.4,4.4,1600
264,2016-09-06,4.41,4.66,4.41,4.45,4.45,1400
265,2016-09-07,4.65,4.85,4.65,4.85,4.85,2100
266,2016-09-08,4.64,4.92,4.62,4.8,4.8,3300
267,2016-09-09,4.53,4.72,4.25,4.72,4.72,4600
268,2016-09-12,4.61,4.61,4.33,4.6,4.6,500
269,2016-09-13,4.5,4.5,4.01,4.05,4.05,13200
270,2016-09-14,4.05,4.05,3.99,3.99,3.99,600
271,2016-09-15,3.93,4.06,3.93,4.06,4.06,1700
272,2016-09-16,3.98,3.98,3.86,3.86,3.86,1100
273,2016-09-19,3.89,4.11,3.89,4.0,4.0,1100
274,2016-09-20,4.18,4.18,4.18,4.18,4.18,1100
275,2016-09-21,4.18,4.18,4.18,4.18,4.18,0
276,2016-09-22,4.16,4.16,4.0,4.13,4.13,5900
277,2016-09-23,4.25,4.29,4.2,4.2,4.2,1700
278,2016-09-26,4.2,4.2,4.2,4.2,4.2,0
279,2016-09-27,4.2,4.2,4.2,4.2,4.2,100
280,2016-09-28,4.22,4.22,4.0,4.18,4.18,800
281,2016-09-29,4.18,4.18,4.18,4.18,4.18,0
282,2016-09-30,4.29,4.61,4.29,4.6,4.6,6400
283,2016-10-03,4.55,4.6,4.55,4.6,4.6,2100
284,2016-10-04,4.54,4.56,4.26,4.26,4.26,4000
285,2016-10-05,4.46,4.46,4.46,4.46,4.46,600
286,2016-10-06,4.5,4.5,4.4,4.4,4.4,9600
287,2016-10-07,4.25,4.51,3.8,4.3,4.3,9500
288,2016-10-10,4.5,4.51,4.5,4.5,4.5,1400
289,2016-10-11,4.5,4.5,4.5,4.5,4.5,0
290,2016-10-12,4.5,4.5,4.5,4.5,4.5,0
291,2016-10-13,4.16,4.19,4.16,4.17,4.17,3300
292,2016-10-14,4.21,4.21,4.21,4.21,4.21,100
293,2016-10-17,4.25,4.25,4.18,4.18,4.18,900
294,2016-10-18,4.25,4.27,4.25,4.27,4.27,900
295,2016-10-19,4.27,4.27,4.27,4.27,4.27,0
296,2016-10-20,4.33,4.35,4.21,4.25,4.25,4700
297,2016-10-21,4.3,4.5,4.29,4.48,4.48,14300
298,2016-10-24,4.35,4.49,4.27,4.49,4.49,32100
299,2016-10-25,4.5,4.6,4.5,4.6,4.6,3600
300,2016-10-26,4.6,4.6,4.6,4.6,4.6,0
301,2016-10-27,4.6,4.6,4.6,4.6,4.6,0
302,2016-10-28,4.6,4.6,4.6,4.6,4.6,0
303,2016-10-31,4.54,4.54,4.5,4.5,4.5,2500
304,2016-11-01,4.49,4.5,4.4,4.48,4.48,8600
305,2016-11-02,4.5,4.56,4.47,4.52,4.52,41200
306,2016-11-03,4.41,4.71,4.41,4.5,4.5,6300
307,2016-11-04,4.49,4.49,4.49,4.49,4.49,1400
308,2016-11-07,4.5,4.53,4.5,4.5,4.5,10000
309,2016-11-08,4.5,4.74,4.5,4.72,4.72,1800
310,2016-11-09,4.65,4.65,4.5,4.5,4.5,4100
311,2016-11-10,4.51,4.51,4.51,4.51,4.51,400
312,2016-11-11,4.53,4.53,4.53,4.53,4.53,300
313,2016-11-14,4.58,4.69,4.58,4.66,4.66,1500
314,2016-11-15,4.7,4.79,4.7,4.79,4.79,900
315,2016-11-16,4.79,4.79,4.79,4.79,4.79,0
316,2016-11-17,4.77,4.79,4.65,4.65,4.65,1600
317,2016-11-18,4.51,4.56,4.15,4.5,4.5,1800
318,2016-11-21,4.5,4.55,4.5,4.55,4.55,300
