,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,HRL,08/18/20,52.39,52.9,52.09,52.71,1040275,0.29,0.55%
1,HRL,08/17/20,52.18,52.67,52.05,52.42,855005,0.19,0.36%
2,HRL,08/14/20,52.19,52.51,51.96,52.23,932700,0.11,0.21%
3,HRL,08/13/20,51.95,52.26,51.63,52.12,1069168,0.09,0.17%
4,HRL,08/12/20,51.7,52.5,51.59,52.03,1296894,0.62,1.21%
5,HRL,08/11/20,52.03,52.2,51.29,51.41,1162534,-0.57,-1.10%
6,HRL,08/10/20,51.72,52.17,51.54,51.98,1028500,0.36,0.70%
7,HRL,08/07/20,51.13,51.95,50.97,51.62,1253000,0.44,0.86%
8,HRL,08/06/20,50.82,51.23,50.74,51.18,807452,0.32,0.63%
9,HRL,08/05/20,51.04,51.43,50.59,50.86,1567132,-0.27,-0.53%
10,HRL,08/04/20,50.73,51.17,50.41,51.13,1572312,0.33,0.65%
11,HRL,08/03/20,51.04,51.24,50.63,50.8,1211952,-0.06,-0.12%
12,HRL,07/31/20,50.46,51.17,50.25,50.86,2196000,0.11,0.22%
13,HRL,07/30/20,50.54,50.9,50.16,50.75,1134493,-0.09,-0.18%
14,HRL,07/29/20,50.82,51.08,50.44,50.84,1254688,0.28,0.55%
15,HRL,07/28/20,50.6,51.12,50.44,50.56,1120193,0.01,0.02%
16,HRL,07/27/20,50.39,50.84,50.37,50.55,1013131,0.28,0.56%
17,HRL,07/24/20,50.66,51.09,49.93,50.27,1306400,-0.28,-0.55%
18,HRL,07/23/20,50.02,50.57,49.86,50.55,1182587,0.77,1.55%
19,HRL,07/22/20,49.89,49.96,48.96,49.78,1076360,0.03,0.06%
20,HRL,07/21/20,49.5,50.44,49.5,49.75,1660782,0.05,0.10%
21,HRL,07/20/20,49.86,50.09,49.33,49.7,1116648,-0.22,-0.44%
22,HRL,07/17/20,49.82,50.23,49.76,49.92,2097000,0.39,0.79%
23,HRL,07/16/20,48.79,49.74,48.72,49.53,1873167,0.71,1.45%
24,HRL,07/15/20,49.1,49.38,48.66,48.82,1298617,-0.27,-0.55%
25,HRL,07/14/20,48.06,49.12,48.06,49.09,1260190,1.03,2.14%
26,HRL,07/13/20,48.47,48.74,47.87,48.06,1705222,-0.14,-0.29%
27,HRL,07/10/20,46.83,48.26,46.81,48.2,1812800,1.19,2.53%
28,HRL,07/09/20,47.6,47.76,46.86,47.01,2449308,-0.9,-1.88%
29,HRL,07/08/20,48.11,48.26,47.59,47.91,1273393,-0.24,-0.50%
30,HRL,07/07/20,47.83,48.21,47.47,48.15,2672824,0.16,0.33%
31,HRL,07/06/20,48.38,48.74,47.78,47.99,1436013,-0.09,-0.19%
32,HRL,07/02/20,47.74,48.45,47.71,48.08,2034100,0.64,1.35%
33,HRL,07/01/20,48.37,48.37,47.39,47.44,2269276,-0.83,-1.72%
34,HRL,06/30/20,48.62,48.71,47.95,48.27,2941334,-0.07,-0.14%
35,HRL,06/29/20,48.46,49.01,48.06,48.34,2028202,0.13,0.27%
36,HRL,06/26/20,48.77,49.06,47.89,48.21,2380000,-0.46,-0.95%
37,HRL,06/25/20,47.85,48.69,47.74,48.67,1906214,0.91,1.91%
38,HRL,06/24/20,47.44,47.97,47.2,47.76,1822756,0.16,0.34%
39,HRL,06/23/20,48.67,48.67,47.57,47.6,1474450,-0.79,-1.63%
40,HRL,06/22/20,48.48,48.76,48.22,48.39,1507620,-0.16,-0.33%
41,HRL,06/19/20,48.78,48.92,48.36,48.55,3630300,0.4,0.83%
42,HRL,06/18/20,47.95,48.27,47.77,48.15,1798494,0.14,0.29%
43,HRL,06/17/20,48.03,48.34,47.58,48.01,1811578,0.21,0.44%
