,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,10.53,10.58,10.48,10.58,8.798563,60300
1,2015-09-01,10.44,10.53,10.16,10.21,8.490862,187300
2,2015-09-02,10.29,10.45,10.24,10.3,8.565709,90400
3,2015-09-03,10.39,10.5,10.25,10.28,8.549078,147000
4,2015-09-04,10.15,10.63,10.15,10.58,8.798563,45700
5,2015-09-08,10.65,10.94,10.63,10.88,9.04805,90900
6,2015-09-09,10.91,10.98,10.82,10.96,9.11458,63000
7,2015-09-10,10.8,10.98,10.75,10.96,9.11458,85200
8,2015-09-11,10.89,11.08,10.84,11.06,9.197742,80200
9,2015-09-14,11.08,11.08,10.99,11.04,9.181109,63500
10,2015-09-15,11.05,11.19,11.03,11.15,9.272589,120400
11,2015-09-16,11.18,11.2,11.03,11.17,9.28922,47200
12,2015-09-17,11.2,11.25,11.14,11.18,9.297539,80600
13,2015-09-18,11.05,11.2,11.0,11.17,9.28922,263300
14,2015-09-21,11.2,11.44,11.2,11.35,9.438913000000001,126200
15,2015-09-22,11.27,11.48,11.27,11.44,9.513761,224500
16,2015-09-23,11.43,11.5,11.38,11.48,9.547023,93300
17,2015-09-24,11.41,11.66,11.39,11.59,9.6385,219000
18,2015-09-25,11.65,11.92,11.62,11.83,9.838091,199300
19,2015-09-28,11.72,11.72,11.18,11.56,9.613555,200800
20,2015-09-29,11.57,11.64,11.47,11.6,9.646817,136600
21,2015-09-30,11.74,11.85,11.33,11.34,9.430596000000001,533800
22,2015-10-01,11.36,11.47,11.25,11.29,9.389016999999999,140800
23,2015-10-02,11.22,11.23,10.86,11.0,9.147845,176600
24,2015-10-05,11.11,11.27,11.11,11.22,9.330801,228100
25,2015-10-06,11.26,11.29,11.0,11.11,9.239322999999999,147600
26,2015-10-07,11.16,11.44,11.16,11.33,9.42228,175600
27,2015-10-08,11.27,11.45,11.15,11.39,9.472178,128200
28,2015-10-09,11.45,11.45,11.15,11.21,9.322486,89500
29,2015-10-12,11.14,11.36,11.02,11.3,9.397331,116500
30,2015-10-13,11.21,11.46,11.21,11.32,9.413964,96200
31,2015-10-14,11.28,11.29,10.91,10.92,9.081315,78900
32,2015-10-15,10.98,11.22,10.92,11.21,9.322486,65100
