,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,16.629998999999998,16.780001000000002,16.4,16.549999,14.312917,4779200
1,2015-08-21,16.459999,16.83,16.16,16.17,13.984278,3992800
2,2015-08-24,15.26,16.4,15.02,16.049999,13.880498999999999,7159000
3,2015-08-25,16.799999,16.83,15.54,15.59,13.482678,5157300
4,2015-08-26,15.91,16.09,15.5,16.040001,13.871853,4211600
5,2015-08-27,16.32,16.809998999999998,16.200001,16.6,14.356155,2960300
6,2015-08-28,16.42,16.83,16.15,16.440001000000002,14.217782999999999,3484100
7,2015-08-31,16.42,16.77,16.190001000000002,16.530001000000002,14.295617000000002,2892100
8,2015-09-01,16.040001,16.41,16.040001,16.219998999999998,14.02752,3610700
9,2015-09-02,16.48,16.57,15.52,15.64,13.525920000000001,4696900
10,2015-09-03,15.75,16.059998999999998,15.49,15.64,13.525920000000001,4516100
11,2015-09-04,15.44,15.58,15.16,15.17,13.11945,2778100
12,2015-09-08,15.41,15.66,15.19,15.59,13.482678,4072400
13,2015-09-09,15.85,15.97,15.32,15.33,13.257823000000002,2377800
14,2015-09-10,15.24,15.48,15.05,15.3,13.231879000000001,3400300
15,2015-09-11,15.19,15.24,14.95,15.0,13.079286,1720300
16,2015-09-14,14.98,15.0,14.61,14.76,12.870018,1418800
17,2015-09-15,14.76,15.12,14.59,14.79,12.896175999999999,3367700
18,2015-09-16,14.96,15.21,14.83,15.19,13.244957999999999,2962800
19,2015-09-17,15.21,15.24,14.87,14.94,13.026969,3355400
20,2015-09-18,14.65,14.95,14.54,14.82,12.922336999999999,3412300
21,2015-09-21,15.0,15.16,14.79,14.99,13.070569,2750200
22,2015-09-22,14.82,14.82,14.51,14.71,12.826422,3303500
23,2015-09-23,14.68,14.85,14.1,14.15,12.338125999999999,2715000
24,2015-09-24,14.06,14.14,13.78,14.03,12.233494,3652300
25,2015-09-25,14.17,14.24,13.82,13.91,12.128858000000001,2692400
