,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-27,5.55,6.5,4.65,5.1,5.1,2032300
1,2018-06-28,5.5,5.5,4.91,4.91,4.91,346100
2,2018-06-29,4.95,5.25,4.9,5.05,5.05,433100
3,2018-07-02,5.05,5.19,4.91,4.97,4.97,263000
4,2018-07-03,5.05,5.69,4.9,4.99,4.99,846300
5,2018-07-05,5.1,5.1,4.86,5.0,5.0,145100
6,2018-07-06,5.03,5.03,4.681,4.7,4.7,212600
7,2018-07-09,4.75,4.79,4.25,4.43,4.43,255200
8,2018-07-10,4.53,4.985,4.15,4.81,4.81,498600
9,2018-07-11,4.89,4.99,4.5,4.8,4.8,423700
10,2018-07-12,4.83,5.129,4.74,4.99,4.99,439200
11,2018-07-13,5.0,5.1,4.851,4.87,4.87,256400
12,2018-07-16,4.91,5.13,4.677,4.85,4.85,552400
13,2018-07-17,4.89,5.05,4.8,4.83,4.83,256100
14,2018-07-18,4.83,4.83,4.56,4.8,4.8,177000
15,2018-07-19,4.8,4.9,4.65,4.65,4.65,331500
16,2018-07-20,4.71,4.775,4.6,4.61,4.61,107200
17,2018-07-23,4.6,4.676,4.121,4.17,4.17,188100
18,2018-07-24,4.1,4.16,3.7,3.75,3.75,257000
19,2018-07-25,3.73,3.82,3.08,3.23,3.23,343000
20,2018-07-26,3.25,3.38,2.583,3.36,3.36,450800
21,2018-07-27,3.34,3.722,3.2,3.42,3.42,474200
22,2018-07-30,3.45,3.61,3.25,3.32,3.32,392700
23,2018-07-31,4.1,4.17,3.51,3.58,3.58,2169100
24,2018-08-01,3.53,3.65,3.179,3.6,3.6,173800
25,2018-08-02,3.62,3.62,3.41,3.47,3.47,48500
26,2018-08-03,3.62,3.62,3.3,3.35,3.35,67300
27,2018-08-06,3.33,3.346,2.94,3.15,3.15,110800
28,2018-08-07,3.14,3.399,3.06,3.26,3.26,102000
29,2018-08-08,3.14,3.284,3.02,3.076,3.076,86700
30,2018-08-09,3.04,3.18,3.025,3.06,3.06,26300
31,2018-08-10,3.04,3.12,2.97,2.98,2.98,87000
32,2018-08-13,2.97,2.99,2.5,2.77,2.77,233700
33,2018-08-14,3.38,4.1,2.95,3.01,3.01,8187300
34,2018-08-15,3.0,3.0,2.71,2.85,2.85,376300
35,2018-08-16,2.9,2.98,2.8,2.95,2.95,185000
36,2018-08-17,2.98,3.05,2.85,2.93,2.93,62500
37,2018-08-20,2.91,3.24,2.91,3.21,3.21,173400
38,2018-08-21,3.2,3.3,3.15,3.24,3.24,95600
39,2018-08-22,3.27,3.59,3.25,3.49,3.49,141300
40,2018-08-23,3.51,3.67,3.51,3.65,3.65,95300
41,2018-08-24,3.65,3.65,3.21,3.27,3.27,118800
42,2018-08-27,3.39,3.45,3.27,3.41,3.41,58100
43,2018-08-28,3.44,3.442,3.25,3.35,3.35,66200
44,2018-08-29,3.33,3.33,3.11,3.25,3.25,68700
45,2018-08-30,3.2,3.281,3.14,3.14,3.14,24400
46,2018-08-31,3.16,3.24,3.14,3.17,3.17,44800
47,2018-09-04,3.22,3.304,3.2,3.29,3.29,26800
48,2018-09-05,3.3,3.34,2.851,3.01,3.01,77300
49,2018-09-06,3.01,3.12,2.91,2.95,2.95,33000
50,2018-09-07,2.95,3.084,2.95,3.06,3.06,55000
51,2018-09-10,3.08,3.1,2.78,2.94,2.94,207600
52,2018-09-11,2.92,3.03,2.7,2.77,2.77,77900
53,2018-09-12,2.75,2.762,2.58,2.6,2.6,73700
54,2018-09-13,2.63,2.75,2.289,2.57,2.57,183400
55,2018-09-14,2.72,3.182,2.5,2.84,2.84,409200
56,2018-09-17,2.78,2.95,2.65,2.83,2.83,116600
57,2018-09-18,2.86,3.25,2.86,3.1,3.1,224000
58,2018-09-19,3.15,3.33,3.0,3.03,3.03,161400
59,2018-09-20,3.05,3.43,3.05,3.26,3.26,146500
60,2018-09-21,3.27,3.312,2.8,2.85,2.85,193700
61,2018-09-24,2.86,2.86,2.625,2.63,2.63,135800
62,2018-09-25,2.66,2.816,2.6,2.63,2.63,73800
63,2018-09-26,2.66,2.78,2.6,2.63,2.63,36600
64,2018-09-27,2.61,2.744,2.528,2.63,2.63,66800
65,2018-09-28,2.62,2.74,2.55,2.55,2.55,42500
66,2018-10-01,2.58,2.75,2.58,2.75,2.75,102600
67,2018-10-02,2.74,2.8,2.55,2.6,2.6,154100
68,2018-10-03,2.6,2.74,2.59,2.67,2.67,49800
69,2018-10-04,2.67,2.784,2.65,2.7,2.7,28000
70,2018-10-05,2.68,2.75,2.59,2.6,2.6,44700
71,2018-10-08,2.51,2.557,2.015,2.24,2.24,165300
72,2018-10-09,2.25,2.57,2.211,2.46,2.46,145500
73,2018-10-10,2.47,2.53,2.392,2.4,2.4,33400
74,2018-10-11,2.36,2.43,2.07,2.26,2.26,55700
75,2018-10-12,2.31,2.36,2.23,2.3,2.3,66400
76,2018-10-15,2.3,2.35,1.953,1.99,1.99,230100
77,2018-10-16,2.0,2.13,1.99,2.03,2.03,183100
78,2018-10-17,2.03,2.12,2.02,2.05,2.05,136100
79,2018-10-18,2.066,2.289,2.04,2.1,2.1,182000
80,2018-10-19,2.13,2.37,2.13,2.25,2.25,119500
81,2018-10-22,2.34,2.49,2.307,2.34,2.34,78300
82,2018-10-23,2.27,2.37,2.25,2.3,2.3,61000
83,2018-10-24,2.29,2.4,2.17,2.21,2.21,85200
84,2018-10-25,2.23,2.33,2.01,2.14,2.14,76700
85,2018-10-26,2.17,2.239,2.17,2.23,2.23,1700
86,2018-10-29,2.23,2.32,2.222,2.29,2.29,51800
87,2018-10-30,2.25,2.32,2.07,2.29,2.29,77600
88,2018-10-31,2.16,2.16,1.967,2.06,2.06,89600
89,2018-11-01,2.06,2.14,1.9,2.14,2.14,92800
90,2018-11-02,2.15,2.19,2.07,2.07,2.07,40900
91,2018-11-05,2.08,2.29,2.07,2.24,2.24,58300
92,2018-11-06,2.25,2.45,2.181,2.37,2.37,71900
93,2018-11-07,2.45,2.65,2.36,2.58,2.58,113700
94,2018-11-08,2.56,2.72,2.46,2.54,2.54,131000
95,2018-11-09,2.56,2.56,1.99,2.15,2.15,267700
96,2018-11-12,2.12,2.199,2.07,2.1,2.1,51700
97,2018-11-13,2.11,2.15,2.01,2.04,2.04,57400
98,2018-11-14,2.08,2.13,2.03,2.13,2.13,68200
99,2018-11-15,2.13,2.13,1.91,1.99,1.99,99100
100,2018-11-16,1.96,2.054,1.96,2.01,2.01,54200
101,2018-11-19,2.03,2.03,1.8,1.82,1.82,85300
102,2018-11-20,1.81,1.825,1.61,1.77,1.77,170900
103,2018-11-21,1.8,1.95,1.79,1.9,1.9,51000
104,2018-11-23,1.9,1.91,1.85,1.91,1.91,13800
105,2018-11-26,1.91,1.91,1.7,1.82,1.82,46000
106,2018-11-27,1.78,1.82,1.7,1.79,1.79,79300
107,2018-11-28,1.79,1.85,1.75,1.8,1.8,38100
108,2018-11-29,1.8,1.8,1.7,1.7,1.7,39200
109,2018-11-30,1.7,1.75,1.7,1.7,1.7,42700
110,2018-12-03,1.7,1.75,1.62,1.62,1.62,84300
111,2018-12-04,1.65,1.74,1.538,1.68,1.68,86100
112,2018-12-06,1.63,1.85,1.63,1.7,1.7,44700
113,2018-12-07,1.72,1.802,1.62,1.802,1.802,90700
114,2018-12-10,1.75,2.2,1.75,2.14,2.14,383700
115,2018-12-11,2.2,2.31,2.12,2.13,2.13,147800
116,2018-12-12,2.17,2.38,2.15,2.24,2.24,111300
117,2018-12-13,2.3,2.3,1.97,2.13,2.13,64700
118,2018-12-14,2.15,2.283,2.01,2.12,2.12,27500
119,2018-12-17,2.16,2.58,2.16,2.34,2.34,317400
120,2018-12-18,2.35,3.025,2.35,2.83,2.83,526200
121,2018-12-19,2.93,3.1,2.599,2.66,2.66,302200
122,2018-12-20,2.61,2.89,2.61,2.76,2.76,205200
123,2018-12-21,2.71,2.75,2.64,2.69,2.69,98600
124,2018-12-24,2.65,2.7,2.52,2.56,2.56,43600
125,2018-12-26,2.65,2.655,2.15,2.36,2.36,232000
126,2018-12-27,2.44,2.452,2.25,2.31,2.31,34200
127,2018-12-28,2.34,2.36,2.19,2.22,2.22,56800
128,2018-12-31,2.33,2.49,2.17,2.39,2.39,133900
129,2019-01-02,2.38,2.7,2.38,2.52,2.52,65200
130,2019-01-03,2.53,2.8,2.45,2.75,2.75,46500
131,2019-01-04,2.8,3.27,2.7,3.15,3.15,356100
