,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,IEAWW,08/18/20,0.1098,0.1098,0.095,0.095,39280,-0.01,-13.56%
1,IEAWW,08/17/20,0.1086,0.1189,0.0906,0.1099,28005,0.01,9.90%
2,IEAWW,08/14/20,0.115,0.115,0.0957,0.1,4500,-0.01,-11.35%
3,IEAWW,08/13/20,0.1,0.1196,0.09,0.1128,160925,0.02,15.69%
4,IEAWW,08/12/20,0.1196,0.1196,0.09,0.0975,52926,-0.01,-5.25%
5,IEAWW,08/11/20,0.094,0.103,0.0803,0.1029,186335,0.01,9.58%
6,IEAWW,08/10/20,0.095,0.0955,0.0885,0.0939,8311,0.01,7.31%
7,IEAWW,08/07/20,0.099,0.1,0.0875,0.0875,52300,-0.01,-12.41%
8,IEAWW,08/06/20,0.1,0.105,0.094,0.0999,102041,0.01,6.05%
9,IEAWW,08/05/20,0.1095,0.14,0.0925,0.0942,596719,0.01,10.82%
10,IEAWW,08/04/20,0.0804,0.0999,0.0804,0.085,43894,-0.01,-5.66%
11,IEAWW,08/03/20,0.0801,0.0999,0.0801,0.0901,55861,-0.0,-2.49%
12,IEAWW,07/31/20,0.09,0.0924,0.085,0.0924,27200,0.0,2.67%
13,IEAWW,07/30/20,0.0802,0.1,0.074,0.09,40001,-0.01,-9.64%
14,IEAWW,07/29/20,0.08,0.0996,0.08,0.0996,20100,-0.0,-0.40%
15,IEAWW,07/28/20,0.1,0.1096,0.09,0.1,19934,0.0,0.20%
16,IEAWW,07/27/20,0.08,0.0998,0.08,0.0998,93975,0.02,19.38%
17,IEAWW,07/24/20,0.0801,0.0979,0.0801,0.0836,29500,-0.01,-11.25%
18,IEAWW,07/23/20,0.0804,0.095,0.0804,0.0942,19509,0.0,4.67%
19,IEAWW,07/22/20,0.1,0.1,0.08,0.09,119620,-0.01,-10.09%
20,IEAWW,07/21/20,0.1,0.1096,0.1,0.1001,50197,0.0,0.00%
21,IEAWW,07/20/20,0.1054,0.11,0.1,0.1001,108445,-0.01,-5.21%
22,IEAWW,07/17/20,0.1072,0.1163,0.1021,0.1056,43600,-0.0,-1.22%
23,IEAWW,07/16/20,0.105,0.107,0.1,0.1069,89526,-0.01,-10.92%
24,IEAWW,07/15/20,0.1051,0.1282,0.103,0.12,149085,0.02,20.00%
25,IEAWW,07/14/20,0.12,0.1389,0.1,0.1,207310,-0.01,-9.09%
26,IEAWW,07/13/20,0.12,0.14,0.1,0.11,168055,-0.02,-15.38%
27,IEAWW,07/10/20,0.13,0.14,0.12,0.13,85800,-0.01,-6.41%
28,IEAWW,07/09/20,0.1301,0.15,0.12,0.1389,102798,0.0,2.58%
29,IEAWW,07/08/20,0.1361,0.15,0.1351,0.1354,27822,-0.0,-3.35%
30,IEAWW,07/07/20,0.14,0.1451,0.1312,0.1401,87089,-0.01,-4.04%
31,IEAWW,07/06/20,0.1549,0.1698,0.1303,0.146,55696,0.01,8.15%
32,IEAWW,07/02/20,0.1501,0.1779,0.135,0.135,197700,-0.02,-12.39%
33,IEAWW,07/01/20,0.1509,0.18,0.14,0.1541,352003,0.02,18.45%
34,IEAWW,06/30/20,0.111,0.15,0.111,0.1301,230769,0.02,17.42%
35,IEAWW,06/29/20,0.12,0.1487,0.1052,0.1108,299464,-0.01,-7.74%
36,IEAWW,06/26/20,0.14,0.14,0.111,0.1201,73000,-0.0,-0.74%
37,IEAWW,06/25/20,0.15,0.1599,0.121,0.121,146450,-0.0,-3.20%
38,IEAWW,06/24/20,0.156,0.156,0.1101,0.125,110878,-0.01,-3.85%
39,IEAWW,06/23/20,0.12,0.18,0.1,0.13,173513,0.01,6.73%
40,IEAWW,06/22/20,0.165,0.165,0.0816,0.1218,136950,-0.04,-23.83%
41,IEAWW,06/19/20,0.21,0.21,0.0601,0.1599,363500,-0.03,-15.84%
42,IEAWW,06/18/20,0.25,0.26,0.17,0.19,583549,-0.03,-13.64%
43,IEAWW,06/17/20,0.24,0.32,0.16,0.22,1265578,0.09,69.23%
44,IEAWW,06/16/20,0.21,0.33,0.1,0.13,1588564,0.07,128.07%
45,IEAWW,06/15/20,0.0431,0.07,0.04,0.057,287285,0.01,32.25%
46,IEAWW,06/12/20,0.057,0.057,0.043,0.0431,65300,-0.01,-13.80%
47,IEAWW,06/11/20,0.055,0.0579,0.0401,0.05,224880,0.01,11.11%
48,IEAWW,06/10/20,0.045,0.055,0.0351,0.045,193190,0.0,12.50%
49,IEAWW,06/09/20,0.0496,0.059,0.0271,0.04,451887,-0.0,-9.91%
50,IEAWW,06/08/20,0.02,0.058,0.02,0.0444,818030,0.02,125.38%
51,IEAWW,06/05/20,0.0239,0.0239,0.011,0.0197,309000,0.0,15.88%
52,IEAWW,06/04/20,0.02,0.0245,0.015,0.017,1318549,-0.01,-30.89%
53,IEAWW,06/03/20,0.0216,0.0249,0.0169,0.0246,41597,-0.0,-1.20%
54,IEAWW,06/02/20,0.0228,0.0249,0.0211,0.0249,13497,0.0,12.67%
55,IEAWW,06/01/20,0.0215,0.0299,0.021,0.0221,4191,0.0,4.74%
