,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-17,14.75,15.79,12.25,12.5,12.5,3830800
1,2020-01-21,12.5,13.95,12.45,13.8,13.8,1043100
2,2020-01-22,14.25,15.39,13.85,15.37,15.37,760300
3,2020-01-23,15.46,15.73,15.0,15.16,15.16,250000
4,2020-01-24,15.14,15.6,12.32,14.0,14.0,373200
5,2020-01-27,13.85,14.11,13.61,13.68,13.68,120300
6,2020-01-28,13.64,13.92,13.5,13.68,13.68,67500
7,2020-01-29,13.64,13.813,13.25,13.43,13.43,84400
8,2020-01-30,13.26,13.745,13.0,13.0,13.0,100000
9,2020-01-31,13.0,13.05,12.3,12.3,12.3,100600
10,2020-02-03,12.34,12.613,11.16,11.35,11.35,122400
11,2020-02-04,11.25,11.35,9.3,11.35,11.35,406800
12,2020-02-05,11.22,11.79,10.505,11.5,11.5,169800
13,2020-02-06,11.54,11.54,10.91,10.95,10.95,78100
14,2020-02-07,10.99,11.454,10.65,11.0,11.0,91900
15,2020-02-10,11.0,11.07,10.58,11.0,11.0,126900
16,2020-02-11,11.26,11.495,11.03,11.18,11.18,30100
17,2020-02-12,11.2,11.25,10.88,11.0,11.0,24900
18,2020-02-13,10.96,11.25,10.89,11.08,11.08,32200
19,2020-02-14,11.15,11.201,10.81,10.81,10.81,24900
20,2020-02-18,10.86,10.97,10.6,10.63,10.63,35200
21,2020-02-19,10.55,10.96,10.55,10.64,10.64,24300
22,2020-02-20,10.58,12.45,10.55,12.14,12.14,212400
23,2020-02-21,12.78,12.82,11.605,11.99,11.99,113700
24,2020-02-24,11.8,12.278,11.475,12.01,12.01,34100
25,2020-02-25,12.01,13.87,12.01,13.82,13.82,141200
26,2020-02-26,14.0,14.49,13.02,13.4,13.4,71800
27,2020-02-27,13.22,13.22,12.32,12.5,12.5,35500
28,2020-02-28,12.6,12.723,11.6,12.3,12.3,40800
29,2020-03-02,12.83,13.65,12.65,13.51,13.51,425100
30,2020-03-03,13.4,13.5,12.755,13.1,13.1,46500
31,2020-03-04,13.18,14.05,13.18,13.86,13.86,28100
32,2020-03-05,13.75,14.13,12.99,14.1,14.1,59400
33,2020-03-06,13.56,14.78,13.56,14.0,14.0,129100
34,2020-03-09,13.3,14.43,12.57,14.0,14.0,63300
35,2020-03-10,13.96,14.73,13.845,14.13,14.13,61900
36,2020-03-11,13.83,14.44,13.355,13.62,13.62,46700
37,2020-03-12,13.11,13.35,12.0,12.75,12.75,61100
38,2020-03-13,13.98,13.98,13.1,13.67,13.67,37800
39,2020-03-16,12.57,12.75,11.5,11.5,11.5,42000
40,2020-03-17,12.47,12.47,11.5,11.5,11.5,31200
41,2020-03-18,11.26,12.09,11.19,11.2,11.2,13900
42,2020-03-19,11.06,11.8,11.05,11.38,11.38,21400
43,2020-03-20,11.53,11.99,11.103,11.25,11.25,18000
44,2020-03-23,11.16,11.34,11.1,11.25,11.25,3700
45,2020-03-24,11.49,11.72,11.276,11.46,11.46,4900
46,2020-03-25,12.1,13.0,11.65,13.0,13.0,31300
47,2020-03-26,13.0,13.15,12.01,12.01,12.01,4600
48,2020-03-27,11.28,13.0,11.28,13.0,13.0,8900
49,2020-03-30,13.4,13.49,12.5,12.5,12.5,27400
50,2020-03-31,12.88,13.39,12.15,13.0,13.0,30800
51,2020-04-01,13.0,13.5,12.68,13.5,13.5,11100
52,2020-04-02,13.5,14.5,12.593,14.5,14.5,59600
53,2020-04-03,14.95,15.8,14.1,14.5,14.5,316600
54,2020-04-06,14.95,14.956,13.78,13.79,13.79,33700
55,2020-04-07,13.96,13.96,13.0,13.0,13.0,36300
56,2020-04-08,12.95,13.9,12.95,13.1,13.1,36000
57,2020-04-09,13.24,13.85,13.01,13.6,13.6,79200
58,2020-04-13,13.3,13.7,13.3,13.3,13.3,5300
59,2020-04-14,13.88,13.89,13.35,13.6,13.6,42300
60,2020-04-15,14.3,14.3,13.52,13.7,13.7,16600
61,2020-04-16,14.49,14.49,13.09,14.15,14.15,43300
62,2020-04-17,14.14,14.14,13.51,13.8,13.8,19900
63,2020-04-20,14.42,14.42,13.7,14.34,14.34,33000
64,2020-04-21,13.7,14.342,13.21,13.4,13.4,23800
65,2020-04-22,14.39,14.39,13.675,14.24,14.24,25900
66,2020-04-23,14.0,14.28,13.8,14.05,14.05,12900
67,2020-04-24,14.26,14.26,13.97,14.13,14.13,15900
68,2020-04-27,14.0,16.299999,13.6,15.89,15.89,102100
69,2020-04-28,16.0,16.700001,15.89,15.9,15.9,60500
70,2020-04-29,16.639999,19.75,16.49,18.200001,18.200001,84300
71,2020-04-30,19.110001,19.74,18.0,18.0,18.0,72600
72,2020-05-01,16.200001,16.777,13.77,15.89,15.89,107000
73,2020-05-04,16.0,16.34,15.4,16.280001000000002,16.280001000000002,18500
74,2020-05-05,15.9,16.559998999999998,15.21,15.26,15.26,49400
75,2020-05-06,15.47,16.0,15.47,16.0,16.0,17900
76,2020-05-07,15.9,16.690001000000002,15.9,16.0,16.0,22300
