,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,IOVA,08/18/20,29.4,29.61,28.58,28.76,655882,-0.39,-1.34%
1,IOVA,08/17/20,27.75,29.34,27.75,29.15,778077,1.36,4.89%
2,IOVA,08/14/20,28.59,28.8,27.5,27.79,809400,-0.87,-3.04%
3,IOVA,08/13/20,28.36,28.78,27.86,28.66,554815,0.4,1.42%
4,IOVA,08/12/20,28.01,28.45,27.7,28.26,1085240,0.12,0.43%
5,IOVA,08/11/20,28.73,29.21,27.5,28.14,668905,-0.39,-1.37%
6,IOVA,08/10/20,29.49,29.73,28.44,28.53,780752,-0.69,-2.36%
7,IOVA,08/07/20,31.32,31.63,28.67,29.22,1657300,-1.93,-6.20%
8,IOVA,08/06/20,30.9,31.59,30.57,31.15,880490,0.29,0.94%
9,IOVA,08/05/20,30.99,31.14,30.16,30.86,706066,0.09,0.29%
10,IOVA,08/04/20,31.16,31.61,30.46,30.77,805279,-0.29,-0.93%
11,IOVA,08/03/20,29.34,31.18,28.86,31.06,1442528,1.99,6.85%
12,IOVA,07/31/20,28.98,29.21,28.43,29.07,1149300,0.22,0.76%
13,IOVA,07/30/20,28.19,29.07,28.12,28.85,711684,0.2,0.70%
14,IOVA,07/29/20,28.86,29.65,28.54,28.65,825891,-0.15,-0.52%
15,IOVA,07/28/20,29.1,29.33,28.43,28.8,1014275,-0.38,-1.30%
16,IOVA,07/27/20,27.84,29.32,27.75,29.18,1100290,1.34,4.81%
17,IOVA,07/24/20,27.31,27.94,26.75,27.84,943600,0.09,0.32%
18,IOVA,07/23/20,29.13,29.26,27.5,27.75,1250608,-1.37,-4.70%
19,IOVA,07/22/20,29.9,30.3,29.02,29.12,733922,-0.94,-3.13%
20,IOVA,07/21/20,32.16,32.38,30.01,30.06,917962,-1.6,-5.05%
21,IOVA,07/20/20,30.88,32.03,30.65,31.66,946707,1.05,3.43%
22,IOVA,07/17/20,29.43,30.87,29.4,30.61,726800,1.15,3.90%
23,IOVA,07/16/20,30.24,30.28,28.94,29.46,580617,-0.68,-2.26%
24,IOVA,07/15/20,29.79,30.55,29.4,30.14,867908,0.8,2.73%
25,IOVA,07/14/20,28.22,29.54,28.0,29.34,1218399,1.05,3.71%
26,IOVA,07/13/20,29.53,30.68,28.12,28.29,1291961,-1.22,-4.13%
27,IOVA,07/10/20,30.5,30.63,29.2,29.51,784800,-0.83,-2.74%
28,IOVA,07/09/20,30.31,30.55,29.55,30.34,1112141,0.16,0.53%
29,IOVA,07/08/20,30.19,30.53,29.7,30.18,1148760,0.24,0.80%
30,IOVA,07/07/20,29.16,30.45,28.88,29.94,1528710,0.82,2.82%
31,IOVA,07/06/20,29.26,29.68,28.72,29.12,847427,0.03,0.10%
32,IOVA,07/02/20,29.23,29.8,28.11,29.09,1527600,0.06,0.21%
33,IOVA,07/01/20,27.71,29.34,27.52,29.03,1381388,1.58,5.76%
34,IOVA,06/30/20,27.39,27.77,26.34,27.45,2378857,0.24,0.88%
35,IOVA,06/29/20,27.61,28.08,27.0,27.21,2184608,-0.26,-0.95%
36,IOVA,06/26/20,27.44,28.3,27.04,27.47,14977400,-0.14,-0.51%
37,IOVA,06/25/20,28.52,28.55,27.14,27.61,3052236,-1.08,-3.76%
38,IOVA,06/24/20,30.62,30.88,28.52,28.69,2206764,-2.28,-7.36%
39,IOVA,06/23/20,30.13,31.98,30.1,30.97,1856947,0.93,3.10%
40,IOVA,06/22/20,30.13,30.13,28.7,30.04,2215617,0.06,0.20%
