,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,IR,08/18/20,34.73,35.01,34.6,34.62,1917928,-0.19,-0.55%
1,IR,08/17/20,35.45,35.54,34.68,34.81,1595538,-0.59,-1.67%
2,IR,08/14/20,34.85,35.6,34.52,35.4,1572600,0.28,0.80%
3,IR,08/13/20,35.37,35.46,35.04,35.12,1710045,-0.49,-1.38%
4,IR,08/12/20,36.07,36.19,35.38,35.61,1977329,-0.25,-0.70%
5,IR,08/11/20,35.36,36.24,35.36,35.86,3626044,0.83,2.37%
6,IR,08/10/20,33.96,35.04,33.81,35.03,3477500,1.13,3.33%
7,IR,08/07/20,32.94,33.92,32.76,33.9,2916200,0.86,2.60%
8,IR,08/06/20,32.84,33.19,32.54,33.04,1847763,0.14,0.43%
9,IR,08/05/20,32.94,33.6,32.78,32.9,2362871,0.25,0.77%
10,IR,08/04/20,32.94,33.51,32.09,32.65,5173489,0.02,0.06%
11,IR,08/03/20,31.84,32.66,31.65,32.63,2971990,1.04,3.29%
12,IR,07/31/20,31.66,32.08,31.01,31.59,2658300,-0.22,-0.69%
13,IR,07/30/20,31.67,31.91,31.24,31.81,1929978,-0.35,-1.09%
14,IR,07/29/20,31.63,32.16,31.4,32.16,1957808,0.81,2.58%
15,IR,07/28/20,31.88,31.97,31.18,31.35,3074841,-0.47,-1.48%
16,IR,07/27/20,31.78,31.95,31.42,31.82,1862186,0.22,0.70%
17,IR,07/24/20,31.68,31.79,31.28,31.6,2427600,-0.03,-0.09%
18,IR,07/23/20,31.8,32.11,31.41,31.63,2109831,-0.27,-0.85%
19,IR,07/22/20,31.72,32.15,31.51,31.9,2453689,0.25,0.79%
20,IR,07/21/20,31.5,32.0,31.4,31.65,3143661,0.35,1.12%
21,IR,07/20/20,30.61,31.38,30.41,31.3,3138592,0.65,2.12%
22,IR,07/17/20,30.81,31.14,30.41,30.65,2905600,-0.03,-0.10%
23,IR,07/16/20,30.89,31.32,30.45,30.68,2676770,-0.28,-0.90%
