,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,JRVR,08/18/20,47.11,47.73,46.66,47.53,119665,0.5,1.06%
1,JRVR,08/17/20,47.15,47.59,46.74,47.03,169829,-0.02,-0.04%
2,JRVR,08/14/20,47.46,47.53,46.56,47.05,135900,-0.76,-1.59%
3,JRVR,08/13/20,47.16,48.41,47.16,47.81,151406,0.37,0.78%
4,JRVR,08/12/20,48.46,48.49,47.09,47.44,165074,-0.37,-0.77%
5,JRVR,08/11/20,47.32,48.36,46.74,47.81,272309,1.07,2.29%
6,JRVR,08/10/20,47.31,47.31,46.55,46.74,99525,-0.25,-0.53%
7,JRVR,08/07/20,45.32,47.29,45.21,46.99,148400,1.46,3.21%
8,JRVR,08/06/20,45.79,46.35,45.14,45.53,139514,-0.42,-0.90%
9,JRVR,08/05/20,45.62,46.44,45.39,45.95,197216,0.69,1.51%
10,JRVR,08/04/20,46.0,46.47,44.17,45.26,247882,-1.1,-2.37%
11,JRVR,08/03/20,46.5,47.14,46.15,46.36,104725,0.04,0.09%
12,JRVR,07/31/20,46.75,46.89,45.42,46.32,232200,-0.53,-1.13%
13,JRVR,07/30/20,46.31,47.83,44.78,46.85,291535,-0.1,-0.21%
14,JRVR,07/29/20,46.15,47.24,46.15,46.95,95375,1.04,2.27%
15,JRVR,07/28/20,46.43,46.71,45.84,45.91,69595,-0.78,-1.67%
16,JRVR,07/27/20,46.85,47.01,46.28,46.69,47844,-0.24,-0.51%
17,JRVR,07/24/20,47.84,48.15,46.79,46.93,84300,-0.98,-2.05%
18,JRVR,07/23/20,47.1,48.04,46.96,47.91,224058,0.86,1.83%
19,JRVR,07/22/20,47.25,47.43,46.73,47.05,175713,-0.29,-0.61%
20,JRVR,07/21/20,47.2,47.99,46.96,47.34,276798,0.43,0.92%
21,JRVR,07/20/20,47.42,48.05,46.41,46.91,142789,-0.56,-1.18%
22,JRVR,07/17/20,47.42,47.79,46.72,47.47,176600,0.07,0.15%
23,JRVR,07/16/20,47.44,48.56,47.3,47.4,144785,-0.26,-0.55%
24,JRVR,07/15/20,47.96,49.03,45.35,47.66,355910,0.61,1.30%
25,JRVR,07/14/20,45.33,47.13,45.22,47.05,175894,1.65,3.63%
26,JRVR,07/13/20,46.23,46.53,45.39,45.4,129710,-0.35,-0.77%
27,JRVR,07/10/20,44.99,46.11,44.76,45.75,150600,0.92,2.05%
28,JRVR,07/09/20,45.83,45.83,44.5,44.83,190800,-0.24,-0.53%
29,JRVR,07/08/20,44.67,45.11,44.44,45.07,157517,0.36,0.81%
30,JRVR,07/07/20,45.13,45.13,44.42,44.71,186724,-0.69,-1.52%
31,JRVR,07/06/20,45.42,45.6,44.8,45.4,198328,0.77,1.73%
32,JRVR,07/02/20,45.14,45.44,44.18,44.63,148900,0.22,0.50%
33,JRVR,07/01/20,45.17,45.32,44.24,44.41,140473,-0.59,-1.31%
34,JRVR,06/30/20,44.6,45.27,44.44,45.0,207822,0.26,0.58%
35,JRVR,06/29/20,43.97,44.99,43.62,44.74,169737,1.22,2.80%
36,JRVR,06/26/20,44.0,44.17,43.13,43.52,543600,-0.5,-1.14%
37,JRVR,06/25/20,43.7,44.19,43.04,44.02,222591,0.2,0.46%
38,JRVR,06/24/20,44.07,44.08,42.84,43.82,174666,-0.79,-1.77%
39,JRVR,06/23/20,43.96,44.71,43.29,44.61,197566,1.32,3.05%
40,JRVR,06/22/20,42.58,43.35,41.97,43.29,106603,0.45,1.05%
