,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,KBAL,08/18/20,11.79,11.79,11.34,11.56,202065,-0.22,-1.91%
1,KBAL,08/17/20,11.79,11.93,11.75,11.79,142868,-0.02,-0.17%
2,KBAL,08/14/20,11.59,11.93,11.56,11.81,92100,0.1,0.85%
3,KBAL,08/13/20,11.84,11.88,11.59,11.71,105332,-0.2,-1.68%
4,KBAL,08/12/20,12.45,12.55,11.82,11.91,162710,-0.38,-3.09%
5,KBAL,08/11/20,12.07,12.45,12.07,12.29,173291,0.36,3.02%
6,KBAL,08/10/20,11.68,12.0,11.66,11.93,189405,0.38,3.29%
7,KBAL,08/07/20,11.14,11.56,11.14,11.55,118100,0.41,3.68%
8,KBAL,08/06/20,10.83,11.17,10.8,11.14,127151,0.27,2.44%
9,KBAL,08/05/20,10.69,10.88,10.55,10.88,131201,0.29,2.79%
10,KBAL,08/04/20,11.15,11.19,10.28,10.58,210695,-0.4,-3.64%
11,KBAL,08/03/20,11.07,11.13,10.72,10.98,130471,0.04,0.37%
12,KBAL,07/31/20,10.94,10.98,10.4,10.94,215800,-0.13,-1.17%
13,KBAL,07/30/20,11.06,11.11,10.76,11.07,82013,-0.16,-1.42%
14,KBAL,07/29/20,10.82,11.26,10.82,11.23,144570,0.52,4.86%
15,KBAL,07/28/20,10.82,10.91,10.69,10.71,142574,-0.11,-1.02%
16,KBAL,07/27/20,10.91,11.06,10.73,10.82,69136,-0.12,-1.10%
17,KBAL,07/24/20,11.23,11.3,10.9,10.94,136400,-0.3,-2.67%
18,KBAL,07/23/20,10.93,11.26,10.93,11.24,105159,0.27,2.46%
19,KBAL,07/22/20,11.09,11.2,10.91,10.97,188626,-0.15,-1.35%
20,KBAL,07/21/20,11.04,11.32,10.87,11.12,741011,0.21,1.92%
21,KBAL,07/20/20,11.21,11.21,10.81,10.91,69387,-0.32,-2.85%
22,KBAL,07/17/20,11.19,11.34,11.07,11.23,97800,0.01,0.09%
23,KBAL,07/16/20,11.16,11.26,11.01,11.22,114277,-0.01,-0.09%
24,KBAL,07/15/20,10.93,11.3,10.9,11.23,260409,0.67,6.34%
25,KBAL,07/14/20,10.48,10.73,10.38,10.56,167711,0.09,0.86%
26,KBAL,07/13/20,10.99,10.99,10.32,10.47,181476,-0.32,-2.97%
27,KBAL,07/10/20,10.42,10.79,10.29,10.79,184600,0.44,4.25%
28,KBAL,07/09/20,10.75,10.89,10.28,10.35,115510,-0.43,-3.99%
29,KBAL,07/08/20,10.87,10.92,10.5,10.78,167420,-0.03,-0.28%
30,KBAL,07/07/20,11.47,11.47,10.79,10.81,134593,-0.81,-6.97%
31,KBAL,07/06/20,11.66,11.69,11.15,11.62,179608,0.3,2.65%
32,KBAL,07/02/20,11.26,11.55,11.01,11.32,187100,0.3,2.72%
33,KBAL,07/01/20,11.57,11.83,11.01,11.02,103782,-0.54,-4.67%
34,KBAL,06/30/20,11.63,11.77,11.48,11.56,113322,-0.14,-1.20%
35,KBAL,06/29/20,10.99,11.71,10.91,11.7,132607,0.82,7.54%
36,KBAL,06/26/20,11.01,11.01,10.68,10.88,797400,-0.21,-1.85%
37,KBAL,06/25/20,10.82,11.09,10.79,11.09,188960,0.19,1.74%
38,KBAL,06/24/20,11.26,11.26,10.71,10.89,154382,-0.62,-5.34%
39,KBAL,06/23/20,11.61,11.64,11.25,11.51,119710,0.15,1.32%
40,KBAL,06/22/20,11.09,11.39,10.75,11.36,164338,0.17,1.52%
41,KBAL,06/19/20,11.24,11.35,11.01,11.19,332000,0.01,0.09%
42,KBAL,06/18/20,11.64,12.04,11.1,11.18,120274,-0.61,-5.17%
43,KBAL,06/17/20,12.3,12.3,11.63,11.79,173980,-0.46,-3.76%
44,KBAL,06/16/20,12.25,12.44,11.8,12.25,251412,0.58,4.97%
45,KBAL,06/15/20,10.81,11.74,10.72,11.67,482774,0.36,3.18%
46,KBAL,06/12/20,11.5,11.63,10.94,11.31,147600,0.31,2.82%
47,KBAL,06/11/20,11.5,11.76,10.95,11.0,170555,-1.03,-8.56%
48,KBAL,06/10/20,12.65,12.83,11.91,12.03,158604,-0.57,-4.52%
49,KBAL,06/09/20,13.39,13.39,12.59,12.6,183443,-0.78,-5.83%
50,KBAL,06/08/20,13.95,14.1,13.29,13.38,131206,-0.33,-2.41%
51,KBAL,06/05/20,13.28,13.92,13.26,13.71,185000,1.04,8.21%
52,KBAL,06/04/20,11.94,12.7,11.88,12.67,165202,0.62,5.15%
53,KBAL,06/03/20,11.62,12.37,11.61,12.05,105411,0.73,6.45%
54,KBAL,06/02/20,11.33,11.5,11.13,11.32,225582,0.11,0.98%
55,KBAL,06/01/20,11.27,11.39,10.9,11.21,150558,0.02,0.18%
56,KBAL,05/29/20,11.63,11.63,10.77,11.19,163200,-0.6,-5.09%
57,KBAL,05/28/20,12.01,12.22,11.78,11.79,237851,0.02,0.17%
58,KBAL,05/27/20,11.58,11.97,11.29,11.77,460487,0.57,5.09%
59,KBAL,05/26/20,11.24,11.48,11.02,11.2,374827,0.47,4.38%
60,KBAL,05/22/20,10.74,10.82,10.48,10.73,71100,0.07,0.66%
61,KBAL,05/21/20,10.66,10.84,10.58,10.66,63898,-0.06,-0.56%
62,KBAL,05/20/20,10.78,10.9,10.69,10.72,104161,0.11,1.04%
63,KBAL,05/19/20,11.04,11.07,10.61,10.61,138065,-0.47,-4.24%
64,KBAL,05/18/20,10.86,11.27,10.86,11.08,231962,0.8,7.78%
65,KBAL,05/15/20,9.95,10.36,9.88,10.28,92100,0.29,2.90%
66,KBAL,05/14/20,9.8,10.03,9.25,9.99,162890,0.19,1.94%
67,KBAL,05/13/20,10.66,10.66,9.6,9.8,171578,-0.75,-7.11%
68,KBAL,05/12/20,11.99,11.99,10.53,10.55,196395,-1.43,-11.94%
69,KBAL,05/11/20,12.35,12.35,11.77,11.98,173692,-0.57,-4.54%
70,KBAL,05/08/20,12.37,12.82,12.26,12.55,123500,0.46,3.80%
71,KBAL,05/07/20,12.0,12.23,11.93,12.09,152354,0.09,0.75%
72,KBAL,05/06/20,11.88,12.45,11.75,12.0,140954,0.0,0.00%
73,KBAL,05/05/20,12.24,12.51,11.98,12.0,154456,0.02,0.17%
74,KBAL,05/04/20,11.84,12.27,11.73,11.98,93350,0.0,0.00%
75,KBAL,05/01/20,11.89,12.07,11.62,11.98,111400,-0.29,-2.36%
76,KBAL,04/30/20,12.64,12.64,12.05,12.27,100099,-0.77,-5.90%
77,KBAL,04/29/20,12.31,13.39,12.31,13.04,260595,1.01,8.40%
78,KBAL,04/28/20,11.56,12.19,11.3,12.03,111603,0.81,7.22%
79,KBAL,04/27/20,11.14,11.4,10.99,11.22,136840,0.27,2.47%
80,KBAL,04/24/20,11.2,11.3,10.76,10.95,90600,-0.26,-2.32%
81,KBAL,04/23/20,10.77,11.39,10.74,11.21,145452,0.5,4.67%
82,KBAL,04/22/20,10.73,10.93,10.56,10.71,69026,0.25,2.39%
83,KBAL,04/21/20,10.74,10.82,10.0,10.46,303759,-0.68,-6.10%
