,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,KOD,08/18/20,48.73,48.73,46.37,46.44,167424,-2.13,-4.39%
1,KOD,08/17/20,47.83,48.94,47.64,48.57,222773,0.69,1.44%
2,KOD,08/14/20,47.88,49.02,47.58,47.88,104600,-0.32,-0.66%
3,KOD,08/13/20,48.63,49.39,47.89,48.2,139604,-0.39,-0.80%
4,KOD,08/12/20,49.08,51.4,47.9,48.59,225893,-0.1,-0.21%
5,KOD,08/11/20,48.83,51.1,47.41,48.69,237359,-0.02,-0.04%
6,KOD,08/10/20,48.12,50.0,46.42,48.71,196010,0.61,1.27%
7,KOD,08/07/20,48.25,49.03,47.45,48.1,155200,0.03,0.06%
8,KOD,08/06/20,46.98,48.27,46.56,48.07,207186,1.16,2.47%
9,KOD,08/05/20,46.68,47.44,46.14,46.91,273306,0.16,0.34%
10,KOD,08/04/20,47.04,47.2,45.77,46.75,146173,-0.44,-0.93%
11,KOD,08/03/20,46.68,47.39,45.54,47.19,240168,0.86,1.86%
12,KOD,07/31/20,47.65,48.15,45.93,46.33,316200,-1.16,-2.44%
13,KOD,07/30/20,46.72,48.17,45.74,47.49,222543,1.24,2.68%
14,KOD,07/29/20,47.46,47.7,45.16,46.25,281883,-0.13,-0.28%
15,KOD,07/28/20,47.05,47.6,46.34,46.38,291367,-0.62,-1.32%
16,KOD,07/27/20,45.39,47.1,44.25,47.0,266313,1.95,4.33%
17,KOD,07/24/20,45.15,45.96,42.97,45.05,247200,-0.05,-0.11%
18,KOD,07/23/20,47.7,47.86,44.61,45.1,301094,-2.76,-5.77%
19,KOD,07/22/20,47.81,49.18,47.0,47.86,256179,0.06,0.13%
20,KOD,07/21/20,51.76,51.76,47.36,47.8,325517,-3.46,-6.75%
21,KOD,07/20/20,49.01,51.33,48.89,51.26,179995,2.15,4.38%
22,KOD,07/17/20,47.78,50.27,47.63,49.11,224000,1.06,2.21%
23,KOD,07/16/20,50.99,52.04,47.28,48.05,253346,-3.43,-6.66%
24,KOD,07/15/20,50.2,52.33,49.04,51.48,223490,2.71,5.56%
25,KOD,07/14/20,48.36,49.83,46.51,48.77,298594,0.22,0.45%
26,KOD,07/13/20,53.63,54.09,48.32,48.55,607334,-4.2,-7.96%
27,KOD,07/10/20,53.55,53.91,51.7,52.75,268400,-0.69,-1.29%
28,KOD,07/09/20,51.84,54.34,50.7,53.44,274609,1.78,3.45%
29,KOD,07/08/20,50.42,52.12,48.54,51.66,279488,1.42,2.83%
