,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,LHCG,08/18/20,197.88,204.33,197.54,203.53,252090,5.98,3.03%
1,LHCG,08/17/20,197.2,199.91,196.38,197.55,278161,0.58,0.29%
2,LHCG,08/14/20,196.33,198.15,194.91,196.97,213200,1.01,0.52%
3,LHCG,08/13/20,195.59,196.92,194.3,195.96,255976,-0.24,-0.12%
4,LHCG,08/12/20,197.33,201.05,194.36,196.2,269271,-2.06,-1.04%
5,LHCG,08/11/20,202.35,204.38,197.43,198.26,340638,-2.8,-1.39%
6,LHCG,08/10/20,213.26,214.97,200.43,201.06,329156,-12.02,-5.64%
7,LHCG,08/07/20,209.5,214.0,203.93,213.08,251800,3.43,1.64%
8,LHCG,08/06/20,202.45,211.85,196.08,209.65,346034,6.04,2.97%
9,LHCG,08/05/20,201.2,204.35,196.11,203.61,244446,3.81,1.91%
10,LHCG,08/04/20,196.93,201.41,196.28,199.8,189994,1.57,0.79%
11,LHCG,08/03/20,197.57,199.14,195.02,198.23,138191,3.12,1.60%
12,LHCG,07/31/20,197.62,197.74,190.58,195.11,258400,-2.14,-1.08%
13,LHCG,07/30/20,194.24,197.96,193.74,197.25,198340,0.25,0.13%
14,LHCG,07/29/20,187.05,199.72,187.05,197.0,235642,11.31,6.09%
15,LHCG,07/28/20,189.21,192.3,185.69,185.69,204335,-4.37,-2.30%
16,LHCG,07/27/20,187.86,191.96,187.13,190.06,163681,2.22,1.18%
17,LHCG,07/24/20,188.01,189.19,185.7,187.84,150300,-0.5,-0.27%
18,LHCG,07/23/20,189.34,192.43,186.69,188.34,224024,-0.14,-0.07%
19,LHCG,07/22/20,189.61,192.1,187.6,188.48,268268,0.0,0.00%
20,LHCG,07/21/20,191.05,191.96,187.62,188.48,217659,-0.71,-0.38%
21,LHCG,07/20/20,188.75,192.16,186.84,189.19,210480,1.19,0.63%
22,LHCG,07/17/20,184.11,189.34,183.27,188.0,146400,3.47,1.88%
23,LHCG,07/16/20,185.18,186.4,182.89,184.53,248694,-0.84,-0.45%
24,LHCG,07/15/20,183.0,185.45,179.31,185.37,251730,6.94,3.89%
25,LHCG,07/14/20,173.71,178.59,171.91,178.43,214224,4.17,2.39%
26,LHCG,07/13/20,182.95,185.53,173.67,174.26,304175,-7.06,-3.89%
27,LHCG,07/10/20,178.84,182.2,178.15,181.32,152100,0.71,0.39%
28,LHCG,07/09/20,180.64,181.24,175.96,180.61,188696,1.49,0.83%
29,LHCG,07/08/20,178.06,179.96,174.4,179.12,151850,1.34,0.75%
30,LHCG,07/07/20,177.93,180.92,176.28,177.78,191616,-1.42,-0.79%
31,LHCG,07/06/20,180.0,181.49,175.99,179.2,264294,2.02,1.14%
32,LHCG,07/02/20,179.0,179.29,176.17,177.18,182600,-0.23,-0.13%
33,LHCG,07/01/20,174.99,179.21,172.54,177.41,314517,3.09,1.77%
34,LHCG,06/30/20,172.36,175.0,164.7,174.32,296375,2.13,1.24%
35,LHCG,06/29/20,172.26,172.57,169.04,172.19,273186,0.26,0.15%
36,LHCG,06/26/20,171.18,174.45,169.73,171.93,519600,-0.17,-0.10%
