,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,LITB,08/18/20,2.9,2.91,2.72,2.86,746891,0.09,3.25%
1,LITB,08/17/20,2.74,2.83,2.66,2.77,399074,0.07,2.59%
2,LITB,08/14/20,2.84,2.94,2.65,2.7,401300,-0.05,-1.82%
3,LITB,08/13/20,2.67,2.8,2.58,2.75,695645,0.1,3.77%
4,LITB,08/12/20,2.4,3.06,2.34,2.65,1828108,0.25,10.42%
5,LITB,08/11/20,3.16,3.25,2.3,2.4,2069240,-0.87,-26.61%
6,LITB,08/10/20,2.9,3.89,2.9,3.27,4427400,0.51,18.48%
7,LITB,08/07/20,2.2,2.77,2.1,2.76,1405500,0.51,22.67%
8,LITB,08/06/20,2.23,2.28,2.05,2.25,1068300,-0.04,-1.75%
9,LITB,08/05/20,1.75,2.42,1.67,2.29,2324224,0.7,44.03%
10,LITB,08/04/20,1.55,1.98,1.55,1.59,1425090,0.09,6.00%
11,LITB,08/03/20,1.29,1.53,1.29,1.5,460553,0.23,18.11%
12,LITB,07/31/20,1.27,1.32,1.25,1.27,178500,-0.03,-2.22%
13,LITB,07/30/20,1.28,1.32,1.27,1.2990000000000002,87965,-0.0,-0.08%
14,LITB,07/29/20,1.36,1.36,1.29,1.3,191497,-0.05,-3.70%
15,LITB,07/28/20,1.2,1.38,1.2,1.35,462436,0.13,10.66%
16,LITB,07/27/20,1.2,1.22,1.2,1.22,196334,0.0,0.41%
17,LITB,07/24/20,1.19,1.23,1.16,1.215,169900,0.05,3.85%
18,LITB,07/23/20,1.2,1.22,1.17,1.17,180609,-0.04,-3.31%
19,LITB,07/22/20,1.16,1.21,1.16,1.21,143271,0.03,2.54%
20,LITB,07/21/20,1.13,1.21,1.13,1.18,183448,0.04,3.51%
21,LITB,07/20/20,1.17,1.21,1.13,1.14,294253,-0.07,-5.79%
22,LITB,07/17/20,1.18,1.24,1.18,1.21,514600,0.04,3.42%
23,LITB,07/16/20,1.16,1.19,1.13,1.17,182019,0.0,0.00%
24,LITB,07/15/20,1.12,1.2,1.12,1.17,127999,0.03,2.63%
25,LITB,07/14/20,1.16,1.16,1.11,1.14,229624,-0.01,-0.87%
26,LITB,07/13/20,1.22,1.22,1.14,1.15,475652,-0.07,-5.74%
27,LITB,07/10/20,1.17,1.22,1.1,1.22,560300,0.02,1.67%
28,LITB,07/09/20,1.2,1.2,1.15,1.2,477176,0.0,0.00%
