,Date,Open,High,Low,Close,Adj Close,Volume
0,1989-02-24,0.0,12.0,12.0,12.0,1.52538,3300
1,1989-02-27,0.0,12.0,12.0,12.0,1.52538,1000
2,1989-02-28,0.0,12.0,12.0,12.0,1.52538,4000
3,1989-03-01,0.0,12.0,12.0,12.0,1.52538,7500
4,1989-03-02,0.0,12.0,12.0,12.0,1.52538,14300
5,1989-03-03,0.0,12.0,12.0,12.0,1.52538,6000
6,1989-03-06,0.0,12.0,12.0,12.0,1.52538,9300
7,1989-03-07,0.0,12.0,11.875,12.0,1.52538,46700
8,1989-03-08,0.0,12.0,12.0,12.0,1.52538,11600
9,1989-03-09,0.0,12.0,11.875,12.0,1.52538,11000
10,1989-03-10,0.0,12.0,12.0,12.0,1.52538,11900
11,1989-03-13,0.0,12.0,11.875,12.0,1.52538,8400
12,1989-03-14,0.0,11.875,11.25,11.5,1.461822,65500
13,1989-03-15,0.0,11.75,11.625,11.75,1.493602,19000
14,1989-03-16,0.0,11.75,11.625,11.75,1.493602,26000
15,1989-03-17,0.0,11.75,11.625,11.625,1.4777120000000001,4100
16,1989-03-20,0.0,11.75,11.625,11.625,1.4777120000000001,12000
17,1989-03-21,0.0,11.875,11.625,11.625,1.4777120000000001,16000
18,1989-03-22,0.0,11.75,11.625,11.75,1.493602,5900
19,1989-03-23,0.0,11.625,11.625,11.625,1.4777120000000001,23700
20,1989-03-27,0.0,11.75,11.625,11.625,1.4777120000000001,15900
21,1989-03-28,0.0,11.75,11.625,11.625,1.4777120000000001,7700
22,1989-03-29,0.0,11.625,11.625,11.625,1.4777120000000001,21700
23,1989-03-30,0.0,11.75,11.625,11.625,1.4777120000000001,10400
24,1989-03-31,0.0,11.75,11.5,11.5,1.461822,14200
25,1989-04-03,0.0,11.75,11.625,11.625,1.4777120000000001,5400
26,1989-04-04,0.0,11.75,11.625,11.625,1.4777120000000001,10100
27,1989-04-05,0.0,11.75,11.625,11.625,1.4777120000000001,4100
28,1989-04-06,0.0,11.875,11.625,11.875,1.509491,8700
29,1989-04-07,0.0,11.875,11.5,11.5,1.461822,13200
30,1989-04-10,0.0,11.5,11.25,11.25,1.437418,9500
31,1989-04-11,0.0,11.5,11.25,11.25,1.437418,7200
32,1989-04-12,0.0,11.25,10.875,10.875,1.389505,16600
33,1989-04-13,0.0,11.25,11.0,11.125,1.421447,7500
34,1989-04-14,0.0,11.5,10.875,11.125,1.421447,28400
35,1989-04-17,0.0,11.125,10.625,10.75,1.373534,14700
36,1989-04-18,0.0,11.25,10.75,11.25,1.437418,28400
37,1989-04-19,0.0,11.25,11.125,11.125,1.421447,9700
38,1989-04-20,0.0,11.375,11.0,11.125,1.421447,13700
39,1989-04-21,0.0,11.125,11.0,11.125,1.421447,10600
40,1989-04-24,0.0,11.125,11.0,11.0,1.405476,5700
41,1989-04-25,0.0,11.0,10.875,10.875,1.389505,7100
42,1989-04-26,0.0,11.0,10.75,10.875,1.389505,27400
43,1989-04-27,0.0,11.0,10.875,10.875,1.389505,21900
44,1989-04-28,0.0,11.25,10.875,11.25,1.437418,20700
45,1989-05-01,0.0,11.5,11.25,11.5,1.4693610000000001,26700
46,1989-05-02,0.0,11.5,11.375,11.5,1.4693610000000001,20300
47,1989-05-03,0.0,11.625,11.375,11.375,1.45339,80700
48,1989-05-04,0.0,11.5,11.125,11.25,1.437418,13400
49,1989-05-05,0.0,11.375,11.125,11.125,1.421447,7000
50,1989-05-08,0.0,11.375,11.125,11.375,1.45339,6200
51,1989-05-09,0.0,11.375,11.25,11.25,1.437418,14600
52,1989-05-10,0.0,11.375,11.125,11.125,1.421447,7900
53,1989-05-11,0.0,11.375,11.25,11.375,1.45339,23200
54,1989-05-12,0.0,11.375,11.25,11.375,1.45339,19200
55,1989-05-15,0.0,11.125,10.875,10.875,1.397243,24200
56,1989-05-16,0.0,11.125,10.875,11.125,1.4293639999999999,28400
57,1989-05-17,0.0,11.25,11.125,11.25,1.445423,16500
58,1989-05-18,0.0,11.5,11.125,11.375,1.461486,10300
59,1989-05-19,0.0,11.375,11.25,11.375,1.461486,12200
60,1989-05-22,0.0,11.625,11.375,11.5,1.477544,31000
61,1989-05-23,0.0,11.625,11.375,11.625,1.4936040000000002,12600
