,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,12.68,12.68,12.62,12.62,12.62,1400
1,2015-08-21,12.0,12.4,12.0,12.4,12.4,200
2,2015-08-24,10.27,11.27,10.27,10.89,10.89,2700
3,2015-08-25,12.0,12.0,12.0,12.0,12.0,200
4,2015-08-26,11.9,12.05,11.9,12.05,12.05,1800
5,2015-08-27,12.27,12.27,12.0,12.2,12.2,2100
6,2015-08-28,12.75,12.75,12.75,12.75,12.75,500
7,2015-08-31,11.3,12.35,11.28,12.27,12.27,900
8,2015-09-01,11.77,11.79,11.44,11.72,11.72,1000
9,2015-09-02,11.44,11.44,11.38,11.38,11.38,1300
10,2015-09-03,11.18,11.18,10.9,11.06,11.06,3100
11,2015-09-04,12.07,12.31,12.06,12.26,12.26,2700
12,2015-09-08,11.98,12.03,11.98,12.01,12.01,3700
13,2015-09-09,11.89,12.05,11.75,11.85,11.85,9700
14,2015-09-10,12.01,12.01,12.01,12.01,12.01,100
15,2015-09-11,11.49,11.5,11.49,11.5,11.5,700
16,2015-09-14,11.26,11.79,11.26,11.79,11.79,1400
17,2015-09-15,11.42,11.42,11.42,11.42,11.42,200
18,2015-09-16,11.81,11.94,11.52,11.8,11.8,4400
19,2015-09-17,11.8,11.8,11.8,11.8,11.8,0
20,2015-09-18,12.73,12.75,12.3,12.71,12.71,1200
21,2015-09-21,12.22,12.42,12.22,12.37,12.37,2900
22,2015-09-22,12.32,12.32,12.07,12.13,12.13,1700
23,2015-09-23,12.55,12.94,12.55,12.94,12.94,1300
24,2015-09-24,13.0,13.0,13.0,13.0,13.0,200
25,2015-09-25,12.99,12.99,12.5,12.97,12.97,400
26,2015-09-28,12.95,12.95,12.83,12.83,12.83,400
27,2015-09-29,12.45,12.45,12.04,12.39,12.39,400
28,2015-09-30,11.81,11.81,11.17,11.3,11.3,1400
29,2015-10-01,11.3,11.3,11.3,11.3,11.3,0
30,2015-10-02,10.8,11.12,10.8,11.1,11.1,4300
31,2015-10-05,11.19,11.43,11.19,11.43,11.43,300
32,2015-10-06,11.79,11.79,11.79,11.79,11.79,300
33,2015-10-07,11.99,12.02,11.85,11.9,11.9,1300
34,2015-10-08,11.99,12.19,11.98,12.05,12.05,600
35,2015-10-09,12.06,12.08,11.79,12.08,12.08,700
36,2015-10-12,12.01,12.01,12.01,12.01,12.01,500
37,2015-10-13,12.02,12.02,12.02,12.02,12.02,400
