,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,13.32,13.35,13.31,13.35,10.148128999999999,9500
1,2015-08-21,13.35,13.37,13.34,13.35,10.148128999999999,6900
2,2015-08-24,13.35,13.36,13.34,13.36,10.155724000000001,44100
3,2015-08-25,13.29,13.37,13.29,13.29,10.102517,14200
4,2015-08-26,13.33,13.33,13.16,13.21,10.041702,53500
5,2015-08-27,13.25,13.26,13.22,13.25,10.072109,7200
6,2015-08-28,13.21,13.34,13.21,13.34,10.140528,6300
7,2015-08-31,13.33,13.34,13.3,13.31,10.117719000000001,9400
8,2015-09-01,13.31,13.36,13.31,13.31,10.117719000000001,6900
9,2015-09-02,13.29,13.3,13.27,13.29,10.102517,7100
10,2015-09-03,13.31,13.35,13.31,13.34,10.140528,7900
11,2015-09-04,13.29,13.42,13.29,13.42,10.201338,5400
12,2015-09-08,13.39,13.44,13.39,13.44,10.21654,11000
13,2015-09-09,13.37,13.46,13.37,13.46,10.231745,9400
14,2015-09-10,13.4,13.42,13.36,13.36,10.155724000000001,7300
15,2015-09-11,13.34,13.35,13.29,13.31,10.171776,21100
16,2015-09-14,13.25,13.27,13.21,13.22,10.102996000000001,17200
17,2015-09-15,13.2,13.2,13.17,13.18,10.072427000000001,14600
18,2015-09-16,13.18,13.23,13.15,13.23,10.110636,12600
19,2015-09-17,13.18,13.33,13.17,13.33,10.18706,17300
20,2015-09-18,13.31,13.4,13.31,13.37,10.217628999999999,12300
21,2015-09-21,13.42,13.42,13.34,13.39,10.232916000000001,21200
22,2015-09-22,13.4,13.52,13.4,13.5,10.316978,18900
23,2015-09-23,13.45,13.52,13.44,13.5,10.316978,14800
24,2015-09-24,13.48,13.52,13.48,13.48,10.301694,7500
25,2015-09-25,13.51,13.58,13.51,13.58,10.378114,10500
26,2015-09-28,13.61,13.61,13.52,13.53,10.339903,11900
27,2015-09-29,13.52,13.55,13.48,13.49,10.309336,11700
28,2015-09-30,13.51,13.54,13.5,13.5,10.316978,3200
29,2015-10-01,13.53,13.57,13.53,13.56,10.362829,9300
30,2015-10-02,13.52,13.62,13.52,13.6,10.3934,7100
31,2015-10-05,13.6,13.63,13.54,13.54,10.347545,11000
32,2015-10-06,13.55,13.68,13.53,13.65,10.431613,22100
33,2015-10-07,13.6,13.68,13.59,13.6,10.3934,12800
34,2015-10-08,13.6,13.65,13.52,13.56,10.362829,16200
35,2015-10-09,13.54,13.58,13.53,13.55,10.355186,16500
36,2015-10-12,13.6,13.6,13.51,13.57,10.370472,15200
37,2015-10-13,13.45,13.47,13.45,13.47,10.348194,600
38,2015-10-14,13.5,13.53,13.45,13.53,10.394287,9900
39,2015-10-15,13.5,13.52,13.49,13.49,10.363560000000001,6900
40,2015-10-16,13.5,13.51,13.47,13.49,10.363560000000001,6900
41,2015-10-19,13.54,13.54,13.52,13.53,10.394287,3600
42,2015-10-20,13.53,13.56,13.53,13.56,10.417335000000001,8400
43,2015-10-21,13.59,13.68,13.59,13.65,10.48648,10600
44,2015-10-22,13.67,13.7,13.67,13.7,10.524894999999999,2800
45,2015-10-23,13.71,13.71,13.68,13.7,10.524894999999999,9300
46,2015-10-26,13.68,13.73,13.68,13.7,10.524894999999999,5200
47,2015-10-27,13.68,13.73,13.68,13.73,10.547933,11800
48,2015-10-28,13.73,13.87,13.73,13.78,10.586348,77100
49,2015-10-29,13.83,13.89,13.81,13.88,10.663171,129900
50,2015-10-30,13.83,13.91,13.83,13.88,10.663171,17000
51,2015-11-02,13.88,13.89,13.83,13.88,10.663171,19300
52,2015-11-03,13.79,13.89,13.79,13.84,10.632444,16800
53,2015-11-04,13.8,13.84,13.73,13.8,10.601713,13300
54,2015-11-05,13.89,13.89,13.74,13.75,10.563301,7000
55,2015-11-06,13.72,13.72,13.57,13.6,10.448066,11700
56,2015-11-09,13.56,13.66,13.48,13.49,10.363560000000001,23800
57,2015-11-10,13.44,13.56,13.44,13.54,10.401969,16300
58,2015-11-11,13.47,13.6,13.47,13.6,10.448066,8800
59,2015-11-12,13.48,13.56,13.48,13.55,10.464284,8700
60,2015-11-13,13.58,13.6,13.56,13.58,10.487449,10000
61,2015-11-16,13.58,13.62,13.58,13.6,10.502897,3500
62,2015-11-17,13.6,13.62,13.58,13.6,10.502897,8100
63,2015-11-18,13.61,13.61,13.56,13.6,10.502897,1900
64,2015-11-19,13.62,13.66,13.58,13.66,10.549232,8000
65,2015-11-20,13.62,13.69,13.6,13.69,10.572402,28600
66,2015-11-23,13.68,13.74,13.67,13.67,10.556955,10600
67,2015-11-24,13.61,13.69,13.61,13.67,10.556955,12700
68,2015-11-25,13.69,13.74,13.66,13.73,10.603288000000001,12100
69,2015-11-27,13.75,13.75,13.74,13.74,10.611011999999999,800
70,2015-11-30,13.74,13.76,13.73,13.76,10.62646,11200
71,2015-12-01,13.77,13.81,13.77,13.79,10.649627,7500
72,2015-12-02,13.82,13.85,13.8,13.84,10.688239999999999,12500
73,2015-12-03,13.84,13.84,13.73,13.75,10.618737,44800
74,2015-12-04,13.74,13.82,13.74,13.79,10.649627,37300
75,2015-12-07,13.82,13.83,13.79,13.82,10.672794,14700
76,2015-12-08,13.81,13.88,13.81,13.83,10.680519,27800
77,2015-12-09,13.88,13.88,13.79,13.79,10.649627,29000
78,2015-12-10,13.76,13.79,13.75,13.77,10.689219,6100
79,2015-12-11,13.81,13.81,13.75,13.75,10.673694,11000
80,2015-12-14,13.75,13.79,13.65,13.69,10.627117,19700
81,2015-12-15,13.66,13.76,13.66,13.74,10.665929,17200
82,2015-12-16,13.78,13.84,13.73,13.84,10.743554,14800
83,2015-12-17,13.85,13.9,13.84,13.85,10.751319,26800
84,2015-12-18,13.86,13.86,13.82,13.83,10.735794,34000
85,2015-12-21,13.82,13.86,13.82,13.84,10.743554,34100
86,2015-12-22,13.82,13.84,13.82,13.83,10.735794,17600
87,2015-12-23,13.84,13.88,13.81,13.84,10.743554,38200
88,2015-12-24,13.89,13.93,13.86,13.92,10.805657,12300
89,2015-12-28,13.84,13.97,13.84,13.95,10.828946,21000
90,2015-12-29,13.92,13.96,13.91,13.94,10.821183,13600
91,2015-12-30,13.96,14.03,13.94,14.03,10.891051,10600
92,2015-12-31,14.08,14.1,14.02,14.1,10.945382,24000
93,2016-01-04,14.02,14.11,14.02,14.06,10.914337,22000
94,2016-01-05,14.09,14.12,14.07,14.09,10.937623,37600
95,2016-01-06,14.07,14.12,14.07,14.12,10.960911999999999,57800
96,2016-01-07,14.15,14.16,14.11,14.15,10.984200999999999,21200
97,2016-01-08,14.15,14.16,14.1,14.16,10.99196,20800
98,2016-01-11,14.16,14.16,14.08,14.1,10.945382,6500
99,2016-01-12,14.13,14.17,14.1,14.16,10.99196,16300
100,2016-01-13,14.1,14.1,14.04,14.04,10.953733,12200
101,2016-01-14,14.03,14.05,13.97,14.0,10.922524000000001,31500
102,2016-01-15,13.94,14.28,13.94,14.14,11.031752000000001,53600
103,2016-01-19,14.1,14.19,13.99,14.02,10.938131,67800
104,2016-01-20,13.98,14.03,13.87,13.9,10.844507,38700
105,2016-01-21,13.96,14.09,13.96,14.08,10.984939,12400
106,2016-01-22,14.1,14.19,14.08,14.18,11.062959,7400
107,2016-01-25,14.19,14.19,14.08,14.08,10.984939,13700
108,2016-01-26,14.12,14.17,14.09,14.14,11.031752000000001,7800
109,2016-01-27,14.14,14.14,14.1,14.1,11.000544999999999,12400
110,2016-01-28,14.15,14.2,14.15,14.2,11.078559,19800
111,2016-01-29,14.22,14.41,14.2,14.41,11.2424,62200
112,2016-02-01,14.42,14.42,14.37,14.41,11.2424,22000
113,2016-02-02,14.39,14.45,14.39,14.4,11.234596,12700
114,2016-02-03,14.4,14.4,14.35,14.35,11.195592999999999,26600
115,2016-02-04,14.36,14.38,14.33,14.38,11.218995,30200
116,2016-02-05,14.36,14.42,14.34,14.4,11.234596,46100
117,2016-02-08,14.43,14.47,14.37,14.46,11.281407000000002,20100
118,2016-02-09,14.46,14.5,14.25,14.32,11.172182000000001,185500
119,2016-02-10,14.34,14.43,14.34,14.38,11.218995,26800
120,2016-02-11,14.38,14.39,14.29,14.29,11.204095,30600
121,2016-02-12,14.28,14.32,14.18,14.18,11.117851,28800
122,2016-02-16,14.21,14.21,14.14,14.15,11.094329,14400
123,2016-02-17,14.16,14.18,14.11,14.15,11.094329,13900
124,2016-02-18,14.1,14.26,14.1,14.26,11.180572999999999,52100
125,2016-02-19,14.28,14.28,14.21,14.25,11.172734,25800
126,2016-02-22,14.32,14.32,14.23,14.27,11.188417999999999,26800
127,2016-02-23,14.29,14.39,14.27,14.39,11.282501,40900
128,2016-02-24,14.4,14.43,14.4,14.43,11.313867,11500
129,2016-02-25,14.46,14.54,14.43,14.43,11.313867,23200
130,2016-02-26,14.44,14.44,14.35,14.35,11.251144,10300
131,2016-02-29,14.4,14.51,14.4,14.45,11.329549,14600
132,2016-03-01,14.52,14.56,14.45,14.47,11.345228,22000
133,2016-03-02,14.53,14.53,14.41,14.43,11.313867,11700
134,2016-03-03,14.48,14.52,14.4,14.46,11.337384,25100
135,2016-03-04,14.49,14.49,14.31,14.31,11.219777,28000
136,2016-03-07,14.31,14.41,14.27,14.32,11.227617,21600
137,2016-03-08,14.37,14.4,14.3,14.31,11.219777,18300
138,2016-03-09,14.34,14.41,14.3,14.31,11.219777,24400
139,2016-03-10,14.36,14.41,14.32,14.34,11.2433,29800
140,2016-03-11,14.29,14.36,14.28,14.28,11.251966,15800
141,2016-03-14,14.3,14.35,14.27,14.32,11.283486,20800
142,2016-03-15,14.33,14.33,14.25,14.25,11.228327,14400
143,2016-03-16,14.28,14.3,14.25,14.3,11.267727,24900
144,2016-03-17,14.32,14.32,14.27,14.28,11.251966,30800
145,2016-03-18,14.3,14.44,14.26,14.27,11.244088,20200
