,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,MHF,08/18/20,7.68,7.7,7.655,7.7,28930,0.04,0.52%
1,MHF,08/17/20,7.64,7.67,7.64,7.66,38913,0.02,0.24%
2,MHF,08/14/20,7.67,7.67,7.63,7.641,25300,-0.02,-0.24%
3,MHF,08/13/20,7.67,7.69,7.61,7.66,57363,0.01,0.13%
4,MHF,08/12/20,7.61,7.667999999999999,7.61,7.65,14949,-0.02,-0.26%
5,MHF,08/11/20,7.64,7.67,7.6,7.67,69042,0.06,0.79%
6,MHF,08/10/20,7.61,7.61,7.5,7.61,32900,0.01,0.13%
7,MHF,08/07/20,7.55,7.65,7.51,7.6,142100,0.08,1.06%
8,MHF,08/06/20,7.51,7.57,7.51,7.52,51016,0.0,0.00%
9,MHF,08/05/20,7.46,7.53,7.46,7.52,42225,0.03,0.40%
10,MHF,08/04/20,7.44,7.5,7.426,7.49,41809,0.07,0.94%
11,MHF,08/03/20,7.38,7.42,7.33,7.42,46990,0.08,1.09%
12,MHF,07/31/20,7.35,7.35,7.3,7.34,18800,0.02,0.27%
13,MHF,07/30/20,7.29,7.33,7.26,7.32,36191,0.06,0.83%
14,MHF,07/29/20,7.3,7.3,7.26,7.26,13371,0.01,0.14%
15,MHF,07/28/20,7.32,7.32,7.25,7.25,33407,-0.01,-0.14%
16,MHF,07/27/20,7.27,7.28,7.25,7.26,31969,0.02,0.28%
17,MHF,07/24/20,7.27,7.28,7.22,7.24,42500,-0.05,-0.69%
18,MHF,07/23/20,7.29,7.3,7.29,7.29,10860,-0.03,-0.41%
19,MHF,07/22/20,7.3,7.33,7.26,7.32,45642,0.08,1.04%
20,MHF,07/21/20,7.23,7.27,7.22,7.245,40905,0.04,0.49%
21,MHF,07/20/20,7.21,7.29,7.21,7.21,51835,-0.02,-0.28%
22,MHF,07/17/20,7.2,7.25,7.2,7.23,14700,0.03,0.42%
23,MHF,07/16/20,7.29,7.29,7.18,7.2,48971,-0.08,-1.10%
24,MHF,07/15/20,7.29,7.29,7.255,7.28,21268,0.04,0.55%
25,MHF,07/14/20,7.23,7.26,7.23,7.24,42622,-0.02,-0.28%
26,MHF,07/13/20,7.27,7.3,7.26,7.26,9292,-0.01,-0.14%
27,MHF,07/10/20,7.29,7.29,7.25,7.27,33100,0.01,0.14%
28,MHF,07/09/20,7.3,7.3,7.25,7.26,30385,-0.04,-0.55%
29,MHF,07/08/20,7.22,7.3,7.22,7.3,11426,0.06,0.83%
30,MHF,07/07/20,7.2,7.24,7.14,7.24,23788,0.06,0.84%
31,MHF,07/06/20,7.18,7.18,7.157,7.18,8892,0.04,0.56%
32,MHF,07/02/20,7.14,7.22,7.13,7.14,25600,-0.03,-0.42%
33,MHF,07/01/20,7.15,7.17,7.1,7.17,18109,0.05,0.70%
34,MHF,06/30/20,7.2,7.2,7.07,7.12,102641,-0.04,-0.56%
35,MHF,06/29/20,7.15,7.18,7.11,7.16,29720,0.02,0.28%
36,MHF,06/26/20,7.12,7.15,7.11,7.14,10800,0.0,0.00%
37,MHF,06/25/20,7.1,7.16,7.1,7.14,13002,0.0,0.00%
38,MHF,06/24/20,7.18,7.18,7.08,7.14,27357,0.0,0.00%
39,MHF,06/23/20,7.16,7.16,7.12,7.14,16352,-0.01,-0.14%
