,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,10.57,10.57,9.95,9.99,6.932132000000001,169400
1,2015-08-21,9.94,10.44,9.86,10.09,7.001523,97300
2,2015-08-24,9.85,10.38,9.85,9.98,6.925194,137600
3,2015-08-25,10.08,10.11,8.91,8.92,6.189653,185800
4,2015-08-26,9.02,9.18,8.95,9.12,6.328433,91600
5,2015-08-27,9.31,9.59,9.02,9.51,6.599057000000001,62100
6,2015-08-28,9.45,9.61,9.17,9.47,6.571300999999999,162000
7,2015-08-31,9.52,9.71,9.35,9.57,6.640693,107700
8,2015-09-01,9.35,9.68,8.9,8.97,6.224349,135800
9,2015-09-02,9.15,9.16,8.75,9.01,6.252105,121200
10,2015-09-03,8.9,9.06,8.42,8.65,6.002297,144000
11,2015-09-04,8.61,8.77,8.37,8.52,5.91209,119400
12,2015-09-08,8.44,8.79,8.26,8.41,5.8357589999999995,90100
13,2015-09-09,8.49,8.84,8.41,8.77,6.085567,80400
14,2015-09-10,8.72,8.95,8.66,8.83,6.127202,89200
15,2015-09-11,8.75,8.94,8.05,8.32,5.773307,147100
16,2015-09-14,7.99,8.21,7.18,7.42,5.148792,390400
17,2015-09-15,7.39,7.77,7.31,7.7,5.3430860000000004,117900
18,2015-09-16,7.67,7.93,7.51,7.86,5.454111,138400
19,2015-09-17,7.86,7.9,7.59,7.62,5.287572,85100
20,2015-09-18,7.53,8.05,7.32,8.01,5.558197,207300
21,2015-09-21,8.06,8.19,7.86,8.12,5.634526,112100
22,2015-09-22,7.97,8.15,7.86,8.12,5.634526,118000
23,2015-09-23,8.21,8.21,7.72,8.04,5.579014,180900
24,2015-09-24,7.89,8.05,7.81,7.85,5.447173,157300
25,2015-09-25,7.98,8.08,7.37,7.46,5.176548,198000
26,2015-09-28,7.38,7.57,7.06,7.09,4.919803,150600
27,2015-09-29,7.14,7.27,7.01,7.16,4.968376,50600
28,2015-09-30,7.19,7.43,7.08,7.36,5.107157,98100
29,2015-10-01,7.36,7.5,7.19,7.28,5.051645,84600
30,2015-10-02,7.14,7.34,7.01,7.33,5.08634,74600
31,2015-10-05,7.29,7.5,7.25,7.49,5.1973650000000005,42500
32,2015-10-06,7.39,7.92,7.26,7.87,5.46105,73800
33,2015-10-07,7.95,8.69,7.88,8.69,6.030053,126500
34,2015-10-08,8.5,8.73,8.36,8.58,5.953723,87200
35,2015-10-09,8.55,8.72,8.45,8.67,6.016175,169900
36,2015-10-12,8.49,8.52,7.68,8.07,5.599831,126600
37,2015-10-13,7.89,7.91,7.63,7.82,5.536118,87300
38,2015-10-14,7.82,7.9,7.58,7.69,5.444083999999999,67400
39,2015-10-15,7.69,7.88,7.56,7.62,5.394527,120600
40,2015-10-16,7.68,8.09,7.65,7.95,5.628149,82900
41,2015-10-19,7.88,7.95,7.47,7.61,5.387449,118500
42,2015-10-20,7.57,7.78,7.52,7.6,5.38037,73100
43,2015-10-21,7.64,7.72,7.4,7.63,5.401608,79600
44,2015-10-22,7.64,7.99,7.59,7.69,5.444083999999999,39500
45,2015-10-23,7.81,8.0,7.63,7.97,5.642308,94500
46,2015-10-26,8.0,8.05,7.8,7.87,5.571514,72200
47,2015-10-27,7.81,8.07,7.66,7.81,5.529037000000001,61800
48,2015-10-28,7.98,8.25,7.76,7.86,5.564435,73000
49,2015-10-29,7.6,8.27,7.6,7.66,5.422845,84500
50,2015-10-30,7.77,7.79,7.33,7.5,5.309575,115500
51,2015-11-02,7.59,8.46,7.57,8.35,5.911327,177200
52,2015-11-03,8.47,8.84,8.31,8.73,6.180345,108600
53,2015-11-04,8.73,8.76,8.5,8.72,6.173265,60100
54,2015-11-05,8.81,8.94,8.53,8.67,6.137867,63400
55,2015-11-06,8.74,8.88,8.38,8.8,6.229901,67400
56,2015-11-09,8.78,8.78,8.6,8.7,6.159107,71300
57,2015-11-10,8.71,8.8,8.68,8.69,6.1520269999999995,111400
58,2015-11-11,8.69,8.71,8.42,8.52,6.031676999999999,92100
59,2015-11-12,8.45,8.61,8.22,8.31,5.8830089999999995,58700
60,2015-11-13,8.25,8.65,8.25,8.5,6.017518,49400
61,2015-11-16,8.5,8.93,8.5,8.93,6.321934,79200
62,2015-11-17,8.9,9.25,8.81,9.12,6.456442,67700
63,2015-11-18,9.05,9.18,8.95,9.14,6.4706019999999995,146000
64,2015-11-19,9.14,9.61,9.08,9.57,6.775017999999999,102500
65,2015-11-20,9.7,9.7,9.08,9.25,6.548475,110600
66,2015-11-23,9.3,9.49,8.99,9.07,6.4210449999999994,101100
67,2015-11-24,9.02,9.24,8.96,9.12,6.456442,60200
68,2015-11-25,9.1,9.35,9.0,9.3,6.583872,79200
69,2015-11-27,9.29,9.4,9.2,9.27,6.562634,26100
70,2015-11-30,9.23,9.29,8.99,9.16,6.48476,62900
71,2015-12-01,9.23,9.24,8.94,8.97,6.3502529999999995,57600
72,2015-12-02,8.95,9.06,8.88,9.0,6.3714900000000005,70300
73,2015-12-03,9.05,9.07,8.9,9.02,6.385649,60800
74,2015-12-04,9.02,9.02,8.92,8.95,6.336093,43200
75,2015-12-07,8.93,9.05,8.92,8.92,6.314854,41300
76,2015-12-08,8.9,8.97,8.74,8.79,6.222822,39400
77,2015-12-09,8.76,8.86,8.45,8.47,5.996279,48400
78,2015-12-10,8.49,8.81,8.42,8.49,6.010439,93000
79,2015-12-11,8.33,8.47,8.01,8.06,5.706023,38000
80,2015-12-14,8.04,8.37,7.64,7.71,5.458242,282900
81,2015-12-15,7.86,8.37,7.75,8.18,5.790976000000001,140100
82,2015-12-16,8.2,8.54,8.02,8.5,6.017518,67800
83,2015-12-17,8.6,8.71,8.47,8.63,6.109552,50600
84,2015-12-18,8.63,8.88,8.59,8.82,6.24406,91800
85,2015-12-21,8.9,9.0,8.86,8.97,6.3502529999999995,40800
86,2015-12-22,8.91,9.08,8.73,9.02,6.385649,34400
87,2015-12-23,9.01,9.31,8.92,9.19,6.505998,39800
88,2015-12-24,9.2,9.29,8.95,8.96,6.343171,16600
89,2015-12-28,9.05,9.08,8.91,9.0,6.3714900000000005,33300
