,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-04-24,4.82,8.48,4.82,6.5,6.5,42000
1,2019-04-25,6.55,6.566,5.24,5.92,5.92,94000
2,2019-04-26,5.92,6.205,5.67,5.75,5.75,38600
3,2019-04-29,6.04,6.07,5.6,5.7,5.7,31900
4,2019-04-30,5.98,6.0,5.5,5.6,5.6,40700
5,2019-05-01,5.51,5.51,5.0,5.035,5.035,45700
6,2019-05-02,4.91,5.2,4.9,4.95,4.95,30400
7,2019-05-03,4.9,5.19,4.72,5.05,5.05,46600
8,2019-05-06,5.05,5.07,4.75,4.765,4.765,34700
9,2019-05-07,5.25,5.52,4.67,4.73,4.73,29800
10,2019-05-08,4.85,5.38,4.85,5.22,5.22,19400
11,2019-05-09,5.15,5.45,5.15,5.27,5.27,34000
12,2019-05-10,5.36,5.842,5.36,5.42,5.42,43600
13,2019-05-13,5.35,5.5,5.15,5.25,5.25,19400
14,2019-05-14,5.32,5.433,5.2,5.272,5.272,8100
15,2019-05-15,5.19,5.36,5.12,5.12,5.12,8200
16,2019-05-16,5.16,5.324,5.15,5.15,5.15,17400
17,2019-05-17,5.44,5.56,5.22,5.4,5.4,28900
18,2019-05-20,5.416,5.416,4.75,4.92,4.92,61300
19,2019-05-21,4.8,4.964,4.75,4.78,4.78,7000
20,2019-05-22,4.76,5.0,4.75,5.0,5.0,9900
21,2019-05-23,4.774,4.898,4.28,4.49,4.49,22000
22,2019-05-24,4.415,4.75,4.33,4.7,4.7,26700
23,2019-05-28,4.46,4.76,4.45,4.45,4.45,4700
24,2019-05-29,4.64,4.64,4.196,4.345,4.345,4400
25,2019-05-30,4.4,4.65,4.2,4.475,4.475,11400
26,2019-05-31,4.15,4.33,4.15,4.25,4.25,2600
27,2019-06-03,4.16,4.435,4.05,4.19,4.19,15900
28,2019-06-04,4.08,4.98,3.89,4.7,4.7,21800
29,2019-06-05,4.41,4.5,4.25,4.27,4.27,20000
30,2019-06-06,4.23,4.251,4.2,4.2,4.2,5100
31,2019-06-07,3.94,4.33,3.94,4.0,4.0,7700
32,2019-06-10,4.02,4.088,3.9,3.91,3.91,4900
33,2019-06-11,3.9,3.981,3.9,3.9,3.9,6500
34,2019-06-12,3.99,4.048,3.9,3.92,3.92,8200
35,2019-06-13,4.1,4.1,3.34,3.41,3.41,42000
36,2019-06-14,3.49,3.5,3.39,3.39,3.39,2200
37,2019-06-17,3.4,3.5,3.15,3.17,3.17,13000
38,2019-06-18,3.19,3.19,2.843,2.86,2.86,26000
39,2019-06-19,2.95,3.05,2.95,2.97,2.97,13000
40,2019-06-20,2.97,3.05,2.95,2.97,2.97,17600
41,2019-06-21,2.96,3.14,2.96,2.99,2.99,4500
42,2019-06-24,2.96,2.99,2.52,2.67,2.67,29400
43,2019-06-25,2.67,2.75,2.65,2.65,2.65,13400
44,2019-06-26,2.633,2.72,2.62,2.71,2.71,13100
45,2019-06-27,2.643,2.65,2.62,2.639,2.639,13900
46,2019-06-28,2.57,2.57,2.18,2.52,2.52,8700
47,2019-07-01,2.56,2.69,2.55,2.562,2.562,6800
48,2019-07-02,2.52,2.52,2.42,2.43,2.43,7600
49,2019-07-03,2.18,2.5,2.18,2.462,2.462,7700
50,2019-07-05,2.45,2.81,2.45,2.51,2.51,24100
51,2019-07-08,2.52,2.55,2.52,2.52,2.52,6800
52,2019-07-09,2.52,2.69,2.49,2.68,2.68,6700
53,2019-07-10,2.46,2.51,2.4,2.4,2.4,10200
54,2019-07-11,2.448,2.455,2.23,2.23,2.23,22800
55,2019-07-12,2.207,2.29,2.207,2.22,2.22,2300
56,2019-07-15,2.5,3.39,2.47,2.49,2.49,560200
57,2019-07-16,2.52,2.86,2.42,2.42,2.42,82100
58,2019-07-17,2.43,2.6,2.36,2.42,2.42,29300
59,2019-07-18,2.464,2.6,2.33,2.34,2.34,53400
60,2019-07-19,2.648,2.648,2.32,2.32,2.32,23100
61,2019-07-22,2.33,2.439,2.3,2.3,2.3,6700
62,2019-07-23,2.27,2.497,2.27,2.32,2.32,4000
63,2019-07-24,2.35,2.6,2.35,2.6,2.6,12100
64,2019-07-25,2.587,2.7,2.524,2.663,2.663,23800
65,2019-07-26,2.61,2.85,2.6,2.74,2.74,13500
66,2019-07-29,2.65,2.9,2.65,2.75,2.75,15100
67,2019-07-30,2.68,2.856,2.5,2.5,2.5,4200
68,2019-07-31,2.6,2.66,2.6,2.6,2.6,7000
69,2019-08-01,2.64,2.74,2.61,2.74,2.74,11200
70,2019-08-02,2.7,2.9,2.7,2.9,2.9,1600
71,2019-08-05,2.85,2.85,2.65,2.73,2.73,4600
72,2019-08-06,2.73,2.756,2.65,2.65,2.65,5900
73,2019-08-07,2.66,2.79,2.271,2.51,2.51,21700
74,2019-08-08,2.7,2.816,2.65,2.65,2.65,27400
75,2019-08-09,2.53,2.75,2.53,2.7,2.7,2400
76,2019-08-12,2.75,3.01,2.75,2.95,2.95,15400
77,2019-08-13,2.917,3.29,2.917,3.01,3.01,28700
78,2019-08-14,2.99,3.15,2.97,3.0,3.0,6800
79,2019-08-15,3.1,3.345,3.1,3.3,3.3,21600
80,2019-08-16,3.3,3.6,3.3,3.5,3.5,21300
81,2019-08-19,3.67,3.85,3.55,3.55,3.55,28100
82,2019-08-20,3.82,4.2,3.8,3.96,3.96,89100
83,2019-08-21,4.15,4.269,4.0,4.1,4.1,39000
84,2019-08-22,4.12,4.211,4.1,4.1,4.1,10800
85,2019-08-23,4.2,4.2,3.9,3.92,3.92,14800
86,2019-08-26,3.95,4.18,3.91,4.14,4.14,3200
87,2019-08-27,4.04,4.055,3.8,3.95,3.95,14600
88,2019-08-28,3.819,3.83,3.62,3.655,3.655,11800
89,2019-08-29,3.6,3.64,3.6,3.6,3.6,3000
90,2019-08-30,3.58,3.72,3.58,3.67,3.67,2200
91,2019-09-03,3.66,3.785,3.125,3.2,3.2,3000
92,2019-09-04,3.5,4.0,3.47,3.72,3.72,27300
93,2019-09-05,3.69,3.841,3.59,3.59,3.59,2400
94,2019-09-06,3.64,3.9,3.59,3.6,3.6,2700
95,2019-09-09,3.69,3.69,3.59,3.59,3.59,1900
96,2019-09-10,3.6,3.6,3.2,3.38,3.38,4400
97,2019-09-11,3.53,3.7,3.317,3.34,3.34,3600
98,2019-09-12,3.53,3.851,3.42,3.45,3.45,2100
99,2019-09-13,3.4,3.4,3.37,3.38,3.38,1300
100,2019-09-16,3.5,3.763,3.28,3.391,3.391,2700
101,2019-09-17,3.28,3.425,3.25,3.26,3.26,9300
102,2019-09-18,3.3,3.32,3.2,3.32,3.32,1500
103,2019-09-19,3.22,3.29,3.1,3.13,3.13,5600
104,2019-09-20,3.22,3.438,3.2,3.2,3.2,3900
105,2019-09-23,3.13,3.26,3.1,3.26,3.26,1300
106,2019-09-24,3.1,3.116,3.01,3.02,3.02,2100
107,2019-09-25,3.0,3.03,3.0,3.01,3.01,700
108,2019-09-26,2.91,2.96,2.9,2.96,2.96,700
109,2019-09-27,2.88,3.0,2.88,3.0,3.0,1500
110,2019-09-30,2.958,2.997,2.89,2.98,2.98,2800
111,2019-10-01,2.82,3.31,2.82,3.2,3.2,3900
112,2019-10-02,2.83,2.83,2.79,2.81,2.81,500
113,2019-10-03,2.92,3.1,2.85,3.1,3.1,4900
114,2019-10-04,2.9,3.27,2.9,2.94,2.94,1100
115,2019-10-07,3.3,3.4,3.05,3.16,3.16,78600
116,2019-10-08,3.1,3.106,2.85,3.011,3.011,21900
117,2019-10-09,3.15,3.204,2.88,2.89,2.89,18100
118,2019-10-10,3.23,3.6,3.23,3.45,3.45,80800
119,2019-10-11,3.75,3.75,3.505,3.549,3.549,32000
120,2019-10-14,3.5,3.78,3.3,3.3,3.3,46300
121,2019-10-15,3.25,3.405,3.25,3.305,3.305,5400
122,2019-10-16,3.27,3.59,3.23,3.419,3.419,2100
123,2019-10-17,3.25,3.492,3.25,3.3,3.3,10700
124,2019-10-18,3.48,3.488,3.23,3.35,3.35,19100
125,2019-10-21,3.35,3.7,3.3,3.7,3.7,19600
126,2019-10-22,3.65,3.65,3.4,3.403,3.403,3500
127,2019-10-23,3.75,3.75,3.34,3.34,3.34,4600
128,2019-10-24,3.23,3.5,3.23,3.3,3.3,8000
129,2019-10-25,3.28,3.49,3.28,3.3,3.3,9400
130,2019-10-28,3.342,3.395,3.25,3.25,3.25,3200
131,2019-10-29,3.23,3.251,3.0,3.15,3.15,10200
132,2019-10-30,3.05,3.43,2.9,3.15,3.15,39700
133,2019-10-31,2.92,2.936,2.89,2.936,2.936,13200
134,2019-11-01,2.91,3.03,2.85,2.85,2.85,3400
135,2019-11-04,3.0,3.19,3.0,3.19,3.19,5300
136,2019-11-05,3.25,3.327,3.25,3.25,3.25,7900
137,2019-11-06,3.14,3.167,3.1,3.11,3.11,8900
138,2019-11-07,3.0,3.0,2.75,2.91,2.91,9700
139,2019-11-08,2.82,3.0,2.82,2.9,2.9,16300
140,2019-11-11,2.39,2.565,2.3,2.506,2.506,16400
141,2019-11-12,2.5,2.54,2.5,2.54,2.54,900
142,2019-11-13,2.5,2.5,2.23,2.26,2.26,8000
143,2019-11-14,2.25,2.261,2.25,2.26,2.26,5200
144,2019-11-15,2.26,2.47,2.25,2.31,2.31,5800
145,2019-11-18,2.3,2.396,2.22,2.22,2.22,16000
146,2019-11-19,2.238,2.6,2.23,2.435,2.435,14000
147,2019-11-20,2.421,2.421,2.2,2.382,2.382,9500
148,2019-11-21,2.46,2.8,2.46,2.51,2.51,17000
149,2019-11-22,2.55,2.55,2.09,2.1,2.1,26300
150,2019-11-25,2.405,2.458,2.13,2.18,2.18,13500
151,2019-11-26,2.1,2.217,2.017,2.217,2.217,5000
152,2019-11-27,2.02,2.3,2.02,2.3,2.3,1800
153,2019-11-29,2.297,2.42,2.23,2.37,2.37,2900
154,2019-12-02,2.38,2.38,2.1,2.12,2.12,16000
155,2019-12-03,2.19,2.195,2.1,2.189,2.189,5300
156,2019-12-04,2.13,2.13,2.08,2.11,2.11,1700
157,2019-12-05,2.2,2.2,2.1,2.1,2.1,1100
158,2019-12-06,2.19,2.19,2.12,2.12,2.12,3300
159,2019-12-09,2.19,2.19,1.9,1.91,1.91,63200
160,2019-12-10,1.91,2.012,1.75,1.75,1.75,49400
161,2019-12-11,1.84,1.98,1.6,1.697,1.697,35200
162,2019-12-12,1.68,1.7,1.47,1.529,1.529,57200
163,2019-12-13,1.86,1.86,1.36,1.455,1.455,88200
164,2019-12-16,1.38,1.53,1.16,1.17,1.17,99800
165,2019-12-17,1.225,1.26,1.15,1.22,1.22,535700
166,2019-12-18,1.26,1.35,1.239,1.26,1.26,69500
167,2019-12-19,1.28,1.35,1.28,1.32,1.32,85100
168,2019-12-20,1.24,1.3,1.24,1.268,1.268,75000
169,2019-12-23,1.28,1.35,1.19,1.21,1.21,78100
170,2019-12-24,1.21,1.21,1.08,1.1,1.1,103000
171,2019-12-26,1.16,2.368,1.13,2.15,2.15,1825500
172,2019-12-27,2.44,3.74,2.15,2.95,2.95,5882400
173,2019-12-30,3.0,3.016,2.4,2.48,2.48,619900
174,2019-12-31,2.85,3.5,2.52,3.28,3.28,799500
175,2020-01-02,3.05,3.21,2.75,3.21,3.21,424500
176,2020-01-03,2.88,3.01,2.75,2.81,2.81,226700
177,2020-01-06,2.69,2.87,2.45,2.58,2.58,246200
178,2020-01-07,2.3,2.55,2.21,2.34,2.34,161600
179,2020-01-08,2.24,2.367,2.18,2.25,2.25,115300
180,2020-01-09,2.22,2.454,2.2,2.283,2.283,113900
181,2020-01-10,2.28,2.44,2.0,2.1,2.1,203200
182,2020-01-13,2.65,2.98,2.2,2.26,2.26,704400
183,2020-01-14,2.36,2.48,2.25,2.34,2.34,463500
184,2020-01-15,2.35,2.37,2.21,2.3,2.3,139300
185,2020-01-16,2.29,2.3,2.096,2.16,2.16,174900
186,2020-01-17,2.16,2.28,2.16,2.175,2.175,101900
187,2020-01-21,2.16,2.3,2.09,2.17,2.17,96600
188,2020-01-22,2.15,2.15,1.85,1.882,1.882,244900
189,2020-01-23,1.85,1.978,1.72,1.75,1.75,113100
190,2020-01-24,1.75,1.92,1.62,1.64,1.64,95500
191,2020-01-27,1.61,1.7,1.4,1.5,1.5,52800
192,2020-01-28,1.7,1.9,1.66,1.77,1.77,113500
193,2020-01-29,1.76,1.82,1.53,1.73,1.73,40000
194,2020-01-30,1.66,1.89,1.589,1.74,1.74,59100
195,2020-01-31,1.8,1.8,1.57,1.682,1.682,63700
196,2020-02-03,1.88,1.88,1.6,1.68,1.68,86800
197,2020-02-04,1.608,1.75,1.558,1.71,1.71,64900
198,2020-02-05,1.68,1.74,1.67,1.68,1.68,19600
199,2020-02-06,1.65,1.739,1.62,1.63,1.63,22300
200,2020-02-07,1.599,1.62,1.54,1.56,1.56,29300
201,2020-02-10,1.88,2.25,1.75,2.0,2.0,1208800
202,2020-02-11,1.95,1.98,1.72,1.82,1.82,147800
203,2020-02-12,1.76,1.838,1.69,1.75,1.75,65900
204,2020-02-13,1.78,1.819,1.59,1.59,1.59,86200
205,2020-02-14,1.6,1.74,1.538,1.68,1.68,54300
206,2020-02-18,1.7,1.73,1.6,1.637,1.637,16600
207,2020-02-19,1.74,1.93,1.6,1.838,1.838,88100
208,2020-02-20,1.84,2.34,1.76,2.32,2.32,745800
209,2020-02-21,2.15,2.49,2.03,2.4,2.4,350100
210,2020-02-24,2.25,2.252,1.97,2.143,2.143,137600
211,2020-02-25,2.19,2.19,1.8,1.85,1.85,105100
212,2020-02-26,1.95,2.05,1.76,1.79,1.79,37600
213,2020-02-27,1.77,1.8,1.661,1.78,1.78,20000
214,2020-02-28,1.67,1.88,1.67,1.85,1.85,74100
215,2020-03-02,1.8,1.8,1.65,1.72,1.72,71700
216,2020-03-03,1.66,1.78,1.65,1.76,1.76,56600
217,2020-03-04,1.78,2.14,1.65,2.04,2.04,246300
218,2020-03-05,2.13,2.13,1.84,1.87,1.87,82500
219,2020-03-06,1.763,1.9,1.763,1.89,1.89,51700
220,2020-03-09,1.75,1.94,1.615,1.7,1.7,71300
221,2020-03-10,1.85,1.85,1.5,1.65,1.65,36000
222,2020-03-11,1.55,1.75,1.5,1.55,1.55,85000
223,2020-03-12,1.5,1.509,1.13,1.15,1.15,83900
224,2020-03-13,1.17,1.333,1.03,1.1,1.1,65700
225,2020-03-16,0.88,1.25,0.88,0.93,0.93,28500
226,2020-03-17,0.987,1.15,0.9,0.95,0.95,20000
227,2020-03-18,0.94,0.95,0.69,0.8,0.8,52900
228,2020-03-19,0.738,0.9,0.7,0.85,0.85,56500
229,2020-03-20,0.878,1.07,0.878,0.9,0.9,23300
230,2020-03-23,0.941,0.941,0.76,0.9,0.9,23000
231,2020-03-24,0.925,0.97,0.9,0.938,0.938,16100
232,2020-03-25,0.93,1.064,0.93,1.064,1.064,37400
233,2020-03-26,1.071,1.25,0.972,1.1,1.1,62800
234,2020-03-27,1.103,1.122,0.71,0.98,0.98,65900
235,2020-03-30,0.91,1.04,0.91,0.98,0.98,10700
236,2020-03-31,1.0,1.07,1.0,1.045,1.045,14000
237,2020-04-01,0.95,1.07,0.95,1.025,1.025,1600
238,2020-04-02,0.95,1.06,0.95,1.03,1.03,4700
239,2020-04-03,1.07,1.07,0.975,1.0,1.0,4900
240,2020-04-06,1.1,1.2,1.06,1.185,1.185,23900
241,2020-04-07,1.085,1.19,1.02,1.06,1.06,23400
242,2020-04-08,1.06,1.2,1.06,1.13,1.13,9200
243,2020-04-09,1.13,1.233,1.1,1.19,1.19,25300
244,2020-04-13,1.24,1.25,1.05,1.2,1.2,27900
245,2020-04-14,1.21,1.27,1.04,1.1,1.1,86000
246,2020-04-15,1.141,1.175,1.03,1.07,1.07,95100
247,2020-04-16,1.6,1.8,1.29,1.5,1.5,747500
248,2020-04-17,1.57,1.585,1.33,1.34,1.34,215900
249,2020-04-20,1.4,1.461,1.24,1.32,1.32,69700
250,2020-04-21,1.326,1.334,1.21,1.22,1.22,108600
251,2020-04-22,1.3,1.46,1.22,1.35,1.35,90200
252,2020-04-23,1.41,1.41,1.3,1.3,1.3,38800
