,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,MTD,08/18/20,961.0,969.99,953.48,963.2,96951,3.42,0.36%
1,MTD,08/17/20,964.58,972.17,957.73,959.78,98146,-1.26,-0.13%
2,MTD,08/14/20,962.64,972.26,956.54,961.04,80500,-12.1,-1.24%
3,MTD,08/13/20,968.2,975.0,967.36,973.14,106556,-0.13,-0.01%
4,MTD,08/12/20,952.82,975.02,947.98,973.27,94752,26.02,2.75%
5,MTD,08/11/20,945.16,954.22,942.86,947.25,78143,1.3,0.14%
6,MTD,08/10/20,947.99,953.05,942.06,945.95,70000,1.78,0.19%
7,MTD,08/07/20,930.7,946.73,930.7,944.17,75200,5.92,0.63%
8,MTD,08/06/20,952.85,952.85,924.48,938.25,95884,-6.99,-0.74%
9,MTD,08/05/20,936.55,955.0,934.55,945.24,94857,16.65,1.79%
10,MTD,08/04/20,918.96,935.83,913.69,928.59,120379,2.16,0.23%
11,MTD,08/03/20,933.26,938.44,915.38,926.43,139536,-8.57,-0.92%
12,MTD,07/31/20,923.15,953.7,900.22,935.0,248500,39.83,4.45%
13,MTD,07/30/20,891.1,901.16,879.69,895.17,161437,-2.91,-0.32%
14,MTD,07/29/20,885.0,906.56,881.62,898.08,108353,16.05,1.82%
15,MTD,07/28/20,897.28,911.9,880.03,882.03,121860,-13.47,-1.50%
16,MTD,07/27/20,869.29,897.18,869.29,895.5,116668,32.78,3.80%
17,MTD,07/24/20,882.56,882.56,853.02,862.72,143800,-22.65,-2.56%
18,MTD,07/23/20,879.93,891.03,879.93,885.37,107284,2.02,0.23%
19,MTD,07/22/20,871.06,891.04,871.06,883.35,101559,12.84,1.47%
20,MTD,07/21/20,869.98,878.13,868.47,870.51,78267,4.04,0.47%
21,MTD,07/20/20,871.17,881.47,864.66,866.47,99365,-1.42,-0.16%
22,MTD,07/17/20,867.41,878.76,865.79,867.89,116700,7.21,0.84%
23,MTD,07/16/20,869.9,874.98,856.1,860.68,84864,-8.36,-0.96%
24,MTD,07/15/20,859.0,873.16,857.75,869.04,144319,19.7,2.32%
25,MTD,07/14/20,823.68,853.82,823.68,849.34,98051,25.35,3.08%
26,MTD,07/13/20,824.9,836.66,818.67,823.99,79047,4.79,0.58%
27,MTD,07/10/20,834.58,834.58,811.97,819.2,59000,-11.33,-1.36%
28,MTD,07/09/20,819.34,838.32,819.34,830.53,162096,12.34,1.51%
29,MTD,07/08/20,821.71,827.16,813.13,818.19,91996,-0.87,-0.11%
30,MTD,07/07/20,819.49,830.21,817.07,819.06,101811,-4.39,-0.53%
31,MTD,07/06/20,825.4,829.86,817.76,823.45,78348,8.75,1.07%
32,MTD,07/02/20,812.18,819.92,809.24,814.7,78200,9.91,1.23%
33,MTD,07/01/20,804.07,807.22,793.75,804.79,92553,-0.76,-0.09%
34,MTD,06/30/20,779.9,809.77,779.9,805.55,124006,20.31,2.59%
35,MTD,06/29/20,779.05,790.65,774.64,785.24,79375,12.94,1.68%
36,MTD,06/26/20,787.59,790.14,763.98,772.3,169800,-13.08,-1.67%
37,MTD,06/25/20,778.69,786.22,765.01,785.38,85116,1.34,0.17%
38,MTD,06/24/20,791.0,791.0,771.85,784.04,132495,-13.96,-1.75%
39,MTD,06/23/20,793.41,808.16,791.66,798.0,96767,12.84,1.64%
40,MTD,06/22/20,787.98,799.61,777.16,785.16,160256,-10.08,-1.27%
41,MTD,06/19/20,794.0,796.13,778.55,795.24,237700,12.5,1.60%
42,MTD,06/18/20,774.85,787.28,773.75,782.74,77577,0.37,0.05%
43,MTD,06/17/20,789.65,789.65,775.46,782.37,99735,-1.68,-0.21%
44,MTD,06/16/20,793.46,793.46,772.54,784.05,118546,10.26,1.33%
45,MTD,06/15/20,752.17,778.55,747.02,773.79,111849,9.37,1.23%
46,MTD,06/12/20,779.82,784.85,750.43,764.42,109200,2.85,0.37%
47,MTD,06/11/20,799.9,799.9,755.93,761.57,185913,-51.04,-6.28%
48,MTD,06/10/20,815.48,821.42,801.62,812.61,121398,-2.87,-0.35%
49,MTD,06/09/20,844.49,844.49,808.52,815.48,194545,-33.18,-3.91%
50,MTD,06/08/20,846.51,857.57,844.33,848.66,120941,-10.88,-1.27%
51,MTD,06/05/20,852.55,863.53,846.02,859.54,158500,18.88,2.25%
52,MTD,06/04/20,833.43,841.42,827.65,840.66,158171,2.66,0.32%
53,MTD,06/03/20,829.51,841.46,825.88,838.0,130051,14.4,1.75%
54,MTD,06/02/20,812.0,827.88,801.77,823.6,131520,20.17,2.51%
55,MTD,06/01/20,797.82,814.55,794.97,803.43,162632,8.43,1.06%
56,MTD,05/29/20,794.71,797.49,779.7,795.0,300800,2.6,0.33%
57,MTD,05/28/20,791.03,802.54,784.57,792.4,216716,4.09,0.52%
58,MTD,05/27/20,769.66,789.67,762.98,788.31,199067,22.31,2.91%
59,MTD,05/26/20,762.16,772.45,756.15,766.0,253920,17.69,2.36%
60,MTD,05/22/20,721.61,749.46,721.61,748.31,163600,25.31,3.50%
61,MTD,05/21/20,732.66,735.68,717.34,723.0,134016,-12.56,-1.71%
62,MTD,05/20/20,713.76,739.79,713.76,735.56,137283,21.5,3.01%
63,MTD,05/19/20,718.63,723.52,710.97,714.06,142801,-4.64,-0.65%
64,MTD,05/18/20,710.0,722.07,708.44,718.7,149131,20.0,2.86%
65,MTD,05/15/20,689.94,705.89,678.85,698.7,183300,9.17,1.33%
66,MTD,05/14/20,675.74,690.71,661.32,689.53,129181,-1.35,-0.20%
67,MTD,05/13/20,689.66,702.29,681.39,690.88,142436,0.81,0.12%
68,MTD,05/12/20,710.77,720.69,687.78,690.07,155426,-26.86,-3.75%
69,MTD,05/11/20,714.99,720.64,710.01,716.93,133424,-2.64,-0.37%
70,MTD,05/08/20,741.97,757.42,714.47,719.57,182000,-13.17,-1.80%
71,MTD,05/07/20,721.0,742.58,718.69,732.74,173977,17.16,2.40%
72,MTD,05/06/20,711.3,718.86,697.62,715.58,111559,5.85,0.82%
73,MTD,05/05/20,694.25,716.69,692.15,709.73,135571,18.84,2.73%
74,MTD,05/04/20,690.45,693.92,682.02,690.89,76621,1.73,0.25%
75,MTD,05/01/20,709.69,709.69,684.03,689.16,104400,-30.78,-4.28%
76,MTD,04/30/20,728.83,746.27,716.97,719.94,213925,-18.68,-2.53%
77,MTD,04/29/20,708.11,747.66,706.01,738.62,241820,38.64,5.52%
78,MTD,04/28/20,738.94,739.15,696.68,699.98,174571,-35.28,-4.80%
79,MTD,04/27/20,713.84,739.5,710.27,735.26,126369,21.88,3.07%
80,MTD,04/24/20,707.01,714.77,697.37,713.38,138800,10.08,1.43%
81,MTD,04/23/20,704.0,720.51,698.01,703.3,181249,-0.9,-0.13%
82,MTD,04/22/20,695.56,705.8,687.78,704.2,151711,20.77,3.04%
