,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,13.0,13.05,12.98,13.02,10.028912,57100
1,2015-08-21,13.04,13.07,12.97,12.98,9.998097999999999,53100
2,2015-08-24,12.95,12.96,12.81,12.85,9.897963,87300
3,2015-08-25,12.9,12.91,12.85,12.87,9.913364999999999,18400
4,2015-08-26,12.9,12.9,12.8,12.81,9.867153,100900
5,2015-08-27,12.81,12.87,12.79,12.85,9.897963,84600
6,2015-08-28,12.84,12.97,12.84,12.95,9.974989,77300
7,2015-08-31,13.0,13.0,12.94,13.0,10.013501,44100
8,2015-09-01,13.04,13.04,12.96,12.99,10.005802000000001,49200
9,2015-09-02,13.0,13.04,12.9,13.03,10.036610000000001,51900
10,2015-09-03,13.06,13.08,13.04,13.08,10.075122,34600
11,2015-09-04,13.04,13.13,13.04,13.12,10.105935,28400
12,2015-09-08,13.15,13.35,13.14,13.26,10.213776,90800
13,2015-09-09,13.25,13.27,13.21,13.21,10.175261,17700
14,2015-09-10,13.2,13.24,13.15,13.16,10.136744,15500
15,2015-09-11,13.11,13.13,13.09,13.1,10.142942,21400
16,2015-09-14,13.13,13.13,13.04,13.04,10.096486,36200
17,2015-09-15,13.07,13.07,12.99,13.01,10.073257,28700
18,2015-09-16,13.02,13.05,12.97,12.97,10.042285000000001,9600
19,2015-09-17,13.03,13.09,12.97,13.08,10.127454,48800
20,2015-09-18,13.05,13.18,13.05,13.14,10.173911,92800
21,2015-09-21,13.16,13.16,13.08,13.13,10.166167999999999,51800
22,2015-09-22,13.15,13.22,13.14,13.22,10.235854,31400
23,2015-09-23,13.22,13.29,13.2,13.24,10.251338,38900
24,2015-09-24,13.27,13.33,13.26,13.31,10.305536,32500
25,2015-09-25,13.32,13.32,13.24,13.28,10.282311,29200
26,2015-09-28,13.3,13.3,13.24,13.29,10.290051,25900
27,2015-09-29,13.29,13.29,13.23,13.27,10.274567,58200
28,2015-09-30,13.28,13.28,13.21,13.23,10.243592,29600
29,2015-10-01,13.26,13.27,13.18,13.22,10.235854,31700
30,2015-10-02,13.24,13.3,13.18,13.25,10.259084,48900
31,2015-10-05,13.23,13.25,13.19,13.22,10.235854,16100
32,2015-10-06,13.24,13.31,13.21,13.3,10.297792,48200
33,2015-10-07,13.29,13.31,13.26,13.29,10.290051,20400
34,2015-10-08,13.31,13.31,13.24,13.31,10.305536,51300
35,2015-10-09,13.3,13.36,13.29,13.36,10.34425,32400
36,2015-10-12,13.37,13.41,13.33,13.38,10.359736999999999,33500
37,2015-10-13,13.31,13.32,13.21,13.24,10.303704,40400
38,2015-10-14,13.25,13.29,13.24,13.29,10.342616,37800
39,2015-10-15,13.26,13.29,13.2,13.22,10.288138,32500
40,2015-10-16,13.24,13.27,13.23,13.24,10.303704,19500
41,2015-10-19,13.23,13.27,13.23,13.26,10.319266,19300
42,2015-10-20,13.27,13.3,13.26,13.3,10.350396,76000
43,2015-10-21,13.31,13.32,13.28,13.32,10.365962,66400
44,2015-10-22,13.34,13.34,13.28,13.28,10.334833,81600
45,2015-10-23,13.33,13.46,13.31,13.32,10.365962,74000
46,2015-10-26,13.34,13.35,13.24,13.24,10.303704,42000
47,2015-10-27,13.26,13.31,13.25,13.3,10.350396,51800
48,2015-10-28,13.3,13.33,13.28,13.33,10.373742,76400
49,2015-10-29,13.37,13.45,13.34,13.4,10.428219,140400
50,2015-10-30,13.42,13.42,13.32,13.35,10.389308999999999,31300
51,2015-11-02,13.38,13.4,13.35,13.4,10.428219,28400
52,2015-11-03,13.4,13.41,13.31,13.38,10.412659,42500
53,2015-11-04,13.38,13.38,13.32,13.35,10.389308999999999,28200
54,2015-11-05,13.39,13.42,13.36,13.39,10.420438,67600
55,2015-11-06,13.36,13.36,13.26,13.28,10.334833,46700
56,2015-11-09,13.23,13.23,13.03,13.12,10.210316,75000
57,2015-11-10,13.11,13.23,13.08,13.13,10.218098,42300
58,2015-11-11,13.15,13.16,13.07,13.13,10.218098,22100
59,2015-11-12,13.1,13.17,13.07,13.16,10.29476,29500
60,2015-11-13,13.2,13.23,13.12,13.2,10.326056,49800
61,2015-11-16,13.22,13.23,13.2,13.22,10.341697,27600
62,2015-11-17,13.17,13.23,13.17,13.21,10.333876,39100
63,2015-11-18,13.23,13.25,13.2,13.25,10.365169,26600
64,2015-11-19,13.26,13.28,13.25,13.25,10.365169,20800
65,2015-11-20,13.29,13.32,13.28,13.32,10.419926,14800
66,2015-11-23,13.34,13.35,13.32,13.35,10.443396,32200
67,2015-11-24,13.35,13.38,13.31,13.37,10.459044,43400
68,2015-11-25,13.37,13.42,13.36,13.42,10.498155,17700
69,2015-11-27,13.44,13.44,13.42,13.43,10.505979,15600
70,2015-11-30,13.43,13.46,13.42,13.44,10.513798,32800
71,2015-12-01,13.48,13.49,13.43,13.46,10.529446,66300
72,2015-12-02,13.44,13.45,13.42,13.45,10.52162,29800
73,2015-12-03,13.37,13.41,13.3,13.32,10.419926,38100
74,2015-12-04,13.32,13.36,13.29,13.36,10.451216,36700
75,2015-12-07,13.39,13.4,13.35,13.37,10.459044,28300
76,2015-12-08,13.41,13.53,13.4,13.53,10.584208,58200
77,2015-12-09,13.53,13.54,13.48,13.53,10.584208,34500
78,2015-12-10,13.46,13.46,13.38,13.41,10.543319,32800
79,2015-12-11,13.41,13.48,13.34,13.39,10.527596,31300
80,2015-12-14,13.4,13.4,13.25,13.28,10.441112,27700
81,2015-12-15,13.28,13.33,13.21,13.24,10.409661,38600
82,2015-12-16,13.21,13.32,13.12,13.32,10.472559,103000
83,2015-12-17,13.32,13.39,13.3,13.38,10.519738,43600
84,2015-12-18,13.39,13.48,13.34,13.37,10.511874,118100
85,2015-12-21,13.39,13.43,13.38,13.38,10.519738,49000
86,2015-12-22,13.38,13.42,13.37,13.4,10.535458,32700
87,2015-12-23,13.44,13.48,13.39,13.41,10.543319,32400
88,2015-12-24,13.4,13.47,13.4,13.47,10.590494999999999,7400
89,2015-12-28,13.44,13.57,13.44,13.52,10.629807000000001,39000
90,2015-12-29,13.52,13.52,13.43,13.49,10.606216,69000
91,2015-12-30,13.5,13.58,13.45,13.56,10.661257,47100
92,2015-12-31,13.58,13.65,13.56,13.61,10.700569,50600
93,2016-01-04,13.62,13.63,13.5,13.63,10.716288,40400
94,2016-01-05,13.62,13.64,13.6,13.64,10.724153999999999,140600
95,2016-01-06,13.64,13.69,13.6,13.67,10.747741,142200
96,2016-01-07,13.7,13.74,13.67,13.7,10.771327000000001,59800
97,2016-01-08,13.7,13.73,13.64,13.73,10.794912,47200
98,2016-01-11,13.73,13.75,13.68,13.72,10.787054,113700
99,2016-01-12,13.73,13.74,13.7,13.72,10.787054,40900
100,2016-01-13,13.66,13.66,13.56,13.56,10.714359,38800
101,2016-01-14,13.59,13.61,13.55,13.6,10.745966000000001,37300
102,2016-01-15,13.59,13.64,13.55,13.63,10.769667,114700
103,2016-01-19,13.66,13.67,13.56,13.58,10.730161,65900
104,2016-01-20,13.58,13.59,13.4,13.46,10.635346,77300
105,2016-01-21,13.52,13.59,13.47,13.58,10.730161,43400
106,2016-01-22,13.62,13.64,13.56,13.6,10.745966000000001,68900
107,2016-01-25,13.58,13.67,13.58,13.59,10.738064,116000
108,2016-01-26,13.56,13.63,13.55,13.6,10.745966000000001,47900
109,2016-01-27,13.62,13.62,13.57,13.6,10.745966000000001,58200
110,2016-01-28,13.64,13.7,13.6,13.7,10.824977,43400
