,Date,Open,High,Low,Close,Adj Close,Volume
0,1998-03-03,15.0,15.375,15.0,15.0625,3.600402,7800
1,1998-03-04,15.1875,15.1875,15.1875,15.1875,3.6302779999999997,600
2,1998-03-05,15.1875,15.25,15.0625,15.1875,3.6302779999999997,3000
3,1998-03-06,15.25,15.375,15.25,15.3125,3.66016,3300
4,1998-03-09,15.375,15.6875,15.3125,15.3125,3.66016,10100
5,1998-03-10,15.375,15.5625,15.375,15.5625,3.7199160000000004,300
6,1998-03-11,15.6875,16.0,15.6875,15.8125,3.7796769999999995,7100
7,1998-03-12,15.9375,15.9375,15.9375,15.9375,3.809554,1000
8,1998-03-13,16.0,16.0,15.8125,15.8125,3.7796769999999995,4700
9,1998-03-16,15.625,15.75,15.375,15.375,3.675098,4500
10,1998-03-17,15.5625,15.8125,15.375,15.75,3.764735,6800
11,1998-03-18,15.8125,15.875,15.8125,15.875,3.7946129999999996,2800
12,1998-03-19,15.75,15.8125,15.5,15.5,3.704978,7800
13,1998-03-20,15.375,15.375,15.375,15.375,3.675098,500
14,1998-03-23,15.5,15.5,15.375,15.375,3.675098,200
15,1998-03-24,15.3125,15.3125,15.25,15.25,3.6452190000000004,4600
16,1998-03-25,15.5,16.75,15.5,15.625,3.734857,39400
17,1998-03-26,15.875,15.875,15.5,15.5,3.704978,2400
18,1998-03-27,15.4375,15.4375,15.4375,15.4375,3.6900370000000002,1400
19,1998-03-30,15.4375,15.5625,15.1875,15.1875,3.6302779999999997,2400
20,1998-03-31,15.1875,15.1875,15.1875,15.1875,3.6302779999999997,0
21,1998-04-01,15.125,15.125,15.0625,15.125,3.6153410000000004,2200
22,1998-04-02,15.0,15.0,15.0,15.0,3.58546,4000
23,1998-04-03,15.0,15.0,15.0,15.0,3.58546,3900
24,1998-04-06,15.125,15.75,15.125,15.75,3.764735,6400
25,1998-04-07,15.625,15.625,15.25,15.25,3.6452190000000004,3600
26,1998-04-08,15.125,15.125,15.0,15.0,3.58546,1500
27,1998-04-09,15.0,15.0,15.0,15.0,3.58546,0
28,1998-04-13,15.0,15.0,15.0,15.0,3.58546,3100
29,1998-04-14,15.0,15.0,15.0,15.0,3.58546,3300
30,1998-04-15,15.0,15.0,15.0,15.0,3.58546,5500
31,1998-04-16,15.0,15.0,15.0,15.0,3.58546,2000
32,1998-04-17,15.0,15.0,15.0,15.0,3.58546,6000
33,1998-04-20,15.1875,15.1875,15.0,15.0,3.58546,6400
34,1998-04-21,15.0,15.0,15.0,15.0,3.58546,1000
35,1998-04-22,15.0,15.0,14.6875,14.6875,3.5107660000000003,7600
36,1998-04-23,14.6875,14.75,14.5,14.5,3.4659449999999996,8900
37,1998-04-24,14.4375,14.4375,14.4375,14.4375,3.451007,600
38,1998-04-27,14.25,14.25,13.25,13.375,3.197035,6600
39,1998-04-28,13.375,14.125,13.375,14.0625,3.3613699999999995,8800
40,1998-04-29,14.25,14.25,14.25,14.25,3.4061879999999998,700
41,1998-04-30,14.25,14.25,14.25,14.25,3.4061879999999998,0
42,1998-05-01,14.25,14.25,14.25,14.25,3.4061879999999998,0
43,1998-05-04,14.125,14.125,14.0,14.125,3.3763089999999996,7600
44,1998-05-05,14.125,14.5,14.125,14.5,3.4659449999999996,7000
45,1998-05-06,14.5,14.5,14.5,14.5,3.4659449999999996,0
46,1998-05-07,14.25,14.25,14.25,14.25,3.4061879999999998,1000
47,1998-05-08,14.6875,14.75,14.6875,14.75,3.525704,4000
48,1998-05-11,15.375,15.375,15.125,15.1875,3.6302779999999997,9600
49,1998-05-12,15.0625,15.0625,15.0625,15.0625,3.600402,500
50,1998-05-13,15.0,15.1875,15.0,15.1875,3.6302779999999997,6000
51,1998-05-14,15.0,15.0,14.5625,14.5625,3.480886,3800
52,1998-05-15,14.625,14.875,14.625,14.875,3.555582,2000
53,1998-05-18,15.0,15.0,15.0,15.0,3.58546,800
54,1998-05-19,14.875,14.875,14.875,14.875,3.5907730000000004,5000
55,1998-05-20,15.0,15.0,14.625,14.875,3.5907730000000004,4400
56,1998-05-21,14.625,14.625,14.5,14.5,3.5002470000000003,2000
57,1998-05-22,14.5,14.625,14.5,14.5,3.5002470000000003,2700
58,1998-05-26,14.375,14.5,14.0,14.375,3.470073,13000
59,1998-05-27,14.375,14.375,14.375,14.375,3.470073,1800
60,1998-05-28,14.3125,14.3125,14.0625,14.1875,3.424813,6800
61,1998-05-29,14.0625,14.3125,14.0,14.3125,3.45499,9100
62,1998-06-01,14.125,14.5,14.0,14.5,3.5002470000000003,9000
63,1998-06-02,14.375,14.375,14.0625,14.375,3.470073,11500
64,1998-06-03,14.5,14.6875,14.4375,14.6875,3.545511,6800
65,1998-06-04,14.6875,14.75,14.6875,14.75,3.560598,4600
66,1998-06-05,14.75,14.75,14.75,14.75,3.560598,3000
67,1998-06-08,14.75,14.75,14.625,14.75,3.560598,22100
