,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,MXL,08/18/20,26.63,26.73,26.09,26.15,411816,-0.33,-1.25%
1,MXL,08/17/20,26.07,26.78,25.81,26.48,495109,0.64,2.48%
2,MXL,08/14/20,26.13,26.43,25.74,25.84,308800,-0.48,-1.82%
3,MXL,08/13/20,26.02,26.74,25.82,26.32,333482,0.12,0.46%
4,MXL,08/12/20,25.9,26.59,25.83,26.2,313116,0.54,2.10%
5,MXL,08/11/20,26.11,26.38,25.56,25.66,452985,-0.38,-1.46%
6,MXL,08/10/20,26.16,26.59,25.72,26.04,315500,-0.1,-0.38%
7,MXL,08/07/20,26.61,26.85,25.64,26.14,452000,-0.63,-2.35%
8,MXL,08/06/20,26.52,26.98,26.48,26.77,338470,0.2,0.75%
9,MXL,08/05/20,27.25,27.34,26.27,26.57,435065,-0.82,-2.99%
10,MXL,08/04/20,27.95,27.99,27.0,27.39,532568,-0.36,-1.30%
11,MXL,08/03/20,26.32,28.36,26.13,27.75,1147746,2.4,9.47%
12,MXL,07/31/20,25.7,25.7,24.5,25.35,706000,-0.39,-1.52%
13,MXL,07/30/20,25.24,25.81,25.08,25.74,532377,-0.01,-0.04%
14,MXL,07/29/20,25.06,25.9,25.06,25.75,1339081,0.75,3.00%
15,MXL,07/28/20,25.55,25.98,24.97,25.0,541477,-0.96,-3.70%
16,MXL,07/27/20,26.33,26.69,25.72,25.96,1212466,-0.34,-1.29%
17,MXL,07/24/20,27.68,27.68,25.01,26.3,1413200,-0.07,-0.27%
18,MXL,07/23/20,26.5,26.99,25.9,26.37,1084440,-0.28,-1.05%
19,MXL,07/22/20,26.85,27.29,26.48,26.65,662491,-0.3,-1.11%
20,MXL,07/21/20,27.51,28.1,26.59,26.95,1722497,-0.26,-0.96%
21,MXL,07/20/20,25.84,27.31,25.65,27.21,700799,1.49,5.79%
22,MXL,07/17/20,24.91,25.89,24.91,25.72,776000,0.99,4.00%
23,MXL,07/16/20,25.06,25.16,24.51,24.73,762084,-0.5,-1.98%
24,MXL,07/15/20,25.71,26.06,25.07,25.23,1460008,0.02,0.08%
25,MXL,07/14/20,24.76,25.4,24.08,25.21,585707,0.37,1.49%
26,MXL,07/13/20,25.49,26.44,24.8,24.84,1124413,-0.22,-0.88%
27,MXL,07/10/20,25.22,25.48,24.78,25.06,374900,-0.02,-0.08%
