,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,15.51,15.53,15.44,15.5,11.789785,19700
1,2015-08-21,15.47,15.54,15.47,15.5,11.789785,19100
2,2015-08-24,15.47,15.52,15.41,15.41,11.721333999999999,44400
3,2015-08-25,15.53,15.53,15.43,15.46,11.759364,38800
4,2015-08-26,15.51,15.54,15.44,15.5,11.789785,80500
5,2015-08-27,15.57,15.57,15.38,15.44,11.744147,50400
6,2015-08-28,15.35,15.41,15.23,15.41,11.721333999999999,42200
7,2015-08-31,15.46,15.54,15.43,15.49,11.782183999999999,60800
8,2015-09-01,15.55,15.65,15.5,15.65,11.903883,60500
9,2015-09-02,15.7,15.74,15.59,15.59,11.858246000000001,70200
10,2015-09-03,15.68,15.73,15.61,15.64,11.896276,32700
11,2015-09-04,15.7,15.73,15.65,15.68,11.9267,18100
12,2015-09-08,15.74,15.75,15.69,15.72,11.957125999999999,18000
13,2015-09-09,15.7,15.72,15.67,15.68,11.9267,48300
14,2015-09-10,15.67,15.71,15.65,15.68,11.9267,38500
15,2015-09-11,15.62,15.69,15.61,15.63,11.945044000000001,39300
16,2015-09-14,15.64,15.69,15.54,15.55,11.883904,46200
17,2015-09-15,15.6,15.6,15.51,15.53,11.868618,21600
18,2015-09-16,15.53,15.63,15.53,15.58,11.906830000000001,25400
19,2015-09-17,15.63,15.74,15.61,15.74,12.029110000000001,13200
20,2015-09-18,15.77,15.9,15.72,15.82,12.09025,24300
21,2015-09-21,15.88,15.88,15.81,15.88,12.136103,19500
22,2015-09-22,15.77,15.85,15.74,15.76,12.044394,34300
23,2015-09-23,15.8,15.82,15.74,15.82,12.09025,11300
24,2015-09-24,15.79,15.81,15.65,15.65,11.96033,26600
25,2015-09-25,15.72,15.83,15.71,15.81,12.082607000000001,13200
26,2015-09-28,15.83,15.85,15.75,15.77,12.052036,17400
27,2015-09-29,15.8,15.86,15.72,15.72,12.013824000000001,36500
28,2015-09-30,15.79,15.85,15.78,15.84,12.10553,13000
29,2015-10-01,15.85,15.9,15.83,15.9,12.151389,39500
30,2015-10-02,15.9,16.129998999999998,15.89,16.129998999999998,12.327161,24200
31,2015-10-05,16.1,16.18,15.99,16.02,12.243096000000001,41200
32,2015-10-06,16.040001,16.18,15.99,16.049999,12.266021,28900
33,2015-10-07,16.139999,16.16,15.99,15.99,12.220166,26600
34,2015-10-08,16.01,16.02,15.95,15.95,12.189598,19500
35,2015-10-09,15.98,16.0,15.96,15.97,12.204884,12500
36,2015-10-12,15.95,16.01,15.85,15.86,12.120821000000001,28900
37,2015-10-13,15.83,15.9,15.83,15.85,12.169959,24000
38,2015-10-14,15.87,15.97,15.87,15.92,12.223706,33600
39,2015-10-15,15.92,16.0,15.86,15.88,12.192994,6600
40,2015-10-16,15.9,15.98,15.8,15.82,12.146923,37000
41,2015-10-19,15.91,15.91,15.78,15.8,12.131569,61400
42,2015-10-20,15.82,15.92,15.78,15.84,12.162281,50900
43,2015-10-21,15.85,15.94,15.81,15.88,12.192994,25900
44,2015-10-22,15.91,15.94,15.82,15.88,12.192994,32000
45,2015-10-23,15.94,15.94,15.47,15.73,12.07782,213400
46,2015-10-26,15.74,15.97,15.74,15.83,12.1546,54600
47,2015-10-27,15.88,15.96,15.8,15.96,12.254417,34900
48,2015-10-28,15.88,15.97,15.86,15.94,12.239061999999999,29400
49,2015-10-29,15.95,15.95,15.88,15.92,12.223706,17900
50,2015-10-30,15.96,15.98,15.92,15.95,12.246738,36200
51,2015-11-02,16.059998999999998,16.07,16.01,16.059998999999998,12.331201,23500
52,2015-11-03,16.0,16.059998999999998,15.99,16.030001000000002,12.308169,31100
53,2015-11-04,16.049999,16.059998999999998,16.0,16.030001000000002,12.308169,20600
54,2015-11-05,16.08,16.08,15.98,16.02,12.300491000000001,27200
55,2015-11-06,15.98,15.98,15.73,15.78,12.116208,86600
56,2015-11-09,15.73,15.73,15.51,15.61,11.985682,99500
57,2015-11-10,15.66,15.66,15.54,15.58,11.962646000000001,35100
58,2015-11-11,15.64,15.75,15.63,15.75,12.093175,30400
59,2015-11-12,15.73,15.73,15.57,15.59,12.026832,24700
60,2015-11-13,15.62,15.73,15.58,15.73,12.134836,43400
61,2015-11-16,15.73,15.83,15.73,15.76,12.15798,20000
62,2015-11-17,15.69,15.74,15.61,15.69,12.103975,25000
63,2015-11-18,15.65,15.75,15.64,15.72,12.127121,17000
64,2015-11-19,15.8,15.83,15.74,15.83,12.211979,12900
65,2015-11-20,15.79,15.81,15.65,15.75,12.150264,37300
66,2015-11-23,15.75,15.8,15.69,15.69,12.103975,35000
67,2015-11-24,15.75,15.77,15.62,15.68,12.096264,33200
68,2015-11-25,15.67,15.74,15.63,15.68,12.096264,24200
69,2015-11-27,15.72,15.72,15.63,15.68,12.096264,8900
70,2015-11-30,15.7,15.71,15.57,15.7,12.111692999999999,50600
71,2015-12-01,15.8,15.81,15.72,15.74,12.142553,42200
72,2015-12-02,15.8,15.82,15.64,15.64,12.065405,78500
73,2015-12-03,15.64,15.64,15.5,15.57,12.011403999999999,37400
74,2015-12-04,15.58,15.61,15.52,15.61,12.042259,60300
75,2015-12-07,15.56,15.61,15.49,15.52,11.972831,56500
76,2015-12-08,15.52,15.64,15.49,15.63,12.057687,39700
77,2015-12-09,15.59,15.63,15.51,15.6,12.034547,33800
78,2015-12-10,15.48,15.52,15.45,15.52,12.133836,63300
79,2015-12-11,15.56,15.8,15.51,15.52,12.133836,89600
80,2015-12-14,15.55,15.57,15.33,15.35,12.000926,52400
81,2015-12-15,15.35,15.4,15.35,15.4,12.040019000000001,23100
82,2015-12-16,15.42,15.52,15.36,15.52,12.133836,63200
83,2015-12-17,15.54,15.64,15.53,15.63,12.219836,39100
84,2015-12-18,15.68,15.73,15.6,15.6,12.196385000000001,48500
85,2015-12-21,15.61,15.76,15.61,15.7,12.274566,22500
86,2015-12-22,15.69,15.72,15.63,15.72,12.290201,24400
87,2015-12-23,15.72,15.84,15.5,15.55,12.157292,107500
88,2015-12-24,15.62,15.75,15.62,15.72,12.290201,27100
89,2015-12-28,15.78,15.84,15.71,15.8,12.352749000000001,43300
90,2015-12-29,15.74,15.78,15.7,15.74,12.30584,23700
91,2015-12-30,15.72,15.81,15.7,15.78,12.337109,27700
92,2015-12-31,15.85,15.86,15.78,15.82,12.368383,21500
93,2016-01-04,15.83,15.89,15.76,15.89,12.423111,24800
94,2016-01-05,15.94,16.0,15.88,16.0,12.509111,20700
95,2016-01-06,16.02,16.1,15.95,16.059998999999998,12.556022,48400
96,2016-01-07,16.02,16.09,16.0,16.059998999999998,12.556022,33700
97,2016-01-08,16.09,16.09,15.97,15.98,12.493475,45900
98,2016-01-11,16.01,16.08,16.0,16.01,12.516927,39400
99,2016-01-12,16.040001,16.049999,15.94,16.02,12.524745,54500
100,2016-01-13,15.92,15.94,15.81,15.83,12.433636,47400
101,2016-01-14,15.89,15.92,15.78,15.92,12.504327,49300
102,2016-01-15,15.95,15.98,15.91,15.95,12.527889,21800
103,2016-01-19,15.95,16.01,15.87,15.89,12.480763,21900
104,2016-01-20,15.95,15.96,15.7,15.8,12.410075,53200
105,2016-01-21,15.74,15.86,15.74,15.79,12.402217,38700
106,2016-01-22,15.84,15.97,15.84,15.95,12.527889,37600
107,2016-01-25,16.0,16.0,15.86,15.88,12.472908,33500
108,2016-01-26,15.95,15.96,15.88,15.93,12.512179,33000
109,2016-01-27,15.87,15.99,15.87,15.91,12.496471000000001,28100
110,2016-01-28,15.97,16.02,15.94,16.02,12.582869,25600
111,2016-01-29,16.059998999999998,16.16,16.059998999999998,16.120001000000002,12.661415,38200
112,2016-02-01,16.120001000000002,16.18,16.049999,16.18,12.708544,31200
113,2016-02-02,16.18,16.25,16.17,16.24,12.75567,30500
114,2016-02-03,16.25,16.360001,16.24,16.360001,12.849926,27300
115,2016-02-04,16.41,16.530001000000002,16.41,16.51,12.967737,53900
116,2016-02-05,16.559998999999998,16.58,16.5,16.57,13.014864,42200
117,2016-02-08,16.51,16.799999,16.5,16.690001000000002,13.109121,45800
118,2016-02-09,16.73,16.73,16.6,16.65,13.077703,40400
119,2016-02-10,16.620001000000002,16.690001000000002,16.43,16.459999,12.928467999999999,65000
120,2016-02-11,16.48,16.559998999999998,16.309998999999998,16.389999,12.931624000000001,77900
121,2016-02-12,16.32,16.360001,16.139999,16.18,12.765935,34200
122,2016-02-16,16.190001000000002,16.190001000000002,16.030001000000002,16.040001,12.655478,44600
123,2016-02-17,16.030001000000002,16.120001000000002,15.96,15.96,12.592356,40400
124,2016-02-18,15.98,16.059998999999998,15.97,16.040001,12.655478,34400
125,2016-02-19,16.059998999999998,16.129998999999998,16.0,16.129998999999998,12.726483,28100
126,2016-02-22,16.16,16.18,16.120001000000002,16.15,12.742265,29400
127,2016-02-23,16.110001,16.280001000000002,16.110001,16.25,12.821162,45500
128,2016-02-24,16.23,16.360001,16.23,16.35,12.900064,39900
129,2016-02-25,16.389999,16.41,16.219998999999998,16.299999,12.860614,46800
130,2016-02-26,16.280001000000002,16.280001000000002,16.049999,16.059998999999998,12.671254,54500
131,2016-02-29,16.15,16.360001,16.15,16.15,12.742265,34300
132,2016-03-01,16.26,16.48,16.25,16.440001000000002,12.971077000000001,52800
133,2016-03-02,16.48,16.59,16.360001,16.459999,12.986853,68100
