,Date,Open,High,Low,Close,Adj Close,Volume
0,1992-04-13,15.0,15.125,14.875,15.0,2.5880959999999997,32100
1,1992-04-14,15.0,15.0,14.875,15.0,2.5880959999999997,14400
2,1992-04-15,15.0,15.0,14.875,15.0,2.5880959999999997,38200
3,1992-04-16,15.0,15.0,14.875,15.0,2.5880959999999997,17800
4,1992-04-20,15.0,15.0,14.875,15.0,2.5880959999999997,16100
5,1992-04-21,15.0,15.0,14.875,15.0,2.5880959999999997,9400
6,1992-04-22,15.0,15.0,14.875,15.0,2.5880959999999997,18300
7,1992-04-23,15.0,15.0,14.875,15.0,2.5880959999999997,19000
8,1992-04-24,15.0,15.0,14.875,15.0,2.5880959999999997,13900
9,1992-04-27,15.0,15.125,14.875,15.0,2.5880959999999997,28000
10,1992-04-28,15.0,15.125,14.875,15.0,2.5880959999999997,6000
11,1992-04-29,15.125,15.125,15.0,15.0,2.5880959999999997,18100
12,1992-04-30,15.125,15.125,15.0,15.0,2.5880959999999997,9600
13,1992-05-01,14.875,15.125,14.875,15.125,2.609665,6400
14,1992-05-04,15.0,15.0,14.75,14.875,2.566528,53100
15,1992-05-05,14.875,15.0,14.75,14.75,2.5449610000000003,11200
16,1992-05-06,14.75,14.875,14.75,14.875,2.566528,11100
17,1992-05-07,14.875,15.0,14.75,15.0,2.5880959999999997,19100
18,1992-05-08,15.0,15.0,14.875,15.0,2.5880959999999997,12400
19,1992-05-11,14.875,15.0,14.75,14.875,2.566528,11200
20,1992-05-12,14.75,14.875,14.5,14.5,2.501826,12500
21,1992-05-13,14.625,15.0,14.625,14.875,2.566528,21000
22,1992-05-14,15.0,15.0,14.75,15.0,2.5880959999999997,10800
23,1992-05-15,14.875,15.0,14.875,14.875,2.566528,10700
24,1992-05-18,14.875,15.0,14.75,14.875,2.566528,23200
25,1992-05-19,14.875,15.0,14.75,14.875,2.566528,31800
26,1992-05-20,14.875,15.0,14.875,15.0,2.5880959999999997,30100
27,1992-05-21,14.875,15.0,14.875,15.0,2.5880959999999997,15000
28,1992-05-22,14.875,15.0,14.875,14.875,2.566528,10200
29,1992-05-26,14.875,15.0,14.625,14.75,2.5449610000000003,36900
30,1992-05-27,14.75,14.875,14.75,14.875,2.566528,3400
31,1992-05-28,14.875,14.875,14.625,14.875,2.566528,36300
32,1992-05-29,15.0,15.0,14.875,15.0,2.5880959999999997,16400
33,1992-06-01,15.0,15.0,14.625,14.75,2.5449610000000003,20400
34,1992-06-02,14.875,14.875,14.75,14.75,2.5449610000000003,3500
35,1992-06-03,14.875,14.875,14.625,14.75,2.5449610000000003,19200
36,1992-06-04,14.875,14.875,14.5,14.75,2.5449610000000003,22900
37,1992-06-05,14.75,14.75,14.375,14.75,2.5449610000000003,20500
38,1992-06-08,14.75,14.75,14.375,14.375,2.480259,11600
39,1992-06-09,14.5,14.75,14.5,14.5,2.501826,28600
40,1992-06-10,14.75,14.75,14.625,14.75,2.5449610000000003,15600
41,1992-06-11,14.75,14.75,14.625,14.75,2.5449610000000003,19300
42,1992-06-12,14.5,14.75,14.375,14.625,2.532321,33600
43,1992-06-15,14.5,14.875,14.375,14.875,2.575609,18800
44,1992-06-16,14.75,14.75,14.625,14.625,2.532321,7200
45,1992-06-17,14.625,14.75,14.5,14.75,2.553966,5200
46,1992-06-18,14.625,14.625,14.5,14.625,2.532321,6100
47,1992-06-19,14.5,14.625,14.375,14.5,2.510679,26200
48,1992-06-22,14.5,14.75,14.5,14.5,2.510679,13000
49,1992-06-23,14.625,14.75,14.375,14.75,2.553966,17200
50,1992-06-24,14.75,14.75,14.5,14.75,2.553966,12600
51,1992-06-25,14.5,14.875,14.5,14.875,2.575609,30300
52,1992-06-26,14.75,15.0,14.75,14.875,2.575609,8500
53,1992-06-29,14.75,14.875,14.75,14.75,2.553966,10700
54,1992-06-30,14.75,15.0,14.75,14.75,2.553966,24300
55,1992-07-01,15.0,15.0,14.75,14.75,2.553966,39500
56,1992-07-02,14.75,15.0,14.75,15.0,2.597252,8700
57,1992-07-06,15.0,15.0,14.75,14.875,2.575609,19200
58,1992-07-07,14.875,15.0,14.875,15.0,2.597252,42200
