,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,MYOK,08/18/20,102.51,103.52,100.87,101.14,253356,-1.46,-1.42%
1,MYOK,08/17/20,99.71,103.26,99.25,102.6,360907,3.36,3.39%
2,MYOK,08/14/20,101.24,101.57,98.62,99.24,210600,-2.43,-2.39%
3,MYOK,08/13/20,100.95,102.5,99.51,101.67,285199,0.15,0.15%
4,MYOK,08/12/20,101.67,102.8,96.02,101.52,500230,0.5,0.49%
5,MYOK,08/11/20,105.24,105.24,100.56,101.02,424323,-3.65,-3.49%
6,MYOK,08/10/20,103.29,105.39,102.13,104.67,316124,1.27,1.23%
7,MYOK,08/07/20,100.01,104.22,99.61,103.4,312200,3.13,3.12%
8,MYOK,08/06/20,100.53,101.68,99.32,100.27,273996,0.3,0.30%
9,MYOK,08/05/20,99.0,104.5,97.72,99.97,722916,1.97,2.01%
10,MYOK,08/04/20,95.66,98.2,93.07,98.0,341840,1.65,1.71%
11,MYOK,08/03/20,90.24,97.14,89.46,96.35,501640,6.22,6.90%
12,MYOK,07/31/20,94.35,94.35,88.75,90.13,749800,-4.59,-4.85%
13,MYOK,07/30/20,95.21,97.26,93.91,94.72,271467,-1.57,-1.63%
14,MYOK,07/29/20,94.85,96.89,93.42,96.29,531713,2.43,2.59%
15,MYOK,07/28/20,94.87,96.22,92.86,93.86,457234,-1.74,-1.82%
16,MYOK,07/27/20,92.53,96.13,92.0,95.6,331257,3.38,3.67%
17,MYOK,07/24/20,93.04,94.42,91.26,92.22,288800,-1.5,-1.60%
18,MYOK,07/23/20,94.21,96.5,93.01,93.72,334029,-1.11,-1.17%
19,MYOK,07/22/20,93.8,95.25,93.31,94.83,356503,1.04,1.11%
20,MYOK,07/21/20,94.0,95.25,92.49,93.79,353723,0.69,0.74%
21,MYOK,07/20/20,91.45,93.56,90.0,93.1,208437,1.54,1.68%
22,MYOK,07/17/20,89.97,92.05,89.26,91.56,263000,1.77,1.97%
23,MYOK,07/16/20,93.48,94.86,89.11,89.79,277051,-4.5,-4.77%
24,MYOK,07/15/20,94.94,96.49,93.64,94.29,354873,1.24,1.33%
25,MYOK,07/14/20,91.14,93.07,88.6,93.05,446661,2.43,2.68%
26,MYOK,07/13/20,93.58,95.79,90.2,90.62,329587,-2.24,-2.41%
27,MYOK,07/10/20,93.42,94.31,91.91,92.86,231900,-0.27,-0.29%
28,MYOK,07/09/20,95.66,96.91,92.03,93.13,349697,-2.16,-2.27%
29,MYOK,07/08/20,94.06,95.57,93.5,95.29,287288,1.25,1.33%
30,MYOK,07/07/20,91.8,95.25,91.52,94.04,383241,1.8,1.95%
31,MYOK,07/06/20,94.93,95.39,92.17,92.24,471722,-1.87,-1.99%
32,MYOK,07/02/20,94.8,95.89,92.79,94.11,347500,0.27,0.29%
33,MYOK,07/01/20,97.1,98.16,92.89,93.84,772098,-2.78,-2.88%
