,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,1.34,1.38,1.31,1.34,1.34,129200
1,2015-09-01,1.34,1.36,1.27,1.29,1.29,56200
2,2015-09-02,1.31,1.31,1.23,1.26,1.26,81100
3,2015-09-03,1.26,1.3,1.25,1.26,1.26,67600
4,2015-09-04,1.25,1.26,1.23,1.25,1.25,31700
5,2015-09-08,1.23,1.28,1.23,1.26,1.26,34500
6,2015-09-09,1.26,1.3,1.22,1.25,1.25,76800
7,2015-09-10,1.26,1.29,1.24,1.27,1.27,55900
8,2015-09-11,1.26,1.29,1.23,1.26,1.26,51900
9,2015-09-14,1.24,1.27,1.2,1.25,1.25,72900
10,2015-09-15,1.25,1.25,1.19,1.22,1.22,189400
11,2015-09-16,1.21,1.24,1.19,1.19,1.19,56600
12,2015-09-17,1.2,1.24,1.19,1.22,1.22,141800
13,2015-09-18,1.2,1.24,1.19,1.19,1.19,111800
14,2015-09-21,1.2,1.24,1.14,1.18,1.18,212400
15,2015-09-22,1.19,1.22,1.1,1.2,1.2,310100
16,2015-09-23,1.16,1.19,1.13,1.18,1.18,62100
17,2015-09-24,1.13,1.2,1.13,1.17,1.17,133900
18,2015-09-25,1.2,1.2,1.11,1.16,1.16,268600
19,2015-09-28,1.15,1.17,1.1,1.16,1.16,207400
20,2015-09-29,1.16,1.19,1.08,1.1,1.1,210500
21,2015-09-30,1.12,1.14,1.04,1.1,1.1,173900
22,2015-10-01,1.1,1.19,1.05,1.19,1.19,92500
23,2015-10-02,1.19,1.28,1.15,1.28,1.28,181300
24,2015-10-05,1.29,1.3,1.22,1.23,1.23,132900
25,2015-10-06,1.25,1.25,1.16,1.2,1.2,77200
26,2015-10-07,1.2,1.23,1.16,1.2,1.2,147000
27,2015-10-08,1.19,1.23,1.16,1.17,1.17,167100
28,2015-10-09,1.19,1.21,1.19,1.19,1.19,69700
29,2015-10-12,1.21,1.29,1.2,1.22,1.22,45500
30,2015-10-13,1.21,1.24,1.19,1.19,1.19,123100
31,2015-10-14,1.22,1.24,1.17,1.24,1.24,76300
32,2015-10-15,1.22,1.28,1.16,1.2,1.2,241900
33,2015-10-16,1.18,1.2,1.16,1.2,1.2,19200
34,2015-10-19,1.19,1.19,1.16,1.18,1.18,36600
35,2015-10-20,1.18,1.2,1.16,1.19,1.19,134900
36,2015-10-21,1.17,1.18,1.14,1.18,1.18,129500
37,2015-10-22,1.18,1.2,1.12,1.19,1.19,283400
38,2015-10-23,1.19,1.19,1.15,1.15,1.15,138800
39,2015-10-26,1.17,1.18,1.12,1.13,1.13,27300
40,2015-10-27,1.13,1.14,1.05,1.09,1.09,89000
41,2015-10-28,1.07,1.13,1.07,1.09,1.09,85100
42,2015-10-29,1.07,1.1,1.04,1.09,1.09,140900
43,2015-10-30,1.07,1.09,1.04,1.07,1.07,148700
44,2015-11-02,1.07,1.16,1.07,1.11,1.11,178300
45,2015-11-03,1.11,1.14,1.09,1.11,1.11,57300
46,2015-11-04,1.12,1.12,1.06,1.08,1.08,81500
47,2015-11-05,1.05,1.08,1.05,1.05,1.05,85400
48,2015-11-06,1.04,1.13,0.98,1.1,1.1,715200
49,2015-11-09,1.1,1.18,1.09,1.16,1.16,314900
50,2015-11-10,1.18,1.23,1.13,1.23,1.23,184600
51,2015-11-11,1.22,1.25,1.2,1.24,1.24,186300
52,2015-11-12,1.24,1.24,1.13,1.2,1.2,78000
53,2015-11-13,1.2,1.24,1.18,1.23,1.23,79300
54,2015-11-16,1.21,1.28,1.15,1.17,1.17,76100
