,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-07-01,6.0,6.38,6.0,6.05,6.05,2926200
1,2014-07-02,6.1,6.15,6.0,6.0,6.0,349100
2,2014-07-03,6.03,6.22,6.0,6.13,6.13,120000
3,2014-07-07,6.24,6.24,5.75,5.9,5.9,325200
4,2014-07-08,5.8,6.08,5.8,5.97,5.97,195600
5,2014-07-09,5.93,6.06,5.93,5.93,5.93,43100
6,2014-07-10,5.85,7.54,5.8,6.68,6.68,747300
7,2014-07-11,7.1,7.13,6.41,6.61,6.61,276400
8,2014-07-14,6.61,7.0,6.36,6.8,6.8,107400
9,2014-07-15,6.8,6.8,5.75,5.85,5.85,532800
10,2014-07-16,5.9,6.09,5.57,6.09,6.09,199400
11,2014-07-17,6.0,6.4,5.8,6.35,6.35,136100
12,2014-07-18,6.35,6.4,6.111,6.4,6.4,97000
13,2014-07-21,6.4,6.4,6.11,6.33,6.33,56300
14,2014-07-22,6.32,6.32,6.05,6.15,6.15,85300
15,2014-07-23,6.26,6.3,6.05,6.1,6.1,42000
16,2014-07-24,6.1,6.7,6.05,6.56,6.56,197100
17,2014-07-25,6.28,6.85,6.28,6.78,6.78,283400
18,2014-07-28,6.99,7.89,6.82,7.53,7.53,570700
19,2014-07-29,7.9,7.9,7.15,7.19,7.19,101700
20,2014-07-30,7.03,7.098,6.51,6.53,6.53,134200
21,2014-07-31,6.5,6.85,6.1,6.31,6.31,82900
22,2014-08-01,6.31,6.31,6.15,6.26,6.26,78900
23,2014-08-04,6.74,6.74,6.3,6.63,6.63,49300
24,2014-08-05,6.45,6.8,6.22,6.24,6.24,32700
25,2014-08-06,6.15,6.83,6.15,6.82,6.82,88000
26,2014-08-07,6.85,7.0,6.614,7.0,7.0,124600
27,2014-08-08,6.26,6.847,6.26,6.51,6.51,40000
28,2014-08-11,6.55,6.91,6.51,6.54,6.54,36500
29,2014-08-12,6.77,7.1,6.62,6.975,6.975,90000
30,2014-08-13,7.1,7.1,6.816,6.86,6.86,6200
31,2014-08-14,6.99,7.42,6.9,6.99,6.99,93400
32,2014-08-15,7.33,7.34,6.864,7.29,7.29,62600
33,2014-08-18,7.15,7.3,6.96,6.97,6.97,18900
34,2014-08-19,6.97,7.15,6.86,6.96,6.96,25700
35,2014-08-20,6.83,6.94,6.67,6.67,6.67,17100
