,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-15,17.0,22.18,17.0,21.0,21.0,4202500
1,2018-06-18,23.639999,29.35,21.549999,28.799999,28.799999,2910800
2,2018-06-19,30.18,35.0,28.040001,30.0,30.0,3832400
3,2018-06-20,32.5,32.700001,25.0,26.110001,26.110001,2461500
4,2018-06-21,25.07,25.940001000000002,21.26,21.360001,21.360001,1661000
5,2018-06-22,23.299999,23.299999,18.75,18.75,18.75,1698900
6,2018-06-25,18.24,20.74,18.200001,20.43,20.43,1474700
7,2018-06-26,21.58,22.879,21.23,22.620001000000002,22.620001000000002,1109700
8,2018-06-27,23.5,23.700001,20.691,20.82,20.82,1286400
9,2018-06-28,20.940001000000002,21.5,20.16,21.23,21.23,371800
10,2018-06-29,22.059998999999998,22.07,21.028999,21.4,21.4,271600
11,2018-07-02,21.23,21.297001,20.33,20.610001,20.610001,140300
12,2018-07-03,20.610001,20.610001,19.799999,20.02,20.02,164300
13,2018-07-05,19.799999,20.0,18.98,19.01,19.01,474700
14,2018-07-06,18.700001,19.48,18.700001,19.040001,19.040001,202600
15,2018-07-09,19.24,19.440001000000002,18.889999,18.959999,18.959999,213500
16,2018-07-10,19.139999,19.649,18.75,19.5,19.5,591800
17,2018-07-11,19.280001000000002,19.74,19.0,19.01,19.01,222600
18,2018-07-12,19.049999,20.969998999999998,19.049999,20.23,20.23,567000
19,2018-07-13,20.6,20.681998999999998,19.365999,20.24,20.24,181500
20,2018-07-16,20.200001,20.427999,18.92,19.030001000000002,19.030001000000002,398700
21,2018-07-17,19.0,19.6,19.0,19.02,19.02,202900
22,2018-07-18,19.02,19.499001,18.91,19.139999,19.139999,119800
23,2018-07-19,19.190001000000002,19.4,18.879998999999998,19.08,19.08,141200
24,2018-07-20,19.1,19.290001,18.450001,18.93,18.93,221800
25,2018-07-23,19.09,19.09,18.52,19.0,19.0,111300
26,2018-07-24,19.01,19.530001000000002,18.9,19.389999,19.389999,136900
27,2018-07-25,19.25,19.93,19.25,19.85,19.85,127100
28,2018-07-26,19.32,19.84,18.809998999999998,19.0,19.0,223700
29,2018-07-27,18.9,19.07,18.65,18.93,18.93,118700
30,2018-07-30,18.92,19.33,18.530001000000002,18.629998999999998,18.629998999999998,117700
31,2018-07-31,18.620001000000002,18.620001000000002,16.780001000000002,16.780001000000002,16.780001000000002,237800
32,2018-08-01,16.719998999999998,17.459999,16.384001,17.0,17.0,118400
33,2018-08-02,16.940001000000002,16.940001000000002,15.86,16.43,16.43,164300
34,2018-08-03,16.440001000000002,16.440001000000002,15.713,16.030001000000002,16.030001000000002,162000
35,2018-08-06,16.030001000000002,16.17,15.7,15.8,15.8,61300
36,2018-08-07,15.74,16.43,15.651,16.24,16.24,49700
37,2018-08-08,16.24,16.700001,15.72,15.76,15.76,66400
38,2018-08-09,15.88,16.120001000000002,15.56,15.7,15.7,58700
39,2018-08-10,15.87,15.928,15.32,15.48,15.48,82500
40,2018-08-13,14.28,15.39,14.121,15.25,15.25,164000
41,2018-08-14,15.16,15.21,14.66,14.67,14.67,107200
42,2018-08-15,14.37,14.66,13.85,13.86,13.86,141100
43,2018-08-16,13.89,14.87,13.89,14.18,14.18,195600
44,2018-08-17,14.19,14.82,13.87,14.15,14.15,63400
45,2018-08-20,14.15,14.82,14.04,14.07,14.07,345600
46,2018-08-21,14.41,14.6,12.64,13.0,13.0,779800
47,2018-08-22,13.05,16.15,13.05,15.9,15.9,623300
48,2018-08-23,14.35,14.977,14.01,14.5,14.5,234900
49,2018-08-24,14.3,14.565,14.258,14.5,14.5,148000
50,2018-08-27,14.52,14.596,13.77,13.92,13.92,195500
51,2018-08-28,13.9,14.16,13.78,14.0,14.0,120900
52,2018-08-29,13.95,14.026,13.15,13.2,13.2,144100
53,2018-08-30,13.3,13.5,12.94,13.01,13.01,24500
54,2018-08-31,13.0,13.1,12.85,13.05,13.05,36900
55,2018-09-04,12.95,12.95,12.46,12.48,12.48,52800
56,2018-09-05,12.51,12.56,12.2,12.21,12.21,89200
57,2018-09-06,12.21,12.21,11.75,11.75,11.75,66000
