,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,NIQ,08/18/20,14.42,14.43,14.35,14.43,8206,-0.01,-0.07%
1,NIQ,08/17/20,14.35,14.63,14.35,14.44,20944,0.05,0.38%
2,NIQ,08/14/20,14.38,14.44,14.35,14.39,23600,-0.01,-0.10%
3,NIQ,08/13/20,14.4,14.45,14.37,14.4,7763,-0.08,-0.55%
4,NIQ,08/12/20,14.33,14.84,14.29,14.48,37455,0.16,1.12%
5,NIQ,08/11/20,14.31,14.35,14.31,14.32,9560,0.01,0.07%
6,NIQ,08/10/20,14.36,14.44,14.28,14.31,26800,-0.03,-0.21%
7,NIQ,08/07/20,14.3,14.44,14.3,14.34,36300,-0.05,-0.35%
8,NIQ,08/06/20,14.41,14.43,14.31,14.39,19482,-0.02,-0.14%
9,NIQ,08/05/20,14.41,14.46,14.4,14.41,9966,0.0,0.00%
10,NIQ,08/04/20,14.29,14.44,14.29,14.41,25251,-0.02,-0.14%
11,NIQ,08/03/20,14.33,14.44,14.33,14.43,7390,0.15,1.05%
12,NIQ,07/31/20,14.21,14.32,14.21,14.28,26500,0.06,0.42%
13,NIQ,07/30/20,14.31,14.55,14.2,14.22,72359,-0.01,-0.07%
14,NIQ,07/29/20,14.27,14.38,14.19,14.23,31784,-0.04,-0.28%
15,NIQ,07/28/20,14.64,14.64,14.27,14.27,4860,-0.0,-0.00%
16,NIQ,07/27/20,14.23,14.3,14.23,14.27,3952,0.02,0.14%
17,NIQ,07/24/20,14.27,14.6,14.2,14.25,9300,0.02,0.14%
18,NIQ,07/23/20,14.19,14.27,14.19,14.23,13625,0.02,0.14%
19,NIQ,07/22/20,14.26,14.35,14.14,14.21,28877,-0.06,-0.42%
20,NIQ,07/21/20,14.63,14.63,14.27,14.27,7595,-0.02,-0.14%
21,NIQ,07/20/20,14.32,14.32,14.23,14.29,7460,-0.03,-0.21%
22,NIQ,07/17/20,14.25,14.32,14.2,14.32,12600,0.07,0.49%
23,NIQ,07/16/20,14.32,14.32,14.25,14.25,13426,-0.07,-0.49%
24,NIQ,07/15/20,14.15,14.35,14.14,14.32,18116,0.15,1.04%
25,NIQ,07/14/20,14.2,14.2,14.13,14.17,20601,-0.04,-0.26%
26,NIQ,07/13/20,14.31,14.34,14.18,14.21,8990,-0.06,-0.42%
27,NIQ,07/10/20,14.29,14.36,14.27,14.27,20500,-0.03,-0.21%
28,NIQ,07/09/20,14.29,14.39,14.29,14.3,23411,0.02,0.14%
29,NIQ,07/08/20,14.24,14.42,14.16,14.28,40230,0.12,0.85%
30,NIQ,07/07/20,14.16,14.27,14.15,14.16,13822,-0.03,-0.21%
31,NIQ,07/06/20,14.07,14.22,14.07,14.19,7167,0.05,0.35%
32,NIQ,07/02/20,14.78,14.78,14.14,14.14,18900,-0.01,-0.07%
33,NIQ,07/01/20,14.11,14.2,14.11,14.15,22527,-0.06,-0.42%
34,NIQ,06/30/20,13.99,14.25,13.94,14.21,22008,0.27,1.94%
35,NIQ,06/29/20,13.95,14.03,13.92,13.94,11513,-0.09,-0.64%
36,NIQ,06/26/20,13.89,14.03,13.89,14.03,44500,0.14,1.01%
37,NIQ,06/25/20,13.88,13.9,13.84,13.89,19475,0.03,0.22%
38,NIQ,06/24/20,13.87,13.88,13.82,13.86,29013,0.01,0.07%
39,NIQ,06/23/20,13.75,13.85,13.75,13.85,8081,0.08,0.58%
40,NIQ,06/22/20,13.77,13.78,13.75,13.77,5675,0.02,0.15%
41,NIQ,06/19/20,13.74,13.79,13.74,13.75,6800,-0.02,-0.15%
42,NIQ,06/18/20,13.78,13.78,13.74,13.77,31538,0.03,0.22%
43,NIQ,06/17/20,13.86,13.86,13.68,13.74,16664,-0.11,-0.79%
44,NIQ,06/16/20,13.68,13.94,13.68,13.85,47113,0.1,0.73%
45,NIQ,06/15/20,13.86,14.04,13.75,13.75,34462,-0.13,-0.94%
46,NIQ,06/12/20,13.83,13.88,13.8,13.88,5400,0.08,0.58%
47,NIQ,06/11/20,13.83,13.89,13.77,13.8,16685,-0.08,-0.57%
48,NIQ,06/10/20,13.83,13.88,13.81,13.88,14630,0.07,0.50%
49,NIQ,06/09/20,13.83,14.02,13.8,13.81,26395,-0.06,-0.42%
50,NIQ,06/08/20,13.83,13.88,13.83,13.87,12431,0.06,0.43%
51,NIQ,06/05/20,13.79,13.9,13.77,13.81,29400,0.03,0.21%
52,NIQ,06/04/20,13.85,13.85,13.73,13.78,23913,-0.04,-0.29%
53,NIQ,06/03/20,13.92,13.96,13.82,13.82,29170,-0.07,-0.53%
54,NIQ,06/02/20,13.9,14.04,13.88,13.89,16149,0.0,0.02%
55,NIQ,06/01/20,13.88,13.98,13.88,13.89,24313,0.0,0.00%
56,NIQ,05/29/20,13.81,13.9,13.81,13.89,15700,0.06,0.44%
57,NIQ,05/28/20,13.78,13.83,13.73,13.83,8253,0.15,1.08%
58,NIQ,05/27/20,13.71,13.73,13.68,13.68,13506,0.01,0.09%
59,NIQ,05/26/20,13.75,13.75,13.55,13.67,26324,0.15,1.11%
60,NIQ,05/22/20,13.42,13.6,13.39,13.52,29300,0.11,0.82%
61,NIQ,05/21/20,13.38,13.41,13.33,13.41,20530,0.07,0.50%
62,NIQ,05/20/20,13.32,13.38,13.32,13.34,17183,0.02,0.18%
63,NIQ,05/19/20,13.25,13.33,13.2,13.32,24951,0.06,0.45%
64,NIQ,05/18/20,13.14,13.3,13.14,13.26,20130,0.11,0.84%
65,NIQ,05/15/20,13.33,13.33,13.11,13.15,8900,0.01,0.08%
