,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-05-28,100.09,100.69,98.25,98.46,98.46,7232008,0.0,1.0
1,2020-05-27,98.12,99.99,97.62,99.87,99.87,7908914,0.0,1.0
2,2020-05-26,95.98,97.43,95.28,96.62,96.62,7184603,0.0,1.0
3,2020-05-22,94.42,94.65,93.35,93.75,93.75,4049486,0.0,1.0
4,2020-05-21,92.88,94.38,92.37,94.26,94.26,7503676,0.0,1.0
5,2020-05-20,93.2,93.86,92.7,92.95,92.95,6345880,0.0,1.0
6,2020-05-19,90.85,93.82,90.82,91.51,91.51,6509799,0.0,1.0
7,2020-05-18,90.49,91.6,89.88,91.04,91.04,8516887,0.0,1.0
8,2020-05-15,85.25,87.23,84.88,86.99,86.99,9163621,0.0,1.0
9,2020-05-14,85.0,86.58,84.11,86.55,86.55,7424871,0.0,1.0
10,2020-05-13,87.38,87.74,85.2,86.02,86.02,6736101,0.0,1.0
11,2020-05-12,91.53,91.67,88.15,88.26,88.26,5619792,0.0,1.0
12,2020-05-11,89.45,91.42,89.14,90.93,90.93,4936231,0.0,1.0
13,2020-05-08,90.11,90.64,89.5874,90.46,90.46,5487739,0.0,1.0
14,2020-05-07,89.4,90.24,88.375,88.56,88.56,4565120,0.0,1.0
15,2020-05-06,88.05,88.69,87.43,88.44,88.44,7341551,0.0,1.0
16,2020-05-05,86.54,88.525,86.03,87.2,87.2,6319726,0.0,1.0
17,2020-05-04,84.68,85.8,84.31,85.75,85.75,6348843,0.0,1.0
18,2020-05-01,85.67,86.105,84.81,85.54,85.54,6150007,0.0,1.0
19,2020-04-30,87.0,88.0,86.505,87.18,87.18,9365193,0.0,1.0
20,2020-04-29,90.0,91.39,87.83,88.07,88.07,9454567,0.0,1.0
21,2020-04-28,90.55,90.71,88.63,88.8,88.8,5143754,0.0,1.0
22,2020-04-27,88.38,89.87,87.31,89.37,89.37,6874799,0.0,1.0
23,2020-04-24,88.89,89.12,87.645,88.37,88.37,4450120,0.0,1.0
24,2020-04-23,88.94,89.53,87.26,87.35,87.35,5342728,0.0,1.0
25,2020-04-22,86.98,89.44,86.42,88.77,88.77,6462742,0.0,1.0
26,2020-04-21,85.99,86.9,85.09,85.2,85.2,6596184,0.0,1.0
27,2020-04-20,88.43,89.44,87.52,87.9,87.9,7243609,0.0,1.0
28,2020-04-17,89.0,90.25,88.36,89.91,89.91,8110373,0.0,1.0
29,2020-04-16,85.43,86.53,84.55,86.3,86.3,9360698,0.0,1.0
30,2020-04-15,84.87,85.875,83.71,85.04,85.04,8052597,0.0,1.0
31,2020-04-14,85.95,87.77,85.48,87.47,87.47,6396001,0.0,1.0
32,2020-04-13,85.8,85.99,84.14,84.46,84.46,5057776,0.0,1.0
33,2020-04-09,86.69,87.3896,85.16,86.79,86.79,7771955,0.0,1.0
34,2020-04-08,84.7,85.77,83.61,85.3,85.3,6640218,0.0,1.0
35,2020-04-07,88.7,88.87,84.03,84.16,84.16,10464412,0.0,1.0
36,2020-04-06,81.91,85.04,81.21,84.63,84.63,11264058,0.0,1.0
37,2020-04-03,79.36,79.79,77.905,78.86,78.86,8473430,0.0,1.0
38,2020-04-02,79.0,81.6,77.16,80.14,80.14,12731211,0.0,1.0
39,2020-04-01,79.49,81.18,78.53,79.23,79.23,9770330,0.0,1.0
40,2020-03-31,85.13,85.73,82.4,82.74,82.74,9608986,0.0,1.0
41,2020-03-30,84.0,85.96,81.5,85.38,85.38,10958195,0.0,1.0
42,2020-03-27,81.7,85.74,79.51,83.23,83.23,14181623,0.0,1.0
43,2020-03-26,80.17,86.86,80.01,84.3,84.3,17200679,0.0,1.0
44,2020-03-25,80.11,83.4899,76.2,79.01,79.01,27047182,0.0,1.0
45,2020-03-24,65.7,72.66,64.0,72.33,72.33,18684475,0.0,1.0
46,2020-03-23,65.0,66.88,60.58,62.8,62.8,17670430,0.0,1.0
47,2020-03-20,71.51,74.06,67.2,67.45,67.45,15759618,0.0,1.0
48,2020-03-19,67.04,72.71,64.15,70.34,70.34,16175620,0.0,1.0
49,2020-03-18,64.79,68.33,60.0,68.04,68.04,19472735,0.0,1.0
50,2020-03-17,67.51,73.3299,62.4,69.84,69.84,17120002,0.0,1.0
51,2020-03-16,65.28,72.97,63.37,66.79,66.79,17966424,0.0,1.0
52,2020-03-13,78.2,78.2,71.76,75.58,75.58,21857606,0.0,1.0
53,2020-03-12,78.23,78.49,73.0,74.2,74.2,21460030,0.0,1.0
54,2020-03-11,84.0,84.625,82.07,84.0,84.0,16191478,0.0,1.0
55,2020-03-10,86.69,88.4,82.88,88.3,88.3,12754287,0.0,1.0
56,2020-03-09,81.89,86.74,80.92,84.11,84.11,13269449,0.0,1.0
57,2020-03-06,88.36,89.39,85.88,88.36,88.36,12326407,0.0,1.0
58,2020-03-05,91.26,91.68,89.94,90.58,90.58,8850162,0.0,1.0
59,2020-03-04,92.08,93.82,90.84,93.79,93.79,6904339,0.0,1.0
60,2020-03-03,92.74,94.98,90.57,90.93,90.93,14766999,0.0,1.0
61,2020-03-02,89.6,93.14,87.91,92.68,92.68,14100706,0.0,1.0
62,2020-02-28,86.03,89.47,85.15,89.38,89.38,16552344,0.245,1.0
63,2020-02-27,90.0,93.06,88.5,88.55,88.3079,12822254,0.0,1.0
64,2020-02-26,93.08,94.65,91.99,92.0,91.7485,9308425,0.0,1.0
65,2020-02-25,96.35,96.76,92.62,92.9,92.646,9597930,0.0,1.0
66,2020-02-24,95.54,97.07,95.25,95.91,95.6478,8362565,0.0,1.0
67,2020-02-21,102.0,102.08,99.63,100.25,99.976,5750286,0.0,1.0
68,2020-02-20,102.46,102.63,100.55,102.53,102.2497,6427565,0.0,1.0
69,2020-02-19,102.66,103.39,102.43,102.46,102.1799,6160571,0.0,1.0
70,2020-02-18,103.0,103.38,101.61,102.0,101.7212,4916186,0.0,1.0
71,2020-02-14,103.53,103.89,102.445,103.54,103.257,4305313,0.0,1.0
72,2020-02-13,102.51,103.74,101.68,103.37,103.0874,5386763,0.0,1.0
73,2020-02-12,100.74,103.08,100.44,103.0,102.7184,8072781,0.0,1.0
74,2020-02-11,100.07,100.35,99.44,100.02,99.7466,4871689,0.0,1.0
75,2020-02-10,99.22,100.51,99.0,100.02,99.7466,4212827,0.0,1.0
76,2020-02-07,99.81,100.4,98.97,99.44,99.1682,4121781,0.0,1.0
77,2020-02-06,100.9,101.53,100.155,100.27,99.9959,5640694,0.0,1.0
78,2020-02-05,101.76,101.97,99.53,100.54,100.2652,6101682,0.0,1.0
79,2020-02-04,101.91,102.78,101.26,101.38,101.1029,6556110,0.0,1.0
80,2020-02-03,99.0,100.92,98.57,99.27,98.9986,9726519,0.0,1.0
81,2020-01-31,98.11,98.45,95.92,96.3,96.0368,8778250,0.0,1.0
82,2020-01-30,99.02,99.75,97.37,98.19,97.9216,7064615,0.0,1.0
83,2020-01-29,101.07,101.3,99.17,99.84,99.5671,4503675,0.0,1.0
84,2020-01-28,100.34,101.05,99.52,100.41,100.1355,5668104,0.0,1.0
85,2020-01-27,98.21,100.71,98.01,100.24,99.966,9840568,0.0,1.0
86,2020-01-24,103.59,103.89,101.66,102.03,101.7511,3837837,0.0,1.0
87,2020-01-23,104.03,104.37,102.62,103.02,102.7384,7102866,0.0,1.0
88,2020-01-22,105.0,105.62,104.42,104.49,104.2044,5031361,0.0,1.0
89,2020-01-21,104.25,104.69,103.81,104.58,104.2941,4854667,0.0,1.0
90,2020-01-17,103.43,104.55,103.34,104.53,104.2443,6271163,0.0,1.0
91,2020-01-16,102.88,103.57,102.85,103.37,103.0874,6570620,0.0,1.0
92,2020-01-15,103.25,103.6999,102.475,102.79,102.509,4207559,0.0,1.0
93,2020-01-14,102.45,103.89,102.35,102.92,102.6387,5088477,0.0,1.0
94,2020-01-13,101.0,102.34,100.82,102.16,101.8807,6722353,0.0,1.0
95,2020-01-10,101.89,101.93,100.76,100.9,100.6242,5135298,0.0,1.0
96,2020-01-09,101.94,102.41,101.385,101.48,101.2026,5007426,0.0,1.0
97,2020-01-08,101.31,102.14,100.85,101.55,101.2724,4942150,0.0,1.0
98,2020-01-07,101.81,102.74,100.8126,101.78,101.5018,6813836,0.0,1.0
99,2020-01-06,100.95,101.84,100.8686,101.83,101.5516,4610102,0.0,1.0
100,2020-01-03,100.59,102.0,100.31,101.92,101.6414,4541796,0.0,1.0
101,2020-01-02,101.36,102.21,101.015,102.2,101.9206,5643879,0.0,1.0
102,2019-12-31,100.58,101.39,100.51,101.31,101.0331,3213629,0.0,1.0
103,2019-12-30,101.54,101.61,100.46,100.8,100.5245,3495214,0.0,1.0
104,2019-12-27,101.0,101.79,100.99,101.57,101.2923,5307496,0.0,1.0
105,2019-12-26,100.34,100.75,100.11,100.71,100.4347,3709776,0.0,1.0
106,2019-12-24,99.83,100.66,99.76,100.14,99.8663,3328094,0.0,1.0
107,2019-12-23,100.23,100.69,99.55,100.04,99.7665,6350481,0.0,1.0
108,2019-12-20,101.0,101.4,98.85,99.96,99.6867,17641624,0.0,1.0
109,2019-12-19,100.5,101.27,99.63,101.15,100.8735,12166513,0.0,1.0
110,2019-12-18,100.195,100.79,99.58,100.57,100.2951,7330782,0.0,1.0
111,2019-12-17,99.38,100.17,99.05,99.65,99.3776,7050462,0.0,1.0
112,2019-12-16,98.14,99.34,98.06,98.81,98.5399,8211270,0.0,1.0
113,2019-12-13,97.43,98.29,96.91,97.77,97.5027,5247551,0.0,1.0
114,2019-12-12,97.32,98.18,96.9,97.72,97.4529,4762665,0.0,1.0
115,2019-12-11,96.9,97.32,96.65,97.18,96.9143,4292584,0.0,1.0
116,2019-12-10,96.76,97.59,96.63,97.01,96.7448,4233906,0.0,1.0
117,2019-12-09,97.02,97.63,96.16,96.63,96.3659,6517768,0.0,1.0
118,2019-12-06,96.56,97.31,96.38,97.0,96.7348,6368518,0.0,1.0
119,2019-12-05,95.88,95.95,94.682,95.79,95.5281,6945543,0.0,1.0
120,2019-12-04,92.81,93.7871,92.73,93.72,93.4638,4456356,0.0,1.0
121,2019-12-03,92.48,92.545,91.31,92.46,92.2073,5995399,0.0,1.0
122,2019-12-02,94.09,94.28,92.98,93.56,93.3042,3892026,0.0,1.0
123,2019-11-29,94.37,94.61,93.39,93.49,93.2344,2541808,0.245,1.0
