,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,12.82,12.82,12.78,12.8,10.420096000000001,4600
1,2015-09-01,12.88,12.88,12.84,12.87,10.477078,14000
2,2015-09-02,12.91,13.0,12.79,12.83,10.444517999999999,21700
3,2015-09-03,12.83,12.84,12.83,12.84,10.452658999999999,22300
4,2015-09-04,12.84,12.84,12.83,12.83,10.444517999999999,3300
5,2015-09-08,12.83,12.84,12.82,12.83,10.444517999999999,13000
6,2015-09-09,12.84,12.84,12.82,12.83,10.444517999999999,10800
7,2015-09-10,12.8,12.8,12.8,12.8,10.420096000000001,300
8,2015-09-11,12.74,12.79,12.7,12.7,10.382489,5300
9,2015-09-14,12.74,12.76,12.68,12.69,10.374313,8900
10,2015-09-15,12.69,12.7,12.6,12.63,10.325262,17100
11,2015-09-16,12.63,12.64,12.63,12.63,10.325262,1300
12,2015-09-17,12.61,12.75,12.61,12.75,10.423366,6000
13,2015-09-18,12.81,12.87,12.78,12.84,10.496943,4900
14,2015-09-21,12.85,12.85,12.8,12.8,10.464242,8100
15,2015-09-22,12.76,12.9,12.76,12.87,10.521465,8500
16,2015-09-23,12.87,12.87,12.75,12.78,10.447889,8500
17,2015-09-24,12.78,12.82,12.78,12.82,10.480591,6600
18,2015-09-25,12.79,12.82,12.77,12.77,10.439717,6800
19,2015-09-28,12.79,12.84,12.78,12.84,10.496943,4200
20,2015-09-29,12.76,12.83,12.76,12.83,10.488769,5900
21,2015-09-30,12.83,12.84,12.8,12.84,10.496943,2800
22,2015-10-01,12.87,12.91,12.77,12.78,10.447889,14400
23,2015-10-02,12.82,12.9,12.77,12.86,10.513292999999999,7000
24,2015-10-05,12.92,12.92,12.85,12.87,10.521465,2400
25,2015-10-06,12.9,12.92,12.9,12.91,10.554167,10600
26,2015-10-07,12.87,12.99,12.73,12.85,10.50512,19400
27,2015-10-08,12.82,12.97,12.73,12.75,10.423366,17000
28,2015-10-09,12.76,12.99,12.75,12.84,10.496943,8800
29,2015-10-12,12.8,12.95,12.76,12.76,10.431543,8300
30,2015-10-13,12.78,12.85,12.68,12.85,10.549767,8500
31,2015-10-14,12.82,12.9,12.75,12.85,10.549767,7600
32,2015-10-15,12.8,12.81,12.71,12.73,10.451245,11100
33,2015-10-16,12.87,12.87,12.75,12.75,10.467665,1900
34,2015-10-19,12.86,12.86,12.7,12.83,10.533344999999999,17600
35,2015-10-20,12.85,12.85,12.78,12.78,10.492291999999999,9700
36,2015-10-21,12.86,12.89,12.75,12.75,10.467665,6900
37,2015-10-22,12.86,12.88,12.75,12.78,10.492291999999999,10900
38,2015-10-23,12.87,12.92,12.87,12.87,10.566180000000001,2100
39,2015-10-26,12.8,12.88,12.8,12.85,10.549767,2000
40,2015-10-27,12.94,12.94,12.8,12.89,10.582602,4800
41,2015-10-28,12.92,13.0,12.89,13.0,10.672913000000001,10700
42,2015-10-29,12.93,13.0,12.91,13.0,10.672913000000001,11000
43,2015-10-30,12.99,13.0,12.97,12.99,10.664699,9600
44,2015-11-02,13.0,13.01,12.95,13.0,10.672913000000001,14300
45,2015-11-03,13.01,13.15,13.0,13.15,10.796062,14300
46,2015-11-04,13.1,13.17,13.09,13.13,10.779643,4100
47,2015-11-05,13.11,13.21,13.06,13.18,10.820689,13700
48,2015-11-06,13.1,13.13,13.0,13.07,10.730383,12400
49,2015-11-09,13.02,13.02,12.94,13.0,10.672913000000001,3500
50,2015-11-10,12.95,12.97,12.95,12.97,10.692699000000001,1100
51,2015-11-11,13.03,13.06,12.94,12.96,10.684453,5100
52,2015-11-12,13.01,13.13,13.01,13.13,10.824607,11900
53,2015-11-13,13.12,13.14,13.0,13.09,10.791627,17800
54,2015-11-16,13.04,13.12,13.03,13.04,10.750406,17300
55,2015-11-17,13.03,13.1,12.98,13.05,10.758649,31300
56,2015-11-18,13.0,13.18,13.0,13.06,10.766897,18800
57,2015-11-19,13.07,13.15,13.07,13.1,10.799873,8700
58,2015-11-20,13.1,13.17,13.1,13.12,10.816365,13500
59,2015-11-23,13.14,13.15,13.1,13.1,10.799873,2900
60,2015-11-24,13.1,13.25,13.1,13.2,10.882318,22000
61,2015-11-25,13.19,13.23,13.03,13.07,10.775145,23900
62,2015-11-27,13.07,13.1,13.07,13.1,10.799873,3300
63,2015-11-30,13.14,13.19,13.08,13.15,10.841092,5500
64,2015-12-01,13.22,13.36,13.17,13.35,11.005978,27000
65,2015-12-02,13.35,13.39,13.26,13.37,11.022466,17200
66,2015-12-03,13.29,13.37,13.28,13.32,10.981245,6600
67,2015-12-04,13.29,13.38,13.27,13.36,11.014219,14900
68,2015-12-07,13.31,13.38,13.14,13.16,10.849333999999999,19100
69,2015-12-08,13.21,13.21,13.17,13.19,10.874073,1400
70,2015-12-09,13.23,13.23,13.21,13.21,10.890559,3500
71,2015-12-10,13.18,13.31,13.18,13.24,10.915291,9400
72,2015-12-11,13.23,13.27,13.2,13.27,10.986492,8900
73,2015-12-14,13.25,13.28,13.14,13.16,10.89542,13800
74,2015-12-15,13.15,13.31,13.14,13.24,10.961657,10700
75,2015-12-16,13.26,13.34,13.26,13.34,11.044449,15100
76,2015-12-17,13.36,13.42,13.35,13.42,11.110682,3400
77,2015-12-18,13.37,13.42,13.34,13.35,11.052727,16000
78,2015-12-21,13.36,13.49,13.34,13.45,11.135517,11800
79,2015-12-22,13.45,13.5,13.37,13.47,11.152074,16100
80,2015-12-23,13.46,13.52,13.4,13.51,11.185193,11400
81,2015-12-24,13.47,13.5,13.47,13.49,11.168633,800
82,2015-12-28,13.5,13.55,13.4,13.47,11.152074,20700
83,2015-12-29,13.5,13.5,13.4,13.44,11.127238,6400
84,2015-12-30,13.45,13.5,13.37,13.41,11.102400999999999,14600
85,2015-12-31,13.48,13.53,13.47,13.5,11.176917,4600
86,2016-01-04,13.51,13.51,13.39,13.44,11.127238,5700
87,2016-01-05,13.46,13.49,13.43,13.44,11.127238,4100
88,2016-01-06,13.51,13.53,13.51,13.53,11.201751,6500
89,2016-01-07,13.6,13.6,13.41,13.41,11.102400999999999,12900
90,2016-01-08,13.54,13.54,13.37,13.48,11.160355000000001,18600
91,2016-01-11,13.47,13.58,13.37,13.4,11.094121000000001,25000
92,2016-01-12,13.46,13.52,13.38,13.44,11.127238,13400
93,2016-01-13,13.39,13.39,13.31,13.31,11.064064,10500
94,2016-01-14,13.31,13.34,13.26,13.26,11.0225,8900
95,2016-01-15,13.29,13.37,13.24,13.36,11.105625,20600
96,2016-01-19,13.38,13.45,13.36,13.44,11.172127,17100
97,2016-01-20,13.44,13.54,13.41,13.47,11.197061999999999,15200
98,2016-01-21,13.51,13.61,13.51,13.61,11.31344,5300
99,2016-01-22,13.67,13.81,13.58,13.73,11.413192,17400
100,2016-01-25,13.75,13.82,13.75,13.78,11.454756,10100
101,2016-01-26,13.81,13.85,13.8,13.83,11.496319999999999,7700
102,2016-01-27,13.87,13.91,13.52,13.68,11.371628,59600
103,2016-01-28,13.73,13.73,13.59,13.66,11.355002,4400
104,2016-01-29,13.69,13.78,13.69,13.74,11.421503,18000
105,2016-02-01,13.8,13.88,13.75,13.78,11.454756,10400
106,2016-02-02,13.84,13.84,13.58,13.62,11.321755,23700
107,2016-02-03,13.61,13.66,13.61,13.66,11.355002,9600
108,2016-02-04,13.68,13.76,13.61,13.71,11.396564,26300
109,2016-02-05,13.71,13.73,13.67,13.72,11.404882,3700
110,2016-02-08,13.69,13.75,13.66,13.68,11.371628,4100
111,2016-02-09,13.65,13.74,13.65,13.73,11.413192,3800
112,2016-02-10,13.62,13.71,13.62,13.7,11.433224000000001,5700
113,2016-02-11,13.7,13.7,13.7,13.7,11.433224000000001,0
114,2016-02-12,13.62,13.7,13.57,13.57,11.324733,15200
115,2016-02-16,13.56,13.62,13.56,13.6,11.349765,5600
116,2016-02-17,13.58,13.64,13.58,13.63,11.374802,6500
117,2016-02-18,13.62,13.64,13.58,13.64,11.383148,1700
118,2016-02-19,13.6,13.67,13.6,13.61,11.358113000000001,4900
119,2016-02-22,13.69,13.73,13.66,13.73,11.458256,16400
120,2016-02-23,13.72,13.8,13.72,13.78,11.499986,2800
121,2016-02-24,13.84,13.9,13.78,13.89,11.591784,15300
122,2016-02-25,13.9,13.97,13.84,13.96,11.650203999999999,26500
123,2016-02-26,13.96,13.96,13.84,13.91,11.608477,20800
124,2016-02-29,13.94,14.01,13.87,14.0,11.683585,18400
125,2016-03-01,14.06,14.07,14.03,14.05,11.725311999999999,9500
126,2016-03-02,14.06,14.06,13.94,14.06,11.733657000000001,14400
127,2016-03-03,14.0,14.09,13.99,13.99,11.675236,9500
128,2016-03-04,14.0,14.07,14.0,14.02,11.700275,6500
129,2016-03-07,14.02,14.08,14.02,14.02,11.700275,14200
130,2016-03-08,14.14,14.15,14.03,14.03,11.708618,8000
131,2016-03-09,14.05,14.05,14.02,14.05,11.725311999999999,2900
132,2016-03-10,14.02,14.1,14.02,14.04,11.716965,4200
133,2016-03-11,14.04,14.14,14.02,14.03,11.753827000000001,15200
134,2016-03-14,14.04,14.14,14.03,14.14,11.845978,5700
135,2016-03-15,14.16,14.16,13.95,13.95,11.686805,22300
136,2016-03-16,13.96,14.08,13.95,14.04,11.762203,12600
137,2016-03-17,14.07,14.13,14.06,14.13,11.837605,4700
138,2016-03-18,14.0,14.07,13.98,14.0,11.728696000000001,11000
139,2016-03-21,13.93,14.08,13.92,13.96,11.695184,18600
140,2016-03-22,13.94,14.15,13.94,14.03,11.753827000000001,3500
141,2016-03-23,14.13,14.13,13.93,13.94,11.678427000000001,6300
142,2016-03-24,13.95,14.06,13.94,14.05,11.770582000000001,8700
143,2016-03-28,14.07,14.1,14.05,14.09,11.804092,13000
144,2016-03-29,14.07,14.15,14.07,14.13,11.837605,12900
145,2016-03-30,14.13,14.17,14.0,14.04,11.762203,11500
146,2016-03-31,14.12,14.12,14.04,14.05,11.770582000000001,9300
147,2016-04-01,14.12,14.16,14.05,14.15,11.854358,8500
148,2016-04-04,14.19,14.19,14.12,14.18,11.879491999999999,2600
149,2016-04-05,14.28,14.29,14.2,14.2,11.89625,13500
150,2016-04-06,14.29,14.31,14.23,14.3,11.980023,10600
151,2016-04-07,14.3,14.36,14.3,14.35,12.021912,6300
152,2016-04-08,14.35,14.35,14.31,14.31,11.988401,5700
153,2016-04-11,14.32,14.34,14.28,14.33,12.005157,7800
154,2016-04-12,14.33,14.33,14.28,14.3,11.980023,16500
155,2016-04-13,14.28,14.32,14.25,14.28,12.008614999999999,7400
156,2016-04-14,14.3,14.3,14.12,14.17,11.916115,14900
157,2016-04-15,14.17,14.17,14.15,14.15,11.899293,4300
158,2016-04-18,14.21,14.22,14.17,14.2,11.941342,6800
159,2016-04-19,14.24,14.25,14.2,14.25,11.983386999999999,6200
160,2016-04-20,14.27,14.28,14.18,14.23,11.966566,9300
161,2016-04-21,14.25,14.27,14.22,14.26,11.991796,14700
162,2016-04-22,14.27,14.28,14.25,14.26,11.991796,9000
163,2016-04-25,14.27,14.3,14.21,14.3,12.025436000000001,28800
164,2016-04-26,14.29,14.54,14.29,14.47,12.168395,30900
165,2016-04-27,14.49,14.68,14.47,14.49,12.185214,27200
166,2016-04-28,14.61,14.62,14.52,14.52,12.210442,12200
167,2016-04-29,14.54,14.59,14.5,14.55,12.235667999999999,5500
168,2016-05-02,14.63,14.63,14.42,14.44,12.143166,28000
169,2016-05-03,14.44,14.44,14.22,14.22,11.958158000000001,34600
170,2016-05-04,14.25,14.25,14.12,14.19,11.932928,73700
171,2016-05-05,14.22,14.26,14.15,14.2,11.941342,33400
172,2016-05-06,14.21,14.24,14.17,14.22,11.958158000000001,4100
173,2016-05-09,14.16,14.33,14.16,14.28,12.008614999999999,34200
174,2016-05-10,14.28,14.32,14.2,14.28,12.008614999999999,16000
175,2016-05-11,14.26,14.31,14.18,14.27,12.045753,27900
176,2016-05-12,14.28,14.29,14.25,14.29,12.06264,6100
177,2016-05-13,14.3,14.34,14.2,14.32,12.087963,10900
178,2016-05-16,14.32,14.34,14.27,14.3,12.071083,4700
179,2016-05-17,14.29,14.3,14.25,14.25,12.028872,6900
180,2016-05-18,14.26,14.26,14.12,14.12,11.919135,13700
181,2016-05-19,14.12,14.12,13.92,14.01,11.826284,64500
182,2016-05-20,13.95,14.18,13.93,14.04,11.851606,38400
183,2016-05-23,14.11,14.14,14.08,14.08,11.885373,2300
184,2016-05-24,14.12,14.28,14.09,14.19,11.978226,11400
185,2016-05-25,14.27,14.28,14.23,14.23,12.011988,6400
186,2016-05-26,14.2,14.35,14.2,14.33,12.096405,10600
187,2016-05-27,14.37,14.52,14.3,14.34,12.104842999999999,52900
188,2016-05-31,14.33,14.33,14.13,14.28,12.054198,23100
189,2016-06-01,14.34,14.34,14.1,14.18,11.969786000000001,17600
190,2016-06-02,14.18,14.21,14.15,14.15,11.944461,14200
191,2016-06-03,14.2,14.23,14.12,14.2,11.986669000000001,23000
192,2016-06-06,14.21,14.22,14.17,14.17,11.961345,8200
193,2016-06-07,14.16,14.21,14.15,14.17,11.961345,20000
194,2016-06-08,14.2,14.23,14.14,14.17,11.961345,21900
195,2016-06-09,14.18,14.22,14.12,14.14,11.936017999999999,16800
196,2016-06-10,14.15,14.22,14.13,14.14,11.936017999999999,15700
197,2016-06-13,14.1,14.16,14.1,14.12,11.964829,1000
198,2016-06-14,14.14,14.17,14.13,14.17,12.007199,5700
199,2016-06-15,14.19,14.21,14.14,14.2,12.032619,6600
200,2016-06-16,14.21,14.27,14.17,14.22,12.049566,34500
201,2016-06-17,14.22,14.33,14.22,14.27,12.091933000000001,3400
202,2016-06-20,14.24,14.3,14.24,14.27,12.091933000000001,7400
203,2016-06-21,14.3,14.32,14.29,14.32,12.1343,10400
204,2016-06-22,14.32,14.42,14.32,14.34,12.151251,9500
205,2016-06-23,14.33,14.39,14.33,14.33,12.142778,2300
206,2016-06-24,14.45,14.45,14.34,14.39,12.193624,13600
207,2016-06-27,14.42,14.46,14.4,14.46,12.252935,7400
208,2016-06-28,14.48,14.52,14.44,14.51,12.295303,16200
209,2016-06-29,14.49,14.55,14.47,14.47,12.261409,17600
210,2016-06-30,14.48,14.6,14.48,14.6,12.371567,14200
211,2016-07-01,14.68,14.7,14.52,14.58,12.354619,12600
212,2016-07-05,14.59,14.66,14.49,14.66,12.422407000000002,14500
213,2016-07-06,14.59,14.7,14.58,14.7,12.456306,17700
214,2016-07-07,14.7,14.7,14.68,14.7,12.456306,9800
215,2016-07-08,14.75,14.85,14.73,14.8,12.541041,15600
216,2016-07-11,14.82,14.82,14.77,14.78,12.524096,6000
217,2016-07-12,14.88,14.88,14.67,14.73,12.481724,22100
218,2016-07-13,14.62,14.65,14.54,14.54,12.366059,23200
219,2016-07-14,14.49,14.49,14.24,14.28,12.144933,28700
220,2016-07-15,14.24,14.35,14.24,14.35,12.204467999999999,5400
221,2016-07-18,14.44,14.51,14.41,14.51,12.340544,11700
222,2016-07-19,14.48,14.59,14.48,14.53,12.357553,5300
223,2016-07-20,14.57,14.61,14.53,14.61,12.42559,15100
224,2016-07-21,14.6,14.62,14.45,14.53,12.357553,48600
225,2016-07-22,14.55,14.6,14.49,14.53,12.357553,12600
226,2016-07-25,14.51,14.72,14.51,14.67,12.476624000000001,35600
227,2016-07-26,14.7,14.83,14.41,14.49,12.323537,39700
228,2016-07-27,14.56,14.56,14.45,14.45,12.289516,10600
229,2016-07-28,14.47,14.53,14.45,14.46,12.29802,14600
230,2016-07-29,14.49,14.54,14.49,14.53,12.357553,5600
231,2016-08-01,14.59,14.67,14.51,14.61,12.42559,26300
232,2016-08-02,14.6,14.6,14.48,14.56,12.383068,59300
233,2016-08-03,14.58,14.61,14.54,14.56,12.383068,36000
234,2016-08-04,14.57,14.57,14.51,14.54,12.366059,11300
235,2016-08-05,14.58,14.58,14.47,14.5,12.332037,17500
236,2016-08-08,14.48,14.51,14.48,14.5,12.332037,17000
237,2016-08-09,14.5,14.52,14.45,14.5,12.332037,16500
238,2016-08-10,14.5,14.52,14.47,14.5,12.332037,2700
239,2016-08-11,14.46,14.49,14.42,14.43,12.318384,8200
240,2016-08-12,14.42,14.54,14.42,14.49,12.369602,7000
241,2016-08-15,14.52,14.52,14.51,14.51,12.386674000000001,1100
242,2016-08-16,14.44,14.62,14.44,14.61,12.472038000000001,18700
243,2016-08-17,14.6,14.62,14.54,14.55,12.420821,11300
244,2016-08-18,14.56,14.62,14.56,14.62,12.480577,4900
245,2016-08-19,14.62,14.65,14.6,14.62,12.480577,5200
246,2016-08-22,14.62,14.65,14.62,14.63,12.489113,1800
247,2016-08-23,14.61,14.66,14.6,14.63,12.489113,2900
248,2016-08-24,14.68,14.68,14.55,14.57,12.437894,14600
249,2016-08-25,14.6,14.61,14.31,14.35,12.250088,15600
250,2016-08-26,14.38,14.38,14.24,14.3,12.207406,20700
251,2016-08-29,14.33,14.39,14.31,14.33,12.233015,12300
252,2016-08-30,14.28,14.33,14.27,14.28,12.190331,7900
253,2016-08-31,14.27,14.34,14.26,14.31,12.21594,6700
254,2016-09-01,14.32,14.32,14.28,14.29,12.198869,5700
255,2016-09-02,14.32,14.32,14.3,14.32,12.224475,3900
256,2016-09-06,14.32,14.39,14.28,14.36,12.258624000000001,7400
257,2016-09-07,14.34,14.39,14.34,14.36,12.258624000000001,7300
258,2016-09-08,14.38,14.41,14.34,14.34,12.24155,12500
259,2016-09-09,14.33,14.33,14.06,14.12,12.053742,28900
260,2016-09-12,14.12,14.33,14.12,14.2,12.122039,10200
261,2016-09-13,14.16,14.22,14.08,14.15,12.122893,16400
262,2016-09-14,14.13,14.23,14.12,14.12,12.097191,9000
263,2016-09-15,14.1,14.16,14.09,14.11,12.088624000000001,6200
264,2016-09-16,14.14,14.16,14.03,14.16,12.131456,10500
265,2016-09-19,14.13,14.29,14.13,14.27,12.225700999999999,19700
266,2016-09-20,14.31,14.35,14.23,14.23,12.191432,20700
267,2016-09-21,14.24,14.25,14.17,14.17,12.140031,15100
268,2016-09-22,14.34,14.34,14.16,14.17,12.140031,10500
269,2016-09-23,14.16,14.21,14.09,14.09,12.071487,8300
270,2016-09-26,14.1,14.12,13.98,13.98,11.977247,29600
271,2016-09-27,14.0,14.06,14.0,14.06,12.045786999999999,1500
272,2016-09-28,14.07,14.16,14.07,14.15,12.122893,12500
273,2016-09-29,14.12,14.13,14.03,14.03,12.020085,1800
274,2016-09-30,14.04,14.12,14.04,14.07,12.054356,4700
275,2016-10-03,14.13,14.13,14.05,14.07,12.054356,6600
276,2016-10-04,14.1,14.1,13.87,13.91,11.917277,5800
277,2016-10-05,13.94,13.94,13.78,13.84,11.857304,17900
278,2016-10-06,13.76,13.84,13.74,13.75,11.780194999999999,18000
279,2016-10-07,13.79,13.79,13.74,13.77,11.797332,13400
280,2016-10-10,13.81,13.81,13.72,13.74,11.771627,9400
281,2016-10-11,13.73,13.8,13.73,13.74,11.771627,6100
282,2016-10-12,13.71,13.71,13.58,13.61,11.703697,22800
283,2016-10-13,13.64,13.64,13.47,13.47,11.583304,6100
284,2016-10-14,13.48,13.48,13.41,13.41,11.531708,3100
285,2016-10-17,13.42,13.44,13.27,13.27,11.411319,10700
286,2016-10-18,13.27,13.42,13.26,13.34,11.471516000000001,2500
287,2016-10-19,13.44,13.61,13.44,13.5,11.609106,8400
288,2016-10-20,13.57,13.66,13.53,13.56,11.660699000000001,3800
289,2016-10-21,13.61,13.88,13.61,13.88,11.935881,18300
290,2016-10-24,13.84,13.88,13.82,13.83,11.89288,10400
291,2016-10-25,13.82,13.82,13.8,13.81,11.875680000000001,1300
292,2016-10-26,13.79,13.82,13.74,13.79,11.858482,13900
293,2016-10-27,13.75,13.76,13.57,13.72,11.798286000000001,4800
294,2016-10-28,13.67,13.67,13.63,13.67,11.755293,6200
