,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-19,15.45,15.45,14.36,14.72,14.72,123700
1,2015-08-20,14.63,14.89,14.13,14.34,14.34,221000
2,2015-08-21,14.02,14.48,13.49,14.22,14.22,384000
3,2015-08-24,13.65,14.785,13.47,14.27,14.27,173900
4,2015-08-25,14.68,14.795,13.93,14.35,14.35,106100
5,2015-08-26,14.8,15.17,14.35,15.16,15.16,151800
6,2015-08-27,15.33,15.89,14.695,15.34,15.34,223300
7,2015-08-28,15.33,16.25,15.33,15.99,15.99,166100
8,2015-08-31,15.98,16.290001,15.51,15.82,15.82,74600
9,2015-09-01,15.59,15.98,15.46,15.76,15.76,148400
10,2015-09-02,15.85,16.129998999999998,15.0,15.31,15.31,214900
11,2015-09-03,15.4,15.764,15.285,15.3,15.3,93000
12,2015-09-04,15.14,15.62,15.05,15.26,15.26,98700
13,2015-09-08,15.44,16.084999,15.39,15.85,15.85,169100
14,2015-09-09,15.98,16.209999,15.59,15.72,15.72,55000
15,2015-09-10,15.69,16.09,15.47,15.95,15.95,66000
16,2015-09-11,15.87,16.27,15.825,16.26,16.26,185200
17,2015-09-14,16.23,16.440001000000002,15.84,16.01,16.01,103600
18,2015-09-15,16.01,16.610001,15.77,16.52,16.52,98400
19,2015-09-16,16.58,16.790001,15.4,15.77,15.77,212000
20,2015-09-17,15.955,16.139999,15.59,15.8,15.8,157900
21,2015-09-18,15.66,16.209999,15.03,15.13,15.13,847700
22,2015-09-21,15.31,15.47,14.09,14.44,14.44,240000
23,2015-09-22,14.37,14.59,13.09,13.15,13.15,342400
24,2015-09-23,13.21,13.86,12.77,12.94,12.94,299900
25,2015-09-24,12.93,13.95,12.79,13.82,13.82,182500
26,2015-09-25,13.9,14.0,12.61,12.94,12.94,164900
27,2015-09-28,13.19,13.35,11.73,12.21,12.21,406900
28,2015-09-29,12.21,13.238,10.9,11.1,11.1,382500
29,2015-09-30,11.26,12.64,10.25,10.85,10.85,1693300
30,2015-10-01,10.9,11.22,9.96,10.36,10.36,293900
31,2015-10-02,10.26,10.26,9.62,9.74,9.74,480100
32,2015-10-05,9.87,9.87,9.17,9.44,9.44,627800
33,2015-10-06,9.4,10.16,9.16,9.33,9.33,242600
34,2015-10-07,9.44,9.6,9.07,9.24,9.24,538300
35,2015-10-08,9.25,9.43,8.97,9.4,9.4,323700
36,2015-10-09,9.4,9.93,9.27,9.48,9.48,321800
37,2015-10-12,9.47,10.55,8.93,9.2,9.2,466100
38,2015-10-13,9.25,9.37,9.0,9.14,9.14,219800
39,2015-10-14,9.15,9.375,8.92,8.92,8.92,209200
40,2015-10-15,8.95,9.29,8.81,9.18,9.18,123800
41,2015-10-16,9.21,9.32,8.53,8.6,8.6,213900
42,2015-10-19,8.62,8.88,8.26,8.54,8.54,75900
43,2015-10-20,8.49,8.49,8.01,8.25,8.25,80600
44,2015-10-21,8.26,8.29,7.83,8.06,8.06,115200
45,2015-10-22,8.08,8.21,7.9,8.05,8.05,138300
46,2015-10-23,8.25,8.996,7.74,8.55,8.55,312800
47,2015-10-26,8.5,8.75,8.27,8.5,8.5,110000
48,2015-10-27,8.49,8.66,8.3,8.63,8.63,123600
49,2015-10-28,8.63,8.99,8.46,8.99,8.99,118000
50,2015-10-29,8.96,9.15,8.66,8.76,8.76,131000
51,2015-10-30,8.8,8.8,8.03,8.25,8.25,164400
52,2015-11-02,8.3,8.71,8.0,8.5,8.5,102800
53,2015-11-03,8.51,8.96,8.42,8.72,8.72,84300
54,2015-11-04,8.72,8.82,8.395,8.7,8.7,111600
55,2015-11-05,8.74,8.76,8.41,8.66,8.66,100100
56,2015-11-06,8.66,9.17,8.36,9.02,9.02,131800
57,2015-11-09,9.13,9.491,9.0,9.16,9.16,145800
58,2015-11-10,9.18,9.85,8.96,9.76,9.76,250100
59,2015-11-11,9.84,9.99,9.3,9.32,9.32,123700
60,2015-11-12,9.23,9.61,8.88,9.01,9.01,132200
61,2015-11-13,9.15,10.935,8.3,9.97,9.97,462500
