,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,NVG,08/18/20,15.99,15.99,15.85,15.88,372361,-0.06,-0.38%
1,NVG,08/17/20,15.99,16.06,15.93,15.94,302730,-0.09,-0.56%
2,NVG,08/14/20,16.02,16.05,16.0,16.03,173100,0.01,0.06%
3,NVG,08/13/20,16.08,16.12,15.93,16.02,314979,-0.17,-1.05%
4,NVG,08/12/20,16.13,16.19,16.03,16.19,461341,0.02,0.12%
5,NVG,08/11/20,16.28,16.31,16.15,16.17,387268,-0.08,-0.49%
6,NVG,08/10/20,16.19,16.28,16.17,16.25,304700,0.1,0.62%
7,NVG,08/07/20,16.1,16.17,16.08,16.15,289800,0.07,0.44%
8,NVG,08/06/20,16.07,16.13,16.04,16.08,349491,0.07,0.44%
9,NVG,08/05/20,16.05,16.12,15.99,16.01,365811,-0.01,-0.06%
10,NVG,08/04/20,16.03,16.11,15.96,16.02,379189,-0.01,-0.06%
11,NVG,08/03/20,15.95,16.03,15.93,16.03,349329,0.14,0.88%
12,NVG,07/31/20,15.9,15.94,15.82,15.89,415100,0.0,0.00%
13,NVG,07/30/20,15.8,15.9,15.75,15.89,283053,0.11,0.70%
14,NVG,07/29/20,15.71,15.8,15.7,15.78,246315,0.11,0.70%
15,NVG,07/28/20,15.67,15.7,15.65,15.67,218938,0.0,0.00%
16,NVG,07/27/20,15.67,15.68,15.63,15.67,316851,0.0,0.00%
17,NVG,07/24/20,15.61,15.67,15.6,15.67,239900,0.05,0.32%
18,NVG,07/23/20,15.71,15.71,15.6,15.62,347199,-0.07,-0.45%
19,NVG,07/22/20,15.76,15.78,15.66,15.69,199945,-0.04,-0.25%
20,NVG,07/21/20,15.66,15.77,15.64,15.73,328513,0.1,0.64%
21,NVG,07/20/20,15.67,15.69,15.6,15.63,341202,-0.04,-0.26%
22,NVG,07/17/20,15.6,15.68,15.58,15.67,166800,0.07,0.45%
23,NVG,07/16/20,15.55,15.6,15.55,15.6,131881,0.05,0.32%
24,NVG,07/15/20,15.54,15.61,15.51,15.55,205760,0.01,0.06%
25,NVG,07/14/20,15.64,15.64,15.49,15.54,275889,-0.12,-0.77%
26,NVG,07/13/20,15.69,15.71,15.61,15.66,329369,0.02,0.13%
27,NVG,07/10/20,15.55,15.64,15.54,15.64,277400,0.08,0.51%
28,NVG,07/09/20,15.53,15.61,15.52,15.56,297772,0.03,0.19%
29,NVG,07/08/20,15.44,15.54,15.41,15.53,269896,0.13,0.84%
30,NVG,07/07/20,15.21,15.41,15.21,15.4,271789,0.19,1.25%
31,NVG,07/06/20,15.4,15.42,15.21,15.21,605902,-0.1,-0.65%
32,NVG,07/02/20,15.39,15.45,15.29,15.31,425000,-0.07,-0.46%
33,NVG,07/01/20,15.38,15.38,15.28,15.38,312343,0.1,0.65%
34,NVG,06/30/20,15.24,15.28,15.16,15.28,227994,0.1,0.66%
35,NVG,06/29/20,15.09,15.25,15.07,15.18,335317,0.11,0.73%
36,NVG,06/26/20,15.26,15.34,15.02,15.07,763500,-0.18,-1.18%
37,NVG,06/25/20,15.36,15.36,15.23,15.25,343723,-0.05,-0.33%
38,NVG,06/24/20,15.45,15.45,15.23,15.3,587152,-0.11,-0.71%
39,NVG,06/23/20,15.4,15.52,15.38,15.41,341878,0.01,0.06%
40,NVG,06/22/20,15.36,15.4,15.3,15.4,269557,0.08,0.52%
41,NVG,06/19/20,15.42,15.42,15.3,15.32,371100,-0.06,-0.39%
42,NVG,06/18/20,15.36,15.42,15.36,15.38,275677,-0.05,-0.32%
43,NVG,06/17/20,15.44,15.48,15.4,15.43,258315,-0.02,-0.13%
44,NVG,06/16/20,15.51,15.53,15.43,15.45,269558,-0.03,-0.19%
45,NVG,06/15/20,15.34,15.48,15.24,15.48,257186,0.1,0.65%
46,NVG,06/12/20,15.3,15.38,15.26,15.38,377500,0.05,0.33%
47,NVG,06/11/20,15.44,15.48,15.28,15.33,457116,-0.17,-1.10%
48,NVG,06/10/20,15.47,15.53,15.43,15.5,289298,0.08,0.52%
49,NVG,06/09/20,15.46,15.49,15.41,15.42,458181,0.0,0.00%
50,NVG,06/08/20,15.4,15.47,15.37,15.42,802195,0.06,0.39%
51,NVG,06/05/20,15.25,15.36,15.23,15.36,846300,0.19,1.25%
52,NVG,06/04/20,15.11,15.19,15.05,15.17,270019,0.04,0.26%
53,NVG,06/03/20,15.18,15.22,15.07,15.13,296562,0.02,0.13%
54,NVG,06/02/20,15.11,15.22,15.11,15.11,412329,0.01,0.07%
55,NVG,06/01/20,15.04,15.12,15.03,15.1,357634,0.14,0.94%
56,NVG,05/29/20,14.86,14.98,14.85,14.96,541800,0.11,0.74%
57,NVG,05/28/20,14.78,14.87,14.75,14.85,593530,0.08,0.54%
58,NVG,05/27/20,14.77,14.78,14.68,14.77,586509,0.02,0.14%
59,NVG,05/26/20,14.61,14.76,14.56,14.75,617723,0.21,1.44%
60,NVG,05/22/20,14.52,14.56,14.49,14.54,271400,0.03,0.21%
61,NVG,05/21/20,14.4,14.51,14.4,14.51,172419,0.12,0.83%
62,NVG,05/20/20,14.37,14.43,14.28,14.39,293319,0.13,0.91%
63,NVG,05/19/20,14.22,14.29,14.19,14.26,273858,0.05,0.35%
64,NVG,05/18/20,14.35,14.37,14.2,14.21,352233,-0.03,-0.21%
65,NVG,05/15/20,14.19,14.28,14.19,14.24,216800,0.05,0.35%
66,NVG,05/14/20,14.25,14.32,14.15,14.19,644968,-0.28,-1.94%
67,NVG,05/13/20,14.62,14.62,14.42,14.47,460281,-0.1,-0.69%
68,NVG,05/12/20,14.53,14.67,14.46,14.57,622150,0.11,0.76%
69,NVG,05/11/20,14.43,14.51,14.41,14.46,334063,0.03,0.21%
70,NVG,05/08/20,14.49,14.49,14.37,14.43,321200,0.03,0.21%
71,NVG,05/07/20,14.38,14.42,14.31,14.4,268194,0.12,0.84%
72,NVG,05/06/20,14.27,14.33,14.18,14.28,345813,-0.02,-0.14%
73,NVG,05/05/20,14.32,14.41,14.23,14.3,641843,0.1,0.70%
74,NVG,05/04/20,14.03,14.23,13.99,14.2,405431,0.14,1.00%
75,NVG,05/01/20,13.93,14.12,13.88,14.06,399200,0.12,0.86%
76,NVG,04/30/20,13.85,13.95,13.79,13.94,382107,0.06,0.43%
77,NVG,04/29/20,13.81,14.03,13.79,13.88,586769,0.16,1.17%
78,NVG,04/28/20,13.66,13.79,13.59,13.72,1070912,0.07,0.51%
79,NVG,04/27/20,13.92,13.97,13.55,13.65,1367049,-0.39,-2.78%
80,NVG,04/24/20,14.23,14.28,13.91,14.04,807100,-0.26,-1.82%
81,NVG,04/23/20,14.48,14.53,14.27,14.3,710528,-0.21,-1.45%
82,NVG,04/22/20,14.55,14.6,14.43,14.51,632387,-0.01,-0.07%
83,NVG,04/21/20,14.45,14.55,14.38,14.52,482619,-0.02,-0.14%
84,NVG,04/20/20,14.7,14.73,14.5,14.54,413588,-0.16,-1.09%
85,NVG,04/17/20,14.75,14.77,14.59,14.7,326200,0.14,0.96%
86,NVG,04/16/20,14.84,14.9,14.5,14.56,679997,-0.18,-1.22%
87,NVG,04/15/20,14.65,14.77,14.59,14.74,423166,0.02,0.14%
88,NVG,04/14/20,14.67,14.78,14.43,14.72,837457,0.15,1.03%
89,NVG,04/13/20,14.72,14.84,14.35,14.57,1081793,-0.32,-2.15%
90,NVG,04/09/20,14.37,14.89,14.37,14.89,1733000,0.63,4.42%
91,NVG,04/08/20,13.94,14.32,13.86,14.26,779073,0.43,3.11%
92,NVG,04/07/20,13.99,14.07,13.83,13.83,699703,0.09,0.66%
93,NVG,04/06/20,13.76,13.92,13.71,13.74,459640,0.2,1.48%
