,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-08-18,30.0,30.0,15.5,17.6,17.6,102300
1,2020-08-19,16.35,17.6,13.38,14.479,14.479,87700
2,2020-08-20,14.95,14.95,14.08,14.75,14.75,44500
3,2020-08-21,14.39,14.5,13.25,13.83,13.83,27900
4,2020-08-24,13.76,14.05,13.51,13.79,13.79,28700
5,2020-08-25,13.53,13.75,13.42,13.54,13.54,29300
6,2020-08-26,13.45,13.54,13.14,13.25,13.25,27700
7,2020-08-27,13.25,13.99,13.21,13.95,13.95,19500
8,2020-08-28,13.81,14.0,13.397,13.473,13.473,15700
9,2020-08-31,13.47,14.0,13.16,13.3,13.3,13900
