,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-19,11.3,11.6,11.3,11.31,6.315175,11500
1,2015-08-20,11.3,11.67,11.3,11.39,6.359845,22000
2,2015-08-21,11.31,11.45,10.25,10.55,5.890814,77300
3,2015-08-24,10.09,10.55,10.0,10.14,5.661882,107700
4,2015-08-25,10.39,10.55,10.25,10.44,5.829391,28900
5,2015-08-26,10.53,10.55,10.4,10.55,5.890814,15000
6,2015-08-27,10.7,10.9,10.57,10.74,5.996904,32400
7,2015-08-28,10.75,10.82,10.71,10.75,6.002488,12500
8,2015-08-31,10.7,11.23,10.7,11.04,6.164417,36500
9,2015-09-01,10.91,11.03,10.53,10.88,6.075076,11500
10,2015-09-02,11.19,11.19,10.33,10.39,5.801475,79400
11,2015-09-03,10.39,10.64,10.39,10.63,5.935484,17500
12,2015-09-04,10.55,10.76,10.55,10.58,5.907564,10000
13,2015-09-08,10.84,10.87,10.58,10.66,5.952235,44900
14,2015-09-09,10.75,10.87,10.65,10.68,5.963401999999999,27700
15,2015-09-10,10.69,11.0,10.6,10.81,6.035992,62400
16,2015-09-11,10.76,11.27,10.65,11.16,6.23142,48400
17,2015-09-14,10.9,11.1,10.62,10.67,6.145032,28400
18,2015-09-15,10.74,10.85,10.31,10.56,6.081683,19800
19,2015-09-16,10.56,10.77,10.4,10.65,6.133515,25800
20,2015-09-17,10.61,10.83,10.53,10.83,6.23718,21900
21,2015-09-18,10.59,11.17,10.59,10.93,6.294771,40400
22,2015-09-21,10.91,11.24,10.91,11.04,6.358123,19200
23,2015-09-22,10.92,11.25,10.79,11.08,6.381158,23600
24,2015-09-23,11.09,11.25,10.75,11.22,6.461787,34900
25,2015-09-24,11.06,11.46,10.75,11.03,6.352362,184000
26,2015-09-25,11.1,11.34,11.08,11.15,6.4214720000000005,19300
27,2015-09-28,10.9,11.09,10.51,10.67,6.145032,35900
28,2015-09-29,10.62,10.62,10.1,10.17,5.857074,56600
29,2015-09-30,10.28,10.42,10.05,10.24,5.8973889999999995,53500
30,2015-10-01,10.36,10.62,10.29,10.62,6.116236,10500
31,2015-10-02,10.62,10.65,10.24,10.5,6.0471260000000004,22900
32,2015-10-05,10.5,10.5,10.11,10.41,5.995294,22200
33,2015-10-06,10.3,10.53,10.28,10.36,5.9664980000000005,16200
34,2015-10-07,10.43,10.58,10.35,10.42,6.001053,49900
35,2015-10-08,10.48,10.53,10.33,10.36,5.9664980000000005,44100
36,2015-10-09,10.35,10.4,10.34,10.38,5.978018,9800
37,2015-10-12,10.39,10.47,10.35,10.46,6.024091,38600
38,2015-10-13,10.36,10.58,10.36,10.51,6.052885,18300
39,2015-10-14,10.53,10.53,10.39,10.48,6.035608,10400
40,2015-10-15,10.54,10.62,10.37,10.53,6.064404,17400
41,2015-10-16,10.39,10.69,10.37,10.58,6.093198999999999,25200
42,2015-10-19,10.61,10.89,10.61,10.89,6.2717339999999995,29800
43,2015-10-20,10.84,11.12,10.84,11.1,6.392677,6600
44,2015-10-21,11.05,11.1,10.61,11.1,6.392677,7000
45,2015-10-22,11.06,11.06,10.66,10.94,6.300529,35100
46,2015-10-23,11.02,11.06,10.9,11.0,6.335086,13900
47,2015-10-26,11.03,11.06,10.73,11.04,6.358123,26700
48,2015-10-27,10.88,10.95,10.67,10.81,6.225663,22700
49,2015-10-28,10.78,11.31,10.7,11.16,6.427232,17300
50,2015-10-29,11.12,11.26,10.93,11.09,6.386918,10200
51,2015-10-30,11.18,11.18,10.83,10.89,6.2717339999999995,22700
52,2015-11-02,10.8,11.27,10.76,11.01,6.340845,45400
53,2015-11-03,11.0,11.15,10.76,11.02,6.346603,13100
54,2015-11-04,11.05,11.25,10.98,11.09,6.386918,11900
55,2015-11-05,11.04,11.2,10.8,10.8,6.219901999999999,6600
56,2015-11-06,10.68,11.15,10.68,11.01,6.340845,26500
57,2015-11-09,11.06,11.26,10.81,11.15,6.4214720000000005,15300
58,2015-11-10,11.04,11.14,10.85,10.97,6.317808,28400
59,2015-11-11,11.08,11.18,10.84,10.86,6.254455999999999,13600
60,2015-11-12,10.85,11.14,10.74,10.82,6.23142,18400
61,2015-11-13,10.8,11.06,10.71,11.0,6.335086,12600
62,2015-11-16,11.05,11.05,10.71,10.76,6.196865,18400
63,2015-11-17,10.77,11.05,10.61,11.01,6.340845,33700
64,2015-11-18,11.05,11.23,10.75,10.97,6.317808,31200
65,2015-11-19,11.07,11.29,10.84,10.99,6.329325,23700
66,2015-11-20,10.93,11.14,10.92,10.96,6.312048,9600
67,2015-11-23,11.0,11.0,10.85,10.98,6.3235660000000005,4800
68,2015-11-24,10.9,10.96,10.8,10.89,6.2717339999999995,9700
69,2015-11-25,10.89,11.11,10.81,10.94,6.300529,14300
70,2015-11-27,10.9,10.99,10.85,10.87,6.2602150000000005,7600
71,2015-11-30,10.85,10.99,10.69,10.96,6.312048,36700
72,2015-12-01,11.0,11.08,10.93,11.06,6.36964,24500
73,2015-12-02,11.09,11.1,10.86,11.1,6.392677,18300
74,2015-12-03,11.09,11.1,10.72,10.8,6.219901999999999,32300
75,2015-12-04,10.78,10.92,10.78,10.85,6.248699,9400
76,2015-12-07,10.92,11.06,10.85,10.95,6.306289,21900
77,2015-12-08,11.07,11.07,10.75,10.86,6.254455999999999,18000
78,2015-12-09,10.91,10.94,10.74,10.78,6.208383,24900
79,2015-12-10,10.84,11.1,10.83,10.97,6.317808,25500
80,2015-12-11,11.2,11.2,10.64,10.81,6.225663,72900
81,2015-12-14,10.96,11.15,10.61,10.87,6.2602150000000005,100200
82,2015-12-15,10.58,10.69,10.38,10.46,6.2186,28200
83,2015-12-16,10.53,10.99,10.53,10.98,6.527747,31200
84,2015-12-17,10.96,10.99,10.65,10.91,6.486130999999999,14500
85,2015-12-18,10.85,10.91,10.56,10.74,6.385063,31700
86,2015-12-21,10.86,10.96,10.61,10.7,6.361283,40800
87,2015-12-22,10.85,10.98,10.7,10.94,6.503965,24900
88,2015-12-23,11.05,11.05,10.85,10.87,6.46235,30800
89,2015-12-24,10.87,11.09,10.87,11.06,6.5753070000000005,12300
90,2015-12-28,11.03,11.13,11.01,11.13,6.616922,38300
91,2015-12-29,11.08,11.4,11.03,11.27,6.700157000000001,57300
92,2015-12-30,11.3,11.72,11.26,11.53,6.854728999999999,78100
93,2015-12-31,11.47,11.69,11.46,11.48,6.825003999999999,64400
94,2016-01-04,11.48,11.62,11.35,11.62,6.908235,62300
95,2016-01-05,11.62,11.65,11.4,11.63,6.914178999999999,47000
96,2016-01-06,11.7,11.77,11.55,11.74,6.979575,47800
97,2016-01-07,11.58,11.72,11.49,11.57,6.878508999999999,28800
98,2016-01-08,11.63,11.69,11.49,11.49,6.830947,39500
99,2016-01-11,11.57,11.69,11.42,11.51,6.842838,62000
100,2016-01-12,11.51,11.56,11.15,11.17,6.6407050000000005,43200
101,2016-01-13,11.28,11.41,10.73,10.83,6.438569,65100
102,2016-01-14,10.8,11.06,10.76,10.98,6.527747,35000
103,2016-01-15,10.78,10.91,10.55,10.59,6.2958870000000005,35500
104,2016-01-19,10.58,10.71,10.26,10.47,6.224545,35500
105,2016-01-20,10.32,10.36,10.08,10.21,6.069972,52400
106,2016-01-21,10.09,10.71,9.98,10.14,6.028356,52900
107,2016-01-22,10.18,10.55,10.18,10.3,6.1234779999999995,18900
108,2016-01-25,10.21,10.24,10.04,10.12,6.016466,31500
109,2016-01-26,10.2,10.68,10.15,10.62,6.313723,46000
110,2016-01-27,10.65,10.88,10.58,10.71,6.367228,23800
111,2016-01-28,10.75,10.93,10.68,10.91,6.486130999999999,17700
112,2016-01-29,10.95,11.1,10.85,11.02,6.551526,19900
113,2016-02-01,11.0,11.0,10.62,10.98,6.527747,13600
114,2016-02-02,10.85,11.03,10.83,11.01,6.545580999999999,8800
115,2016-02-03,11.08,11.1,10.6,10.86,6.456405,16800
116,2016-02-04,10.78,11.06,10.72,10.97,6.521802,20500
117,2016-02-05,10.92,11.02,10.77,11.01,6.545580999999999,28800
118,2016-02-08,11.01,11.01,10.56,10.76,6.396953,14100
119,2016-02-09,10.68,10.92,10.61,10.79,6.41479,24300
120,2016-02-10,10.87,10.87,10.6,10.8,6.420735,13400
121,2016-02-11,10.56,10.86,10.56,10.84,6.444515,30500
122,2016-02-12,10.91,11.01,10.57,10.74,6.385063,15300
123,2016-02-16,11.01,11.02,10.83,11.01,6.545580999999999,22100
124,2016-02-17,11.01,11.02,10.85,10.93,6.498021,14800
125,2016-02-18,11.02,11.02,10.8,10.96,6.515857,15600
126,2016-02-19,10.87,10.99,10.73,10.96,6.515857,28600
127,2016-02-22,11.0,11.0,10.83,10.83,6.438569,15500
128,2016-02-23,10.84,10.98,10.82,10.89,6.47424,12800
129,2016-02-24,10.79,11.0,10.79,10.97,6.521802,11800
130,2016-02-25,10.98,11.01,10.93,10.95,6.50991,16400
131,2016-02-26,11.0,11.02,10.91,10.95,6.50991,12100
132,2016-02-29,11.0,11.02,10.9,11.02,6.551526,19500
133,2016-03-01,10.98,11.61,10.83,11.55,6.866619,41700
134,2016-03-02,11.63,11.63,11.1,11.37,6.759606,22500
135,2016-03-03,11.54,11.54,11.12,11.47,6.819057000000001,15200
136,2016-03-04,11.39,11.54,11.35,11.54,6.860672,21100
137,2016-03-07,11.45,11.68,11.45,11.59,6.890399,30100
138,2016-03-08,11.52,11.66,11.45,11.66,6.932014,15400
139,2016-03-09,11.66,11.67,11.53,11.63,6.914178999999999,7300
140,2016-03-10,11.68,11.69,11.6,11.69,6.94985,11400
141,2016-03-11,11.69,12.13,11.69,12.11,7.199545,59000
142,2016-03-14,12.13,12.3,12.0,12.25,7.282777,38600
143,2016-03-15,12.15,12.25,12.03,12.21,7.466222,43200
144,2016-03-16,12.13,12.2,12.08,12.08,7.386728999999999,22900
145,2016-03-17,12.17,12.24,12.03,12.22,7.472337,35000
146,2016-03-18,12.22,12.31,12.2,12.31,7.5273699999999995,48100
147,2016-03-21,12.35,12.39,12.3,12.39,7.576289,43500
148,2016-03-22,12.4,12.42,12.27,12.4,7.582407000000001,57600
149,2016-03-23,12.34,12.49,12.34,12.42,7.594635,28900
150,2016-03-24,12.53,12.72,12.53,12.61,7.710817,29000
151,2016-03-28,12.75,12.97,12.73,12.81,7.833113000000001,77000
152,2016-03-29,12.89,12.93,12.79,12.88,7.875916999999999,48300
153,2016-03-30,12.95,12.97,12.78,12.93,7.906491,28700
154,2016-03-31,12.94,13.07,12.78,12.95,7.918721000000001,91300
155,2016-04-01,12.87,13.1,12.87,13.0,7.949294999999999,58300
156,2016-04-04,13.12,13.33,13.01,13.22,8.083821,118900
157,2016-04-05,13.0,13.27,13.0,13.07,7.9920979999999995,67600
158,2016-04-06,13.1,13.34,13.1,13.2,8.071591999999999,39400
159,2016-04-07,13.2,13.45,13.2,13.3,8.13274,51900
160,2016-04-08,13.34,13.47,13.17,13.3,8.13274,57700
161,2016-04-11,13.52,13.52,13.22,13.22,8.083821,146600
162,2016-04-12,13.22,13.38,12.95,13.0,7.949294999999999,88600
163,2016-04-13,12.97,13.04,12.92,12.96,7.924835000000001,57700
164,2016-04-14,12.95,12.95,12.37,12.86,7.863685,111900
165,2016-04-15,12.75,12.85,12.25,12.34,7.5457149999999995,101100
166,2016-04-18,11.84,12.88,11.83,12.7,7.76585,70200
167,2016-04-19,12.82,12.98,12.75,12.92,7.900376,44200
168,2016-04-20,12.94,13.0,12.77,12.94,7.912605,25200
169,2016-04-21,12.93,12.93,12.54,12.87,7.869802,24900
170,2016-04-22,12.85,13.29,12.77,13.01,7.9554100000000005,80500
171,2016-04-25,13.0,13.2,12.97,13.12,8.022672,127400
172,2016-04-26,13.2,13.37,13.06,13.37,8.175542,74000
173,2016-04-27,13.56,13.6,13.21,13.35,8.163317,82900
174,2016-04-28,13.33,13.4,13.2,13.31,8.138857000000002,28600
175,2016-04-29,13.29,13.4,13.14,13.2,8.071591999999999,44600
176,2016-05-02,13.01,13.02,12.5,12.99,7.94318,110700
177,2016-05-03,12.99,12.99,12.61,12.88,7.875916999999999,62900
178,2016-05-04,12.83,13.33,12.74,13.31,8.138857000000002,56400
179,2016-05-05,13.37,13.55,13.0,13.48,8.242806,83000
180,2016-05-06,13.5,13.5,13.0,13.28,8.120509,106400
181,2016-05-09,13.4,13.55,13.08,13.21,8.077705,106300
182,2016-05-10,13.32,13.4,13.1,13.3,8.13274,34400
183,2016-05-11,13.35,13.46,13.21,13.31,8.138857000000002,71700
184,2016-05-12,13.34,13.44,13.26,13.35,8.163317,68200
185,2016-05-13,13.29,13.31,13.02,13.2,8.071591999999999,48000
186,2016-05-16,12.93,13.5,12.91,13.39,8.187774000000001,86300
187,2016-05-17,13.31,13.5,13.29,13.49,8.248921000000001,40500
188,2016-05-18,13.49,13.5,13.39,13.4,8.193888000000001,10100
189,2016-05-19,13.32,13.47,13.28,13.37,8.175542,33500
190,2016-05-20,13.37,13.37,13.23,13.31,8.138857000000002,36500
191,2016-05-23,13.25,13.32,13.25,13.29,8.126626,29100
192,2016-05-24,13.25,13.49,13.25,13.4,8.193888000000001,38400
193,2016-05-25,13.36,13.44,13.25,13.37,8.175542,29000
194,2016-05-26,13.31,13.66,13.31,13.6,8.316186,43900
195,2016-05-27,13.67,13.74,13.51,13.57,8.297839999999999,27700
196,2016-05-31,13.75,13.75,13.28,13.39,8.187774000000001,55200
197,2016-06-01,13.47,13.68,13.39,13.58,8.303957,53000
198,2016-06-02,13.75,13.75,13.5,13.57,8.297839999999999,84800
199,2016-06-03,13.69,13.72,13.5,13.65,8.346758,42400
200,2016-06-06,13.53,13.61,12.67,13.15,8.041017,154000
201,2016-06-07,13.19,13.58,12.92,13.09,8.00433,69300
202,2016-06-08,13.09,13.39,12.44,12.64,7.72916,103000
203,2016-06-09,12.87,12.87,12.26,12.69,7.759735000000001,94000
204,2016-06-10,12.6,12.78,12.3,12.59,7.698586,57500
205,2016-06-13,12.59,12.68,12.25,12.37,7.564058999999999,61000
206,2016-06-14,12.09,12.33,11.91,12.32,7.746403,71000
207,2016-06-15,12.33,12.35,12.0,12.14,7.633224,58600
208,2016-06-16,12.09,12.22,11.91,12.19,7.664662,83500
209,2016-06-17,12.08,12.37,11.96,12.31,7.740114999999999,45600
210,2016-06-20,12.24,12.85,12.24,12.79,8.041922999999999,83000
211,2016-06-21,12.79,12.79,12.54,12.67,7.966469999999999,23300
212,2016-06-22,12.73,12.96,12.62,12.76,8.023059,21800
213,2016-06-23,12.88,13.09,12.79,13.07,8.217977000000001,37800
214,2016-06-24,12.94,13.07,12.64,12.81,8.054497999999999,19800
215,2016-06-27,12.68,12.83,12.48,12.62,7.935033,25900
216,2016-06-28,12.62,12.89,12.56,12.83,8.067074,17000
217,2016-06-29,12.82,13.08,12.68,12.77,8.029347999999999,32300
218,2016-06-30,12.75,12.88,12.75,12.85,8.079647999999999,51700
219,2016-07-01,12.88,13.0,12.78,12.94,8.136237,30800
220,2016-07-05,12.94,13.23,12.94,13.21,8.306004,49400
221,2016-07-06,13.23,13.25,13.05,13.09,8.230553,15800
222,2016-07-07,13.14,13.14,12.99,13.05,8.205401,17100
223,2016-07-08,13.08,13.35,13.05,13.35,8.394032000000001,89700
224,2016-07-11,13.39,13.69,13.3,13.49,8.482058,69700
225,2016-07-12,13.7,13.7,13.6,13.64,8.576374000000001,28500
226,2016-07-13,13.59,13.7,13.26,13.68,8.601524000000001,78300
227,2016-07-14,13.6,13.74,13.11,13.11,8.243128,50000
228,2016-07-15,13.03,13.45,12.97,13.11,8.243128,102100
229,2016-07-18,13.27,13.69,13.24,13.64,8.576374000000001,50300
230,2016-07-19,13.65,13.75,13.53,13.75,8.645538,43200
231,2016-07-20,13.75,13.75,13.64,13.74,8.639249000000001,20600
232,2016-07-21,13.75,13.75,13.31,13.69,8.607812,42600
233,2016-07-22,13.54,13.69,13.31,13.52,8.500921,10200
234,2016-07-25,13.65,13.81,13.53,13.65,8.582661,75600
235,2016-07-26,13.58,13.73,13.33,13.33,8.381455,17400
236,2016-07-27,13.26,13.74,13.25,13.66,8.588948,16600
237,2016-07-28,13.68,13.69,13.44,13.56,8.526072000000001,12500
238,2016-07-29,13.51,13.74,13.34,13.69,8.607812,30200
239,2016-08-01,13.69,13.74,13.56,13.71,8.620386,30200
240,2016-08-02,13.59,13.63,13.37,13.48,8.475769999999999,8800
241,2016-08-03,13.49,13.49,13.36,13.43,8.444331,7500
242,2016-08-04,13.39,13.58,13.36,13.54,8.513496,9500
243,2016-08-05,13.67,13.74,13.52,13.55,8.519785,20400
244,2016-08-08,13.6,13.72,13.46,13.54,8.513496,20700
245,2016-08-09,13.5,13.7,13.5,13.61,8.557509,25400
246,2016-08-10,13.69,13.75,13.6,13.72,8.626675,25200
247,2016-08-11,13.75,13.75,13.68,13.72,8.626675,14800
248,2016-08-12,13.76,13.9,13.7,13.8,8.676976,29800
249,2016-08-15,13.76,13.84,13.6,13.7,8.614099000000001,35300
250,2016-08-16,13.7,13.73,13.61,13.68,8.601524000000001,12200
