,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-08-05,62.27,62.5,61.3018,62.35,62.35,2470746,0.0,1.0
1,2020-08-04,60.9,62.61,60.79,61.86,61.86,3413733,0.0,1.0
2,2020-08-03,59.49,59.75,58.88,59.41,59.41,1824600,0.0,1.0
3,2020-07-31,60.15,60.164,58.97,60.05,60.05,3427267,0.2335,1.0
4,2020-07-30,59.61,60.73,59.1,60.55,60.3155,1530340,0.0,1.0
5,2020-07-29,60.23,60.62,59.29,60.62,60.3852,1694984,0.0,1.0
6,2020-07-28,58.33,60.17,57.99,59.85,59.6182,2000915,0.0,1.0
7,2020-07-27,57.42,58.74,56.72,58.64,58.4129,1947257,0.0,1.0
8,2020-07-24,57.32,57.9,57.0,57.42,57.1976,1424494,0.0,1.0
9,2020-07-23,58.17,58.71,56.6373,57.35,57.1279,1716771,0.0,1.0
10,2020-07-22,56.9,58.82,56.73,58.5,58.2734,1909159,0.0,1.0
11,2020-07-21,57.63,58.1,57.01,57.19,56.9685,2202700,0.0,1.0
12,2020-07-20,58.39,58.65,57.21,57.38,57.1577,1424600,0.0,1.0
13,2020-07-17,58.0,58.99,57.55,58.59,58.3631,1313700,0.0,1.0
14,2020-07-16,58.12,58.47,57.46,57.66,57.4367,1636800,0.0,1.0
15,2020-07-15,58.92,59.05,57.63,58.63,58.4029,1944000,0.0,1.0
16,2020-07-14,57.0,57.79,56.55,57.55,57.3271,1556200,0.0,1.0
17,2020-07-13,57.36,57.62,56.33,56.83,56.6099,2016500,0.0,1.0
18,2020-07-10,57.13,58.11,56.58,56.99,56.7693,1783300,0.0,1.0
19,2020-07-09,58.47,58.5,56.33,57.12,56.8988,2283700,0.0,1.0
20,2020-07-08,58.72,58.85,57.85,58.53,58.3033,1998400,0.0,1.0
21,2020-07-07,59.33,59.68,58.52,58.57,58.3431,1767200,0.0,1.0
22,2020-07-06,62.29,62.44,60.17,60.26,60.0266,1653000,0.0,1.0
23,2020-07-02,62.24,62.56,60.5,61.1,60.8633,1814700,0.0,1.0
24,2020-07-01,59.75,61.39,59.57,61.09,60.8534,1479100,0.0,1.0
25,2020-06-30,60.25,60.25,58.94,59.5,59.2695,2637800,0.2335,1.0
26,2020-06-29,58.97,59.78,57.69,59.78,59.3157,2497071,0.0,1.0
27,2020-06-26,59.9,60.14,58.33,58.41,57.9563,2635100,0.0,1.0
28,2020-06-25,59.1,60.5,58.71,59.57,59.1073,2719600,0.0,1.0
29,2020-06-24,60.42,60.7,57.5,59.46,58.9982,3171100,0.0,1.0
30,2020-06-23,62.02,62.22,60.52,61.27,60.7941,2510900,0.0,1.0
31,2020-06-22,61.49,62.16,60.46,61.44,60.9628,3048100,0.0,1.0
32,2020-06-19,63.81,64.2,60.89,61.53,61.0521,14648400,0.0,1.0
33,2020-06-18,62.47,64.32,62.04,63.39,62.8976,3322300,0.0,1.0
34,2020-06-17,63.77,63.92,62.99,63.06,62.5702,3140600,0.0,1.0
35,2020-06-16,64.98,65.56,62.67,63.16,62.6694,3773800,0.0,1.0
36,2020-06-15,58.5,62.95,58.5,62.57,62.084,3345500,0.0,1.0
37,2020-06-12,60.73,61.18,58.52,60.43,59.9606,2368400,0.0,1.0
38,2020-06-11,57.8,60.5,57.54,57.88,57.4304,4076600,0.0,1.0
39,2020-06-10,63.06,63.12,60.91,62.13,61.6474,3131700,0.0,1.0
40,2020-06-09,62.19,63.05,61.6,62.85,62.3618,2487200,0.0,1.0
41,2020-06-08,64.25,64.47,63.39,64.17,63.6716,3247800,0.0,1.0
42,2020-06-05,62.72,64.2,61.06,62.21,61.7268,4942700,0.0,1.0
43,2020-06-04,60.05,60.62,58.85,60.11,59.6431,2330500,0.0,1.0
44,2020-06-03,58.1,60.59,58.01,60.16,59.6927,2645700,0.0,1.0
45,2020-06-02,57.29,57.86,56.8,57.2,56.7557,3076500,0.0,1.0
46,2020-06-01,55.5,57.0,55.17,56.57,56.1306,2495100,0.0,1.0
47,2020-05-29,55.1,56.74,54.65,55.31,54.8804,10417200,0.233,1.0
48,2020-05-28,56.06,56.12,54.49,55.7,55.0355,4616500,0.0,1.0
49,2020-05-27,57.02,57.49,54.23,55.39,54.7292,4160800,0.0,1.0
50,2020-05-26,54.84,55.73,54.16,55.49,54.828,2852200,0.0,1.0
51,2020-05-22,51.82,52.33,51.46,52.15,51.5279,1835000,0.0,1.0
52,2020-05-21,51.25,52.32,50.96,51.75,51.1326,2381100,0.0,1.0
53,2020-05-20,53.0,53.04,50.82,51.44,50.8263,3196300,0.0,1.0
54,2020-05-19,52.97,53.71,51.98,52.59,51.9626,2348500,0.0,1.0
55,2020-05-18,52.42,53.72,52.29,53.07,52.4369,3417500,0.0,1.0
56,2020-05-15,50.05,50.16,48.55,49.99,49.3936,4836900,0.0,1.0
57,2020-05-14,49.35,50.46,47.68,50.38,49.779,3220500,0.0,1.0
58,2020-05-13,51.35,51.67,49.86,50.22,49.6209,3036900,0.0,1.0
59,2020-05-12,54.47,54.73,51.29,51.67,51.0536,3372200,0.0,1.0
60,2020-05-11,53.99,54.95,52.95,54.02,53.3756,2394500,0.0,1.0
61,2020-05-08,55.31,56.09,54.09,54.86,54.2055,2467200,0.0,1.0
62,2020-05-07,53.3,54.47,52.77,54.41,53.7609,2885500,0.0,1.0
63,2020-05-06,52.22,53.39,51.95,52.48,51.8539,3005400,0.0,1.0
64,2020-05-05,52.11,53.91,51.99,52.05,51.4291,3404700,0.0,1.0
65,2020-05-04,51.02,51.52,50.09,50.61,50.0062,3278600,0.0,1.0
66,2020-05-01,52.85,53.04,51.4,51.79,51.1722,2830300,0.0,1.0
67,2020-04-30,54.01,55.36,53.2,54.92,54.2648,4559700,0.233,1.0
68,2020-04-29,54.88,56.64,54.79,55.27,54.3799,3582200,0.0,1.0
69,2020-04-28,53.65,54.5,52.72,53.19,52.3334,2698700,0.0,1.0
70,2020-04-27,50.26,52.05,49.97,51.31,50.4837,2521300,0.0,1.0
71,2020-04-24,49.6,50.45,49.1,49.92,49.1161,2506000,0.0,1.0
72,2020-04-23,50.5,50.91,49.12,49.32,48.5258,2047800,0.0,1.0
73,2020-04-22,51.06,51.3,49.69,50.18,49.3719,2010800,0.0,1.0
74,2020-04-21,48.92,50.54,48.67,49.85,49.0472,2393300,0.0,1.0
75,2020-04-20,50.97,52.03,50.38,50.87,50.0508,2308600,0.0,1.0
76,2020-04-17,52.27,53.45,50.82,52.37,51.5266,3853200,0.0,1.0
77,2020-04-16,52.0,52.31,49.63,49.81,49.0079,2957900,0.0,1.0
78,2020-04-15,53.6,54.61,50.87,51.5,50.6707,3538600,0.0,1.0
79,2020-04-14,54.89,56.4,54.04,56.31,55.4032,2837600,0.0,1.0
80,2020-04-13,56.6,56.69,52.8,53.54,52.6778,4368000,0.0,1.0
81,2020-04-09,55.87,60.73,55.54,56.68,55.7672,4976800,0.0,1.0
82,2020-04-08,50.44,53.87,49.44,53.13,52.2744,4194900,0.0,1.0
83,2020-04-07,49.72,52.08,49.3,49.33,48.5356,5446200,0.0,1.0
84,2020-04-06,47.02,48.71,46.0,46.81,46.0562,4531200,0.0,1.0
85,2020-04-03,45.33,46.39,43.41,43.6,42.8979,3801800,0.0,1.0
86,2020-04-02,45.25,47.11,44.38,45.62,44.8853,4207200,0.0,1.0
87,2020-04-01,47.12,47.72,45.03,46.47,45.7217,4586100,0.0,1.0
88,2020-03-31,52.43,52.79,48.87,49.86,49.0571,6161000,0.233,1.0
89,2020-03-30,57.03,57.62,51.25,53.13,52.0313,6064200,0.0,1.0
90,2020-03-27,55.72,60.13,55.15,56.9,55.7233,7891300,0.0,1.0
91,2020-03-26,56.58,58.63,54.23,58.36,57.1531,4475800,0.0,1.0
92,2020-03-25,51.99,59.5,50.33,54.5,53.3729,5399900,0.0,1.0
93,2020-03-24,46.02,50.85,45.19,50.67,49.6221,4582800,0.0,1.0
94,2020-03-23,46.54,46.54,40.39,43.34,42.4437,5345400,0.0,1.0
95,2020-03-20,50.07,52.56,46.89,47.42,46.4393,4918200,0.0,1.0
96,2020-03-19,42.75,49.18,38.0,48.08,47.0857,5643100,0.0,1.0
97,2020-03-18,51.98,52.48,40.0,42.5,41.6211,6410800,0.0,1.0
98,2020-03-17,56.0,56.13,51.8,55.12,53.9801,6053900,0.0,1.0
99,2020-03-16,63.8,66.5,53.94,53.99,52.8735,6160400,0.0,1.0
100,2020-03-13,69.83,72.11,67.75,71.92,70.4327,5208500,0.0,1.0
101,2020-03-12,68.53,73.62,66.06,67.74,66.3391,4919500,0.0,1.0
102,2020-03-11,75.1,75.32,72.26,73.56,72.0388,3661500,0.0,1.0
103,2020-03-10,74.79,76.68,72.7,76.59,75.0061,3725100,0.0,1.0
104,2020-03-09,71.31,74.95,71.0,73.32,71.8037,3874300,0.0,1.0
105,2020-03-06,76.01,76.9,74.2,76.65,75.0649,2857300,0.0,1.0
106,2020-03-05,77.05,78.0,76.45,77.63,76.0246,2285800,0.0,1.0
107,2020-03-04,76.06,78.33,75.77,78.15,76.5338,3610400,0.0,1.0
108,2020-03-03,75.1,76.57,73.96,74.6,73.0573,3513000,0.0,1.0
109,2020-03-02,72.99,75.06,71.66,74.99,73.4392,4511600,0.0,1.0
110,2020-02-28,71.46,72.59,69.38,72.39,70.893,7018500,0.2325,1.0
111,2020-02-27,74.3,75.78,72.89,72.89,71.1541,11871600,0.0,1.0
112,2020-02-26,81.02,81.74,79.44,79.76,77.8605,5288700,0.0,1.0
113,2020-02-25,82.27,82.28,80.47,80.92,78.9928,3899600,0.0,1.0
114,2020-02-24,82.12,83.4,82.0,82.17,80.2131,2865100,0.0,1.0
115,2020-02-21,81.83,82.5,81.53,82.44,80.4766,2222500,0.0,1.0
116,2020-02-20,84.29,84.92,80.38,81.91,79.9593,3245900,0.0,1.0
117,2020-02-19,80.35,80.37,79.41,79.67,77.7726,1254300,0.0,1.0
118,2020-02-18,80.5,80.55,79.78,80.4,78.4852,1309200,0.0,1.0
119,2020-02-14,78.89,80.25,78.81,80.25,78.3388,1641600,0.0,1.0
120,2020-02-13,78.43,79.28,78.43,78.79,76.9136,1339800,0.0,1.0
121,2020-02-12,78.41,78.88,78.0,78.29,76.4255,1942900,0.0,1.0
122,2020-02-11,80.01,80.35,78.5,78.68,76.8062,1675000,0.0,1.0
123,2020-02-10,80.0,80.15,79.64,80.08,78.1729,1361100,0.0,1.0
124,2020-02-07,79.44,79.8,79.19,79.51,77.6164,1166700,0.0,1.0
125,2020-02-06,78.62,79.39,78.6,79.15,77.265,1015200,0.0,1.0
126,2020-02-05,77.88,78.75,77.4,78.5,76.6305,1786721,0.0,1.0
127,2020-02-04,78.08,78.94,78.0,78.32,76.4548,1251700,0.0,1.0
128,2020-02-03,78.45,78.97,78.04,78.2,76.3376,2080100,0.0,1.0
129,2020-01-31,78.86,79.15,77.74,78.41,76.5426,6703400,0.2325,1.0
130,2020-01-30,78.03,79.01,77.77,78.98,76.8711,2671102,0.0,1.0
131,2020-01-29,78.2,78.66,77.93,78.14,76.0535,2513600,0.0,1.0
132,2020-01-28,77.94,78.65,77.86,78.13,76.0438,3249600,0.0,1.0
133,2020-01-27,76.9,77.91,76.75,77.4,75.3333,1792800,0.0,1.0
134,2020-01-24,77.27,77.83,76.95,77.13,75.0705,1001900,0.0,1.0
135,2020-01-23,77.1,77.59,76.67,77.24,75.1776,1112000,0.0,1.0
136,2020-01-22,77.89,78.17,76.59,76.89,74.8369,1229800,0.0,1.0
137,2020-01-21,76.36,77.96,76.35,77.72,75.6448,1839400,0.0,1.0
138,2020-01-17,76.15,76.75,75.9,76.35,74.3113,1764000,0.0,1.0
