,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,6.3,6.39,6.3,6.37,5.2402940000000005,1100
1,2015-08-21,6.17,6.17,5.95,6.05,4.9770449999999995,6800
2,2015-08-24,6.04,6.04,5.62,6.0,4.935912999999999,5200
3,2015-08-25,6.15,6.15,6.0,6.01,4.944139,11000
4,2015-08-26,6.123,6.123,5.745,5.88,4.837194,12800
5,2015-08-27,6.12,6.12,5.73,5.82,4.787835,14200
6,2015-08-28,5.9,6.127,5.9,6.03,4.960592,2200
7,2015-08-31,6.12,6.12,5.987,6.06,4.985272,11400
8,2015-09-01,6.14,6.205,6.06,6.15,5.05931,7100
9,2015-09-02,6.1,6.35,6.05,6.319,5.301788,14900
10,2015-09-03,6.137,6.19,6.05,6.12,5.134822,1600
11,2015-09-04,6.236,6.236,6.236,6.236,5.232149,300
12,2015-09-08,5.999,6.07,5.911,6.07,5.092871,1900
13,2015-09-09,6.16,6.4,6.04,6.04,5.0677010000000005,1600
14,2015-09-10,6.1,6.1,6.03,6.1,5.118042,5400
15,2015-09-11,6.02,6.05,6.02,6.02,5.05092,3600
16,2015-09-14,6.07,6.07,6.06,6.06,5.08448,500
17,2015-09-15,6.12,6.12,5.99,5.99,5.025748,6100
18,2015-09-16,5.984,5.984,5.92,5.95,4.992188,3700
19,2015-09-17,5.95,5.95,5.95,5.95,4.992188,0
20,2015-09-18,5.92,5.92,5.92,5.92,4.967017,500
21,2015-09-21,6.08,6.08,5.9,5.9,4.950237,1300
22,2015-09-22,5.9,6.07,5.9,6.07,5.092871,2100
23,2015-09-23,6.03,6.03,6.03,6.03,5.05931,400
24,2015-09-24,5.9,6.0,5.88,6.0,5.034139,6800
25,2015-09-25,5.999,5.999,5.7,5.706,4.787466,6500
26,2015-09-28,5.8,5.8,5.38,5.8,4.866334999999999,7300
27,2015-09-29,5.82,5.915,5.81,5.9,4.950237,3400
28,2015-09-30,5.98,5.98,5.98,5.98,5.017359,100
29,2015-10-01,5.96,5.96,5.93,5.94,4.983798999999999,1100
30,2015-10-02,5.94,5.94,5.94,5.94,4.983798999999999,0
31,2015-10-05,5.95,5.95,5.83,5.88,4.933457,2500
32,2015-10-06,5.8,5.94,5.8,5.94,4.983798999999999,1000
33,2015-10-07,5.93,5.98,5.93,5.98,5.017359,6200
34,2015-10-08,5.963,5.963,5.963,5.963,5.003095,100
35,2015-10-09,5.966,5.97,5.83,5.83,4.891505,2900
36,2015-10-12,5.8,5.85,5.8,5.85,4.908286,1100
37,2015-10-13,5.85,5.85,5.85,5.85,4.908286,1100
38,2015-10-14,5.82,5.82,5.82,5.82,4.883115,100
39,2015-10-15,5.96,6.0,5.76,5.95,4.992188,4300
40,2015-10-16,5.86,5.95,5.85,5.85,4.908286,1400
41,2015-10-19,5.96,5.964,5.954,5.964,5.003933999999999,2200
42,2015-10-20,5.97,5.97,5.86,5.94,4.983798999999999,2400
43,2015-10-21,5.9,5.9,5.9,5.9,4.950237,600
44,2015-10-22,5.86,5.955,5.71,5.737,4.8134760000000005,18500
45,2015-10-23,5.9,5.9,5.9,5.9,4.950237,500
46,2015-10-26,5.8,5.82,5.8,5.82,4.883115,25400
47,2015-10-27,5.9,5.9,5.89,5.89,4.941846,3300
48,2015-10-28,5.723,5.93,5.723,5.8,4.866334999999999,5200
49,2015-10-29,5.9,5.907,5.82,5.82,4.883115,1100
50,2015-10-30,5.85,5.946,5.85,5.9,4.950237,1100
51,2015-11-02,5.72,5.9,5.72,5.89,4.941846,7600
52,2015-11-03,5.9,5.9,5.67,5.67,4.757261,4800
53,2015-11-04,5.72,5.86,5.72,5.86,4.916676,4800
54,2015-11-05,5.85,6.01,5.85,5.95,4.992188,27400
55,2015-11-06,5.98,6.04,5.93,5.93,4.975408,15900
56,2015-11-09,5.979,6.0,5.979,6.0,5.034139,1600
57,2015-11-10,5.945,6.0,5.945,6.0,5.034139,2100
58,2015-11-11,5.999,6.0,5.98,5.999,5.0333,8200
59,2015-11-12,5.22,5.77,5.2,5.672,4.75894,41800
60,2015-11-13,5.65,5.73,5.61,5.61,4.706921,8900
61,2015-11-16,5.745,5.87,5.73,5.731,4.808441999999999,1200
62,2015-11-17,5.64,5.69,5.61,5.69,4.774042,1300
63,2015-11-18,5.86,5.86,5.57,5.6,4.69853,18800
64,2015-11-19,5.51,5.795,5.41,5.63,4.723701,6000
65,2015-11-20,5.75,5.81,5.75,5.79,4.857945,5100
66,2015-11-23,5.66,5.774,5.66,5.77,4.841164,4400
