,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-05-30,1.26,1.32,1.26,1.32,1.32,569700
1,2018-05-31,1.3,1.33,1.3,1.3,1.3,755800
2,2018-06-01,1.3,1.3,1.21,1.3,1.3,610300
3,2018-06-04,1.4,1.4,1.4,1.4,1.4,100
4,2018-06-05,1.3,1.35,1.3,1.3,1.3,556000
5,2018-06-06,1.35,1.35,1.35,1.35,1.35,200
6,2018-06-07,1.35,1.35,1.28,1.28,1.28,252800
7,2018-06-08,1.35,1.35,1.29,1.29,1.29,200
8,2018-06-11,1.29,1.29,1.29,1.29,1.29,0
9,2018-06-12,1.28,1.28,1.28,1.28,1.28,50000
10,2018-06-13,1.28,1.28,1.28,1.28,1.28,74000
11,2018-06-14,1.28,1.28,1.28,1.28,1.28,175000
12,2018-06-15,1.28,1.28,1.28,1.28,1.28,175000
13,2018-06-18,1.28,1.28,1.28,1.28,1.28,25300
14,2018-06-19,1.28,1.28,1.28,1.28,1.28,0
15,2018-06-20,1.28,1.28,1.28,1.28,1.28,0
16,2018-06-21,1.28,1.28,1.28,1.28,1.28,0
17,2018-06-22,1.28,1.28,1.28,1.28,1.28,0
18,2018-06-25,1.28,1.28,1.28,1.28,1.28,0
19,2018-06-26,1.28,1.28,1.28,1.28,1.28,0
20,2018-06-27,1.28,1.28,1.28,1.28,1.28,0
21,2018-06-28,1.28,1.28,1.28,1.28,1.28,0
22,2018-06-29,1.28,1.28,1.28,1.28,1.28,0
23,2018-07-02,1.28,1.28,1.28,1.28,1.28,1300
24,2018-07-03,1.28,1.28,1.28,1.28,1.28,12500
25,2018-07-05,1.28,1.28,1.28,1.28,1.28,110000
26,2018-07-06,1.28,1.28,1.28,1.28,1.28,56500
27,2018-07-09,1.28,1.28,1.28,1.28,1.28,0
28,2018-07-10,1.28,1.28,1.28,1.28,1.28,0
29,2018-07-11,1.28,1.28,1.28,1.28,1.28,14600
30,2018-07-12,1.28,1.28,1.28,1.28,1.28,0
31,2018-07-13,1.28,1.28,1.28,1.28,1.28,0
32,2018-07-16,1.32,1.32,1.32,1.32,1.32,300
33,2018-07-17,1.32,1.32,1.32,1.32,1.32,0
34,2018-07-18,1.28,1.28,1.28,1.28,1.28,12500
35,2018-07-19,1.31,1.31,1.31,1.31,1.31,5000
36,2018-07-20,1.313,1.32,1.313,1.32,1.32,2200
37,2018-07-23,1.32,1.32,1.32,1.32,1.32,0
38,2018-07-24,1.32,1.32,1.32,1.32,1.32,0
39,2018-07-25,1.32,1.32,1.32,1.32,1.32,0
40,2018-07-26,1.32,1.32,1.32,1.32,1.32,1400
41,2018-07-27,1.32,1.32,1.32,1.32,1.32,0
42,2018-07-30,1.28,1.3,1.28,1.3,1.3,25000
43,2018-07-31,1.3,1.3,1.3,1.3,1.3,0
44,2018-08-01,1.3,1.3,1.3,1.3,1.3,0
45,2018-08-02,1.3,1.3,1.3,1.3,1.3,0
46,2018-08-03,1.3,1.3,1.3,1.3,1.3,0
47,2018-08-06,1.3,1.3,1.3,1.3,1.3,0
48,2018-08-07,1.3,1.3,1.3,1.3,1.3,0
49,2018-08-08,1.3,1.3,1.3,1.3,1.3,0
50,2018-08-09,1.3,1.3,1.3,1.3,1.3,0
51,2018-08-10,1.32,1.32,1.317,1.317,1.317,7600
52,2018-08-13,1.317,1.317,1.317,1.317,1.317,0
53,2018-08-14,1.317,1.317,1.317,1.317,1.317,0
54,2018-08-15,1.34,1.34,1.34,1.34,1.34,16000
55,2018-08-16,1.3,1.35,1.3,1.35,1.35,25000
56,2018-08-17,1.35,1.35,1.33,1.33,1.33,1200
57,2018-08-20,1.33,1.33,1.33,1.33,1.33,200
58,2018-08-21,1.33,1.33,1.33,1.33,1.33,0
59,2018-08-22,1.33,1.33,1.33,1.33,1.33,1500
60,2018-08-23,1.3,1.31,1.3,1.3,1.3,3300
61,2018-08-24,1.3,1.3,1.3,1.3,1.3,5000
62,2018-08-27,1.3,1.3,1.3,1.3,1.3,46300
63,2018-08-28,1.31,1.33,1.31,1.33,1.33,11000
64,2018-08-29,1.33,1.33,1.33,1.33,1.33,0
65,2018-08-30,1.33,1.33,1.33,1.33,1.33,0
66,2018-08-31,1.3,1.3,1.3,1.3,1.3,300
67,2018-09-04,1.3,1.3,1.3,1.3,1.3,87500
68,2018-09-05,1.3,1.3,1.29,1.29,1.29,52500
69,2018-09-06,1.29,1.29,1.29,1.29,1.29,0
70,2018-09-07,1.32,1.32,1.32,1.32,1.32,77000
71,2018-09-10,1.32,1.32,1.32,1.32,1.32,0
72,2018-09-11,1.32,1.32,1.32,1.32,1.32,0
73,2018-09-12,1.32,1.32,1.32,1.32,1.32,0
74,2018-09-13,1.32,1.32,1.32,1.32,1.32,0
75,2018-09-14,1.32,1.32,1.32,1.32,1.32,0
76,2018-09-17,1.32,1.32,1.32,1.32,1.32,0
77,2018-09-18,1.32,1.32,1.32,1.32,1.32,0
78,2018-09-19,1.34,1.34,1.34,1.34,1.34,2500
79,2018-09-20,1.34,1.34,1.34,1.34,1.34,4700
80,2018-09-21,1.35,1.35,1.347,1.35,1.35,10000
81,2018-09-24,1.35,1.35,1.35,1.35,1.35,0
82,2018-09-25,1.35,1.35,1.35,1.35,1.35,31600
83,2018-09-26,1.35,1.35,1.35,1.35,1.35,1226000
84,2018-09-27,1.35,1.35,1.35,1.35,1.35,1000
85,2018-09-28,1.35,1.35,1.35,1.35,1.35,50000
86,2018-10-01,1.35,1.35,1.35,1.35,1.35,0
87,2018-10-02,1.35,1.35,1.35,1.35,1.35,0
88,2018-10-03,1.36,1.36,1.36,1.36,1.36,201000
89,2018-10-04,1.35,1.35,1.35,1.35,1.35,6200
90,2018-10-05,1.35,1.36,1.35,1.36,1.36,2400
91,2018-10-08,1.36,1.36,1.36,1.36,1.36,0
92,2018-10-09,1.36,1.36,1.36,1.36,1.36,0
93,2018-10-10,1.36,1.36,1.36,1.36,1.36,0
94,2018-10-11,1.36,1.36,1.36,1.36,1.36,0
95,2018-10-12,1.4,1.4,1.36,1.39,1.39,51100
96,2018-10-15,1.35,1.4,1.35,1.39,1.39,20300
97,2018-10-16,1.39,1.39,1.39,1.39,1.39,0
98,2018-10-17,1.39,1.39,1.39,1.39,1.39,0
99,2018-10-18,1.39,1.39,1.39,1.39,1.39,0
100,2018-10-19,1.4,1.4,1.4,1.4,1.4,25000
101,2018-10-22,1.4,1.4,1.4,1.4,1.4,0
102,2018-10-23,1.4,1.4,1.4,1.4,1.4,0
103,2018-10-24,1.4,1.4,1.4,1.4,1.4,0
104,2018-10-25,1.4,1.4,1.4,1.4,1.4,0
105,2018-10-26,1.4,1.4,1.4,1.4,1.4,0
106,2018-10-29,1.4,1.4,1.4,1.4,1.4,0
107,2018-10-30,1.4,1.4,1.4,1.4,1.4,0
108,2018-10-31,1.4,1.4,1.4,1.4,1.4,0
109,2018-11-01,1.4,1.4,1.4,1.4,1.4,0
110,2018-11-02,1.34,1.38,1.34,1.38,1.38,2500
111,2018-11-05,1.36,1.36,1.32,1.32,1.32,12500
112,2018-11-06,1.32,1.38,1.3,1.38,1.38,17700
113,2018-11-07,1.3,1.3,1.3,1.3,1.3,8400
114,2018-11-08,1.29,1.29,1.29,1.29,1.29,100
115,2018-11-09,1.29,1.29,1.29,1.29,1.29,0
116,2018-11-12,1.28,1.28,1.28,1.28,1.28,500
117,2018-11-13,1.28,1.28,1.28,1.28,1.28,0
118,2018-11-14,1.3,1.3,1.24,1.25,1.25,4300
119,2018-11-15,1.23,1.23,1.15,1.2,1.2,59100
120,2018-11-16,1.15,1.2,1.15,1.2,1.2,81200
121,2018-11-19,1.2,1.2,1.2,1.2,1.2,0
122,2018-11-20,1.16,1.16,1.16,1.16,1.16,100
123,2018-11-21,1.16,1.16,1.16,1.16,1.16,0
124,2018-11-23,1.17,1.17,1.17,1.17,1.17,1000
125,2018-11-26,1.17,1.205,1.17,1.2,1.2,8600
126,2018-11-27,1.2,1.2,1.2,1.2,1.2,0
127,2018-11-28,1.17,1.18,1.15,1.18,1.18,37600
128,2018-11-29,1.15,1.18,1.15,1.18,1.18,10500
129,2018-11-30,1.18,1.18,1.18,1.18,1.18,100
130,2018-12-03,1.18,1.18,1.18,1.18,1.18,0
131,2018-12-04,1.18,1.19,1.1,1.19,1.19,57000
132,2018-12-06,1.19,1.19,1.19,1.19,1.19,0
133,2018-12-07,1.19,1.19,1.19,1.19,1.19,0
134,2018-12-10,1.15,1.15,1.15,1.15,1.15,2000
135,2018-12-11,1.1,1.18,1.1,1.18,1.18,10200
136,2018-12-12,1.18,1.18,1.18,1.18,1.18,0
137,2018-12-13,1.15,1.15,1.15,1.15,1.15,200
138,2018-12-14,1.13,1.13,1.08,1.08,1.08,6100
139,2018-12-17,1.15,1.15,1.14,1.14,1.14,1200
140,2018-12-18,1.14,1.14,1.14,1.14,1.14,0
141,2018-12-19,1.14,1.14,1.14,1.14,1.14,0
142,2018-12-20,1.0,1.1,1.0,1.1,1.1,2000
143,2018-12-21,1.1,1.1,1.1,1.1,1.1,0
144,2018-12-24,1.1,1.1,1.1,1.1,1.1,0
145,2018-12-26,1.1,1.1,1.1,1.1,1.1,0
146,2018-12-27,1.1,1.1,1.1,1.1,1.1,0
147,2018-12-28,1.1,1.1,1.1,1.1,1.1,0
148,2018-12-31,1.07,1.14,1.07,1.14,1.14,5100
149,2019-01-02,1.14,1.14,1.14,1.14,1.14,0
150,2019-01-03,1.12,1.12,1.12,1.12,1.12,100
151,2019-01-04,1.07,1.1,1.05,1.1,1.1,23700
152,2019-01-07,1.06,1.1,1.05,1.1,1.1,5400
153,2019-01-08,1.1,1.1,1.1,1.1,1.1,0
154,2019-01-09,1.1,1.1,1.1,1.1,1.1,0
155,2019-01-10,1.1,1.1,1.1,1.1,1.1,0
156,2019-01-11,1.09,1.1,1.09,1.1,1.1,17500
157,2019-01-14,1.09,1.09,1.09,1.09,1.09,100
158,2019-01-15,1.05,1.09,1.049,1.09,1.09,31000
159,2019-01-16,1.09,1.09,1.09,1.09,1.09,0
160,2019-01-17,1.05,1.07,1.05,1.05,1.05,15100
161,2019-01-18,1.05,1.08,1.05,1.06,1.06,66400
162,2019-01-22,1.06,1.06,1.06,1.06,1.06,0
163,2019-01-23,1.06,1.06,1.06,1.06,1.06,0
164,2019-01-24,1.06,1.06,1.06,1.06,1.06,0
165,2019-01-25,1.1,1.15,1.1,1.15,1.15,10100
166,2019-01-28,1.15,1.15,1.15,1.15,1.15,0
167,2019-01-29,1.15,1.15,1.07,1.13,1.13,100500
168,2019-01-30,1.13,1.13,1.11,1.11,1.11,500
169,2019-01-31,1.11,1.11,1.11,1.11,1.11,0
170,2019-02-01,1.11,1.11,1.11,1.11,1.11,0
171,2019-02-04,1.11,1.11,1.11,1.11,1.11,0
172,2019-02-05,1.11,1.11,1.11,1.11,1.11,0
173,2019-02-06,1.11,1.11,1.11,1.11,1.11,0
174,2019-02-07,1.11,1.11,1.11,1.11,1.11,0
175,2019-02-08,1.11,1.11,1.11,1.11,1.11,0
176,2019-02-11,1.11,1.11,1.11,1.11,1.11,0
177,2019-02-12,1.11,1.11,1.11,1.11,1.11,0
178,2019-02-13,1.13,1.18,1.13,1.18,1.18,2000
179,2019-02-14,1.18,1.18,1.18,1.18,1.18,0
180,2019-02-15,1.18,1.18,1.18,1.18,1.18,0
181,2019-02-19,1.18,1.18,1.18,1.18,1.18,100
182,2019-02-20,1.18,1.18,1.18,1.18,1.18,0
183,2019-02-21,1.18,1.18,1.13,1.15,1.15,12500
184,2019-02-22,1.15,1.15,1.15,1.15,1.15,0
185,2019-02-25,1.15,1.15,1.15,1.15,1.15,0
186,2019-02-26,1.13,1.19,1.08,1.19,1.19,10100
187,2019-02-27,1.12,1.19,1.07,1.19,1.19,1600
188,2019-02-28,1.1,1.12,1.1,1.12,1.12,5100
189,2019-03-01,1.12,1.12,1.12,1.12,1.12,0
190,2019-03-04,1.12,1.12,1.12,1.12,1.12,100
191,2019-03-05,1.11,1.235,1.05,1.235,1.235,30100
192,2019-03-06,1.235,1.235,1.235,1.235,1.235,0
193,2019-03-07,1.05,1.2,1.05,1.2,1.2,35000
194,2019-03-08,1.2,1.2,1.2,1.2,1.2,0
195,2019-03-11,1.2,1.2,1.2,1.2,1.2,0
196,2019-03-12,1.2,1.2,1.2,1.2,1.2,0
197,2019-03-13,1.2,1.2,1.2,1.2,1.2,0
198,2019-03-14,1.2,1.2,1.2,1.2,1.2,0
199,2019-03-15,1.12,1.12,1.1,1.1,1.1,500
200,2019-03-18,1.07,1.12,1.07,1.12,1.12,40900
201,2019-03-19,1.12,1.12,1.12,1.12,1.12,0
202,2019-03-20,1.12,1.12,1.12,1.12,1.12,0
203,2019-03-21,1.11,1.11,1.11,1.11,1.11,500
204,2019-03-22,1.11,1.11,1.11,1.11,1.11,0
205,2019-03-25,1.11,1.11,1.11,1.11,1.11,100
206,2019-03-26,1.11,1.11,1.11,1.11,1.11,0
207,2019-03-27,1.11,1.11,1.11,1.11,1.11,0
208,2019-03-28,1.11,1.11,1.11,1.11,1.11,0
209,2019-03-29,1.11,1.11,1.11,1.11,1.11,0
210,2019-04-01,1.11,1.11,1.11,1.11,1.11,0
211,2019-04-02,1.11,1.11,1.11,1.11,1.11,0
212,2019-04-03,1.11,1.11,1.11,1.11,1.11,0
213,2019-04-04,1.11,1.11,1.11,1.11,1.11,0
214,2019-04-05,1.1,1.265,1.09,1.1,1.1,471300
215,2019-04-08,1.1,1.1,1.1,1.1,1.1,0
216,2019-04-09,1.1,1.1,1.1,1.1,1.1,0
217,2019-04-10,1.1,1.1,1.1,1.1,1.1,0
218,2019-04-11,1.1,1.1,1.1,1.1,1.1,0
219,2019-04-12,1.1,1.1,1.1,1.1,1.1,0
220,2019-04-15,1.2,1.2,1.2,1.2,1.2,5300
221,2019-04-16,1.2,1.2,1.2,1.2,1.2,0
222,2019-04-17,1.2,1.2,1.2,1.2,1.2,0
223,2019-04-18,1.2,1.2,1.2,1.2,1.2,0
224,2019-04-22,1.2,1.2,1.2,1.2,1.2,0
225,2019-04-23,1.2,1.2,1.2,1.2,1.2,0
226,2019-04-24,1.16,1.185,1.16,1.185,1.185,100000
227,2019-04-25,1.14,1.14,1.14,1.14,1.14,200
228,2019-04-26,1.14,1.14,1.14,1.14,1.14,0
229,2019-04-29,1.14,1.14,1.14,1.14,1.14,0
230,2019-04-30,1.14,1.14,1.14,1.14,1.14,0
231,2019-05-01,1.14,1.14,1.14,1.14,1.14,0
232,2019-05-02,1.14,1.14,1.14,1.14,1.14,0
233,2019-05-03,1.14,1.14,1.14,1.14,1.14,0
234,2019-05-06,1.08,1.08,1.08,1.08,1.08,100
235,2019-05-07,1.14,1.14,1.07,1.075,1.075,886000
236,2019-05-08,1.1,1.12,1.0,1.09,1.09,191100
237,2019-05-09,1.09,1.11,1.09,1.11,1.11,900
238,2019-05-10,1.11,1.11,1.11,1.11,1.11,100100
239,2019-05-13,1.11,1.11,1.07,1.07,1.07,223600
240,2019-05-14,1.06,1.11,1.05,1.05,1.05,218900
241,2019-05-15,1.07,1.15,1.06,1.07,1.07,16400
242,2019-05-16,1.088,1.13,1.06,1.105,1.105,6700
243,2019-05-17,1.09,1.15,1.031,1.11,1.11,17100
244,2019-05-20,1.07,1.11,1.07,1.11,1.11,7600
245,2019-05-21,1.11,1.11,1.11,1.11,1.11,0
246,2019-05-22,1.11,1.11,1.11,1.11,1.11,0
247,2019-05-23,1.1,1.1,1.1,1.1,1.1,4200
248,2019-05-24,1.1,1.1,1.1,1.1,1.1,0
249,2019-05-28,1.09,1.09,1.09,1.09,1.09,300
250,2019-05-29,1.08,1.08,1.08,1.08,1.08,1500
251,2019-05-30,1.07,1.07,1.06,1.065,1.065,101000
252,2019-05-31,1.09,1.09,1.09,1.09,1.09,1000
253,2019-06-03,1.09,1.09,1.07,1.07,1.07,5200
254,2019-06-04,1.09,1.1,1.09,1.1,1.1,2000
255,2019-06-05,1.1,1.1,1.1,1.1,1.1,0
256,2019-06-06,1.08,1.1,1.05,1.05,1.05,11300
257,2019-06-07,1.05,1.05,1.05,1.05,1.05,0
258,2019-06-10,1.05,1.05,1.05,1.05,1.05,0
259,2019-06-11,1.08,1.08,1.08,1.08,1.08,1000
260,2019-06-12,1.08,1.08,1.08,1.08,1.08,0
261,2019-06-13,1.1,1.1,1.07,1.07,1.07,27000
262,2019-06-14,1.07,1.07,1.07,1.07,1.07,0
263,2019-06-17,1.07,1.07,1.07,1.07,1.07,0
264,2019-06-18,1.1,1.1,1.08,1.08,1.08,53700
265,2019-06-19,1.08,1.08,1.08,1.08,1.08,0
266,2019-06-20,1.08,1.08,1.08,1.08,1.08,0
267,2019-06-21,1.1,1.11,1.09,1.09,1.09,275900
268,2019-06-24,1.09,1.09,1.09,1.09,1.09,0
269,2019-06-25,1.1,1.1,1.09,1.09,1.09,61500
270,2019-06-26,1.09,1.095,1.09,1.09,1.09,81200
271,2019-06-27,1.09,1.09,1.07,1.09,1.09,2100
272,2019-06-28,1.09,1.09,1.08,1.08,1.08,51100
273,2019-07-01,1.09,1.09,1.08,1.08,1.08,12900
274,2019-07-02,1.09,1.09,1.08,1.08,1.08,6600
275,2019-07-03,1.08,1.08,1.08,1.08,1.08,9500
276,2019-07-05,1.08,1.08,1.08,1.08,1.08,0
277,2019-07-08,1.09,1.09,1.08,1.08,1.08,29800
278,2019-07-09,1.08,1.08,1.08,1.08,1.08,39300
279,2019-07-10,1.08,1.09,1.08,1.08,1.08,20300
280,2019-07-11,1.08,1.08,1.08,1.08,1.08,1000
281,2019-07-12,1.08,1.08,1.08,1.08,1.08,0
282,2019-07-15,1.08,1.08,1.08,1.08,1.08,0
283,2019-07-16,1.08,1.08,1.08,1.08,1.08,0
284,2019-07-17,1.08,1.08,1.08,1.08,1.08,0
285,2019-07-18,1.08,1.08,1.08,1.08,1.08,0
286,2019-07-19,1.15,1.15,1.15,1.15,1.15,5000
287,2019-07-22,1.08,1.1,1.08,1.08,1.08,169100
288,2019-07-23,1.08,1.095,1.05,1.08,1.08,99700
289,2019-07-24,1.08,1.08,1.08,1.08,1.08,0
290,2019-07-25,1.08,1.08,1.08,1.08,1.08,25100
291,2019-07-26,1.08,1.08,1.08,1.08,1.08,35000
292,2019-07-29,1.11,1.15,1.08,1.08,1.08,3900
293,2019-07-30,1.11,1.15,1.08,1.08,1.08,3900
294,2019-07-31,1.07,1.077,1.06,1.06,1.06,1100
295,2019-08-01,1.11,1.11,1.06,1.07,1.07,3300
296,2019-08-02,1.11,1.11,1.06,1.07,1.07,3300
297,2019-08-05,1.15,1.15,1.08,1.15,1.15,28400
298,2019-08-06,1.13,1.15,1.12,1.15,1.15,10100
299,2019-08-07,1.14,1.15,1.085,1.15,1.15,25700
300,2019-08-08,1.13,1.15,1.08,1.15,1.15,900
301,2019-08-09,1.14,1.15,1.095,1.14,1.14,40000
302,2019-08-12,1.13,1.15,1.11,1.15,1.15,10200
303,2019-08-13,1.15,1.15,1.115,1.14,1.14,9100
304,2019-08-14,1.13,1.15,1.05,1.14,1.14,236800
305,2019-08-15,1.11,1.17,1.07,1.14,1.14,505900
306,2019-08-16,1.08,1.08,1.08,1.08,1.08,94200
307,2019-08-19,1.08,1.08,1.08,1.08,1.08,0
308,2019-08-20,1.08,1.08,1.07,1.07,1.07,27500
309,2019-08-21,1.1,1.1,1.1,1.1,1.1,100
