,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,PERI,08/18/20,5.94,6.17,5.86,6.15,276927,0.21,3.54%
1,PERI,08/17/20,6.03,6.05,5.86,5.94,131455,-0.07,-1.16%
2,PERI,08/14/20,5.85,6.03,5.83,6.01,125400,0.1,1.69%
3,PERI,08/13/20,5.7,6.11,5.66,5.91,334062,0.29,5.16%
4,PERI,08/12/20,5.71,5.8,5.56,5.62,200738,-0.09,-1.58%
5,PERI,08/11/20,5.94,5.99,5.7,5.71,306845,-0.26,-4.36%
6,PERI,08/10/20,6.0,6.1,5.84,5.97,235215,-0.13,-2.13%
7,PERI,08/07/20,6.15,6.2,5.99,6.1,195500,-0.1,-1.61%
8,PERI,08/06/20,6.26,6.28,5.76,6.2,539997,-0.08,-1.27%
9,PERI,08/05/20,6.36,6.71,6.07,6.28,967186,0.05,0.80%
10,PERI,08/04/20,6.28,6.34,6.13,6.23,234921,-0.02,-0.32%
11,PERI,08/03/20,6.04,6.3,5.96,6.25,198036,0.3,5.04%
12,PERI,07/31/20,5.92,5.97,5.74,5.95,148800,0.03,0.51%
13,PERI,07/30/20,6.05,6.1,5.64,5.92,268277,-0.16,-2.63%
14,PERI,07/29/20,6.3,6.36,6.0,6.08,154931,-0.27,-4.25%
15,PERI,07/28/20,6.08,6.48,6.08,6.35,208454,0.22,3.59%
16,PERI,07/27/20,6.18,6.2,6.03,6.13,110004,-0.04,-0.65%
17,PERI,07/24/20,6.1,6.24,5.96,6.17,134100,0.05,0.82%
18,PERI,07/23/20,6.27,6.45,6.04,6.12,211373,-0.24,-3.77%
19,PERI,07/22/20,5.95,6.55,5.88,6.36,1003412,0.69,12.17%
20,PERI,07/21/20,5.68,5.83,5.63,5.67,123861,0.03,0.53%
21,PERI,07/20/20,5.66,5.68,5.58,5.64,67419,0.0,0.00%
22,PERI,07/17/20,5.68,5.68,5.59,5.64,40900,-0.02,-0.35%
23,PERI,07/16/20,5.49,5.78,5.471,5.66,143065,0.14,2.54%
24,PERI,07/15/20,5.8,5.84,5.45,5.52,152204,-0.32,-5.48%
25,PERI,07/14/20,5.28,5.9,5.16,5.84,321922,0.53,9.98%
26,PERI,07/13/20,5.36,5.48,5.3,5.31,141874,-0.01,-0.19%
27,PERI,07/10/20,5.34,5.4,5.26,5.32,58000,-0.05,-0.93%
28,PERI,07/09/20,5.33,5.42,5.26,5.37,155402,0.05,0.94%
29,PERI,07/08/20,5.3,5.39,5.3,5.32,92055,0.02,0.38%
30,PERI,07/07/20,5.35,5.48,5.291,5.3,78394,-0.06,-1.12%
31,PERI,07/06/20,5.06,5.46,5.06,5.36,284234,0.3,5.93%
32,PERI,07/02/20,5.2,5.2,5.02,5.06,168100,-0.06,-1.17%
33,PERI,07/01/20,5.21,5.245,5.06,5.12,139632,-0.11,-2.10%
34,PERI,06/30/20,5.23,5.3,5.14,5.23,152898,-0.02,-0.38%
35,PERI,06/29/20,5.3,5.36,5.17,5.25,109675,-0.12,-2.23%
36,PERI,06/26/20,5.31,5.4,5.26,5.37,104100,-0.01,-0.19%
37,PERI,06/25/20,5.52,5.52,5.29,5.38,118560,-0.16,-2.89%
38,PERI,06/24/20,5.6,5.6,5.29,5.54,186568,-0.16,-2.81%
39,PERI,06/23/20,5.8,5.94,5.64,5.7,184329,0.15,2.70%
40,PERI,06/22/20,5.55,5.56,5.4,5.55,99444,-0.06,-1.07%
41,PERI,06/19/20,5.8,5.8,5.52,5.61,175000,-0.08,-1.41%
42,PERI,06/18/20,5.27,5.73,5.25,5.69,324164,0.32,5.96%
43,PERI,06/17/20,5.54,5.58,5.3,5.37,107813,-0.22,-3.94%
44,PERI,06/16/20,5.57,5.7,5.29,5.59,214870,0.17,3.14%
45,PERI,06/15/20,5.16,5.43,5.13,5.42,105897,0.12,2.26%
46,PERI,06/12/20,5.26,5.38,5.13,5.3,88800,0.19,3.72%
47,PERI,06/11/20,5.51,5.53,5.1,5.11,287044,-0.68,-11.74%
48,PERI,06/10/20,5.86,5.92,5.66,5.79,151558,-0.2,-3.34%
49,PERI,06/09/20,5.99,6.07,5.87,5.99,243082,-0.21,-3.39%
50,PERI,06/08/20,5.84,6.24,5.8,6.2,365497,0.42,7.27%
51,PERI,06/05/20,5.68,5.82,5.5,5.78,412000,0.23,4.14%
52,PERI,06/04/20,5.71,5.749,5.48,5.55,245184,-0.08,-1.42%
53,PERI,06/03/20,5.59,5.66,5.42,5.63,214806,0.12,2.18%
54,PERI,06/02/20,5.65,5.69,5.47,5.51,174181,-0.1,-1.78%
55,PERI,06/01/20,5.63,5.73,5.55,5.61,200149,0.1,1.81%
56,PERI,05/29/20,5.52,5.58,5.35,5.51,213400,0.02,0.36%
57,PERI,05/28/20,5.82,5.87,5.46,5.49,212667,-0.24,-4.19%
58,PERI,05/27/20,6.08,6.09,5.5,5.73,237545,-0.41,-6.68%
59,PERI,05/26/20,6.11,6.5,6.03,6.14,727673,0.88,16.73%
60,PERI,05/22/20,5.35,5.35,5.1,5.26,180600,-0.1,-1.87%
61,PERI,05/21/20,4.98,5.45,4.98,5.36,290057,0.37,7.41%
62,PERI,05/20/20,4.96,5.09,4.96,4.99,208410,0.08,1.63%
63,PERI,05/19/20,4.83,5.01,4.77,4.91,226956,0.13,2.72%
64,PERI,05/18/20,4.57,4.8,4.52,4.78,171162,0.34,7.66%
65,PERI,05/15/20,4.37,4.48,4.21,4.44,229900,0.04,0.91%
66,PERI,05/14/20,4.39,4.6,4.28,4.4,333753,-0.11,-2.44%
67,PERI,05/13/20,4.75,4.75,4.26,4.51,303382,-0.26,-5.45%
68,PERI,05/12/20,4.81,4.9,4.72,4.77,201714,-0.06,-1.24%
69,PERI,05/11/20,4.91,4.91,4.76,4.83,182998,-0.09,-1.83%
70,PERI,05/08/20,4.82,4.96,4.66,4.92,415000,0.15,3.14%
71,PERI,05/07/20,4.74,4.99,4.73,4.77,371169,0.23,5.07%
72,PERI,05/06/20,5.32,5.32,4.43,4.54,1141371,-0.15,-3.20%
73,PERI,05/05/20,4.8,4.9,4.66,4.69,149481,-0.04,-0.85%
74,PERI,05/04/20,4.57,4.73,4.53,4.73,274393,0.27,6.05%
75,PERI,05/01/20,4.9,4.96,4.36,4.46,528300,-0.53,-10.62%
76,PERI,04/30/20,5.1,5.1,4.78,4.99,307198,0.04,0.81%
77,PERI,04/29/20,4.77,5.07,4.7,4.95,594072,0.29,6.22%
78,PERI,04/28/20,4.79,4.796,4.52,4.66,348185,-0.03,-0.64%
79,PERI,04/27/20,4.77,4.84,4.67,4.69,247903,-0.03,-0.64%
80,PERI,04/24/20,4.87,4.9,4.61,4.72,267000,-0.08,-1.67%
81,PERI,04/23/20,4.8,4.99,4.8,4.8,257408,-0.01,-0.21%
82,PERI,04/22/20,4.81,4.865,4.73,4.81,171782,0.05,1.05%
83,PERI,04/21/20,4.88,4.9,4.67,4.76,224924,-0.09,-1.86%
84,PERI,04/20/20,4.67,4.87,4.67,4.85,326501,0.09,1.89%
85,PERI,04/17/20,4.8,4.888999999999999,4.7,4.76,261400,-0.03,-0.63%
86,PERI,04/16/20,4.94,4.98,4.7,4.79,184659,-0.14,-2.84%
87,PERI,04/15/20,4.96,4.97,4.77,4.93,93223,-0.17,-3.33%
88,PERI,04/14/20,5.26,5.36,5.02,5.1,163559,-0.04,-0.78%
89,PERI,04/13/20,5.12,5.15,4.86,5.14,287538,0.06,1.18%
90,PERI,04/09/20,4.95,5.2,4.83,5.08,200200,0.13,2.63%
91,PERI,04/08/20,4.9,5.0,4.738,4.95,139171,0.1,2.06%
92,PERI,04/07/20,4.95,5.04,4.63,4.85,248083,0.25,5.43%
93,PERI,04/06/20,4.42,4.61,4.35,4.6,196392,0.4,9.52%
94,PERI,04/03/20,4.48,4.53,4.13,4.2,162100,-0.28,-6.25%
95,PERI,04/02/20,4.31,4.65,4.249,4.48,300610,0.21,4.92%
96,PERI,04/01/20,4.67,4.715,4.18,4.27,323838,-0.62,-12.68%
97,PERI,03/31/20,4.65,4.91,4.65,4.89,222646,0.23,4.94%
98,PERI,03/30/20,5.0,5.03,4.6,4.66,301575,-0.3,-6.05%
99,PERI,03/27/20,4.77,5.0,4.6,4.96,216200,0.04,0.81%
100,PERI,03/26/20,4.87,5.09,4.77,4.92,199732,0.16,3.36%
101,PERI,03/25/20,4.83,4.91,4.534,4.76,266680,0.3,6.73%
102,PERI,03/24/20,4.49,4.58,4.31,4.46,252667,0.37,9.05%
103,PERI,03/23/20,4.15,4.19,3.9,4.09,320206,0.01,0.25%
104,PERI,03/20/20,4.01,4.34,3.96,4.08,401500,0.13,3.29%
105,PERI,03/19/20,3.73,4.04,3.65,3.95,332969,0.28,7.63%
106,PERI,03/18/20,3.82,3.97,3.43,3.67,439061,-0.44,-10.71%
107,PERI,03/17/20,4.09,4.24,3.8,4.11,475404,0.05,1.23%
108,PERI,03/16/20,4.51,4.54,3.78,4.06,506393,-1.11,-21.47%
109,PERI,03/13/20,5.5,5.55,4.9,5.17,455200,-0.05,-0.96%
110,PERI,03/12/20,5.53,5.58,4.92,5.22,589121,-0.98,-15.81%
111,PERI,03/11/20,6.36,6.39,5.92,6.2,369210,-0.36,-5.49%
112,PERI,03/10/20,6.39,6.59,6.181,6.56,308638,0.28,4.46%
113,PERI,03/09/20,6.41,6.447,6.15,6.28,469398,-0.72,-10.29%
114,PERI,03/06/20,6.77,7.11,6.72,7.0,367400,0.0,0.00%
115,PERI,03/05/20,6.91,7.1,6.82,7.0,315823,-0.21,-2.91%
116,PERI,03/04/20,7.21,7.3,7.01,7.21,294329,0.05,0.70%
117,PERI,03/03/20,7.35,7.37,7.02,7.16,363772,-0.12,-1.65%
118,PERI,03/02/20,7.23,7.35,7.05,7.28,330350,0.08,1.11%
119,PERI,02/28/20,6.84,7.29,6.76,7.2,699800,0.0,0.00%
120,PERI,02/27/20,7.46,7.5,7.03,7.2,736581,-0.59,-7.57%
121,PERI,02/26/20,7.87,8.01,7.73,7.79,299668,-0.07,-0.89%
122,PERI,02/25/20,8.0,8.04,7.7,7.86,426544,0.03,0.38%
123,PERI,02/24/20,7.97,8.09,7.53,7.83,772270,-0.56,-6.67%
124,PERI,02/21/20,8.63,8.64,8.26,8.39,532900,-0.25,-2.89%
125,PERI,02/20/20,8.81,8.85,8.29,8.64,465534,-0.23,-2.59%
126,PERI,02/19/20,8.82,9.1,8.61,8.87,656108,0.09,1.03%
127,PERI,02/18/20,9.0,9.22,8.51,8.78,1245493,-0.23,-2.55%
128,PERI,02/14/20,8.63,9.53,8.63,9.01,1287900,0.51,6.00%
129,PERI,02/13/20,8.42,8.6,8.32,8.5,401392,0.08,0.95%
130,PERI,02/12/20,8.83,9.1,7.87,8.42,1868625,0.08,0.96%
131,PERI,02/11/20,8.21,8.4,8.04,8.34,394589,0.21,2.58%
132,PERI,02/10/20,7.91,8.17,7.82,8.13,298525,0.21,2.65%
133,PERI,02/07/20,8.06,8.15,7.71,7.92,348500,-0.05,-0.63%
134,PERI,02/06/20,8.42,8.57,7.77,7.97,451829,-0.4,-4.78%
135,PERI,02/05/20,8.7,8.705,8.213,8.37,346172,0.2,2.45%
136,PERI,02/04/20,8.18,8.32,7.93,8.17,322175,0.27,3.42%
137,PERI,02/03/20,7.68,8.02,7.55,7.9,405776,0.19,2.46%
138,PERI,01/31/20,7.8,7.94,7.58,7.71,253200,-0.12,-1.53%
139,PERI,01/30/20,7.99,8.011000000000001,7.61,7.83,319452,-0.33,-4.04%
140,PERI,01/29/20,8.09,8.36,7.97,8.16,389120,0.14,1.75%
141,PERI,01/28/20,8.1,8.17,7.79,8.02,275128,0.34,4.43%
142,PERI,01/27/20,7.8,8.11,7.53,7.68,534543,-0.61,-7.36%
143,PERI,01/24/20,8.82,8.89,8.01,8.29,759100,-0.51,-5.80%
144,PERI,01/23/20,9.27,9.4,8.8,8.8,401864,-0.47,-5.07%
145,PERI,01/22/20,9.45,9.7,9.11,9.27,503571,-0.1,-1.07%
146,PERI,01/21/20,9.22,9.52,8.96,9.37,685359,0.4,4.46%
147,PERI,01/17/20,8.8,9.04,8.77,8.97,320300,0.25,2.87%
148,PERI,01/16/20,9.1,9.2,8.7,8.72,398883,-0.23,-2.57%
149,PERI,01/15/20,8.95,9.19,8.86,8.95,535384,0.23,2.64%
150,PERI,01/14/20,8.44,9.05,8.15,8.72,716952,0.42,5.06%
151,PERI,01/13/20,8.5,8.52,8.03,8.3,503305,-0.14,-1.66%
152,PERI,01/10/20,8.46,8.58,8.07,8.44,360900,0.08,0.96%
153,PERI,01/09/20,8.42,8.47,7.78,8.36,867636,0.08,0.97%
154,PERI,01/08/20,8.04,8.45,8.01,8.28,1174045,0.52,6.70%
155,PERI,01/07/20,7.4,7.855,7.4,7.76,779508,0.46,6.30%
156,PERI,01/06/20,7.08,7.57,6.95,7.3,1333520,0.74,11.28%
157,PERI,01/03/20,6.42,6.58,6.27,6.56,195400,0.06,0.92%
158,PERI,01/02/20,6.36,6.5,6.32,6.5,147292,0.28,4.50%
159,PERI,12/31/19,6.15,6.24,6.15,6.22,178800,0.06,0.97%
160,PERI,12/30/19,6.16,6.275,6.02,6.16,227453,-0.08,-1.36%
161,PERI,12/27/19,6.34,6.39,6.115,6.245,165600,-0.09,-1.50%
162,PERI,12/26/19,6.28,6.45,6.27,6.34,190317,0.06,0.96%
163,PERI,12/24/19,6.19,6.35,6.09,6.28,210300,0.16,2.61%
164,PERI,12/23/19,6.03,6.15,5.93,6.12,244629,0.22,3.73%
165,PERI,12/20/19,6.16,6.22,5.8,5.9,335800,-0.27,-4.38%
166,PERI,12/19/19,5.91,6.2,5.91,6.17,422444,0.3,5.11%
167,PERI,12/18/19,5.67,5.88,5.62,5.87,187286,0.27,4.82%
168,PERI,12/17/19,5.8,5.88,5.56,5.6,306325,-0.29,-4.92%
169,PERI,12/16/19,5.5,5.94,5.48,5.89,627365,0.61,11.55%
170,PERI,12/13/19,5.39,5.398,5.25,5.28,111800,-0.1,-1.86%
171,PERI,12/12/19,5.29,5.4,5.23,5.38,171651,0.05,0.94%
172,PERI,12/11/19,5.46,5.51,5.31,5.33,136637,-0.19,-3.44%
173,PERI,12/10/19,5.58,5.7,5.51,5.52,222896,-0.04,-0.72%
174,PERI,12/09/19,5.29,5.58,5.28,5.56,236867,0.37,7.13%
175,PERI,12/06/19,5.23,5.32,5.17,5.19,65900,-0.01,-0.19%
176,PERI,12/05/19,5.27,5.31,5.19,5.2,50703,-0.06,-1.14%
177,PERI,12/04/19,5.37,5.4,5.25,5.26,128351,-0.07,-1.31%
178,PERI,12/03/19,5.28,5.35,5.18,5.33,89408,-0.03,-0.56%
179,PERI,12/02/19,5.3,5.49,5.15,5.36,221316,-0.01,-0.19%
180,PERI,11/29/19,5.46,5.482,5.305,5.37,89700,-0.08,-1.47%
181,PERI,11/27/19,5.12,5.49,5.09,5.45,211700,0.33,6.45%
182,PERI,11/26/19,4.98,5.17,4.98,5.12,160462,0.1,1.99%
