,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,13.38,13.58,13.05,13.26,13.26,703700
1,2015-08-21,13.01,13.18,12.57,12.62,12.62,515900
2,2015-08-24,12.15,12.62,11.75,11.93,11.93,544800
3,2015-08-25,12.34,12.89,12.25,12.33,12.33,620300
4,2015-08-26,12.6,12.79,12.02,12.46,12.46,500200
5,2015-08-27,12.71,13.52,12.67,13.46,13.46,582100
6,2015-08-28,13.34,13.64,13.17,13.44,13.44,292500
7,2015-08-31,13.25,13.66,13.25,13.37,13.37,247900
8,2015-09-01,13.05,13.42,13.03,13.2,13.2,328300
9,2015-09-02,13.27,13.51,13.02,13.44,13.44,343000
10,2015-09-03,13.54,13.72,13.3,13.39,13.39,178200
11,2015-09-04,13.2,13.6,13.11,13.58,13.58,177200
12,2015-09-08,13.74,13.74,13.25,13.56,13.56,241700
13,2015-09-09,13.64,13.82,13.32,13.47,13.47,233500
14,2015-09-10,13.35,13.55,13.21,13.36,13.36,195300
15,2015-09-11,13.29,13.51,13.22,13.49,13.49,78200
16,2015-09-14,13.57,13.73,13.38,13.65,13.65,229600
17,2015-09-15,13.63,13.8,13.4,13.77,13.77,191500
18,2015-09-16,13.77,13.93,13.67,13.87,13.87,181400
19,2015-09-17,13.82,13.99,13.61,13.82,13.82,318700
20,2015-09-18,13.61,13.85,13.56,13.8,13.8,1247200
21,2015-09-21,13.94,13.96,13.52,13.57,13.57,370300
22,2015-09-22,13.48,13.5,13.2,13.27,13.27,286200
23,2015-09-23,13.33,13.33,13.07,13.21,13.21,156400
24,2015-09-24,13.15,13.15,12.69,12.98,12.98,255400
25,2015-09-25,13.05,13.15,12.51,12.75,12.75,405100
26,2015-09-28,12.65,12.76,11.9,11.98,11.98,291400
27,2015-09-29,12.02,12.09,11.56,11.69,11.69,338900
28,2015-09-30,11.89,12.3,11.73,12.28,12.28,496500
29,2015-10-01,12.27,12.7,12.18,12.61,12.61,334300
30,2015-10-02,12.38,12.78,12.09,12.77,12.77,180000
31,2015-10-05,12.96,13.18,12.81,13.16,13.16,177500
32,2015-10-06,13.23,13.51,12.72,12.8,12.8,230400
33,2015-10-07,12.93,13.27,12.77,13.12,13.12,368500
34,2015-10-08,13.0,13.44,12.92,13.34,13.34,272900
35,2015-10-09,13.44,13.62,13.25,13.36,13.36,224400
36,2015-10-12,13.43,13.44,13.12,13.15,13.15,110800
37,2015-10-13,13.04,13.46,12.7,12.78,12.78,213900
38,2015-10-14,12.83,13.08,12.4,12.48,12.48,223400
39,2015-10-15,12.49,13.16,12.36,13.13,13.13,262300
40,2015-10-16,13.18,13.54,12.97,13.44,13.44,183900
41,2015-10-19,13.32,13.69,13.19,13.49,13.49,168300
42,2015-10-20,13.53,13.89,13.45,13.87,13.87,214800
43,2015-10-21,13.97,13.97,13.08,13.14,13.14,219200
44,2015-10-22,13.24,13.43,12.97,13.43,13.43,235700
45,2015-10-23,13.62,14.05,13.27,14.02,14.02,492000
46,2015-10-26,13.5,13.72,10.97,11.55,11.55,2295200
47,2015-10-27,11.39,11.6,11.02,11.56,11.56,573000
48,2015-10-28,11.68,12.39,11.58,12.19,12.19,462400
49,2015-10-29,12.21,12.27,11.51,11.71,11.71,491100
50,2015-10-30,11.67,12.14,11.62,12.06,12.06,325100
51,2015-11-02,12.12,12.33,12.05,12.18,12.18,246800
52,2015-11-03,12.18,12.43,12.0,12.09,12.09,440200
53,2015-11-04,12.01,12.27,11.81,11.86,11.86,476200
54,2015-11-05,11.0,11.2,9.77,10.11,10.11,1845000
55,2015-11-06,10.32,10.67,9.99,10.66,10.66,1027100
56,2015-11-09,10.59,10.69,10.28,10.67,10.67,745700
57,2015-11-10,10.65,11.36,10.56,11.29,11.29,831300
58,2015-11-11,11.29,11.39,10.97,11.06,11.06,524300
59,2015-11-12,10.92,11.08,10.64,10.81,10.81,769800
60,2015-11-13,10.74,11.06,10.68,10.82,10.82,385600
61,2015-11-16,10.82,11.06,10.72,11.04,11.04,403400
62,2015-11-17,11.04,11.32,10.97,11.13,11.13,395300
63,2015-11-18,11.11,11.34,11.03,11.3,11.3,277000
64,2015-11-19,11.25,11.29,11.1,11.17,11.17,286000
65,2015-11-20,11.24,11.29,10.97,11.06,11.06,251300
66,2015-11-23,11.08,11.3,10.98,11.2,11.2,288600
67,2015-11-24,11.25,11.43,11.13,11.27,11.27,229300
68,2015-11-25,11.23,11.46,11.2,11.44,11.44,192000
69,2015-11-27,11.41,11.68,11.28,11.54,11.54,172800
70,2015-11-30,11.77,11.95,11.09,11.12,11.12,391100
71,2015-12-01,11.26,11.39,10.9,11.37,11.37,600200
72,2015-12-02,11.4,11.73,11.3,11.49,11.49,276700
73,2015-12-03,11.53,11.68,11.15,11.16,11.16,172800
74,2015-12-04,11.11,11.45,11.0,11.37,11.37,411000
75,2015-12-07,11.29,11.34,10.99,11.28,11.28,276200
76,2015-12-08,11.17,11.35,11.06,11.1,11.1,124900
77,2015-12-09,11.28,12.17,11.11,11.71,11.71,528000
78,2015-12-10,11.58,11.58,10.97,11.35,11.35,514600
79,2015-12-11,11.18,11.39,11.1,11.29,11.29,440300
80,2015-12-14,11.27,11.43,10.96,11.16,11.16,384700
81,2015-12-15,11.16,11.66,11.08,11.63,11.63,326900
82,2015-12-16,11.74,12.15,11.65,12.12,12.12,263600
83,2015-12-17,12.06,12.09,11.71,11.77,11.77,254900
84,2015-12-18,11.75,11.85,11.44,11.5,11.5,629800
85,2015-12-21,11.59,11.67,11.08,11.28,11.28,179000
86,2015-12-22,11.44,11.6,11.16,11.56,11.56,252400
87,2015-12-23,11.74,11.81,11.56,11.65,11.65,139800
88,2015-12-24,11.58,11.71,11.44,11.53,11.53,69200
89,2015-12-28,11.51,11.58,11.19,11.31,11.31,201800
90,2015-12-29,11.36,11.68,11.21,11.66,11.66,214800
91,2015-12-30,11.56,11.79,11.56,11.63,11.63,139700
92,2015-12-31,11.59,11.68,11.38,11.39,11.39,203300
93,2016-01-04,11.2,11.38,11.02,11.18,11.18,290100
94,2016-01-05,11.19,11.3,10.98,10.99,10.99,160600
95,2016-01-06,10.86,10.89,10.42,10.45,10.45,330800
96,2016-01-07,10.23,10.39,9.78,9.92,9.92,729600
97,2016-01-08,9.92,10.48,9.6,9.67,9.67,615200
98,2016-01-11,9.79,10.03,9.63,9.91,9.91,298800
99,2016-01-12,9.99,10.22,9.86,10.15,10.15,205900
100,2016-01-13,10.23,10.3,9.48,9.53,9.53,209000
101,2016-01-14,9.61,9.73,9.3,9.48,9.48,311000
102,2016-01-15,9.18,9.59,9.02,9.44,9.44,374500
103,2016-01-19,9.55,9.64,8.97,9.19,9.19,315300
104,2016-01-20,9.02,9.3,8.69,9.12,9.12,396300
105,2016-01-21,9.1,9.59,9.02,9.52,9.52,373200
106,2016-01-22,9.64,10.21,9.57,9.85,9.85,278400
107,2016-01-25,9.82,9.82,9.54,9.59,9.59,210200
108,2016-01-26,9.67,9.89,9.46,9.86,9.86,277000
109,2016-01-27,9.85,9.85,9.52,9.55,9.55,239300
110,2016-01-28,9.61,9.74,9.33,9.38,9.38,232800
111,2016-01-29,9.4,9.92,9.4,9.8,9.8,374500
112,2016-02-01,9.86,11.06,9.85,10.99,10.99,762500
113,2016-02-02,10.77,10.95,10.4,10.58,10.58,437700
114,2016-02-03,11.42,11.76,10.56,10.73,10.73,619600
115,2016-02-04,10.68,10.85,10.4,10.46,10.46,337700
116,2016-02-05,10.42,10.6,10.02,10.18,10.18,288500
117,2016-02-08,10.0,10.07,9.73,9.99,9.99,274300
118,2016-02-09,9.83,10.29,9.77,10.01,10.01,344700
119,2016-02-10,10.04,10.17,9.75,9.76,9.76,237500
120,2016-02-11,9.55,9.83,8.78,9.62,9.62,230700
121,2016-02-12,9.71,9.83,9.48,9.79,9.79,162800
122,2016-02-16,9.89,10.15,9.62,10.09,10.09,249500
123,2016-02-17,10.13,10.44,9.99,10.31,10.31,210900
124,2016-02-18,10.34,10.43,10.02,10.14,10.14,188800
125,2016-02-19,10.02,10.32,10.01,10.26,10.26,202000
126,2016-02-22,10.32,10.58,10.19,10.42,10.42,241300
127,2016-02-23,10.44,10.68,10.18,10.58,10.58,291300
