,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-05-28,40.82,40.83,39.25,39.32,39.32,1762484,0.0,1.0
1,2020-05-27,39.97,40.97,39.83,40.26,40.26,1710646,0.0,1.0
2,2020-05-26,37.82,39.43,37.7369,39.08,39.08,966887,0.0,1.0
3,2020-05-22,36.33,36.51,36.08,36.48,36.48,638393,0.0,1.0
4,2020-05-21,35.8,36.38,35.8,36.22,36.22,867459,0.0,1.0
5,2020-05-20,35.74,36.32,35.65,35.91,35.91,878085,0.0,1.0
6,2020-05-19,35.55,35.98,35.13,35.22,35.22,726255,0.0,1.0
7,2020-05-18,34.97,36.1,34.91,35.66,35.66,1111775,0.0,1.0
8,2020-05-15,33.31,33.88,33.01,33.49,33.49,865795,0.0,1.0
9,2020-05-14,32.05,33.41,31.495,33.41,33.41,1284090,0.0,1.0
10,2020-05-13,32.97,33.31,32.25,32.69,32.69,1268097,0.0,1.0
11,2020-05-12,34.91,34.91,33.225,33.24,33.24,830162,0.0,1.0
12,2020-05-11,34.63,34.7499,33.96,34.5,34.5,686854,0.0,1.0
13,2020-05-08,34.68,35.38,34.52,35.1,35.1,804050,0.0,1.0
14,2020-05-07,34.15,34.72,34.025,34.23,34.23,952541,0.0,1.0
15,2020-05-06,34.36,34.47,33.46,33.54,33.54,823046,0.0,1.0
16,2020-05-05,34.68,35.16,33.99,34.15,34.15,1158433,0.0,1.0
17,2020-05-04,33.05,34.51,33.0,34.48,34.48,1447706,0.0,1.0
18,2020-05-01,33.94,34.52,32.99,33.43,33.43,925255,0.0,1.0
19,2020-04-30,35.0,36.36,34.43,34.59,34.59,4632940,0.0,1.0
20,2020-04-29,35.58,35.73,34.795,35.24,35.24,1790752,0.0,1.0
21,2020-04-28,33.86,34.75,33.8,34.46,34.46,1186117,0.0,1.0
22,2020-04-27,32.1,33.43,32.085,33.18,33.18,1009123,0.0,1.0
23,2020-04-24,30.89,31.82,30.56,31.67,31.67,1245741,0.0,1.0
24,2020-04-23,30.3,31.54,30.15,30.6,30.6,1375103,0.0,1.0
25,2020-04-22,30.04,30.33,29.25,30.04,30.04,1344502,0.0,1.0
26,2020-04-21,30.19,30.5273,29.14,29.25,29.25,1374024,0.0,1.0
27,2020-04-20,30.93,31.52,30.56,31.36,31.36,1154788,0.0,1.0
28,2020-04-17,31.59,32.58,31.36,31.66,31.66,1153740,0.0,1.0
29,2020-04-16,30.78,30.85,29.58,30.48,30.48,1409030,0.19,1.0
30,2020-04-15,31.24,32.73,30.6109,31.12,30.9272,2278293,0.0,1.0
31,2020-04-14,32.31,33.16,31.88,32.21,32.0105,1355666,0.0,1.0
32,2020-04-13,32.64,32.96,31.14,31.46,31.2651,806105,0.0,1.0
33,2020-04-09,33.22,34.11,32.53,32.84,32.6366,1394190,0.0,1.0
34,2020-04-08,31.16,32.91,31.05,32.69,32.4875,977769,0.0,1.0
35,2020-04-07,32.26,32.63,31.26,31.3,31.1061,924911,0.0,1.0
36,2020-04-06,29.87,31.03,29.87,30.84,30.6489,1328100,0.0,1.0
37,2020-04-03,27.66,28.61,27.47,28.37,28.1942,1305817,0.0,1.0
38,2020-04-02,27.12,29.04,26.955,27.74,27.5682,1554924,0.0,1.0
39,2020-04-01,28.4,28.4,27.02,27.36,27.1905,1537561,0.0,1.0
40,2020-03-31,29.32,30.5,29.14,29.76,29.5756,2499599,0.0,1.0
41,2020-03-30,29.62,30.34,29.06,29.63,29.4464,1984644,0.0,1.0
42,2020-03-27,29.85,30.73,29.07,29.93,29.7446,1766568,0.0,1.0
