,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,POOL,08/18/20,328.13,332.17,324.41,328.05,255236,2.02,0.62%
1,POOL,08/17/20,321.18,329.95,319.8,326.03,213853,6.71,2.10%
2,POOL,08/14/20,319.87,322.75,317.01,319.32,130000,-0.79,-0.25%
3,POOL,08/13/20,322.77,329.53,319.85,320.11,203311,-4.25,-1.31%
4,POOL,08/12/20,317.74,325.86,314.78,324.36,337134,8.18,2.59%
5,POOL,08/11/20,324.9,324.9,314.89,316.18,475477,-9.31,-2.86%
6,POOL,08/10/20,329.78,329.78,321.61,325.49,197411,-3.11,-0.95%
7,POOL,08/07/20,327.24,331.12,326.04,328.6,156800,0.05,0.02%
8,POOL,08/06/20,327.73,329.16,324.33,328.55,130474,0.56,0.17%
9,POOL,08/05/20,324.03,328.0,321.56,327.99,166359,3.18,0.98%
10,POOL,08/04/20,321.49,326.18,320.21,324.81,230762,2.59,0.80%
11,POOL,08/03/20,317.87,327.61,317.87,322.22,307233,5.52,1.74%
12,POOL,07/31/20,315.73,316.77,312.17,316.7,284000,1.76,0.56%
13,POOL,07/30/20,310.85,316.72,310.24,314.94,371959,0.99,0.32%
14,POOL,07/29/20,307.55,314.59,307.55,313.95,317674,7.32,2.39%
15,POOL,07/28/20,311.0,311.0,305.23,306.63,240594,-3.7,-1.19%
16,POOL,07/27/20,306.67,311.48,305.09,310.33,286057,6.06,1.99%
17,POOL,07/24/20,298.0,306.69,295.09,304.27,468200,3.69,1.23%
18,POOL,07/23/20,312.0,318.71,297.17,300.58,826501,-1.32,-0.44%
19,POOL,07/22/20,297.07,303.96,297.02,301.9,426764,5.48,1.85%
20,POOL,07/21/20,304.63,304.66,295.69,296.42,320293,-4.93,-1.64%
21,POOL,07/20/20,295.84,302.58,292.15,301.35,340533,6.96,2.36%
22,POOL,07/17/20,286.09,294.94,283.74,294.39,311500,10.79,3.80%
23,POOL,07/16/20,287.48,289.47,280.45,283.6,319031,-3.95,-1.37%
24,POOL,07/15/20,286.36,288.53,282.36,287.55,255263,6.17,2.19%
25,POOL,07/14/20,275.1,283.33,275.06,281.38,245008,5.1,1.85%
26,POOL,07/13/20,281.02,285.74,276.07,276.28,321865,-2.21,-0.79%
27,POOL,07/10/20,273.37,279.85,273.37,278.49,191600,-0.64,-0.23%
28,POOL,07/09/20,271.03,280.55,269.9,279.13,302664,8.33,3.08%
29,POOL,07/08/20,271.33,273.5,268.53,270.8,392507,-1.09,-0.40%
30,POOL,07/07/20,270.22,274.52,268.5,271.89,152483,2.63,0.98%
31,POOL,07/06/20,274.04,274.64,268.63,269.26,166107,-0.96,-0.36%
32,POOL,07/02/20,274.45,276.0,268.5,270.22,203900,-2.69,-0.99%
33,POOL,07/01/20,271.85,274.46,267.76,272.91,244511,1.04,0.38%
34,POOL,06/30/20,265.46,273.1,265.06,271.87,260193,6.08,2.29%
35,POOL,06/29/20,260.89,267.9,259.31,265.79,190079,4.85,1.86%
36,POOL,06/26/20,262.78,267.91,259.72,260.94,397400,-2.97,-1.13%
37,POOL,06/25/20,261.54,264.27,259.04,263.91,212075,2.62,1.00%
