,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-06-30,130.5,135.0,130.5,135.0,135.0,0
1,2017-07-03,198.75,198.75,181.5,181.5,181.5,400
2,2017-07-05,212.25,422.39999400000005,212.25,301.5,301.5,5100
3,2017-07-06,300.0,300.0,231.0,237.0,237.0,1300
4,2017-07-07,225.0,225.0,151.5,166.455002,166.455002,2500
5,2017-07-10,152.25,190.5,151.485001,168.600006,168.600006,1000
6,2017-07-11,180.0,180.0,164.78999299999998,179.699997,179.699997,900
7,2017-07-12,192.0,192.0,168.0,184.199997,184.199997,500
8,2017-07-13,185.100006,187.5,171.0,171.0,171.0,300
9,2017-07-14,187.199997,187.199997,172.5,173.550003,173.550003,300
10,2017-07-17,172.5,175.365005,167.985001,169.395004,169.395004,200
11,2017-07-18,175.78500400000001,179.190002,168.0,177.509995,177.509995,200
12,2017-07-19,168.554993,180.0,168.554993,176.25,176.25,200
13,2017-07-20,176.25,180.0,169.96499599999999,173.25,173.25,500
14,2017-07-21,169.110001,173.25,169.110001,170.25,170.25,200
15,2017-07-24,172.080002,172.080002,165.0,166.649994,166.649994,100
16,2017-07-25,168.869995,170.550003,168.600006,168.600006,168.600006,0
17,2017-07-26,176.699997,176.699997,153.600006,162.134995,162.134995,800
18,2017-07-27,161.070007,163.845001,146.190002,149.850006,149.850006,700
19,2017-07-28,154.5,156.0,147.449997,147.449997,147.449997,100
20,2017-07-31,147.449997,148.845001,123.0,123.0,123.0,1400
21,2017-08-01,112.5,120.0,82.5,88.650002,88.650002,5200
22,2017-08-02,93.0,93.0,83.400002,84.0,84.0,1300
23,2017-08-03,82.650002,82.650002,67.5,71.400002,71.400002,3100
24,2017-08-04,67.650002,71.400002,67.650002,71.07,71.07,300
25,2017-08-07,70.5,77.550003,69.599998,72.900002,72.900002,200
26,2017-08-08,72.300003,72.599998,65.25,65.699997,65.699997,400
27,2017-08-09,66.0,78.0,66.0,77.550003,77.550003,1100
28,2017-08-10,86.550003,86.550003,67.5,70.5,70.5,900
29,2017-08-11,73.349998,73.349998,62.099998,65.400002,65.400002,1000
30,2017-08-14,62.099998,65.25,62.099998,63.299999,63.299999,800
31,2017-08-15,63.299999,63.75,50.25,56.400002,56.400002,1200
32,2017-08-16,52.650002,62.715,51.255001,59.849998,59.849998,600
33,2017-08-17,60.0,86.400002,60.0,75.300003,75.300003,2100
34,2017-08-18,79.949997,81.93,66.150002,72.449997,72.449997,500
35,2017-08-21,78.599998,84.0,67.199997,79.349998,79.349998,1300
36,2017-08-22,70.5,78.449997,57.150002,67.050003,67.050003,3200
37,2017-08-23,36.75,36.75,34.650002,35.700001,35.700001,37600
38,2017-08-24,35.700001,36.0,34.5,35.549999,35.549999,9900
39,2017-08-25,35.25,35.849998,34.950001,35.549999,35.549999,3700
40,2017-08-28,35.400002,35.549999,33.0,34.5,34.5,5600
41,2017-08-29,34.5,35.400002,33.0,34.799999,34.799999,16500
42,2017-08-30,35.400002,35.400002,33.75,34.799999,34.799999,6100
43,2017-08-31,34.875,36.150002,33.75,34.200001,34.200001,17600
44,2017-09-01,34.23,35.384997999999996,33.0,33.150002,33.150002,4300
45,2017-09-05,34.200001,34.349998,32.25,33.599998,33.599998,2200
46,2017-09-06,34.200001,34.799999,32.25,33.450001,33.450001,3200
47,2017-09-07,33.0,34.349998,31.5,34.049999,34.049999,2200
48,2017-09-08,34.5,34.5,33.0,33.900002,33.900002,2300
49,2017-09-11,34.950001,34.950001,32.400002,33.450001,33.450001,1700
50,2017-09-12,33.0,35.400002,32.400002,35.400002,35.400002,3900
51,2017-09-13,34.5,35.400002,33.314999,34.799999,34.799999,3200
52,2017-09-14,33.450001,35.400002,33.0,33.0,33.0,2100
