,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,PS,08/18/20,21.01,21.4,20.95,21.33,816971,0.33,1.57%
1,PS,08/17/20,20.8,21.12,20.53,21.0,1580273,0.47,2.29%
2,PS,08/14/20,20.46,20.69,20.1,20.53,877100,-0.07,-0.34%
3,PS,08/13/20,20.77,21.02,20.48,20.6,697642,-0.07,-0.34%
4,PS,08/12/20,20.74,21.0,20.52,20.67,856846,0.15,0.73%
5,PS,08/11/20,20.47,21.01,19.73,20.52,841363,-0.03,-0.15%
6,PS,08/10/20,21.39,21.39,20.07,20.55,1184149,-0.8,-3.75%
7,PS,08/07/20,21.87,22.3,20.91,21.35,1016700,-0.49,-2.24%
8,PS,08/06/20,22.3,22.53,21.65,21.84,1199060,-0.52,-2.33%
9,PS,08/05/20,21.92,22.69,21.77,22.36,1530170,0.54,2.47%
10,PS,08/04/20,21.33,22.21,21.33,21.82,1116990,0.17,0.79%
11,PS,08/03/20,21.35,21.78,20.81,21.65,1452951,0.48,2.27%
12,PS,07/31/20,21.85,21.86,20.64,21.17,1929200,-0.33,-1.53%
13,PS,07/30/20,20.21,21.69,19.32,21.5,4387489,1.84,9.36%
14,PS,07/29/20,19.48,19.98,19.47,19.66,1716556,0.45,2.34%
15,PS,07/28/20,19.3,19.6,19.09,19.21,1353401,-0.24,-1.23%
16,PS,07/27/20,18.42,19.48,18.2,19.45,1246288,1.19,6.52%
17,PS,07/24/20,18.59,18.74,17.87,18.26,1270300,-0.54,-2.87%
18,PS,07/23/20,19.08,19.66,18.74,18.8,1003541,-0.35,-1.83%
19,PS,07/22/20,19.39,19.85,18.96,19.15,619068,-0.31,-1.59%
20,PS,07/21/20,19.69,19.92,19.38,19.46,805390,0.0,0.00%
21,PS,07/20/20,18.85,19.76,18.64,19.46,1365918,0.62,3.29%
22,PS,07/17/20,18.44,18.97,18.28,18.84,746800,0.56,3.06%
23,PS,07/16/20,18.36,18.6,17.82,18.28,712898,-0.42,-2.25%
24,PS,07/15/20,18.75,19.15,18.4,18.7,900940,0.19,1.03%
25,PS,07/14/20,17.67,18.54,17.15,18.51,2939080,0.8,4.52%
26,PS,07/13/20,19.2,19.45,17.67,17.71,927604,-1.26,-6.64%
27,PS,07/10/20,19.42,19.45,18.8,18.97,778200,-0.43,-2.22%
28,PS,07/09/20,19.26,19.5,18.82,19.4,760637,0.38,2.00%
29,PS,07/08/20,18.62,19.08,18.42,19.02,903811,0.54,2.92%
30,PS,07/07/20,18.66,18.97,18.46,18.48,1284314,-0.41,-2.17%
31,PS,07/06/20,19.34,19.7,18.64,18.89,1244017,-0.14,-0.74%
32,PS,07/02/20,19.31,19.4,18.8,19.03,1362700,0.21,1.12%
33,PS,07/01/20,18.07,18.82,18.07,18.82,1430309,0.77,4.27%
34,PS,06/30/20,17.61,18.07,17.36,18.05,972896,0.7,4.03%
35,PS,06/29/20,17.6,17.74,16.85,17.35,1411623,-0.15,-0.86%
36,PS,06/26/20,17.32,17.71,17.01,17.5,4038800,0.2,1.16%
37,PS,06/25/20,17.03,17.37,16.93,17.3,1582755,0.22,1.29%
38,PS,06/24/20,17.87,18.1,16.86,17.08,1778836,-0.91,-5.06%
39,PS,06/23/20,18.74,18.75,17.8,17.99,1282436,-0.47,-2.55%
40,PS,06/22/20,17.71,18.66,17.32,18.46,1792256,0.75,4.23%
41,PS,06/19/20,17.55,17.87,16.48,17.71,11529300,0.41,2.37%
42,PS,06/18/20,17.22,17.62,16.86,17.3,2352757,-0.11,-0.63%
43,PS,06/17/20,18.6,18.69,17.31,17.41,2550978,-0.84,-4.60%
44,PS,06/16/20,18.0,18.32,17.62,18.25,2411041,0.98,5.67%
45,PS,06/15/20,16.99,17.67,16.26,17.27,6758077,-0.68,-3.79%
46,PS,06/12/20,18.82,19.15,17.7,17.95,2053200,-0.04,-0.22%
47,PS,06/11/20,18.76,19.39,17.96,17.99,2879831,-1.46,-7.51%
48,PS,06/10/20,20.16,20.23,19.21,19.45,7590785,-0.58,-2.90%
49,PS,06/09/20,21.0,21.2,19.43,20.03,3070344,-2.11,-9.53%
50,PS,06/08/20,20.94,22.28,20.73,22.14,1481437,1.13,5.38%
51,PS,06/05/20,20.7,21.16,20.2,21.01,1358000,0.36,1.74%
52,PS,06/04/20,20.51,21.25,20.51,20.65,1597295,-0.11,-0.53%
53,PS,06/03/20,20.8,21.08,20.12,20.76,1020928,-0.1,-0.48%
54,PS,06/02/20,21.5,21.55,20.51,20.86,1702213,-0.49,-2.30%
55,PS,06/01/20,20.74,21.56,20.58,21.35,2033224,0.52,2.50%
56,PS,05/29/20,20.43,21.1,20.38,20.83,1382400,0.34,1.66%
57,PS,05/28/20,20.64,21.19,20.14,20.49,1942762,-0.22,-1.06%
58,PS,05/27/20,21.17,21.59,19.31,20.71,1243119,-0.15,-0.72%
59,PS,05/26/20,22.5,22.5,20.47,20.86,1389390,-0.73,-3.38%
60,PS,05/22/20,20.61,22.33,20.54,21.59,2656900,1.29,6.35%
61,PS,05/21/20,20.21,20.7,19.74,20.3,1755709,0.13,0.64%
62,PS,05/20/20,19.0,20.2,18.91,20.17,1776210,1.4,7.46%
63,PS,05/19/20,18.5,19.43,18.35,18.77,1060264,0.2,1.08%
64,PS,05/18/20,19.51,19.6,18.46,18.57,1053641,-0.48,-2.52%
65,PS,05/15/20,18.71,19.22,18.41,19.05,994400,0.26,1.38%
66,PS,05/14/20,17.62,18.82,17.23,18.79,1602602,0.82,4.56%
67,PS,05/13/20,17.89,18.29,17.1,17.97,1192663,0.24,1.35%
68,PS,05/12/20,18.53,18.59,17.65,17.73,709021,-0.79,-4.27%
69,PS,05/11/20,18.01,18.69,17.94,18.52,1242285,0.14,0.76%
70,PS,05/08/20,18.65,19.27,18.15,18.38,1643600,0.05,0.27%
71,PS,05/07/20,17.61,18.59,17.51,18.33,1772674,1.0,5.77%
72,PS,05/06/20,16.24,17.6,16.01,17.33,1824835,1.34,8.38%
73,PS,05/05/20,15.35,16.22,15.14,15.99,1249790,0.95,6.32%
74,PS,05/04/20,15.16,15.7,14.89,15.04,2202884,-0.47,-3.03%
75,PS,05/01/20,16.24,16.39,15.36,15.51,1552300,-0.93,-5.66%
76,PS,04/30/20,17.43,17.84,16.25,16.44,2396967,-0.55,-3.24%
77,PS,04/29/20,16.14,17.14,15.9,16.99,1811838,1.34,8.56%
78,PS,04/28/20,16.45,16.78,15.33,15.65,1999587,-0.43,-2.67%
79,PS,04/27/20,15.0,16.2,14.87,16.08,1803536,1.31,8.87%
80,PS,04/24/20,14.47,14.79,14.21,14.77,1253800,0.45,3.14%
81,PS,04/23/20,14.43,14.73,14.21,14.32,660924,-0.05,-0.35%
82,PS,04/22/20,13.53,14.48,13.47,14.37,1181036,1.18,8.95%
83,PS,04/21/20,13.63,13.97,13.12,13.19,1591505,-0.54,-3.93%
84,PS,04/20/20,14.0,14.27,13.58,13.73,1995267,-0.66,-4.59%
85,PS,04/17/20,13.79,14.39,13.58,14.39,1111800,1.05,7.87%
86,PS,04/16/20,13.57,13.96,12.81,13.34,1649182,0.06,0.45%
87,PS,04/15/20,12.3,13.34,12.0,13.28,2482787,0.14,1.07%
88,PS,04/14/20,12.63,13.64,12.52,13.14,2750679,1.01,8.33%
89,PS,04/13/20,12.31,12.49,11.55,12.13,1670597,-0.21,-1.70%
90,PS,04/09/20,11.9,12.83,11.89,12.34,2075700,0.82,7.12%
91,PS,04/08/20,11.68,11.79,11.05,11.52,1719280,0.41,3.69%
92,PS,04/07/20,11.81,11.94,11.0,11.11,2126756,0.06,0.54%
93,PS,04/06/20,10.34,11.2,10.25,11.05,1580610,1.22,12.41%
94,PS,04/03/20,9.54,10.06,9.37,9.83,1519000,0.33,3.47%
95,PS,04/02/20,10.04,10.67,9.43,9.5,1531870,-0.63,-6.22%
96,PS,04/01/20,10.39,10.75,9.85,10.13,1733686,-0.85,-7.74%
97,PS,03/31/20,11.47,12.22,10.66,10.98,1855263,-0.53,-4.60%
98,PS,03/30/20,12.76,12.76,11.28,11.51,1600728,-1.09,-8.65%
99,PS,03/27/20,12.27,13.99,11.98,12.6,5953600,-0.4,-3.08%
100,PS,03/26/20,11.53,13.26,11.27,13.0,3258818,1.72,15.25%
101,PS,03/25/20,11.21,12.42,9.93,11.28,2387462,0.27,2.45%
102,PS,03/24/20,9.45,11.07,9.37,11.01,2094841,2.31,26.55%
103,PS,03/23/20,9.0,9.31,8.09,8.7,1889156,-0.35,-3.87%
104,PS,03/20/20,9.84,9.932,8.77,9.05,3074800,-0.36,-3.83%
105,PS,03/19/20,7.6,9.77,7.28,9.41,2865127,1.75,22.85%
106,PS,03/18/20,8.07,8.83,6.59,7.66,2898404,-0.96,-11.14%
107,PS,03/17/20,9.38,9.38,7.7,8.62,3192974,-0.53,-5.79%
108,PS,03/16/20,10.44,10.44,9.01,9.15,2806927,-2.42,-20.92%
109,PS,03/13/20,12.89,12.89,10.55,11.57,2912900,-0.5,-4.14%
110,PS,03/12/20,11.66,12.45,10.84,12.07,2963771,-0.61,-4.81%
111,PS,03/11/20,13.65,13.73,12.25,12.68,2645828,-1.38,-9.82%
112,PS,03/10/20,14.32,14.78,13.67,14.06,1955932,0.28,2.03%
113,PS,03/09/20,14.29,14.78,13.45,13.78,2095139,-1.7,-10.98%
114,PS,03/06/20,15.59,15.99,15.19,15.48,1902800,-0.73,-4.50%
115,PS,03/05/20,16.89,17.23,16.0,16.21,1838992,-1.1,-6.35%
116,PS,03/04/20,17.0,17.32,16.44,17.31,911965,0.51,3.04%
117,PS,03/03/20,17.38,17.52,16.59,16.8,1007424,-0.46,-2.67%
118,PS,03/02/20,18.04,18.04,16.78,17.26,1563805,-0.57,-3.20%
119,PS,02/28/20,16.7,17.84,16.61,17.83,1642200,0.58,3.36%
120,PS,02/27/20,17.95,18.36,17.18,17.25,2279618,-1.16,-6.30%
121,PS,02/26/20,18.55,19.0,18.21,18.41,1188618,-0.04,-0.22%
122,PS,02/25/20,19.14,19.15,18.21,18.45,1393401,-0.5,-2.64%
123,PS,02/24/20,18.71,19.18,18.23,18.95,2014123,-0.23,-1.20%
124,PS,02/21/20,20.27,20.35,19.16,19.18,2429100,-1.16,-5.70%
125,PS,02/20/20,19.96,20.84,19.7,20.34,1106584,0.28,1.40%
126,PS,02/19/20,19.2,20.1,19.11,20.06,1428851,1.04,5.47%
127,PS,02/18/20,18.55,19.46,18.55,19.02,1556786,0.36,1.93%
128,PS,02/14/20,18.59,18.84,18.33,18.66,1862900,-0.07,-0.37%
129,PS,02/13/20,18.9,20.28,18.71,18.73,4576314,-1.91,-9.25%
130,PS,02/12/20,20.02,20.79,19.7,20.64,2312045,0.72,3.61%
131,PS,02/11/20,20.06,20.46,19.77,19.92,1348135,-0.06,-0.30%
132,PS,02/10/20,19.48,20.2,19.28,19.98,1727406,0.51,2.62%
133,PS,02/07/20,19.68,20.11,19.42,19.47,1211800,-0.26,-1.32%
134,PS,02/06/20,19.07,19.93,18.67,19.73,1074663,0.7,3.65%
135,PS,02/05/20,20.18,20.19,19.0,19.04,1611041,-0.76,-3.82%
136,PS,02/04/20,19.92,20.25,19.65,19.79,1572321,0.11,0.56%
137,PS,02/03/20,19.39,19.79,19.3,19.68,1081318,0.29,1.50%
138,PS,01/31/20,19.74,19.76,19.12,19.39,631300,-0.37,-1.87%
139,PS,01/30/20,19.75,20.05,19.39,19.76,631898,-0.18,-0.90%
140,PS,01/29/20,20.2,20.5,19.77,19.94,849507,-0.07,-0.35%
141,PS,01/28/20,19.7,20.03,19.6,20.01,745168,0.55,2.83%
142,PS,01/27/20,19.1,19.69,19.04,19.46,690784,-0.31,-1.57%
143,PS,01/24/20,20.06,20.3,19.53,19.77,1203400,-0.15,-0.75%
144,PS,01/23/20,19.39,20.03,19.12,19.92,593737,0.51,2.63%
145,PS,01/22/20,19.88,20.32,19.36,19.41,965735,-0.3,-1.55%
146,PS,01/21/20,19.74,20.0,19.44,19.71,649150,-0.05,-0.23%
