,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-12-02,10.159,10.159,10.15,10.15,10.15,700
1,2019-12-03,10.18,10.18,10.17,10.17,10.17,800
2,2019-12-04,10.18,10.18,10.17,10.18,10.18,19500
3,2019-12-05,10.2,10.2,10.148,10.19,10.19,1600
4,2019-12-06,10.15,10.22,10.15,10.185,10.185,17900
5,2019-12-09,10.184,10.193,10.15,10.19,10.19,6700
6,2019-12-10,10.161,10.18,10.161,10.17,10.17,2800
7,2019-12-11,10.15,10.17,10.14,10.14,10.14,9500
8,2019-12-12,10.12,10.17,10.1,10.14,10.14,28700
9,2019-12-13,10.17,10.17,10.14,10.14,10.14,7600
10,2019-12-16,10.16,10.16,10.16,10.16,10.16,300
11,2019-12-17,10.191,10.191,10.18,10.18,10.18,500
12,2019-12-18,10.18,10.2,10.18,10.19,10.19,16400
13,2019-12-19,10.19,10.19,10.16,10.16,10.16,90100
14,2019-12-20,10.169,10.176,10.169,10.176,10.176,600
15,2019-12-23,10.19,10.255,10.19,10.254,10.254,10500
16,2019-12-24,10.254,10.254,10.254,10.254,10.254,0
17,2019-12-26,10.254,10.254,10.254,10.254,10.254,0
18,2019-12-27,10.254,10.254,10.254,10.254,10.254,0
19,2019-12-30,10.25,10.25,10.235,10.25,10.25,9100
20,2019-12-31,10.25,10.25,10.25,10.25,10.25,0
21,2020-01-02,10.25,10.25,10.25,10.25,10.25,0
22,2020-01-03,10.25,10.25,10.25,10.25,10.25,0
23,2020-01-06,10.248,10.248,10.22,10.22,10.22,1100
24,2020-01-07,10.22,10.22,10.22,10.22,10.22,0
25,2020-01-08,10.2,10.251,10.2,10.251,10.251,500
26,2020-01-09,10.251,10.251,10.251,10.251,10.251,0
27,2020-01-10,10.25,10.34,10.25,10.34,10.34,60800
28,2020-01-13,10.39,10.401,10.38,10.4,10.4,58100
29,2020-01-14,10.4,10.4,10.22,10.39,10.39,22100
30,2020-01-15,10.407,10.44,10.407,10.44,10.44,500
31,2020-01-16,10.4,10.4,10.4,10.4,10.4,10000
32,2020-01-17,10.474,10.474,10.474,10.474,10.474,100
33,2020-01-21,10.253,10.498,10.25,10.497,10.497,500
34,2020-01-22,10.375,10.48,10.375,10.48,10.48,600
35,2020-01-23,10.48,10.48,10.48,10.48,10.48,0
36,2020-01-24,10.5,10.5,10.25,10.31,10.31,2100
37,2020-01-27,10.34,10.34,10.25,10.25,10.25,900
38,2020-01-28,10.252,10.252,10.25,10.25,10.25,400
39,2020-01-29,10.25,10.33,10.25,10.329,10.329,2000
40,2020-01-30,10.329,10.329,10.329,10.329,10.329,0
41,2020-01-31,10.329,10.329,10.329,10.329,10.329,0
42,2020-02-03,10.329,10.329,10.329,10.329,10.329,0
43,2020-02-04,10.25,10.254,10.25,10.25,10.25,2800
44,2020-02-05,10.25,10.25,10.25,10.25,10.25,0
45,2020-02-06,10.25,10.48,10.25,10.48,10.48,278900
46,2020-02-07,10.47,10.7,10.47,10.7,10.7,3200
47,2020-02-10,10.425,10.7,10.425,10.7,10.7,1100
48,2020-02-11,10.425,10.7,10.425,10.55,10.55,1500
49,2020-02-12,10.401,10.65,10.401,10.65,10.65,1100
50,2020-02-13,10.36,10.63,10.36,10.36,10.36,4400
51,2020-02-14,10.364,10.65,10.36,10.65,10.65,6400
52,2020-02-18,10.573,10.573,10.573,10.573,10.573,100
53,2020-02-19,10.573,10.573,10.573,10.573,10.573,0
54,2020-02-20,10.5,10.65,10.5,10.65,10.65,1600
55,2020-02-21,10.6,10.6,10.6,10.6,10.6,200
56,2020-02-24,10.6,10.6,10.6,10.6,10.6,200
57,2020-02-25,10.59,10.65,10.59,10.59,10.59,1500
58,2020-02-26,10.58,10.58,10.58,10.58,10.58,100
59,2020-02-27,10.57,10.65,10.57,10.65,10.65,1100
